Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,9.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,4.4479,99.0071,5.6082,10.6171,93.0573,110.6189,2.4102,63.7158,13.2624,0.4776,3
2,9.0,8.9625,8.982,9.0,8.9465,8.048,9.0,6.7702,8.8794,6.0344,100.0933,27.3963,9.0983,263.4966,65.648,7.3258,63.6177,13.1614,0.229,4
3,9.0,8.9625,8.982,9.0,8.9465,8.048,9.0,6.7702,8.8794,6.0344,100.0933,27.3963,9.0983,263.4966,65.648,7.3258,63.6177,13.1614,0.229,4
4,9.0,8.9625,8.982,9.0,8.9465,8.048,9.0,6.8459,8.8794,6.0358,100.0811,27.0778,9.0976,257.9567,66.637,7.3132,63.6185,13.1561,0.2305,4
5,9.0,8.9625,8.982,8.975,8.9465,7.9926,9.0,6.9212,8.9516,6.3242,100.1436,27.2988,9.9224,252.3822,67.6785,7.1015,63.5201,13.1347,0.22,4
6,8.9221,8.9625,8.9284,8.975,8.9456,7.9926,9.0,5.125,8.9882,6.4878,100.3488,34.216,10.6048,345.683,50.0012,7.3269,62.5268,13.0065,0.1802,4
7,8.997,9.0,9.0,8.6509,8.9086,8.9579,8.9762,5.2917,8.9922,7.5403,99.6418,45.84,9.4475,353.2221,49.6172,10.4384,59.2573,13.456,0.1133,5
8,8.997,8.4204,8.9639,8.9907,8.9801,8.9579,8.8706,5.2917,8.9912,11.3161,87.3498,46.502,11.6565,380.6736,48.8583,10.3899,65.1452,10.4235,0.0141,7
9,8.9921,8.7594,8.4217,8.9876,8.9924,8.8798,8.5073,5.0692,8.9996,9.6729,66.111,45.4007,15.0231,451.2111,41.0778,9.5028,59.2454,15.1192,0.0646,4
10,8.9921,8.7594,8.4217,8.9876,8.9924,8.8798,8.5073,5.0692,8.9996,9.6729,66.111,45.4007,15.0231,451.2111,41.0778,9.5028,59.2454,15.1192,0.0646,4
11,8.9921,8.7594,8.4217,8.9876,8.9924,8.8798,8.5073,5.0692,8.9996,9.6729,66.111,45.4007,15.0231,451.2111,41.0778,9.5028,59.2454,15.1192,0.0646,4
12,8.9893,8.1318,8.98,9.0,8.9953,8.9995,8.4908,5.0011,8.9881,13.8763,60.0098,47.939,15.0013,456.1198,40.4472,9.8651,68.1598,10.8052,0.077,6
13,8.9893,8.1318,8.98,9.0,8.7895,8.9995,8.4908,5.0011,8.9881,13.7304,61.9951,48.1974,14.9946,419.0884,40.4327,9.8606,67.7669,10.3807,0.0686,7
14,8.9991,8.9548,8.9249,8.9983,8.8746,8.9094,8.9999,5.0031,8.9627,7.5291,101.5851,45.7039,10.2003,358.5554,49.5231,10.5443,63.3636,13.0902,0.098,5
15,8.9482,8.9374,8.9974,8.9953,8.9975,8.999,8.9759,5.0109,8.9838,7.9754,97.0363,47.301,10.7869,369.7789,49.0057,10.8554,64.8651,13.2206,0.0756,5
16,8.8565,8.8058,8.9868,8.9904,8.8734,8.9923,8.5092,5.0254,8.9093,8.8967,63.5064,45.546,13.872,396.2947,40.4591,9.9425,66.8288,14.5591,0.074,5
17,9.0,8.9731,8.9935,8.9949,8.9455,8.9999,8.9753,5.0523,8.9269,7.4274,98.1041,46.0889,9.9082,372.0742,49.3003,10.8859,64.6081,13.5412,0.1045,5
18,9.0,8.9731,8.9935,8.9948,8.9472,9.0,8.9753,5.0691,8.9299,7.4446,98.0819,46.096,9.9471,371.5554,49.4117,10.883,64.6256,13.5446,0.1034,5
19,8.989,8.8458,8.9558,8.9987,8.7646,9.0,8.9999,5.1024,8.9936,8.4286,102.1978,47.6764,10.6405,334.0038,50.159,10.8905,63.8417,11.9981,0.0649,5
20,8.9959,8.8458,8.9558,8.9987,8.7097,8.9996,8.9999,5.0083,8.9955,8.4084,102.9127,48.0653,10.6501,331.6187,49.5837,10.8974,63.7785,11.9057,0.0653,6
21,8.9496,8.7269,8.9513,8.9965,8.757,8.9967,8.986,5.2624,8.9987,9.1991,100.4228,47.3624,10.9079,317.9612,50.815,10.8149,63.6936,11.1217,0.0412,5
