Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,5.2037,5.0,5.8058,6.3738,6.3845,5.3039,6.2715,6.213,9.0,26.8598,6.9106,16.7836,29.7192,2.888,13.4717,0.967,13.3136,1.424,0.9924,0.7343,2
2,7.0973,8.5889,7.9727,5.7905,7.8813,6.9017,6.6111,5.3982,8.1214,5.4042,8.8364,13.8363,9.288,148.1713,12.0401,2.3252,22.2757,14.3566,0.5807,0.5973,1
3,8.6161,5.0509,8.6558,5.865,7.1716,7.8583,7.2367,8.7448,5.9907,10.7258,20.6239,1.9824,0.6211,57.7398,51.3379,4.0325,25.1898,2.4768,0.6355,0.6858,2
4,8.1599,6.2743,6.5083,7.8788,8.908,6.2053,7.9672,8.6231,8.726,19.1534,39.9404,8.2724,12.5789,89.0496,67.6979,2.3612,26.2117,4.0929,0.6169,0.5382,3
5,8.7137,7.7496,7.7981,6.7657,5.4458,8.1491,7.5598,6.1823,7.6114,6.9651,42.7646,17.3815,1.8444,112.1304,26.9934,5.3658,23.9002,7.1124,0.498,0.5278,0
6,6.3814,6.5945,7.2928,5.8441,7.9324,8.0218,8.4084,7.2452,5.2977,4.8964,66.2094,3.6609,3.5988,1.3733,40.2743,6.174,9.3474,1.2561,0.6,0.6879,1
7,6.3386,8.4256,8.7386,5.2724,7.662,6.3473,8.4183,7.9924,5.0216,0.5658,65.8012,0.328,5.0678,6.4512,49.9181,3.042,15.5408,4.8772,0.6512,0.7077,1
8,7.5703,5.1186,8.2215,8.8919,5.5068,6.0809,5.3957,5.7408,6.7965,12.3225,1.2007,4.8555,9.2094,99.9686,11.8326,1.7366,50.1525,3.7785,0.5903,0.6489,1
9,7.2755,6.6964,8.2949,6.0448,6.4381,5.8717,8.019,6.4447,5.3702,3.2312,51.7431,0.9523,2.4672,10.5988,28.6453,2.4487,16.6277,1.7281,0.706,0.7428,0
10,8.2011,6.9684,5.338,8.1452,6.8528,6.222,7.7264,6.2311,6.279,4.5866,46.4097,2.8486,0.213,98.6111,29.8891,3.0004,17.327,4.6229,0.6314,0.6696,0
11,7.2506,5.8903,7.5082,7.9127,6.6215,6.3279,5.5814,8.5604,8.7298,22.5346,1.6231,9.2686,30.7908,12.068,37.4458,1.3354,36.3788,4.7707,0.8276,0.6441,2
12,7.4844,7.4266,7.2732,7.1231,8.2921,5.9005,8.9544,8.7426,6.2677,2.7087,106.4763,0.3395,2.2772,1.0378,82.7161,3.2009,14.8083,2.3605,0.7974,0.7309,2
13,7.1838,5.7851,6.8822,7.2877,6.7508,8.6497,6.8841,8.2229,5.8,9.9273,15.1694,5.4015,0.2744,4.6512,38.0404,6.2816,18.2333,2.631,0.615,0.7114,0
14,8.4918,5.8062,5.4503,5.1785,8.0276,8.0468,5.1629,5.3134,7.9286,20.4815,1.1915,20.5452,9.3055,488.8751,6.2468,3.3848,12.2531,8.7831,0.7005,0.5935,2
15,7.5983,5.5638,7.0428,8.7624,7.3389,8.5844,7.9474,8.8597,8.4412,22.8098,44.0329,18.5925,13.1738,0.8356,74.3078,6.9538,35.8324,1.5397,0.6534,0.5342,3
16,8.8577,7.7515,6.3014,7.1239,8.3055,6.7125,8.6413,6.8998,6.0549,2.2096,93.0481,2.1545,2.9523,191.7382,48.218,4.2008,13.3707,6.4541,0.5352,0.5982,2
17,6.8884,5.7132,5.5027,6.3497,6.851,7.4705,7.0557,6.4007,7.7871,16.4716,21.3141,13.9413,5.7109,29.9354,20.1616,3.4641,10.3487,2.1128,0.6958,0.6729,1
18,8.0551,8.3733,5.8185,6.1362,5.1178,6.6626,5.9343,7.4884,5.5277,1.1622,9.6047,0.8126,0.174,52.6749,21.1182,2.0601,10.1347,14.0129,0.7801,0.7932,1
19,8.6292,8.7241,7.8312,5.6537,7.1033,6.0917,8.5942,5.278,7.901,2.3624,96.9168,10.0919,0.2923,137.0385,32.5707,2.8986,16.3339,8.852,0.5511,0.6196,1
20,6.7769,7.1595,7.0849,6.7787,5.4084,8.2893,7.7329,7.5827,5.0243,3.3772,45.705,3.7528,1.416,7.8739,36.8389,6.2415,12.617,2.4379,0.6516,0.7104,0
21,6.4542,7.7568,6.0463,8.9561,7.9782,8.8624,5.7374,7.3182,7.3575,9.3249,1.5929,16.1588,15.2552,63.4879,23.4922,6.6699,34.3622,12.2263,0.4619,0.5216,2
22,6.6216,8.7466,5.8129,6.5364,5.4915,6.0586,8.989,8.8726,5.9988,0.5174,142.974,0.3294,3.411,141.2076,82.7026,3.3956,4.9339,3.4436,0.8011,0.6902,2
23,8.7098,5.8263,6.6659,8.1704,8.5586,5.5971,5.4502,8.3447,8.3565,20.1804,0.9294,4.971,21.6298,322.6178,36.3965,1.0454,36.7277,10.0594,0.6084,0.5557,4
24,5.3691,7.7588,6.467,5.8699,8.9752,6.6239,6.4089,7.1537,7.0714,5.8699,3.8853,3.4704,3.7041,64.2768,18.7594,2.0395,11.8659,9.8126,0.6531,0.7096,0
25,7.9525,7.7396,7.3438,7.8832,5.563,6.5461,5.5702,7.3766,7.2533,5.7155,3.4122,4.3602,8.3269,68.1073,22.1946,1.8626,31.0845,11.4891,0.5829,0.638,1
26,8.0805,6.6354,8.7861,8.5393,7.2905,5.4462,8.6592,7.1448,6.241,4.1603,80.9413,1.1341,0.5271,28.3134,54.4085,2.9615,41.4673,1.6837,0.6327,0.6916,2
27,6.4733,6.9249,6.3113,7.3742,8.377,5.5651,5.3886,6.2828,6.2532,6.1992,0.8472,1.3554,3.5868,152.913,10.2336,1.2821,18.9867,9.1234,0.6463,0.7081,0
28,6.6384,7.0859,6.1615,8.6108,6.1664,5.0016,5.2385,5.3819,7.8079,9.8938,1.4188,7.0961,20.8776,68.4545,8.9385,1.0702,30.6627,7.981,0.6332,0.6601,1
29,5.8019,7.1926,8.4228,7.4413,5.3781,8.4334,5.197,8.4253,5.1951,4.8573,0.9301,2.5695,1.4624,9.9143,27.2373,4.5687,30.9932,6.1522,0.6729,0.7184,0
30,5.918,7.2043,8.5437,7.6237,8.4008,8.2814,8.7041,7.0874,6.864,6.4988,72.1622,10.3038,0.165,0.9717,48.1589,7.4759,28.2932,1.6775,0.5607,0.6485,1
31,6.3575,6.5927,8.4788,6.5716,8.9998,7.2037,7.593,7.5111,8.6088,18.4557,18.6487,15.0506,12.45,47.7397,36.9333,3.0555,29.8079,3.5203,0.5658,0.567,2
32,6.9243,7.6374,8.314,8.8234,7.2552,6.6085,8.9706,7.1995,5.0541,1.1806,106.4335,0.8886,2.5353,2.9463,59.164,4.9543,33.8187,1.9019,0.6975,0.7055,2
33,5.7086,7.2788,7.9248,7.0807,8.6291,6.0747,5.8799,6.7674,8.98,18.0177,0.9779,15.6015,33.8635,86.1835,16.5684,1.257,32.6119,8.6989,0.7795,0.5976,2
34,7.4386,7.3434,5.6225,6.6411,7.9865,6.2804,8.835,5.6963,6.5952,3.6763,108.1354,4.2208,1.3913,44.4466,36.7041,3.8002,7.2041,2.3379,0.6653,0.7029,1
35,7.6218,8.6761,6.2035,8.4541,5.6554,5.4381,6.696,8.5765,5.6924,0.6262,17.9576,0.5097,0.8585,1.5776,46.4045,1.68,23.4972,13.7361,0.7358,0.7745,2
36,5.0778,8.9624,8.0656,8.2639,7.4636,6.6219,6.0621,5.92,6.5868,1.1068,2.6756,3.8392,6.3167,26.273,12.3793,2.4058,36.0675,16.099,0.7382,0.7333,1
37,7.4168,5.6302,7.1249,7.1665,7.7913,8.7167,5.3892,6.7199,7.6573,20.4438,0.9287,20.3075,11.5354,169.3118,14.2858,5.2522,26.1452,5.8991,0.5631,0.5335,1
38,5.4477,6.0024,7.3699,5.2279,6.6162,8.6913,7.5693,7.4973,7.9008,17.4775,31.8523,20.325,4.2431,13.7965,32.2912,6.2525,11.8918,0.9714,0.6436,0.6367,1
39,6.5662,7.0381,5.7591,5.1317,8.6206,8.5535,7.9906,6.0104,7.2199,9.8336,44.9699,16.8186,0.3326,66.2791,24.3264,6.9051,6.0609,3.4883,0.5606,0.6295,0
40,6.085,6.5529,7.3349,5.215,8.8484,6.0594,6.7582,6.1335,5.3118,5.1309,6.7256,0.8588,0.3361,114.7325,13.0614,1.8576,11.468,4.8808,0.7444,0.7682,0
41,8.8629,8.9566,5.6752,7.6364,8.1074,8.6325,5.4252,6.1585,8.8066,9.4047,2.4096,33.3319,27.4083,527.5622,15.1627,5.0782,28.2554,29.7957,0.8305,0.4695,3
42,8.5711,5.7922,5.5757,5.479,7.6612,7.4685,5.3908,8.2015,6.7855,12.9865,2.0165,3.4244,1.9189,209.0445,26.6366,2.471,11.2297,7.8361,0.589,0.6619,1
43,6.3555,7.9086,6.9685,7.1127,5.7996,8.4983,7.1783,5.9743,7.2678,6.0679,25.8025,17.6324,3.5642,4.0081,18.8696,6.1959,17.5786,5.7667,0.6048,0.6324,0
44,8.2416,7.0091,5.6061,8.9488,8.6651,6.7473,6.3995,8.7685,6.6483,7.3599,5.3876,0.8759,4.7924,155.6431,50.8892,2.6144,32.3234,11.3647,0.531,0.5947,2
45,5.3271,5.5277,6.2879,5.8585,7.5298,7.7229,8.3875,6.262,7.6408,15.0073,68.158,14.9091,1.0571,2.2598,31.0132,5.1403,7.3293,0.5538,0.6401,0.6888,1
46,7.4733,7.4877,7.6299,7.5122,7.9437,7.026,5.6432,8.8917,8.2173,12.2784,1.2694,5.9457,18.6674,47.6593,42.2343,1.9546,33.574,11.6573,0.5505,0.6017,4
47,7.9947,5.259,5.0362,6.6919,8.569,6.1589,6.3533,5.8233,8.7359,25.6074,5.8042,16.8624,19.8822,346.0566,14.702,1.5541,16.0695,5.4062,0.7692,0.5933,3
48,6.0905,7.2598,7.5513,7.7595,7.7919,5.3709,5.9378,7.5043,6.1579,4.4136,1.8892,0.4932,3.0609,28.761,22.0366,1.2741,27.2357,7.8006,0.6969,0.7395,0
49,8.2755,6.7033,7.2316,6.7807,6.0809,8.181,5.8608,8.1723,7.5375,12.9966,5.0634,10.2597,6.742,65.6619,31.3458,3.8946,23.3748,7.3284,0.5467,0.5881,1
50,5.4,8.8669,6.242,5.6316,8.807,5.9044,7.2325,5.438,6.372,0.9022,18.2579,2.1783,0.3005,77.0794,13.4574,2.044,7.9799,13.5825,0.7754,0.7874,1
51,7.2005,5.0794,7.0914,5.5429,7.214,7.3093,5.3376,6.4319,8.0261,21.8235,1.1312,14.394,12.5334,120.4384,10.4281,2.1804,17.3148,3.9679,0.6965,0.6472,2
52,7.0468,6.218,7.2796,5.7942,7.1192,8.9876,6.9487,5.2514,6.2053,10.322,15.9125,16.5354,0.1996,80.7962,12.015,7.4658,13.6848,3.1495,0.6176,0.6763,1
53,8.3825,7.8222,7.8743,7.7623,6.8641,5.6568,7.0816,5.1112,8.003,6.7976,20.8787,9.9669,8.2964,211.9585,18.3472,1.7868,34.2003,9.7966,0.4586,0.5342,0
54,8.2977,8.1403,8.0251,8.6356,5.9092,5.4932,5.1745,7.969,6.0517,1.8702,1.3716,0.3568,3.9422,92.753,28.3382,1.2468,45.1877,16.2885,0.6859,0.6978,1
55,5.6678,8.0871,6.5987,7.0421,7.7328,6.3169,7.3316,8.8148,6.2367,2.162,23.1736,0.3481,0.4683,12.9027,51.0571,2.2878,13.6309,7.0029,0.7249,0.7617,1
56,6.4578,6.0193,8.4397,6.4828,5.4905,6.7047,8.9545,6.7655,5.7032,4.6099,115.6727,2.4356,4.2774,36.6543,45.5457,4.2861,15.7053,0.6987,0.6512,0.6742,2
57,7.0559,7.2911,5.0969,7.845,7.7375,6.2769,8.1284,8.9555,5.325,2.4737,58.1277,0.4936,0.9777,4.643,70.6426,3.0909,11.5811,3.5666,0.7576,0.7441,1
58,8.352,8.7663,5.7687,7.1992,8.6349,5.3211,7.0666,8.9235,5.4931,0.5952,19.1413,1.352,0.3313,117.8323,54.8144,1.5673,14.7164,19.4218,0.7864,0.7388,2
59,6.4429,8.1463,6.862,7.56,8.1924,7.0799,6.7759,7.945,6.0364,2.3706,10.04,1.2565,0.9648,23.7048,33.2181,3.0676,20.2129,10.8823,0.6743,0.7402,1
60,6.6535,8.9699,5.3237,5.2185,6.2332,5.1203,8.3446,7.3521,7.3742,0.9363,87.6054,2.3233,0.2203,9.4325,41.6507,1.9397,3.6715,7.2259,0.6657,0.7623,2
61,7.8454,7.1272,6.1168,6.626,6.3895,6.6785,6.2358,7.8941,5.047,3.3285,9.3907,0.4326,0.2122,44.9685,27.4926,2.2282,12.3151,7.5082,0.7203,0.7635,0
62,7.0188,7.4408,7.757,6.6485,6.063,5.6361,7.1552,7.8609,6.5409,3.7308,23.1945,0.8536,0.5588,0.8849,35.0064,1.6411,18.9607,4.7141,0.7177,0.7637,0
63,6.0839,6.7373,8.9803,6.1297,5.5387,7.8832,8.4533,5.1112,8.6352,15.6626,73.1869,30.7877,6.7688,5.9391,27.206,5.2526,26.1836,0.6697,0.5247,0.5606,1
64,6.2627,5.2722,6.652,8.1262,8.8669,5.7194,7.2234,7.3885,7.5306,15.2589,12.7514,3.7363,7.3243,54.164,33.2464,1.9031,25.3329,2.4858,0.6432,0.6602,1
65,5.9716,5.144,7.7007,7.15,5.3355,7.9254,8.7113,8.0806,6.9023,11.4755,96.3317,7.2586,0.1813,108.0193,61.2659,6.1394,16.2389,0.9334,0.5934,0.626,3
66,7.6818,8.2206,8.9381,6.6384,5.9147,5.2435,5.0178,5.8155,7.2849,3.586,0.9203,3.9417,7.3576,136.708,7.8762,0.8736,37.0926,14.5494,0.6627,0.6854,1
67,5.2062,6.9386,7.772,5.6747,6.3498,5.54,6.3869,7.5004,6.8161,6.396,7.0285,1.4565,2.4823,4.0548,21.1432,1.1955,15.2831,3.5555,0.753,0.7811,0
68,8.9728,8.0257,8.3497,7.7337,7.1831,7.207,7.7909,6.6067,6.0803,2.018,43.1328,3.6952,0.4231,208.721,34.669,4.1532,33.8095,9.9039,0.4967,0.5988,0
69,6.313,6.9594,5.8022,8.523,6.0518,7.7991,8.5943,5.629,7.0318,6.8095,93.2324,13.045,0.8174,4.3162,35.7844,6.6675,17.6355,1.0499,0.5799,0.6599,1
70,7.462,8.5992,8.8022,5.8822,7.4551,6.6203,5.9177,6.6347,6.238,1.4363,2.6067,2.16,0.8314,133.6741,13.8785,1.9007,28.0122,16.5032,0.7593,0.749,1
71,5.9267,5.4879,5.8578,8.6005,5.725,6.6139,8.6902,6.8856,6.6529,8.4616,98.5857,4.4957,0.2673,42.7752,48.0191,4.3877,16.8576,0.633,0.6181,0.6845,2
72,8.5057,5.7347,7.4011,5.9498,5.9792,7.7844,8.7507,8.4267,8.9751,22.7711,110.8763,21.5189,5.5141,0.8965,74.9997,4.9112,16.3162,0.6766,0.7614,0.6035,3
73,8.7088,8.0488,7.3067,8.2748,6.1559,8.1638,8.0511,7.58,7.7965,6.1702,63.3966,14.5444,3.3742,50.9228,52.2994,6.2169,31.3916,7.6099,0.4684,0.5025,1
74,6.3496,7.0392,7.9208,5.8358,8.5559,7.9324,8.3431,5.3524,5.5233,4.2037,55.0235,6.3075,2.7268,49.2859,24.1711,6.0435,13.3468,2.3557,0.629,0.6612,0
75,5.3989,7.4665,5.5986,6.3416,8.3869,5.87,5.4121,8.7634,5.2046,3.1137,0.9089,0.9085,0.6644,6.5069,30.3973,1.2362,9.6193,9.811,0.7292,0.8031,0
76,8.0536,6.6246,7.2536,5.475,8.2603,5.4991,6.0903,6.8226,6.7962,8.1407,3.5573,1.8194,1.3898,265.6984,16.4363,1.1422,16.2884,8.388,0.6088,0.697,1
77,5.1178,5.0357,6.5927,5.242,8.7556,6.35,7.6957,7.0912,6.7993,12.342,26.5332,2.9722,0.3068,11.4582,28.0084,2.4141,7.6093,0.976,0.7336,0.7768,1
78,5.6848,5.4358,8.2118,5.2772,6.5539,7.8866,8.4939,5.1585,8.3742,19.5482,73.7268,27.1314,3.6218,3.3764,25.9879,5.3097,15.3464,0.6158,0.6278,0.6199,1
79,6.5122,5.0064,5.2426,6.1028,7.6024,5.6699,7.1947,7.8008,7.4746,14.9366,21.1488,2.9677,3.2329,6.2983,33.3641,1.555,8.043,1.4385,0.7342,0.7553,1
80,8.6853,8.4419,6.2769,5.773,6.0795,5.0797,6.2431,8.9282,6.2508,1.2574,12.6908,0.5847,0.2411,50.4449,44.3556,0.9625,11.6739,15.945,0.7663,0.7828,2
81,7.3464,5.6476,6.7141,8.6917,5.0978,8.3544,5.122,8.9361,5.2136,9.2689,1.3062,1.7825,2.5762,0.8557,40.0141,4.7071,31.4628,4.4981,0.5996,0.6959,1
82,8.0064,7.5555,8.5675,5.527,5.1881,7.0402,7.1866,8.8218,6.0392,3.0564,26.3193,0.6666,0.41,0.8413,50.3092,2.6717,20.6896,5.5189,0.714,0.747,1
83,5.8089,5.5464,7.8468,7.9824,7.168,5.0062,7.6182,6.4411,7.8953,14.3126,27.5991,6.5149,8.4627,2.0692,28.0428,1.6471,29.8011,1.0039,0.6448,0.6769,1
84,8.2259,8.1664,5.1495,6.6405,6.9076,5.082,5.5473,6.3756,8.0337,6.2372,4.2653,6.2115,12.3248,223.3127,13.4402,0.9039,14.8662,16.4885,0.5869,0.6378,2
85,6.4479,6.6766,8.1649,8.9382,7.888,8.4093,6.6149,5.0394,7.282,12.2484,5.0712,18.9136,10.4665,104.6864,14.4347,6.0688,48.8282,5.4204,0.4663,0.5175,1
86,8.4824,5.0925,7.2594,5.605,7.5342,8.8857,5.6905,6.9224,8.8795,33.3177,2.3274,37.5061,21.6242,276.6032,17.6783,5.1302,23.0155,5.5572,0.7345,0.489,3
87,8.6169,6.1312,6.1958,5.1048,6.5087,8.7798,8.0486,7.8408,8.0108,17.0339,65.7857,20.9983,1.2314,42.9276,48.293,7.0842,9.1488,2.1341,0.5873,0.6021,2
88,5.319,5.6966,5.9274,8.2716,6.4157,6.1557,8.5732,8.8291,8.2389,15.3995,84.6588,5.4552,7.3977,146.4149,78.8916,2.9748,17.6017,0.5716,0.6258,0.5773,3
89,8.9209,6.4626,6.4496,7.3366,8.5814,6.1897,6.9858,6.6553,6.0805,6.6086,15.3539,1.6011,0.1662,438.8494,25.3408,2.2653,20.2887,8.4122,0.6567,0.6581,1
