Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,5.0,3.33,3.33,1.67,3.33,5.0,1.67,3.33,3.33,36.3462,73.8035,73.4365,64.7239,88.1633,133.2822,73.9498,58.9791,43.5418,0.1947,3
2,3.33,4.9876,0.0589,0.0775,3.3224,5.0,0.0,5.0,0.1517,48.4077,80.0824,76.2533,66.9367,106.8158,115.1217,74.5383,59.6339,60.8029,0.0885,4
3,3.33,4.9876,0.0589,0.0775,3.3224,5.0,0.0,5.0,0.1517,48.4077,80.0824,76.2533,66.9367,106.8158,115.1217,74.5383,59.6339,60.8029,0.0885,4
4,3.33,4.9876,0.0589,0.0775,3.3224,5.0,0.0,5.0,0.1517,48.4077,80.0824,76.2533,66.9367,106.8158,115.1217,74.5383,59.6339,60.8029,0.0885,4
5,3.33,4.9876,0.0589,0.0775,3.3224,5.0,0.0,5.0,0.1517,48.4077,80.0824,76.2533,66.9367,106.8158,115.1217,74.5383,59.6339,60.8029,0.0885,4
6,1.7511,4.9829,4.9903,0.0,0.0198,3.3616,1.6685,4.9975,3.2677,49.4216,95.8881,55.4305,50.3943,75.8494,104.1429,139.1687,50.8509,67.4188,0.1651,3
7,4.7364,4.9981,3.4803,0.0799,0.5049,1.673,3.356,4.9884,1.4703,52.8847,94.4353,67.6381,43.7284,117.2396,88.6573,105.439,64.3473,92.3256,0.1003,4
8,1.657,4.9997,3.3119,1.6108,0.0277,3.3743,4.9491,4.9915,0.0536,78.2432,77.037,62.7028,53.8789,88.4119,81.6714,113.9957,60.2101,75.5054,0.0982,4
9,3.2709,4.9977,2.6242,0.1224,0.0,3.33,0.0,4.9117,0.0424,41.9973,86.4624,63.9704,60.6067,108.7779,108.7328,95.8199,58.7154,73.9404,0.1245,6
10,1.6596,5.0,0.0587,0.3681,4.9157,4.6077,0.2584,4.9791,3.3935,62.6928,86.3121,65.5766,66.9556,73.1367,82.8437,82.037,73.8516,65.5941,0.1197,5
11,1.6871,5.0,2.6015,0.0344,0.0541,3.3386,4.9568,4.993,0.0692,78.6473,79.5929,63.359,52.4775,87.2865,83.3539,110.2933,64.0151,76.4847,0.0935,4
12,1.6871,5.0,2.6015,0.0344,0.0541,3.3386,4.9568,4.993,0.0692,78.6473,79.5929,63.359,52.4775,87.2865,83.3539,110.2933,64.0151,76.4847,0.0935,4
13,1.6871,5.0,2.6015,0.0344,0.0541,3.3386,4.9568,4.993,0.0692,78.6473,79.5929,63.359,52.4775,87.2865,83.3539,110.2933,64.0151,76.4847,0.0935,4
14,4.9624,5.0,2.6072,0.0351,0.0019,4.9589,4.9738,3.307,0.0696,62.6277,58.3414,92.3702,69.6955,100.3568,122.5631,83.287,56.2618,57.6161,0.0976,6
15,4.9624,5.0,2.6072,0.0351,0.0019,4.9589,4.9738,3.307,0.0696,62.6277,58.3414,92.3702,69.6955,100.3568,122.5631,83.287,56.2618,57.6161,0.0976,6
16,4.9624,5.0,2.6072,0.0351,0.0019,4.9589,4.9738,3.307,0.0696,62.6277,58.3414,92.3702,69.6955,100.3568,122.5631,83.287,56.2618,57.6161,0.0976,6
17,4.9012,5.0,0.1489,0.4649,0.0344,5.0,4.7635,4.9767,3.1974,57.7858,86.6296,100.0345,39.7826,86.6185,124.698,75.086,89.503,76.1922,0.107,6
18,4.988,4.9576,0.1489,0.4601,0.0344,5.0,4.7678,4.8388,3.31,56.5167,85.1307,100.1949,40.48,84.5091,125.5146,73.534,89.7771,75.0076,0.1078,5
19,4.7679,4.9564,0.3068,0.4968,0.0459,4.9024,4.7567,4.8388,3.31,57.9955,85.1881,97.5974,41.7814,82.4732,123.0732,75.983,89.8359,75.2202,0.1034,6
20,4.7679,4.9564,0.3068,0.4968,0.0459,4.9024,4.7567,4.8388,3.31,57.9955,85.1881,97.5974,41.7814,82.4732,123.0732,75.983,89.8359,75.2202,0.1034,6
