Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,5.0,3.33,3.33,1.67,3.33,5.0,1.67,3.33,3.33,36.3462,73.8035,73.4365,64.7239,88.1633,133.2822,73.9498,58.9791,43.5418,0.1947,3
2,4.9283,4.3526,4.9088,5.0,3.33,3.2035,1.67,5.0,0.0,36.2153,61.1102,64.0018,59.8894,131.0015,70.7711,68.7078,50.7864,79.3741,0.1924,3
3,4.948,5.0,0.1677,0.0,3.33,4.9074,4.9907,4.9033,2.0512,72.3419,79.5176,93.6304,46.7455,100.9436,98.6574,73.0136,75.4727,75.0357,0.0558,7
4,4.948,5.0,0.1677,0.0,3.33,4.9074,4.9907,4.9033,2.0512,72.3419,79.5176,93.6304,46.7455,100.9436,98.6574,73.0136,75.4727,75.0357,0.0558,7
5,4.9963,4.9866,0.5454,0.0,3.33,3.2062,0.2388,4.9033,0.0063,44.4685,89.2352,74.1303,58.4014,128.9313,94.912,71.5586,67.9277,85.3897,0.091,5
6,4.9963,4.9866,0.5454,0.0,3.33,3.2062,0.2388,4.9033,0.0063,44.4685,89.2352,74.1303,58.4014,128.9313,94.912,71.5586,67.9277,85.3897,0.091,5
7,1.2023,4.9066,4.8723,0.0,0.2518,1.6562,3.3531,4.8604,1.6612,66.1197,90.01,45.3078,54.7442,90.6247,79.9504,144.5737,44.629,75.5398,0.1888,4
8,4.9609,4.9858,0.178,0.0278,0.6134,1.8455,3.2881,4.9012,4.9542,40.9311,107.4446,81.3742,28.8049,64.5825,97.0752,80.6199,116.6534,103.781,0.2266,6
9,4.9609,4.9858,0.178,0.0278,0.6134,1.8455,3.2881,4.9012,4.9542,40.9311,107.4446,81.3742,28.8049,64.5825,97.0752,80.6199,116.6534,103.781,0.2266,6
10,4.9828,4.8179,4.9955,0.0025,0.6059,0.1107,0.3531,4.9913,0.1098,39.1833,99.4016,56.6236,43.5178,132.2663,92.811,124.4065,40.6478,86.3413,0.2098,4
