Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,5.0,3.33,3.33,1.67,3.33,5.0,1.67,3.33,3.33,36.3462,73.8035,73.4365,64.7239,88.1633,133.2822,73.9498,58.9791,43.5418,0.1947,3
2,4.4718,4.9993,0.1489,0.2224,0.1465,1.6283,4.7215,0.1212,3.5627,57.0229,55.2812,70.9861,76.4696,60.2453,84.5552,76.9768,84.7329,76.7734,0.1597,4
3,3.2058,5.0,0.0145,0.0781,1.67,1.67,5.0,3.33,0.0,76.268,61.7596,61.2541,73.5077,87.8196,69.4605,90.0519,69.5993,80.0514,0.1316,5
4,3.1189,4.9989,0.2317,0.2154,0.1462,4.957,1.8011,4.9928,0.1666,43.0575,79.9109,79.2685,62.7511,101.5349,131.0689,78.4316,64.1258,61.1577,0.1068,5
5,5.0,4.8201,0.2247,0.1414,0.0,4.9575,4.9817,4.9918,0.3964,62.1586,79.4141,95.1229,42.9269,109.2842,120.3159,73.0388,72.6129,72.219,0.0783,7
6,5.0,4.8201,0.2247,0.1414,0.0,4.9575,4.9817,4.9918,0.3964,62.1586,79.4141,95.1229,42.9269,109.2842,120.3159,73.0388,72.6129,72.219,0.0783,7
7,4.9241,4.9377,3.5188,1.817,0.123,4.9853,4.9944,5.0,0.1876,63.1317,76.033,91.8734,43.5479,110.3268,115.1989,91.553,57.3911,68.5043,0.0853,6
8,4.9241,4.9377,3.5188,1.817,0.123,4.9853,4.9944,5.0,0.1876,63.1317,76.033,91.8734,43.5479,110.3268,115.1989,91.553,57.3911,68.5043,0.0853,6
9,4.9241,4.9377,3.5188,1.817,0.123,4.9853,4.9944,5.0,0.1876,63.1317,76.033,91.8734,43.5479,110.3268,115.1989,91.553,57.3911,68.5043,0.0853,6
10,4.9241,4.9377,3.5188,1.817,0.123,4.9853,4.9944,5.0,0.1876,63.1317,76.033,91.8734,43.5479,110.3268,115.1989,91.553,57.3911,68.5043,0.0853,6
11,4.9241,4.9377,3.5188,1.817,0.123,4.9853,4.9944,5.0,0.1876,63.1317,76.033,91.8734,43.5479,110.3268,115.1989,91.553,57.3911,68.5043,0.0853,6
12,4.9241,4.9377,3.5188,1.817,0.123,4.9853,4.9944,5.0,0.1876,63.1317,76.033,91.8734,43.5479,110.3268,115.1989,91.553,57.3911,68.5043,0.0853,6
13,4.9241,4.9377,3.5188,1.817,0.123,4.9853,4.9944,5.0,0.1876,63.1317,76.033,91.8734,43.5479,110.3268,115.1989,91.553,57.3911,68.5043,0.0853,6
14,4.9241,4.9377,3.5188,1.817,0.123,4.9853,4.9944,5.0,0.1876,63.1317,76.033,91.8734,43.5479,110.3268,115.1989,91.553,57.3911,68.5043,0.0853,6
15,4.9264,4.9406,3.3396,1.817,0.123,4.9853,4.9922,4.9981,0.1876,63.3744,76.2848,92.6703,44.4401,110.7926,115.9233,89.73,59.5635,69.3234,0.0753,6
16,4.9264,4.9406,3.3396,1.817,0.123,4.9853,4.9922,4.9981,0.1876,63.3744,76.2848,92.6703,44.4401,110.7926,115.9233,89.73,59.5635,69.3234,0.0753,6
17,4.9264,4.9406,3.3396,1.817,0.123,4.9853,4.9922,4.9981,0.1876,63.3744,76.2848,92.6703,44.4401,110.7926,115.9233,89.73,59.5635,69.3234,0.0753,6
18,4.9264,4.9406,3.3396,1.817,0.123,4.9853,4.9922,4.9981,0.1876,63.3744,76.2848,92.6703,44.4401,110.7926,115.9233,89.73,59.5635,69.3234,0.0753,6
19,4.9264,4.9406,3.3396,1.817,0.123,4.9853,4.9922,4.9981,0.1876,63.3744,76.2848,92.6703,44.4401,110.7926,115.9233,89.73,59.5635,69.3234,0.0753,6
20,4.9264,4.9298,3.3787,1.7863,0.123,4.9857,4.9847,4.9981,1.1491,64.1774,78.7333,93.6513,44.857,109.4011,118.0322,92.0749,62.446,70.2792,0.0681,6
21,4.9264,4.9298,3.3787,1.7863,0.123,4.9857,4.9847,4.9981,1.1491,64.1774,78.7333,93.6513,44.857,109.4011,118.0322,92.0749,62.446,70.2792,0.0681,6
22,4.9264,4.9298,3.3787,1.7863,0.123,4.9857,4.9847,4.9981,1.1491,64.1774,78.7333,93.6513,44.857,109.4011,118.0322,92.0749,62.446,70.2792,0.0681,6
23,4.9264,4.9298,3.3787,1.7863,0.123,4.9857,4.9847,4.9981,1.1491,64.1774,78.7333,93.6513,44.857,109.4011,118.0322,92.0749,62.446,70.2792,0.0681,6
24,4.9264,4.9298,3.3787,1.7863,0.123,4.9857,4.9847,4.9981,1.1491,64.1774,78.7333,93.6513,44.857,109.4011,118.0322,92.0749,62.446,70.2792,0.0681,6
25,4.9264,4.9298,3.3787,1.0185,0.0863,4.945,4.9672,5.0,1.1491,66.6986,83.3965,93.7353,45.4157,111.3115,121.2237,98.2057,62.6316,70.9686,0.0643,6
26,4.9264,4.9298,3.3787,1.0185,0.0863,4.945,4.9672,5.0,1.1491,66.6986,83.3965,93.7353,45.4157,111.3115,121.2237,98.2057,62.6316,70.9686,0.0643,6
27,4.9264,4.9298,3.3787,1.0185,0.0863,4.945,4.9672,5.0,1.1491,66.6986,83.3965,93.7353,45.4157,111.3115,121.2237,98.2057,62.6316,70.9686,0.0643,6
28,4.9264,4.9298,3.3787,1.0185,0.0863,4.945,4.9672,5.0,1.1491,66.6986,83.3965,93.7353,45.4157,111.3115,121.2237,98.2057,62.6316,70.9686,0.0643,6
29,4.9264,4.9298,3.3787,1.0185,0.0863,4.945,4.9672,5.0,1.1491,66.6986,83.3965,93.7353,45.4157,111.3115,121.2237,98.2057,62.6316,70.9686,0.0643,6
30,4.9264,4.9298,3.3787,1.0185,0.0863,4.945,4.9672,5.0,1.1491,66.6986,83.3965,93.7353,45.4157,111.3115,121.2237,98.2057,62.6316,70.9686,0.0643,6
31,4.9264,4.9298,3.3787,1.0185,0.0863,4.945,4.9672,5.0,1.1491,66.6986,83.3965,93.7353,45.4157,111.3115,121.2237,98.2057,62.6316,70.9686,0.0643,6
32,4.9264,4.9298,3.3787,1.0185,0.0863,4.945,4.9672,5.0,1.1491,66.6986,83.3965,93.7353,45.4157,111.3115,121.2237,98.2057,62.6316,70.9686,0.0643,6
33,4.9264,4.9298,3.3787,1.0185,0.0863,4.945,4.9672,5.0,1.1491,66.6986,83.3965,93.7353,45.4157,111.3115,121.2237,98.2057,62.6316,70.9686,0.0643,6
34,4.903,4.9404,0.6239,0.3719,1.6306,4.8423,4.9877,4.9473,0.792,68.2914,81.135,95.2255,48.7611,110.9396,115.3434,78.0295,74.9531,75.5551,0.0431,8
35,4.936,5.0,0.6239,0.5085,1.687,4.9165,4.9877,4.9473,0.8628,68.5678,80.9645,97.0007,49.7256,111.4057,116.4428,77.8617,75.4183,75.6619,0.0373,8
36,4.936,5.0,0.6239,0.5085,1.687,4.9165,4.9877,4.9473,0.8628,68.5678,80.9645,97.0007,49.7256,111.4057,116.4428,77.8617,75.4183,75.6619,0.0373,8
37,4.936,5.0,0.6239,0.5085,1.687,4.9165,4.9877,4.9473,0.8628,68.5678,80.9645,97.0007,49.7256,111.4057,116.4428,77.8617,75.4183,75.6619,0.0373,8
38,4.936,5.0,0.6239,0.5085,1.687,4.9165,4.9877,4.9473,0.8628,68.5678,80.9645,97.0007,49.7256,111.4057,116.4428,77.8617,75.4183,75.6619,0.0373,8
39,4.936,5.0,0.6239,0.5085,1.687,4.9165,4.9877,4.9473,0.8628,68.5678,80.9645,97.0007,49.7256,111.4057,116.4428,77.8617,75.4183,75.6619,0.0373,8
40,4.936,4.9998,0.6239,0.5085,1.687,4.8048,4.9877,4.9473,0.8628,68.6924,81.3241,95.92,49.3492,111.6165,114.2897,78.2346,75.7402,76.944,0.0396,8
41,4.936,4.9998,0.6239,0.5085,1.687,4.8048,4.9877,4.9473,0.8628,68.6924,81.3241,95.92,49.3492,111.6165,114.2897,78.2346,75.7402,76.944,0.0396,8
42,4.936,4.9998,0.6239,0.5085,1.687,4.8048,4.9877,4.9473,0.8628,68.6924,81.3241,95.92,49.3492,111.6165,114.2897,78.2346,75.7402,76.944,0.0396,8
43,4.936,4.9998,0.6239,0.5085,1.687,4.8048,4.9877,4.9473,0.8628,68.6924,81.3241,95.92,49.3492,111.6165,114.2897,78.2346,75.7402,76.944,0.0396,8
44,4.936,4.9998,0.6239,0.5085,1.687,4.8048,4.9877,4.9473,0.8628,68.6924,81.3241,95.92,49.3492,111.6165,114.2897,78.2346,75.7402,76.944,0.0396,8
45,4.936,4.9998,0.6239,0.5085,1.687,4.8048,4.9877,4.9473,0.8628,68.6924,81.3241,95.92,49.3492,111.6165,114.2897,78.2346,75.7402,76.944,0.0396,8
46,4.936,4.9998,0.6239,0.5085,1.687,4.8048,4.9877,4.9473,0.8628,68.6924,81.3241,95.92,49.3492,111.6165,114.2897,78.2346,75.7402,76.944,0.0396,8
47,4.936,4.9998,0.6239,0.5085,1.687,4.8048,4.9877,4.9473,0.8628,68.6924,81.3241,95.92,49.3492,111.6165,114.2897,78.2346,75.7402,76.944,0.0396,8
48,4.936,4.9998,0.6239,0.5085,1.687,4.8048,4.9877,4.9473,0.8628,68.6924,81.3241,95.92,49.3492,111.6165,114.2897,78.2346,75.7402,76.944,0.0396,8
49,4.936,4.9998,0.6239,0.5085,1.687,4.8048,4.9877,4.9473,0.8628,68.6924,81.3241,95.92,49.3492,111.6165,114.2897,78.2346,75.7402,76.944,0.0396,8
50,4.936,4.9998,0.8008,0.5086,1.6855,4.9722,4.9877,4.9473,0.8645,68.8447,81.1314,97.6462,50.2438,111.7056,117.9055,78.5467,75.2178,75.0973,0.0343,8
51,4.936,4.9998,0.8008,0.5086,1.6855,4.9722,4.9877,4.9473,0.8645,68.8447,81.1314,97.6462,50.2438,111.7056,117.9055,78.5467,75.2178,75.0973,0.0343,8
52,4.936,4.9998,0.8008,0.5086,1.6855,4.9722,4.9877,4.9473,0.8645,68.8447,81.1314,97.6462,50.2438,111.7056,117.9055,78.5467,75.2178,75.0973,0.0343,8
53,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
54,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
55,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
56,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
57,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
58,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
59,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
60,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
61,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
62,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
63,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
64,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
65,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
66,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
67,4.936,4.9998,0.8008,0.5086,1.6471,4.8588,4.9877,4.9473,0.8248,68.9655,81.5542,96.6163,49.9829,112.1698,116.0294,79.0561,75.5752,76.4461,0.0358,8
