Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,5.0,3.33,3.33,1.67,3.33,5.0,1.67,3.33,3.33,36.3462,73.8035,73.4365,64.7239,88.1633,133.2822,73.9498,58.9791,43.5418,0.1947,3
2,5.0,5.0,0.0099,1.7089,1.5535,0.0,4.9896,3.33,0.0631,66.0068,62.434,71.1985,65.6294,106.6284,68.5069,73.5257,75.207,91.4889,0.1064,5
3,5.0,4.9776,1.6247,0.0,1.85,1.7135,1.6384,5.0,0.0,40.359,92.0548,68.226,47.8848,126.7103,89.8186,78.858,69.1267,93.3976,0.1303,5
4,5.0,4.9768,1.5671,0.0394,0.0,0.0,5.0,5.0,0.7255,68.223,89.9987,72.9358,37.5175,116.4549,72.9544,89.7209,79.8074,103.3104,0.1377,6
5,4.9852,5.0,3.0896,4.9408,0.0,0.0017,4.3265,5.0,0.15,47.1077,57.988,73.0971,52.5925,122.2994,54.4986,53.5177,82.7866,106.4347,0.1974,3
6,4.9852,5.0,3.0896,4.9408,0.0,0.0017,4.3265,5.0,0.15,47.1077,57.988,73.0971,52.5925,122.2994,54.4986,53.5177,82.7866,106.4347,0.1974,3
7,4.9852,5.0,3.0896,4.9408,0.0,0.0017,4.3265,5.0,0.15,47.1077,57.988,73.0971,52.5925,122.2994,54.4986,53.5177,82.7866,106.4347,0.1974,3
8,4.978,4.8901,0.0001,0.2291,3.5234,4.8853,4.5279,4.9036,0.0321,67.9255,77.0569,89.184,50.2799,112.5368,98.5174,69.2573,66.1797,71.5821,0.0426,6
9,4.9593,4.9983,4.9138,0.4221,4.9189,1.3871,1.0162,4.78,4.9986,57.1802,112.9454,62.477,41.2527,78.7815,60.1247,124.4678,75.8918,94.7891,0.1824,4
10,4.9999,3.4354,4.9883,4.8538,4.9828,1.4275,0.0659,4.9997,0.0567,45.5716,68.7517,43.7004,56.3197,137.3937,39.0082,70.6331,45.0891,82.3021,0.2806,3
11,4.846,4.958,4.8966,0.0063,3.5579,0.0811,4.9998,4.9886,0.0336,83.8689,90.5927,58.5101,37.7834,119.8127,45.9509,130.0552,43.557,93.0194,0.248,5
12,4.9999,3.4354,4.9883,4.8538,4.9828,1.4275,0.0659,4.9997,0.0567,45.5716,68.7517,43.7004,56.3197,137.3937,39.0082,70.6331,45.0891,82.3021,0.2806,3
13,5.0,4.8147,0.042,0.458,0.5348,0.2394,5.0,4.8846,0.0246,67.3323,87.4883,71.7786,39.1706,116.1468,73.6448,83.2291,81.2495,101.5066,0.1297,6
14,5.0,5.0,0.1976,0.4629,0.5348,4.9771,4.7877,4.9996,4.9992,53.2694,98.3812,105.8174,27.77,53.7572,127.8635,76.2346,114.2975,82.3965,0.2311,6
15,5.0,5.0,0.1976,0.4629,0.5348,4.9771,4.7877,4.9996,4.9992,53.2694,98.3812,105.8174,27.77,53.7572,127.8635,76.2346,114.2975,82.3965,0.2311,6
16,4.9999,4.9999,4.6909,4.8915,0.5336,4.9852,4.9311,4.9871,0.0052,53.9564,50.768,94.2887,56.1107,116.3346,97.6173,71.8071,59.0274,72.9433,0.1032,5
17,4.9385,4.7184,4.9565,4.5978,4.8465,4.7946,4.7951,4.3562,0.1107,73.7752,44.051,77.8386,68.7198,114.511,55.9899,75.06,40.6227,64.1358,0.2259,4
18,5.0,5.0,4.925,4.8911,0.61,4.9771,4.9416,4.9072,4.9992,46.829,68.9037,102.1852,38.7476,58.2792,104.117,79.0768,97.0804,80.2321,0.1878,5
19,5.0,5.0,0.1976,0.9397,0.7444,4.9867,4.7877,4.9871,4.9978,54.4403,98.5149,106.7518,30.1529,55.4126,128.6248,76.4719,115.8359,83.2034,0.2161,6
20,5.0,4.9954,0.1976,0.9243,0.7444,0.496,4.9889,4.9871,0.4789,70.5389,90.5453,75.791,42.776,120.3002,75.1653,86.5252,85.5909,105.9111,0.1065,6
21,4.9986,4.9707,4.7851,0.4374,0.7627,0.2983,4.9997,4.9964,0.0181,73.2701,93.6482,65.6877,35.722,121.8044,71.342,130.5133,51.6545,95.2838,0.1723,5
22,4.7565,4.8046,0.1976,0.9397,4.9091,4.7106,4.7877,4.8016,4.9978,76.7719,93.646,91.4823,38.9781,54.7139,79.5579,73.7225,105.7961,81.7717,0.1898,5
23,4.8544,4.4724,0.8147,4.9934,1.1941,0.1839,4.8932,4.9934,0.7876,55.7149,59.3599,73.2734,52.9064,119.133,54.7462,39.8307,99.0977,108.4281,0.2205,3
24,4.9245,5.0,0.3976,0.4754,4.7024,4.9102,4.9994,4.9982,4.9992,77.4916,96.1822,97.8216,34.562,56.346,84.4317,75.3494,107.4328,83.9512,0.1971,6
25,4.9825,5.0,0.8468,0.4312,0.3919,0.1799,4.9472,4.8747,0.5567,69.2179,89.198,74.4791,43.2924,118.221,75.5239,87.8772,82.9768,103.9466,0.1045,6
26,4.9825,5.0,0.8549,0.4312,0.3919,4.881,4.9472,4.8747,0.5567,65.3142,80.1665,97.3954,50.0532,112.1436,121.2757,78.2628,74.7311,75.0838,0.0354,8
27,4.9825,5.0,0.8549,0.4439,0.3931,4.881,0.3275,4.6042,0.5566,32.4692,81.5036,91.0496,64.9952,121.6164,142.6957,68.4742,66.4894,66.591,0.1577,6
28,4.9998,5.0,0.8549,0.4439,0.7763,4.881,0.3275,4.6042,0.5566,33.6504,82.3609,91.5742,66.1117,122.98,143.0122,69.3431,67.2212,67.2209,0.1502,6
29,4.9983,5.0,0.6155,0.0734,0.5803,0.7542,4.999,4.8752,4.9809,61.7644,107.0262,83.5935,24.2951,60.5329,81.9255,89.5047,123.2955,111.825,0.2346,6
30,4.9999,4.9423,4.9898,4.9271,0.1362,1.4082,0.8216,4.9993,0.057,27.6784,66.6993,65.9858,60.4347,135.6617,76.1256,79.2851,58.1816,94.3726,0.2037,4
31,4.9999,4.9423,4.9898,4.9271,0.1362,1.4082,0.8216,4.9993,0.057,27.6784,66.6993,65.9858,60.4347,135.6617,76.1256,79.2851,58.1816,94.3726,0.2037,4
32,4.8122,4.9678,0.386,0.8404,4.8582,4.9877,4.9996,4.8936,0.3829,88.2671,76.2013,89.0214,58.2527,113.9161,78.0942,73.4958,66.6048,73.7073,0.0597,7
33,4.9948,5.0,0.1872,0.6057,0.8344,4.8298,4.8615,4.9992,4.9677,55.8664,99.2487,104.9521,28.7764,55.7634,124.7032,77.9512,115.4073,84.8576,0.2203,6
34,4.9948,5.0,0.1872,0.6057,0.8344,4.8298,4.8615,4.9992,4.9677,55.8664,99.2487,104.9521,28.7764,55.7634,124.7032,77.9512,115.4073,84.8576,0.2203,6
35,4.9948,4.6674,0.7217,0.5729,0.7087,4.9834,4.9994,4.9993,1.0811,65.9558,84.2064,96.4384,46.035,111.7091,125.5952,77.8159,77.3054,73.4228,0.0593,8
36,4.9948,4.6674,0.7217,0.5729,0.7087,4.9834,4.9994,4.9993,1.0811,65.9558,84.2064,96.4384,46.035,111.7091,125.5952,77.8159,77.3054,73.4228,0.0593,8
37,0.6445,4.9746,4.9538,0.9156,0.9959,0.7116,4.9997,4.9962,0.4639,90.9079,90.1717,47.5725,54.2528,95.523,64.1315,156.2745,48.6105,84.4774,0.1933,4
38,4.998,4.9184,0.8797,0.4405,1.4807,0.1416,4.8663,4.9947,4.982,61.3285,108.8918,81.098,21.98,61.9534,78.1207,88.9735,122.1319,112.2632,0.2462,6
39,4.9948,4.9999,0.7402,0.2605,0.6196,4.9936,4.9994,4.9994,4.998,57.2697,99.084,106.7935,28.0545,53.9956,127.5096,79.4475,114.9336,83.0294,0.2267,6
40,4.9964,4.8237,4.9096,0.4145,4.9829,4.9981,4.7853,4.9996,0.1656,88.4081,82.489,78.603,49.1748,119.9029,76.2046,117.2897,31.37,62.9224,0.1938,4
41,4.9241,4.9943,1.144,0.6173,0.6562,4.9648,1.0008,0.6684,0.8526,35.1063,52.4181,90.8804,107.7737,108.5881,152.8513,67.8354,58.9676,47.8977,0.2014,4
42,0.6687,4.9671,4.7868,0.6067,4.9831,4.9698,4.7875,4.9626,1.2054,104.4806,78.2689,62.0682,67.1984,89.1214,67.1823,137.8871,33.3625,54.6436,0.2218,4
43,4.967,4.987,4.8933,0.6929,0.7542,4.9911,4.8551,4.9934,4.8189,60.492,101.8461,97.1632,26.7458,62.3193,126.2075,124.6456,80.0564,72.713,0.2147,7
44,0.6468,4.9747,0.0931,0.8043,4.9598,4.9786,4.9773,4.779,0.8117,102.6446,70.1108,70.6526,74.6138,85.3949,67.9257,92.3637,63.2973,62.4285,0.1223,4
45,4.9959,4.987,4.8933,0.798,0.7542,0.3481,4.8551,4.9943,0.1256,72.372,94.4642,65.8671,37.8553,123.8645,73.3278,132.5422,51.1721,95.3761,0.1611,5
46,4.8367,4.7226,0.8661,0.7873,1.7004,0.063,4.6488,4.9974,1.1556,67.9404,92.6029,69.7193,41.6438,116.9852,74.1367,86.7596,83.3414,102.0614,0.1204,6
47,4.7254,4.9877,0.4894,0.6922,0.7332,0.8147,4.856,4.9794,4.8859,62.8782,108.0795,81.6785,27.0066,62.3828,82.4252,91.5396,122.9646,111.571,0.2178,6
48,5.0,4.969,4.9899,4.8841,0.8968,1.1254,0.8216,4.9994,0.3344,31.2122,69.8566,66.7504,63.3717,138.7288,76.5055,83.3834,60.5014,96.8935,0.1827,4
49,5.0,4.969,4.9899,4.8841,0.8968,1.1254,0.8216,4.9994,0.3344,31.2122,69.8566,66.7504,63.3717,138.7288,76.5055,83.3834,60.5014,96.8935,0.1827,4
50,4.9595,4.9798,0.9121,4.9996,0.6893,0.7597,4.9579,4.9466,0.5878,58.0907,58.2898,80.8186,58.9794,122.7102,56.0531,43.0116,101.309,113.1727,0.2052,5
51,4.9938,0.9268,0.8107,0.8762,4.9999,4.9267,0.7693,4.9878,4.9817,43.1037,112.4151,68.8828,30.0476,70.8742,121.364,60.4082,97.4743,58.2133,0.2292,3
52,4.9998,4.9784,4.9914,4.9971,0.8053,0.7449,1.0006,4.9934,4.9895,22.5087,86.3131,74.7603,44.4395,80.3348,79.7501,83.5546,101.8637,106.4064,0.2361,4
53,4.9872,4.8027,1.1843,4.9989,0.6893,0.6788,4.9916,4.9031,0.003,56.5967,56.6944,77.9599,56.3521,121.4876,55.0904,41.4807,98.129,110.3054,0.2151,4
54,4.9549,4.9999,0.8419,1.7825,4.9821,4.9321,4.8821,4.9987,0.8022,86.5584,76.0972,90.237,58.2231,117.211,74.4885,69.5885,69.1968,77.2232,0.0759,7
55,4.8287,4.9279,4.9542,4.724,0.8392,0.8043,0.4756,4.9641,0.4312,31.3779,70.6631,63.5811,62.745,135.3494,75.9479,85.8404,58.8278,95.1566,0.1882,5
56,4.9696,4.9968,1.1229,0.603,0.8795,0.4091,0.1197,4.9987,0.8331,39.6472,98.8945,69.8953,54.3198,132.7051,98.0311,83.0079,78.8412,100.2982,0.1211,6
57,4.9696,4.9968,1.1229,0.603,0.8795,0.4091,0.1197,4.9987,0.8331,39.6472,98.8945,69.8953,54.3198,132.7051,98.0311,83.0079,78.8412,100.2982,0.1211,6
58,4.8185,4.9521,0.8312,0.9533,4.9911,4.4576,0.6974,0.678,4.7276,49.1229,64.8701,82.9761,95.965,59.8223,100.8255,63.8733,86.0966,59.6534,0.167,4
59,4.8185,4.9521,0.8312,0.9533,4.9911,4.4576,0.6974,0.678,4.7276,49.1229,64.8701,82.9761,95.965,59.8223,100.8255,63.8733,86.0966,59.6534,0.167,4
60,4.9999,4.9926,4.3726,5.0,4.9815,4.9342,0.8259,4.9996,0.4573,46.0231,53.7449,81.9143,76.3842,133.1077,72.5882,54.0453,50.4933,70.8456,0.1801,3
61,4.9999,5.0,4.3844,4.9967,1.1441,0.7587,4.611,4.9919,0.4155,55.2292,60.368,72.0328,53.5824,125.3435,52.8303,74.8155,72.516,104.1727,0.1613,3
62,4.9999,4.9926,4.3726,5.0,4.9815,4.9342,0.8259,4.9996,0.4573,46.0231,53.7449,81.9143,76.3842,133.1077,72.5882,54.0453,50.4933,70.8456,0.1801,3
63,4.9922,4.9832,4.852,4.773,4.8288,4.9325,0.5088,4.9654,0.3087,45.7403,56.8638,79.801,74.291,133.0223,77.0423,66.5996,42.6614,67.5172,0.1706,2
64,4.974,4.9531,0.8783,0.3137,4.9645,1.188,0.829,4.9321,0.806,63.6541,96.3087,63.3633,64.054,137.0639,57.5736,79.6707,71.1387,99.155,0.1485,7
65,4.6961,5.0,0.5783,0.2209,0.9453,4.7588,4.989,4.999,4.9574,59.5436,98.6726,101.8221,29.3557,51.8062,120.651,81.9079,114.3729,84.1785,0.2258,6
66,4.6961,5.0,0.6614,0.2209,0.858,4.8292,0.4406,4.999,0.0885,35.0953,86.4404,88.4188,59.4234,121.491,138.0458,71.3366,67.4661,69.2765,0.1399,6
67,5.0,4.9997,4.9984,4.9999,4.9808,4.8308,4.9521,4.9996,0.4573,78.4522,49.2945,84.3664,64.3666,122.3368,49.1135,74.0519,48.9592,75.297,0.206,5
68,4.6983,4.8881,4.9988,0.8317,4.9016,4.724,4.9177,4.9987,0.4076,92.5777,82.9871,75.4157,51.2399,117.5797,70.6512,123.6518,32.9779,66.1483,0.1902,4
69,4.9999,4.9956,0.9508,0.6201,4.7986,4.5535,4.9616,4.9998,4.9983,79.0969,98.6781,95.1701,34.8788,59.9741,78.0756,78.3536,108.464,88.7406,0.1927,6
70,4.8251,4.9956,0.8778,0.3474,0.9453,4.7865,0.8651,0.9017,0.9824,36.1016,53.887,88.5086,107.2364,107.7122,148.7157,68.7869,60.3428,50.0782,0.1875,4
71,4.9419,4.9996,0.823,0.9804,4.7209,0.9414,4.9657,4.9987,0.6644,92.9009,90.3299,69.6271,52.3909,125.5378,38.3297,87.0772,79.0823,106.4653,0.2046,6
72,4.9942,4.9997,1.0964,0.8076,4.9447,0.5786,0.5274,4.9994,0.4573,62.4574,96.0809,62.4088,62.6429,138.6014,54.3261,79.1154,70.3373,100.9578,0.1604,7
73,0.6468,4.9625,4.9955,0.8043,0.5142,4.9636,4.9995,4.9987,0.8117,84.9694,80.5362,70.1099,58.6039,86.6367,110.6112,146.1791,39.2588,54.2245,0.167,5
74,5.0,4.9996,4.9984,4.989,1.0439,0.8938,0.8216,4.9999,0.5066,31.5332,69.1004,67.0428,64.6533,139.3003,74.5667,82.4437,61.9159,98.409,0.1826,4
75,4.9999,4.9996,0.8441,0.7484,0.9426,0.9394,4.9999,4.9994,4.9992,64.572,110.6947,85.4972,25.5253,64.2622,83.8229,92.3949,126.3491,114.306,0.2205,6
76,4.9999,5.0,0.8819,0.7003,4.8639,4.9912,4.9893,0.8984,4.9991,77.8339,60.6764,96.7978,82.7302,42.7154,92.9338,70.5666,95.8482,61.6718,0.2029,4
77,5.0,4.9996,0.823,4.9995,0.9426,0.9394,4.9999,4.9994,4.9991,50.2953,76.5671,89.8925,38.637,65.1624,60.94,44.3146,141.734,121.9359,0.2449,4
78,5.0,4.9996,0.823,4.8979,0.9426,0.9394,4.9999,4.7186,4.9991,50.3283,73.5087,89.2029,42.8533,62.8183,62.3371,45.1647,139.4414,118.8748,0.2347,4
79,5.0,5.0,4.9984,4.9998,1.4824,0.8531,0.8216,4.9999,0.5289,31.7631,68.1279,66.1564,64.086,138.5206,71.3323,81.1588,60.8993,98.0908,0.188,4
