Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.5911,3.0789,0.9635,1.4089,1.4089,1.67,2.6277,2.8846,0.7065,48.2821,70.0999,46.087,77.8234,100.2853,103.305,78.5051,66.121,63.4645,0.1605,6
2,3.5911,3.0789,0.9635,1.4089,1.4089,1.67,2.6277,2.8846,0.7065,48.2821,70.0999,46.087,77.8234,100.2853,103.305,78.5051,66.121,63.4645,0.1605,6
3,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
4,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
5,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
6,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
7,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
8,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
9,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
10,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
11,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
12,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
13,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
14,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
15,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
16,4.2958,5.0,0.8928,2.0509,1.2384,0.547,4.1041,3.8018,1.7213,56.6573,67.9739,65.6654,64.276,97.4674,72.8829,75.8196,77.9377,90.0084,0.1005,4
