Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,2.3637,5.0,5.0,0.1001,3.5006,5.0,0.842,5.0,1.2651,59.614435,85.940319,64.328826,67.219433,102.420534,110.834771,131.048661,28.789606,50.124719,0.6555,0.2214,5
2,4.3155,5.0,5.0,0.0,1.23,5.0,2.7188,5.0,3.2854,46.924413,94.639653,82.893357,45.195805,90.724527,131.851193,124.183596,51.075275,60.504056,0.6927,0.1353,4
3,5.0,5.0,5.0,0.0,1.5469,2.9679,1.1468,5.0,2.5497,41.769588,102.11195,70.263089,45.171849,117.858115,108.064651,124.967519,50.423704,81.331339,0.6801,0.1471,5
4,5.0,5.0,5.0,0.0,2.6671,3.7892,5.0,5.0,5.0,67.673773,104.823389,84.183972,20.271731,58.987963,90.41393,128.519905,80.700465,84.879295,0.7226,0.2533,6
5,5.0,5.0,5.0,0.0,0.0,2.8706,5.0,5.0,5.0,62.662446,108.545676,81.143361,17.124338,60.161554,92.726212,132.906939,86.03902,92.600812,0.7058,0.2669,6
6,5.0,5.0,2.4495,0.0,1.2957,5.0,5.0,5.0,5.0,58.41698,98.966501,103.808914,26.12214,53.720618,123.578688,88.768836,105.934783,80.140555,0.6189,0.2356,6
7,5.0,5.0,5.0,0.0,2.6519,0.9972,5.0,5.0,4.3419,73.160023,106.732115,70.086543,22.850035,78.514664,65.096517,135.085107,76.617623,99.848035,0.6592,0.2383,5
8,3.4273,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,91.008017,96.363191,77.921529,37.439147,43.974572,72.738514,133.093483,68.854008,66.257809,0.5008,0.2323,4
9,5.0,5.0,5.0,1.2076,1.5951,3.3397,3.4652,5.0,5.0,47.928797,109.469134,81.086149,26.844652,67.835784,105.110914,125.566219,82.864218,87.285289,0.4954,0.2147,6
10,5.0,5.0,5.0,0.0,1.5152,3.7177,5.0,5.0,2.3846,69.417665,91.087885,78.593382,33.137759,103.308944,93.367728,127.431639,50.72344,78.75467,0.7541,0.1547,5
11,5.0,3.2085,5.0,0.0,1.3109,4.104,5.0,5.0,3.3399,62.450643,99.657367,68.760895,17.809923,88.289265,112.452135,121.754107,56.322311,63.936372,0.5437,0.2424,4
12,4.8135,5.0,4.118,0.0,2.35,4.0856,3.1035,5.0,1.0566,52.807898,88.069621,76.48669,47.683693,117.775825,105.024795,105.689936,47.666181,72.430751,0.6183,0.1103,5
13,3.4243,5.0,5.0,0.0,1.041,2.8099,5.0,5.0,2.9875,79.019648,95.763587,65.53517,40.247681,84.613985,83.235755,145.066006,59.299376,82.53641,0.6584,0.1327,4
14,5.0,5.0,5.0,0.0,1.7811,3.5473,5.0,3.3619,3.3643,67.149478,74.55123,77.324011,54.354687,80.715236,94.770164,124.372261,53.074186,69.219279,0.6159,0.0909,3
15,3.8596,5.0,5.0,0.0,1.2645,5.0,0.0,5.0,2.4067,39.464546,90.14969,75.333829,52.483868,99.472645,133.296624,122.183846,38.558231,54.207187,0.4984,0.1975,3
16,5.0,5.0,5.0,0.0,0.0,3.6,3.6933,5.0,2.1078,51.297117,91.957271,74.508731,36.228953,109.662832,103.741752,122.204798,45.344736,75.730771,0.6383,0.1639,5
17,5.0,5.0,4.0299,0.0,2.5033,3.2166,5.0,5.0,3.2994,71.006863,94.91343,79.249392,31.68602,92.095672,82.045137,112.209363,71.668025,88.712407,0.5724,0.154,5
18,4.3405,5.0,5.0,0.0,1.2503,5.0,5.0,5.0,2.4198,70.769119,85.930436,84.879937,39.991586,92.810187,114.085654,128.514995,46.694013,62.499778,0.6587,0.1428,5
19,3.3988,5.0,5.0,0.0,2.2556,3.5735,2.5674,5.0,2.4106,55.763022,92.410486,61.369548,49.57806,96.333031,96.411935,132.058057,43.026705,69.291802,0.5899,0.1451,3
20,5.0,5.0,5.0,0.0,1.3542,2.9449,5.0,5.0,1.212,74.395198,93.21673,74.317751,38.714644,118.3819,87.250069,133.221033,49.008745,85.621959,0.5892,0.1364,5
21,5.0,5.0,5.0,0.0,0.8395,3.8412,5.0,5.0,3.6759,65.119727,96.657655,82.682837,26.811742,84.300255,99.974315,127.96965,63.847079,80.265726,0.5599,0.1815,6
22,5.0,5.0,5.0,0.0,1.7936,4.1954,3.9704,4.846,2.2798,55.079308,86.745177,77.944099,38.708795,104.056616,104.422264,119.112873,42.73836,68.926629,0.6183,0.157,4
23,4.6652,5.0,5.0,0.0,1.8211,2.4616,5.0,4.9029,5.0,66.924659,105.783948,74.584191,20.065254,55.486544,80.089019,134.415602,83.570653,92.227051,0.5643,0.2665,5
24,4.1458,5.0,5.0,0.0,1.5208,3.6934,5.0,4.7467,2.2621,72.30633,83.523753,70.554868,40.600971,91.41713,88.180503,131.102943,45.635814,71.751635,0.6032,0.1456,3
25,4.7353,4.9709,4.8649,0.0,1.1,3.9373,2.1594,5.0,2.7037,42.304884,96.197833,74.742099,42.943787,105.972472,116.517931,119.730056,49.554729,71.715415,0.5199,0.1499,4
26,5.0,5.0,4.8075,0.0,0.9188,4.0535,4.9318,5.0,2.1259,66.758601,89.280843,81.700835,34.913746,105.116806,101.500438,122.604672,50.889612,75.828884,0.6755,0.1449,7
27,5.0,5.0,5.0,0.0,1.9403,4.2726,5.0,5.0,2.6857,69.147794,90.034489,82.620688,33.151286,98.265639,99.010552,125.085949,50.866265,73.737467,0.6081,0.1542,6
28,5.0,5.0,5.0,0.0,1.2519,3.1367,4.6718,5.0,2.521,67.103285,96.098521,75.852835,35.358302,106.855767,92.766802,130.819013,54.807786,84.395488,0.6827,0.1349,5
29,5.0,5.0,5.0,0.625,1.4382,3.6004,5.0,5.0,2.2744,70.705895,91.944187,78.617836,35.203988,106.491261,93.408101,128.782845,51.952118,80.659513,0.6268,0.1409,5
30,5.0,5.0,4.4253,0.0,1.5343,3.5468,5.0,5.0,2.2995,68.384267,89.900557,78.948218,33.4826,103.166913,90.69317,116.752236,57.449349,82.022779,0.6413,0.1404,5
31,4.2119,5.0,5.0,0.0,1.0198,4.93,3.6402,5.0,2.9201,54.957837,90.999383,81.807233,43.765196,91.382755,124.506898,126.30431,48.453887,61.085782,0.715,0.1291,4
32,3.8439,5.0,5.0,0.0,1.6455,5.0,3.4494,5.0,3.364,54.211239,90.934287,79.318998,43.146003,80.479114,121.723723,126.413827,49.986199,58.657065,0.5532,0.1445,3
