Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.535,3.6605,2.8313,4.4762,0.1169,2.4762,2.7126,3.7783,1.098,35.2186,49.3437,53.0401,73.4973,98.4724,86.3177,54.9512,68.5365,69.0994,0.673,2
2,4.1467,4.5564,3.4423,4.7185,3.6553,1.5374,3.7031,2.1526,3.1377,49.8888,33.6643,57.2519,86.7776,76.3654,45.6837,54.4652,72.5939,76.1489,0.8826,3
3,3.5438,4.1309,3.3204,3.1798,3.3935,0.7525,0.0573,2.5767,1.2521,45.288,55.2182,43.0681,91.8659,101.6568,71.3971,79.4788,53.05,67.2321,0.6463,3
4,0.5256,4.0649,4.4044,3.5503,1.9667,2.8658,0.8536,0.7664,0.4088,43.356,36.4861,38.0351,108.6638,81.5964,91.6613,95.693,34.4253,41.9282,1.0061,2
5,3.8915,1.2137,0.6053,1.445,4.5597,3.1178,2.83,3.4699,3.3236,57.1409,79.8192,43.2124,59.76,78.2882,86.1833,66.5276,74.0021,55.5436,0.5783,3
6,3.6165,0.3775,2.8349,1.0605,4.0221,4.9513,3.0812,4.1014,2.0412,54.7235,76.1637,49.7003,52.5531,87.0872,115.3639,76.8052,47.2491,32.5176,0.7395,3
7,3.3034,3.9137,4.6459,1.047,1.4892,3.3896,2.0493,0.6601,1.1931,46.6932,55.478,48.0024,93.9881,89.3675,115.2914,114.5943,28.9779,39.0919,0.8829,3
8,1.7662,3.8985,3.8769,3.7666,1.9936,2.4779,1.4244,1.2697,3.705,33.5282,42.8338,41.4938,89.2804,48.4018,85.5477,79.1453,61.5535,50.3406,0.9728,2
9,3.8388,2.3492,3.2438,2.1873,0.9672,1.9594,4.663,1.744,1.277,58.5989,53.7089,42.0527,69.5028,83.2396,90.2356,86.2049,52.4534,52.31,0.6499,2
10,2.562,1.3821,2.6349,1.2228,0.3803,4.4055,0.0374,3.2979,0.4822,34.6541,69.0686,44.1988,72.5726,89.8496,142.6466,81.5493,45.6976,29.4835,0.9089,3
11,4.092,1.0197,4.7268,1.1188,1.6904,4.7452,1.4212,4.5747,4.4176,29.1171,100.9895,55.3321,28.3924,63.2338,145.6993,105.4639,59.7409,39.1463,0.9762,3
12,0.2183,4.9489,4.214,2.0375,4.6657,2.4617,3.1006,1.0442,3.4412,75.227,50.979,42.7586,101.9488,53.557,50.9774,114.2506,48.6231,56.2817,0.9122,3
13,2.6881,3.5568,1.7247,3.6989,3.1565,3.6108,1.6128,3.0239,4.1495,35.8179,56.532,54.9078,76.4983,50.5896,93.8042,54.0975,85.5838,56.4306,0.8164,2
14,1.0932,4.5803,4.3302,3.1989,0.4299,4.4172,2.1097,3.7853,4.6657,36.9713,68.1531,63.7829,65.9609,34.1004,114.8182,100.2356,73.3109,51.859,0.8376,4
15,4.3807,3.9641,2.6532,4.7965,0.3986,4.6506,0.138,2.6355,3.0797,13.8553,35.8004,76.3725,87.4379,80.9931,124.0576,31.5349,75.1852,50.6725,1.1366,3
16,3.119,4.9303,0.7312,1.4463,1.4364,3.8936,1.4536,4.3502,0.9132,45.6952,75.2595,70.0545,75.8446,102.2836,114.2312,80.1571,67.9719,68.5644,0.2731,6
17,1.8078,1.6539,4.1852,4.4157,1.0143,0.084,1.9365,0.4283,2.5162,30.9876,36.1124,22.4872,87.6143,65.658,81.6068,72.7389,50.9955,44.482,1.1473,1
18,3.4852,0.4481,0.5093,4.9393,3.2213,1.7462,3.5117,1.3103,4.426,37.2784,40.0674,42.4931,76.473,44.0051,71.1553,26.3856,101.9661,61.1845,1.1685,2
19,0.3889,1.5386,2.5472,4.6953,3.8413,0.1785,3.9839,0.2846,3.836,54.2451,30.6647,24.4029,83.8715,35.6751,43.6508,49.9345,77.972,53.0451,1.3019,2
20,2.5167,0.6004,0.4003,0.5237,1.7447,2.9045,3.0133,2.8505,1.1661,52.2013,70.9584,36.8862,73.2079,85.7652,115.1398,79.8376,62.0263,45.2147,0.6842,4
21,2.8234,4.7427,1.373,1.0512,3.2736,3.4026,3.1998,1.4982,3.1277,63.5691,58.475,63.7413,99.3429,67.8657,94.8979,86.8202,73.144,60.0778,0.4462,4
22,2.223,1.5093,1.5557,0.2771,1.6609,2.7529,4.9959,2.2455,3.7373,65.0752,66.3983,40.4436,57.2173,38.6031,95.5207,86.0052,77.2927,48.1137,0.8568,5
23,3.0931,0.0256,0.9028,2.3353,3.5321,2.7177,3.9127,2.1373,4.8705,52.4708,69.396,41.5677,57.7572,28.4961,88.0158,64.9873,94.0522,52.2501,0.9254,2
24,4.4414,4.8899,3.4649,3.8936,4.9503,2.0834,4.0184,1.7595,1.8981,67.3457,32.2475,56.6264,92.9179,91.5194,29.2295,63.4087,52.5322,71.8622,0.9609,2
25,4.0241,1.2736,1.671,0.7992,0.7705,0.9091,1.1417,3.4191,1.7198,35.1361,83.9735,37.6511,60.1889,101.8582,113.3485,78.0349,66.0505,61.1274,0.689,6
26,1.983,0.9404,3.8482,1.5185,0.1063,0.3921,0.3198,4.7376,1.071,40.0454,93.9683,21.0564,43.434,97.7418,99.8807,107.4781,48.0682,58.4665,0.8986,3
27,2.6747,2.2424,3.9569,2.3345,2.4711,2.4904,4.9508,3.788,3.0294,69.4408,72.1193,38.3195,46.2725,63.222,76.4944,103.2754,59.8362,56.9874,0.7243,3
28,2.6991,1.0955,3.8185,4.5969,1.4781,0.8424,2.43,0.5586,1.2408,37.142,35.6502,27.859,94.7008,86.5682,85.5003,66.0688,53.618,48.0601,0.9971,1
29,4.947,3.7874,4.4188,4.3502,3.686,1.5515,2.0641,3.9248,3.9103,31.0076,63.3972,52.251,50.1607,81.3125,58.2008,64.2499,68.7467,77.5543,0.761,2
30,0.4637,1.0055,2.5643,0.0659,3.3415,1.9662,4.938,2.7009,1.5638,82.8314,65.0436,25.3019,68.1578,68.1272,71.9568,100.9082,53.6836,47.4934,0.8827,3
31,2.5735,1.7455,1.8348,0.9673,0.5772,2.451,2.4743,0.893,4.6694,36.9964,72.9011,41.2277,69.764,32.2736,119.4854,82.645,86.9371,47.3357,0.9787,5
32,0.6084,4.4977,0.3898,2.2443,0.511,2.4794,4.7819,2.831,4.8256,64.829,66.841,60.9069,68.1608,19.5004,84.6446,87.3925,106.46,73.3467,0.8479,5
33,0.231,1.6059,2.511,2.9601,3.7737,4.9833,1.1304,3.5902,4.4241,40.4733,68.8534,47.641,65.7496,36.6819,117.8156,67.9851,74.5672,30.8429,1.0031,3
34,1.4113,1.4674,3.6957,0.3459,3.4419,4.0441,0.5282,0.829,4.8287,40.9793,70.6285,36.7855,75.6309,24.543,120.0969,98.1029,62.8611,25.533,1.1744,4
35,2.7658,2.602,3.4451,3.4275,4.1027,3.8254,0.6828,2.9345,0.8298,47.7483,51.7054,40.1874,89.0568,94.9025,90.705,71.9156,42.6547,40.2683,0.8224,1
36,3.733,4.747,1.2042,0.2245,3.8457,3.1934,4.0014,2.7995,1.1397,71.7238,58.4426,62.5602,84.839,92.2263,74.5152,81.0256,59.7096,65.9129,0.3756,3
37,1.182,4.1731,3.7022,4.4633,3.5453,4.3399,1.5461,3.7443,1.1882,45.2081,39.3861,51.6851,90.0764,84.6541,81.6664,65.8743,47.659,47.3409,0.7898,1
38,2.5194,2.1727,3.4384,4.6542,4.7046,2.7504,3.9006,3.4057,2.1321,64.0585,41.7231,33.7218,74.7881,78.7811,42.7893,57.7475,57.975,55.546,0.9807,2
39,0.8929,0.4695,4.6697,4.9899,4.8427,3.8658,2.2981,3.7895,0.7404,55.8171,41.3959,25.7799,80.9072,89.4626,60.3246,69.5489,35.1072,36.6589,1.1105,1
40,2.0228,4.3569,4.3462,2.6296,1.2486,0.7755,3.521,2.0297,4.6876,50.9749,64.4558,45.8069,72.0027,31.3822,78.4872,111.9538,75.0485,66.0121,0.8483,3
41,3.7868,2.6687,1.2074,3.6991,2.4449,3.4966,0.0391,0.3181,2.7942,25.3787,40.9958,51.5548,92.3777,75.3305,109.9856,40.4335,69.3425,44.3842,1.0254,3
42,2.9436,2.9307,0.4636,2.0995,4.0717,1.8099,1.2987,0.7036,2.4729,50.132,54.6839,35.8183,94.7428,77.5619,78.3311,65.9368,63.2436,52.7956,0.74,1
43,3.5281,1.6083,2.9541,2.9594,1.2549,1.9628,4.7909,4.214,1.5529,61.2777,72.5739,41.6293,44.2225,90.0553,83.2156,82.0239,66.6915,65.8496,0.5539,4
44,3.4056,3.7242,4.6658,3.5082,0.2548,4.9539,4.5881,2.9676,1.1277,57.1874,43.4528,66.6021,77.073,83.5386,116.6331,93.71,39.2367,36.8284,0.7726,3
45,2.7181,3.6251,1.0616,2.9757,0.3066,2.6708,2.6047,0.4439,1.6421,42.887,44.0827,50.0947,100.0232,79.9979,104.8665,65.6991,66.9765,52.9434,0.6954,3
46,3.7563,2.0827,1.0507,0.3587,4.5506,0.7944,0.094,3.5612,3.4979,47.8732,86.0599,32.9477,57.1714,78.0966,72.0387,71.7623,72.9082,65.2561,0.7098,3
47,2.1289,3.0278,0.0631,2.9297,3.2671,3.2116,4.7082,0.9683,4.9685,65.3689,55.9572,54.4789,77.173,17.8818,84.4777,69.0116,102.2173,56.1967,0.9398,3
48,4.7441,1.1719,1.9516,0.93,4.5186,0.4901,0.0814,0.0918,4.8888,37.5086,78.6446,38.4984,65.1797,52.9468,84.1307,66.2439,84.2298,58.7029,0.8318,3
49,3.4373,4.3831,2.2626,0.4125,2.6813,0.2863,1.8948,2.1755,0.1818,48.5191,59.1686,43.8271,86.8632,95.0208,78.8708,85.5905,50.7031,64.841,0.5955,2
50,2.2011,2.5035,4.3914,0.3978,3.2511,1.861,4.5466,0.9654,0.7682,77.5388,55.3337,26.7717,81.1419,76.6954,72.9263,119.6623,30.426,41.7936,1.0266,3
51,0.792,0.0419,4.6206,1.5881,3.0954,0.903,1.855,2.062,2.9602,52.5651,70.932,14.2056,74.6771,64.6809,87.3422,118.4304,39.8785,39.6445,1.0837,3
52,1.9949,2.6726,3.2557,1.5108,0.7184,2.5082,2.5223,1.9993,4.5792,40.2048,73.1848,40.5485,67.4713,33.3607,111.1041,97.3371,77.2681,49.0161,0.9476,5
53,4.6665,1.0262,4.9291,2.7592,4.3608,1.2,1.0743,0.371,2.1803,46.0133,60.435,28.0558,81.8465,101.8042,78.0897,94.9499,31.4641,45.6761,0.9624,3
54,0.1924,1.3893,4.0782,3.8232,3.9732,2.7506,4.8351,4.9511,2.2134,76.4977,69.301,27.6946,39.8436,72.886,47.6082,90.9775,55.4945,59.1072,0.9416,2
55,4.9031,1.6893,1.592,4.6245,3.3049,4.0925,4.659,1.6999,1.8669,46.7908,26.5139,61.7536,76.5319,86.3902,86.6317,21.3355,68.8283,47.161,1.0694,2
56,3.589,2.2884,0.0482,4.2629,2.1699,4.5595,1.8746,4.5323,2.0595,24.0786,55.5849,58.103,54.3481,87.2163,110.5106,27.6933,72.4893,49.9745,0.9922,2
57,3.9893,4.2813,3.7049,4.8936,0.8504,1.5458,4.2545,2.6201,2.1065,44.8425,31.5476,56.9545,79.7194,84.3694,62.4758,58.114,67.9772,73.9417,0.8006,3
58,2.2039,4.5435,4.5727,0.3463,0.2887,1.6769,4.7581,2.3601,4.2152,66.6127,67.8828,48.6894,62.5563,35.0883,77.9061,129.6509,62.7876,63.3498,0.7896,3
59,2.6475,3.9715,4.6954,0.0084,2.8447,0.3716,2.5293,2.4159,4.0231,52.6991,75.2401,36.2852,68.4108,53.0046,77.8083,124.5448,53.3041,59.651,0.793,3
60,1.4818,2.0829,0.2938,3.6315,0.5944,1.3192,4.8598,1.4116,3.4071,59.0839,45.0954,38.7473,76.7279,43.7661,78.5682,62.8933,88.1949,58.2451,0.8952,2
61,4.6981,1.7727,2.9317,3.2614,4.0262,3.1109,2.1281,3.7724,2.9761,40.0486,71.3642,48.0077,55.2574,93.4637,87.0088,58.2229,65.8391,58.919,0.6042,2
62,3.0817,0.9814,0.8886,2.0178,0.7433,0.5774,0.7965,1.931,1.5733,35.6983,65.9334,31.5567,82.0445,90.1876,110.7117,71.1044,65.4954,52.3651,0.7879,3
63,3.3039,0.5498,4.3843,4.9809,4.4531,3.3247,0.0724,2.6299,1.1184,39.6862,36.5268,31.1156,89.9579,98.4287,72.1321,55.6885,39.8809,39.7997,1.0911,1
64,2.2474,2.5428,4.886,0.3918,2.5985,1.1173,1.7787,1.7892,0.8084,53.2021,66.0016,21.4399,83.1941,88.8214,91.2388,125.9078,23.9362,41.4622,1.07,2
65,3.4004,1.0797,2.9991,1.4294,4.4497,3.6797,1.9282,1.8613,4.2162,46.8051,68.5157,38.8525,69.1377,49.7124,96.9079,77.2373,62.4413,36.3135,0.9019,3
66,4.4521,0.1298,2.4913,0.7825,2.2816,1.2449,4.3553,3.1797,3.5005,54.0783,82.2241,41.8894,41.6675,71.5084,91.7886,82.6285,75.5812,63.0234,0.6325,3
67,3.9917,0.0383,1.2942,1.8681,0.3873,0.6278,0.0494,3.6829,4.3784,19.8233,89.738,38.225,37.7668,57.984,108.9982,64.2812,90.5857,64.6609,1.0171,3
