Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,5.0,3.33,3.33,1.67,3.33,5.0,1.67,3.33,3.33,36.3462,73.8035,73.4365,64.7239,88.1633,133.2822,73.9498,58.9791,43.5418,0.1947,3
2,3.33,4.9557,3.33,0.0,3.33,3.3116,0.0,5.0,0.0044,53.6515,88.4669,58.9812,62.0306,113.3319,88.7163,103.2292,50.2001,73.6916,0.1231,5
3,3.33,5.0,0.0116,0.0,1.5817,5.0,3.3188,4.941,0.1109,55.0808,77.5886,81.9378,60.8341,99.8092,121.7006,79.7453,65.5078,62.9308,0.0501,6
4,3.33,5.0,0.0007,0.0618,1.5817,5.0,3.3188,4.941,0.1104,55.0927,77.5973,81.9474,60.8539,99.8272,121.7147,79.7552,65.5244,62.9408,0.05,6
5,3.33,5.0,0.0664,0.0618,1.5817,5.0,3.3188,4.941,0.4675,55.7016,78.4261,82.439,61.5406,100.1899,122.6103,80.628,66.5328,63.4316,0.0463,7
6,4.9527,4.9934,1.6936,1.7596,1.6623,3.3973,4.9647,3.0222,3.0043,63.3117,63.5929,84.5922,67.8417,83.3245,94.6692,76.7886,82.6147,78.3296,0.0634,6
7,4.9527,4.9026,1.7675,0.9174,1.6623,3.3973,4.966,2.98,3.0043,65.589,67.9111,83.8973,67.8019,84.4788,98.9598,82.8133,81.741,77.2235,0.0527,7
8,4.9527,4.9038,1.6413,0.9171,1.6623,3.4197,4.966,2.98,3.0043,65.7019,67.9846,84.3446,68.1935,84.6405,99.5412,82.1718,82.4892,77.3531,0.0521,7
9,4.9527,4.9038,1.6413,0.9171,1.6623,3.3571,4.966,2.98,3.0043,65.9449,68.3191,84.0437,68.2893,84.9655,98.9408,82.5605,82.8093,77.9765,0.0508,7
10,3.2947,4.9615,0.7747,0.8892,1.4017,3.3127,3.3191,4.8997,3.0136,58.473,93.0582,74.1008,56.8386,87.7613,103.6574,92.1006,89.7198,85.2664,0.0484,6
