Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,4.17,2.5,1.67,0.83,0.0,1.67,2.5,4.17,0.83,39.0572,84.0351,44.2144,47.9842,105.5978,104.1877,76.4597,63.5257,66.9721,0.1966,4
2,5.0,5.0,0.0522,3.33,0.5149,0.0,5.0,3.33,0.83,61.6106,54.2037,75.2063,71.8628,108.0037,68.0262,60.9986,84.7272,95.8003,0.1374,5
3,5.0,5.0,0.7739,0.0,2.4575,5.0,5.0,2.3032,3.0307,65.0643,56.0416,96.6425,77.74,76.9293,118.1792,70.782,76.1759,58.6487,0.1204,5
4,2.5,5.0,0.0,2.6348,2.5,1.5894,2.5,5.0,2.5,54.2299,82.9416,58.3036,60.2382,90.519,70.2777,79.5056,86.1315,92.5177,0.1331,5
5,5.0,5.0,2.9232,0.0,2.2614,0.4251,5.0,3.7596,3.0308,70.1722,80.0924,70.9921,51.9829,90.1265,68.4865,98.6592,78.2886,93.6113,0.1083,5
6,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,3.6197,82.2053,85.8497,93.3487,42.4346,83.5349,76.5763,71.1851,85.3818,78.3666,0.1183,5
7,5.0,3.2084,0.6372,2.4226,0.0,0.1193,5.0,4.8286,0.0,59.7756,83.3739,59.4254,32.2085,114.3429,77.9934,67.8664,81.42,90.9334,0.1788,4
8,4.3911,4.9317,1.3004,2.9459,0.0,0.0,4.8737,5.0,0.0,64.7246,76.4066,69.1777,46.212,111.4522,63.692,75.1557,83.966,102.6564,0.1323,6
9,4.3911,4.9317,1.3004,2.9459,0.0,0.0,4.8737,5.0,0.0,64.7246,76.4066,69.1777,46.212,111.4522,63.692,75.1557,83.966,102.6564,0.1323,6
10,4.9823,5.0,0.7035,3.7539,0.9984,3.304,5.0,4.5568,0.0,59.8622,59.8793,86.4648,58.8991,113.5138,81.3602,54.0164,85.363,91.9411,0.1154,5
11,5.0,5.0,0.3623,0.0,2.3218,5.0,5.0,4.9856,3.0093,66.1063,85.6235,99.2169,40.7942,90.7325,113.2742,75.1556,86.4649,77.0472,0.0956,7
12,5.0,5.0,0.3623,0.0,2.3218,5.0,5.0,4.9856,3.0093,66.1063,85.6235,99.2169,40.7942,90.7325,113.2742,75.1556,86.4649,77.0472,0.0956,7
13,5.0,5.0,4.8386,5.0,0.0,5.0,0.0,5.0,0.0,20.1379,54.3101,87.7996,65.4543,127.0656,117.1035,62.6611,50.3069,66.1779,0.2531,4
14,5.0,5.0,4.8386,5.0,0.0,5.0,0.0,5.0,0.0,20.1379,54.3101,87.7996,65.4543,127.0656,117.1035,62.6611,50.3069,66.1779,0.2531,4
15,5.0,5.0,0.0,4.444,0.3714,5.0,5.0,5.0,0.6294,52.7468,52.6604,101.8227,56.4258,111.2316,102.705,36.4437,87.0573,80.521,0.1944,6
16,5.0,5.0,3.5204,1.1411,0.0,5.0,5.0,5.0,0.4151,65.8366,80.6179,94.0845,44.7,113.1026,119.4918,97.3408,58.3701,69.8054,0.076,6
17,5.0,5.0,3.5204,1.1411,0.0,5.0,5.0,5.0,0.4151,65.8366,80.6179,94.0845,44.7,113.1026,119.4918,97.3408,58.3701,69.8054,0.076,6
18,4.4625,5.0,3.6092,2.2323,0.0,5.0,3.4554,4.9995,0.4385,47.1829,75.0856,85.8331,52.3384,110.5081,122.2782,88.0273,53.0943,63.6549,0.1038,5
19,5.0,5.0,3.5204,1.1411,0.0,5.0,5.0,5.0,0.4151,65.8366,80.6179,94.0845,44.7,113.1026,119.4918,97.3408,58.3701,69.8054,0.076,6
20,5.0,5.0,3.5204,1.1411,0.0,5.0,5.0,5.0,0.4151,65.8366,80.6179,94.0845,44.7,113.1026,119.4918,97.3408,58.3701,69.8054,0.076,6
21,5.0,5.0,3.5204,1.1411,0.0,5.0,5.0,5.0,0.4151,65.8366,80.6179,94.0845,44.7,113.1026,119.4918,97.3408,58.3701,69.8054,0.076,6
22,5.0,5.0,2.7268,4.6648,0.0,4.8671,4.2417,5.0,0.5089,43.4557,52.8912,96.357,58.5582,116.0482,103.6776,44.8473,76.2249,77.8214,0.1818,6
23,5.0,5.0,2.7268,4.6648,0.0,4.8671,4.2417,5.0,0.5089,43.4557,52.8912,96.357,58.5582,116.0482,103.6776,44.8473,76.2249,77.8214,0.1818,6
24,5.0,4.975,2.469,3.4693,0.6096,4.9958,5.0,3.1061,1.5501,57.2235,43.4724,97.2407,79.4438,97.3417,115.3502,60.5112,70.2101,62.2826,0.1498,4
25,3.0546,4.75,2.5,0.0178,4.4119,0.9377,0.9149,4.9822,1.3754,65.9133,94.5309,47.2126,63.9472,112.7023,57.9653,101.0332,62.5612,87.7484,0.189,6
26,4.8659,4.8469,4.0762,4.6256,3.0257,0.674,4.6066,5.0,2.5,61.1699,67.6424,68.1725,47.6454,108.6151,41.8996,74.9904,79.2044,103.6943,0.1994,4
27,5.0,4.6403,1.6504,3.4808,3.2775,0.7302,1.7342,4.8529,3.3142,39.0615,85.0896,67.6557,50.9997,105.288,68.9241,58.1263,94.3618,101.4543,0.1762,4
28,5.0,5.0,0.786,2.8576,4.1436,3.7377,5.0,5.0,0.8231,78.5932,72.8826,83.9507,53.7097,117.5888,62.2894,63.9654,78.4012,91.2417,0.1256,6
29,5.0,5.0,0.786,2.8576,4.1436,3.7377,5.0,5.0,0.8231,78.5932,72.8826,83.9507,53.7097,117.5888,62.2894,63.9654,78.4012,91.2417,0.1256,6
30,4.7067,5.0,2.5,0.0,2.417,2.5,5.0,4.75,2.5,72.5568,87.0101,74.9089,42.025,97.3468,74.0872,95.5524,77.6487,92.529,0.1133,5
31,4.5092,4.722,2.5386,1.0955,2.5165,2.0913,4.346,4.5406,2.4971,63.873,84.2264,66.6689,46.4404,96.0944,74.508,91.0893,74.3282,88.006,0.108,5
32,5.0,5.0,5.0,5.0,2.8386,1.0977,1.4556,5.0,2.9341,36.4957,73.2953,67.8882,59.2552,119.4041,62.3283,81.5764,72.8064,100.8759,0.1809,6
33,5.0,5.0,5.0,5.0,2.8386,1.0977,1.4556,5.0,2.9341,36.4957,73.2953,67.8882,59.2552,119.4041,62.3283,81.5764,72.8064,100.8759,0.1809,6
34,5.0,5.0,5.0,5.0,2.8386,1.0977,1.4556,5.0,2.9341,36.4957,73.2953,67.8882,59.2552,119.4041,62.3283,81.5764,72.8064,100.8759,0.1809,6
35,5.0,5.0,5.0,5.0,2.8386,1.0977,1.4556,5.0,2.9341,36.4957,73.2953,67.8882,59.2552,119.4041,62.3283,81.5764,72.8064,100.8759,0.1809,6
36,4.7117,5.0,3.522,0.0,2.7778,2.3354,3.7906,5.0,1.7618,61.7206,91.0835,67.3545,42.4771,111.8215,75.0986,103.0813,61.0285,89.1157,0.1206,5
37,5.0,5.0,5.0,5.0,2.8386,1.0977,1.4556,5.0,2.9341,36.4957,73.2953,67.8882,59.2552,119.4041,62.3283,81.5764,72.8064,100.8759,0.1809,6
38,5.0,5.0,5.0,5.0,2.8386,1.0977,1.4556,5.0,2.9341,36.4957,73.2953,67.8882,59.2552,119.4041,62.3283,81.5764,72.8064,100.8759,0.1809,6
39,5.0,5.0,5.0,5.0,2.8386,1.0977,1.4556,5.0,2.9341,36.4957,73.2953,67.8882,59.2552,119.4041,62.3283,81.5764,72.8064,100.8759,0.1809,6
40,5.0,5.0,5.0,5.0,2.8386,1.0977,1.4556,5.0,2.9341,36.4957,73.2953,67.8882,59.2552,119.4041,62.3283,81.5764,72.8064,100.8759,0.1809,6
41,5.0,1.4605,5.0,5.0,5.0,3.7945,0.3843,5.0,0.0,39.1001,64.4337,45.2862,51.2332,131.8356,66.5753,58.1302,38.5655,58.3636,0.2717,1
42,4.75,4.3419,0.7893,4.1998,1.9469,0.6447,4.3902,4.6438,2.4469,49.4857,64.5986,66.988,47.9766,99.3436,58.934,46.1161,94.4214,98.8748,0.2044,2
43,5.0,1.4605,5.0,5.0,5.0,3.7945,0.3843,5.0,0.0,39.1001,64.4337,45.2862,51.2332,131.8356,66.5753,58.1302,38.5655,58.3636,0.2717,1
44,5.0,1.4605,5.0,5.0,5.0,3.7945,0.3843,5.0,0.0,39.1001,64.4337,45.2862,51.2332,131.8356,66.5753,58.1302,38.5655,58.3636,0.2717,1
45,4.5551,2.077,3.8892,1.2576,3.6306,1.5096,3.1082,5.0,1.4069,56.3875,98.0467,38.3891,31.1467,115.6596,76.0183,98.4183,50.6804,72.0173,0.2494,4
46,2.5,2.5,2.5269,0.9649,2.5,1.9165,0.7416,2.5,2.5,43.6684,71.3929,33.2774,78.2986,78.1516,101.6113,89.2055,58.5363,50.7424,0.2494,4
47,5.0,1.4605,5.0,5.0,5.0,3.7945,0.3843,5.0,0.0,39.1001,64.4337,45.2862,51.2332,131.8356,66.5753,58.1302,38.5655,58.3636,0.2717,1
48,4.7228,5.0,4.2684,0.3209,0.7187,0.7039,4.296,2.6919,3.8768,56.2786,75.1177,65.8462,59.9746,70.0876,82.975,114.7114,68.9971,80.9563,0.125,5
49,2.7624,2.6105,2.4815,2.5435,3.0997,2.5979,5.0,4.5742,1.9588,76.7931,77.0811,44.5331,46.3998,83.9724,69.9096,87.5075,70.296,68.8293,0.1895,4
50,3.0814,5.0,2.5,2.5,3.2939,2.5,5.0,5.0,1.4817,85.0421,77.9386,64.4841,56.0187,97.3528,54.9029,96.2742,74.5743,90.9005,0.1551,6
51,5.0,4.9007,2.5,3.1741,1.1982,0.2442,3.3074,4.756,2.4508,45.6975,82.5529,71.7753,51.2412,112.5528,78.2296,74.5285,86.4397,101.8139,0.1084,4
52,4.8221,5.0,0.1858,4.6631,2.8483,0.0,0.0,5.0,2.1264,29.5069,66.6969,69.2134,61.2948,119.021,59.5328,34.1899,93.4748,105.9758,0.2817,4
53,5.0,5.0,3.6247,5.0,2.989,3.844,0.0,5.0,1.6285,27.8571,57.788,79.7548,65.5822,123.9353,82.6775,45.9012,69.412,84.0042,0.2321,4
54,5.0,4.9974,4.6624,3.8607,2.5,0.6116,2.5,4.75,1.9077,42.53,74.4076,63.1866,54.436,120.6215,64.0089,90.1696,59.0322,94.1489,0.1648,4
55,5.0,4.9974,4.6624,3.8607,2.5,0.6116,2.5,4.75,1.9077,42.53,74.4076,63.1866,54.436,120.6215,64.0089,90.1696,59.0322,94.1489,0.1648,4
56,3.7895,5.0,2.6643,0.9113,0.8134,0.9113,1.2105,4.0887,0.9113,46.8567,83.1852,59.2788,74.0074,113.3308,94.9117,99.4534,65.1128,84.6337,0.1131,6
57,3.7895,5.0,2.6643,0.9113,0.8134,0.9113,1.2105,4.0887,0.9113,46.8567,83.1852,59.2788,74.0074,113.3308,94.9117,99.4534,65.1128,84.6337,0.1131,6
58,5.0,5.0,5.0,3.8422,4.7843,0.4139,0.0,5.0,0.0,51.9976,76.0329,53.6502,59.8922,137.2783,36.3216,92.6083,42.1562,92.9088,0.2648,5
