Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,5.0,3.33,3.33,1.67,3.33,5.0,1.67,3.33,3.33,36.3462,73.8035,73.4365,64.7239,88.1633,133.2822,73.9498,58.9791,43.5418,0.1947,3
2,4.9928,4.9864,0.0323,1.8762,3.33,1.67,3.3466,5.0,3.33,54.3041,93.6714,73.8876,42.522,99.6388,69.3988,71.7386,94.3158,102.7105,0.1279,3
3,3.33,5.0,3.33,0.0446,4.0923,5.0,0.0,4.8609,3.4405,51.2038,87.4664,73.928,59.7592,80.1504,106.2498,95.6252,60.5725,58.9243,0.1076,4
4,4.9167,4.9865,0.0323,0.0428,0.021,1.67,3.3332,4.951,0.0102,48.3352,89.0942,71.6037,45.0773,120.3922,88.5531,77.8,75.9461,95.8411,0.1008,5
5,3.3812,4.7868,4.9568,0.2796,1.8215,4.9893,4.8976,4.9716,3.33,72.9863,88.2982,77.7656,40.3194,71.9554,111.2593,132.7075,53.2376,58.6985,0.158,4
6,4.9769,4.7868,0.5191,0.2796,0.6203,4.9894,4.7491,4.9716,1.2788,61.4645,83.0288,96.1898,46.2999,109.5422,125.7252,75.5885,76.1605,72.6711,0.0577,8
7,4.8827,4.9377,0.0017,0.2907,2.813,4.9988,3.4688,3.2926,3.1567,50.6087,67.9361,92.6902,73.6973,84.4645,124.7587,67.3236,76.9269,60.4012,0.0977,4
8,5.0,4.9998,3.3823,0.3136,0.1064,4.9261,4.9417,4.997,0.0193,64.5262,81.11,92.5132,42.8758,112.1894,118.1497,96.3161,57.4524,69.6886,0.0878,6
9,4.8457,4.9983,0.0002,1.783,0.5916,4.9982,5.0,4.8561,1.2798,63.1746,74.3837,97.8979,50.4581,105.1595,118.1608,70.1973,77.848,73.8512,0.0393,7
10,4.8457,4.7744,0.1723,0.3623,0.5916,4.9982,5.0,4.8561,1.3401,64.3521,79.6511,95.2299,47.0128,104.5577,122.7477,75.5753,75.8248,71.0332,0.0537,7
