Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,0.0303,0.5417,0.2361,5.0,1.5991,3.9197,1.8097,0.0,3.278,22.7305,22.6266,40.3783,95.6299,45.1778,106.4267,23.094,78.5273,32.1032,0.5137,0.4917,3
2,0.8105,4.2614,0.038,4.4211,1.1195,3.6954,1.1334,3.6754,1.2224,35.0256,42.4498,57.0504,92.9729,84.5285,97.8232,47.1009,74.2838,60.0707,0.2913,0.2582,3
3,0.4266,4.018,2.4404,1.0326,3.8873,0.5101,3.0874,0.3265,1.0347,71.5274,50.7893,31.6634,103.0988,77.1568,61.0025,97.2471,48.5034,55.6239,0.364,0.2861,3
4,1.3773,1.4309,0.1055,2.6783,0.9271,0.1782,3.7429,1.7319,0.7091,54.4753,51.0419,27.7266,83.053,75.5868,87.5944,71.2067,64.7664,51.535,0.24,0.2704,1
5,0.2865,3.7841,1.7499,4.7003,0.0,1.5553,1.3499,0.286,4.7772,23.7978,37.5863,45.8369,92.9041,23.6121,84.098,47.1715,101.0583,62.6504,0.4541,0.4099,2
6,2.084,4.013,4.271,2.9874,2.3031,2.2651,3.3328,3.608,2.1077,54.4538,59.6687,40.3462,68.0315,76.4514,72.4481,101.0864,47.322,59.9118,0.2457,0.2333,2
7,3.3685,4.9748,2.0593,3.9342,4.2825,3.1311,2.4945,2.8128,2.4619,53.9436,41.4028,61.9379,97.0788,84.3268,59.209,55.4723,69.2719,69.9721,0.2618,0.2269,2
8,3.7905,0.6074,2.0445,4.6468,3.8732,1.6424,1.8578,3.6387,4.7155,27.6434,62.8591,38.5855,50.1815,49.8223,65.4657,33.1105,98.0218,67.8887,0.3555,0.3717,1
9,2.9545,0.3573,2.5456,4.2362,1.8311,4.9904,1.1418,2.5772,1.6787,25.0929,39.2411,51.7235,85.9085,81.456,134.0152,41.9088,55.4746,24.4502,0.417,0.3863,2
10,3.6353,4.2039,4.996,3.0831,2.762,4.1013,2.4891,4.363,0.6464,48.6935,66.7142,56.92,64.2023,104.9768,96.6466,104.1267,32.9073,53.5623,0.2084,0.2187,4
11,2.3767,0.1616,0.2864,1.9692,0.5671,0.7773,1.6275,2.9817,4.8375,30.1596,84.7453,34.1407,52.6371,34.4839,108.4247,72.5125,99.4387,59.8007,0.3189,0.3397,3
