Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.75,3.6,7.5,1.78,2.2,1.4,0.42,18.0,2.5,30.7751,12.9539,18.6176,18.5624,44.3244,60.9806,36.6998,22.0815,54.6393,0.0881,2
2,1.0,3.9,13.12,1.8514,2.28,1.4,0.2,18.1433,2.4956,30.3778,13.4859,20.762,20.1299,44.0449,68.5228,37.1111,23.3517,57.8864,0.0628,3
3,1.0293,3.9,7.5502,1.8524,2.2962,1.4,0.2,18.1433,2.4956,30.8758,13.5624,20.1714,20.5796,44.0437,69.866,37.3447,23.217,58.6757,0.0625,3
4,1.7555,3.8984,7.52,2.0,2.3534,1.3978,0.28,29.808,2.4566,30.9511,13.7597,19.8831,20.5336,46.5463,62.5602,41.4922,24.2573,59.5346,0.0318,5
5,1.0155,3.749,7.5065,1.9885,2.4171,1.3857,0.4927,6.7964,2.5,38.3133,13.8756,20.2411,19.895,49.9459,73.516,42.6056,24.4647,58.596,0.0131,3
6,1.0158,3.7495,7.5065,1.9885,2.456,1.3857,0.4808,6.0007,2.5,38.8186,14.0268,20.3804,19.9102,49.452,74.6333,42.4711,24.5293,58.6094,0.0116,4
7,1.0167,3.8951,7.8205,1.9983,2.4854,1.3826,0.4999,29.8062,2.4994,39.1045,14.2734,20.9391,20.865,49.8486,68.1511,44.3554,24.7608,59.0592,0.0014,7
8,1.0288,3.8951,7.6422,1.9983,2.4902,1.3992,0.4999,29.8062,2.4994,39.5988,14.2927,20.9456,20.9065,50.0063,68.2821,44.3774,24.7824,59.6266,0.0009,8
9,1.0288,3.8951,7.6422,1.9983,2.4902,1.3992,0.4999,29.8062,2.4994,39.5988,14.2927,20.9456,20.9065,50.0063,68.2821,44.3774,24.7824,59.6266,0.0009,8
10,1.0003,3.893,7.6422,1.9982,2.4902,1.3981,0.4972,29.8062,2.4997,39.5364,14.291,20.9561,20.8989,49.9121,68.5032,44.3276,24.7887,59.6211,0.0009,7
11,1.0003,3.893,7.6422,1.9982,2.4902,1.3981,0.4972,29.8062,2.4997,39.5364,14.291,20.9561,20.8989,49.9121,68.5032,44.3276,24.7887,59.6211,0.0009,7
12,1.0003,3.893,7.6422,1.9982,2.4902,1.3981,0.4972,29.8062,2.4997,39.5364,14.291,20.9561,20.8989,49.9121,68.5032,44.3276,24.7887,59.6211,0.0009,7
13,1.0047,3.8951,7.7989,1.9944,2.4996,1.399,0.4999,29.9929,2.4992,39.8287,14.3298,20.9971,20.8985,49.8867,68.5333,44.5023,24.7715,59.5246,0.0008,7
14,1.0047,3.8951,7.7989,1.9944,2.4996,1.399,0.4999,29.9929,2.4992,39.8287,14.3298,20.9971,20.8985,49.8867,68.5333,44.5023,24.7715,59.5246,0.0008,7
15,1.0047,3.8951,7.7989,1.9944,2.4996,1.399,0.4999,29.9929,2.4992,39.8287,14.3298,20.9971,20.8985,49.8867,68.5333,44.5023,24.7715,59.5246,0.0008,7
16,1.0099,3.8999,7.7035,1.9995,2.4972,1.3996,0.4992,12.0528,2.5,40.2123,14.3252,20.9317,20.8438,50.2507,72.7766,43.2819,24.7831,59.711,0.0011,8
