Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.75,3.6,7.5,1.78,2.2,1.4,0.42,18.0,2.5,30.7751,12.9539,18.6176,18.5624,44.3244,60.9806,36.6998,22.0815,54.6393,0.0881,2
2,1.75,3.6,7.5,1.78,2.2,1.4,0.42,18.0,2.5,30.7751,12.9539,18.6176,18.5624,44.3244,60.9806,36.6998,22.0815,54.6393,0.0881,2
3,1.7289,3.6,7.5,1.8504,2.2379,1.4,0.42,18.3237,2.5,31.4822,13.0848,18.782,18.6368,45.5766,61.7853,37.0161,22.7176,55.753,0.0768,2
4,1.7289,3.6,7.5,1.8504,2.2379,1.4,0.42,18.3237,2.5,31.4822,13.0848,18.782,18.6368,45.5766,61.7853,37.0161,22.7176,55.753,0.0768,2
5,1.7289,3.6,7.5,1.8504,2.2379,1.4,0.42,18.3237,2.5,31.4822,13.0848,18.782,18.6368,45.5766,61.7853,37.0161,22.7176,55.753,0.0768,2
6,1.7289,3.6,7.5,1.8504,2.2379,1.4,0.42,18.3237,2.5,31.4822,13.0848,18.782,18.6368,45.5766,61.7853,37.0161,22.7176,55.753,0.0768,2
7,1.326,3.6,7.6097,1.8485,2.2379,1.4,0.4179,18.3237,2.5,32.0763,13.0861,19.0626,18.7692,45.56,64.5828,37.2262,22.8408,56.1937,0.0723,2
8,1.7193,3.6007,10.7512,1.9297,2.35,1.3883,0.5,11.1034,2.4753,35.6312,13.4777,19.4295,18.5376,48.8295,64.2408,40.4394,23.5437,55.6437,0.0472,2
9,1.7202,3.6042,13.0339,1.9986,2.3611,1.344,0.488,29.9552,2.4788,33.8334,13.5164,19.9697,18.5632,49.1704,59.5401,41.3792,24.2282,55.235,0.0403,2
10,1.7202,3.6042,13.0339,1.9986,2.3611,1.344,0.488,29.9552,2.4788,33.8334,13.5164,19.9697,18.5632,49.1704,59.5401,41.3792,24.2282,55.235,0.0403,2
11,1.401,3.8982,7.6802,1.9981,2.4102,1.3369,0.4862,12.2199,2.4857,35.7821,13.9812,20.3367,20.577,49.3134,68.1118,41.8955,24.4051,57.2858,0.0173,4
12,1.401,3.8982,7.6802,1.9981,2.4102,1.3369,0.4862,12.2199,2.4857,35.7821,13.9812,20.3367,20.577,49.3134,68.1118,41.8955,24.4051,57.2858,0.0173,4
13,1.401,3.8982,7.6802,1.9981,2.4102,1.3369,0.4862,12.2199,2.4857,35.7821,13.9812,20.3367,20.577,49.3134,68.1118,41.8955,24.4051,57.2858,0.0173,4
14,1.401,3.8982,7.6802,1.9981,2.4102,1.3369,0.4862,12.2199,2.4857,35.7821,13.9812,20.3367,20.577,49.3134,68.1118,41.8955,24.4051,57.2858,0.0173,4
15,1.401,3.8982,7.6802,1.9981,2.4102,1.3369,0.4862,12.2199,2.4857,35.7821,13.9812,20.3367,20.577,49.3134,68.1118,41.8955,24.4051,57.2858,0.0173,4
16,1.3989,3.8982,7.6802,1.9984,2.4109,1.3369,0.4879,29.8202,2.4784,35.3944,13.9822,20.3896,20.6748,49.1062,63.8399,43.4229,24.4239,57.2072,0.0152,5
17,1.3989,3.8982,7.6802,1.9984,2.4109,1.3369,0.4879,29.8202,2.4784,35.3944,13.9822,20.3896,20.6748,49.1062,63.8399,43.4229,24.4239,57.2072,0.0152,5
18,1.0202,3.8936,7.6802,1.9984,2.4982,1.3354,0.4879,19.0796,2.4784,37.969,14.3218,20.8705,20.7364,49.0111,69.9193,42.4728,24.6602,57.4847,0.0117,5
19,1.0202,3.8936,7.6802,1.9984,2.4982,1.3354,0.4879,19.0796,2.4784,37.969,14.3218,20.8705,20.7364,49.0111,69.9193,42.4728,24.6602,57.4847,0.0117,5
20,1.0202,3.8936,7.6802,1.9984,2.4982,1.3354,0.4879,19.0796,2.4784,37.969,14.3218,20.8705,20.7364,49.0111,69.9193,42.4728,24.6602,57.4847,0.0117,5
21,1.0202,3.8936,7.6802,1.9984,2.4982,1.3354,0.4879,19.0796,2.4784,37.969,14.3218,20.8705,20.7364,49.0111,69.9193,42.4728,24.6602,57.4847,0.0117,5
22,1.0202,3.8936,7.6802,1.9984,2.4982,1.3354,0.4879,19.0796,2.4784,37.969,14.3218,20.8705,20.7364,49.0111,69.9193,42.4728,24.6602,57.4847,0.0117,5
23,1.0202,3.8936,7.6802,1.9984,2.4982,1.3354,0.4879,19.0796,2.4784,37.969,14.3218,20.8705,20.7364,49.0111,69.9193,42.4728,24.6602,57.4847,0.0117,5
24,1.0202,3.8936,7.6802,1.9984,2.4982,1.3354,0.4879,19.0796,2.4784,37.969,14.3218,20.8705,20.7364,49.0111,69.9193,42.4728,24.6602,57.4847,0.0117,5
25,1.2792,3.8725,9.5021,1.9987,2.4962,1.3809,0.4923,8.2585,2.46,39.07,14.2833,20.7055,20.3766,49.6494,71.3125,43.1801,24.5795,58.0303,0.0076,6
26,1.2792,3.8725,9.5021,1.9987,2.4962,1.3809,0.4923,8.2585,2.46,39.07,14.2833,20.7055,20.3766,49.6494,71.3125,43.1801,24.5795,58.0303,0.0076,6
27,1.1047,3.8955,10.7787,1.9999,2.485,1.3774,0.4986,28.5836,2.4571,38.4888,14.2559,21.0102,20.5385,49.604,66.305,43.8342,24.6738,57.9008,0.0067,7
28,1.1047,3.8955,10.7787,1.9999,2.485,1.3774,0.4986,28.5836,2.4571,38.4888,14.2559,21.0102,20.5385,49.604,66.305,43.8342,24.6738,57.9008,0.0067,7
29,1.1047,3.8955,10.7787,1.9999,2.485,1.3774,0.4986,28.5836,2.4571,38.4888,14.2559,21.0102,20.5385,49.604,66.305,43.8342,24.6738,57.9008,0.0067,7
30,1.1047,3.8955,10.7787,1.9999,2.485,1.3774,0.4986,28.5836,2.4571,38.4888,14.2559,21.0102,20.5385,49.604,66.305,43.8342,24.6738,57.9008,0.0067,7
31,1.1047,3.8955,10.7787,1.9999,2.485,1.3774,0.4986,28.5836,2.4571,38.4888,14.2559,21.0102,20.5385,49.604,66.305,43.8342,24.6738,57.9008,0.0067,7
32,1.1047,3.8955,10.7787,1.9999,2.485,1.3774,0.4986,28.5836,2.4571,38.4888,14.2559,21.0102,20.5385,49.604,66.305,43.8342,24.6738,57.9008,0.0067,7
33,1.1047,3.8955,10.7787,1.9999,2.485,1.3774,0.4986,28.5836,2.4571,38.4888,14.2559,21.0102,20.5385,49.604,66.305,43.8342,24.6738,57.9008,0.0067,7
34,1.1047,3.8955,10.7787,1.9999,2.485,1.3774,0.4986,28.5836,2.4571,38.4888,14.2559,21.0102,20.5385,49.604,66.305,43.8342,24.6738,57.9008,0.0067,7
35,1.0973,3.8914,10.7787,1.9976,2.485,1.3774,0.499,28.5987,2.4571,38.5164,14.2522,21.0041,20.5159,49.5692,66.3385,43.8299,24.6545,57.8523,0.0071,7
36,1.0973,3.8914,10.7787,1.9976,2.485,1.3774,0.499,28.5987,2.4571,38.5164,14.2522,21.0041,20.5159,49.5692,66.3385,43.8299,24.6545,57.8523,0.0071,7
37,1.0973,3.8914,10.7787,1.9976,2.485,1.3774,0.499,28.5987,2.4571,38.5164,14.2522,21.0041,20.5159,49.5692,66.3385,43.8299,24.6545,57.8523,0.0071,7
38,1.0973,3.8912,11.0371,1.9991,2.4836,1.3774,0.499,28.5987,2.4571,38.475,14.2454,21.031,20.4952,49.6056,66.2613,43.8128,24.6709,57.835,0.0071,7
39,1.0973,3.8912,11.0371,1.9991,2.4836,1.3774,0.499,28.5987,2.4571,38.475,14.2454,21.031,20.4952,49.6056,66.2613,43.8128,24.6709,57.835,0.0071,7
40,1.0973,3.8912,11.0371,1.9991,2.4836,1.3774,0.499,28.5987,2.4571,38.475,14.2454,21.031,20.4952,49.6056,66.2613,43.8128,24.6709,57.835,0.0071,7
41,1.0973,3.8912,11.0371,1.9991,2.4836,1.3774,0.499,28.5987,2.4571,38.475,14.2454,21.031,20.4952,49.6056,66.2613,43.8128,24.6709,57.835,0.0071,7
42,1.0973,3.8912,11.0371,1.9991,2.4836,1.3774,0.499,28.5987,2.4571,38.475,14.2454,21.031,20.4952,49.6056,66.2613,43.8128,24.6709,57.835,0.0071,7
43,1.0973,3.8912,11.0371,1.9991,2.4836,1.3774,0.499,28.5987,2.4571,38.475,14.2454,21.031,20.4952,49.6056,66.2613,43.8128,24.6709,57.835,0.0071,7
44,1.0973,3.8912,11.0371,1.9991,2.4836,1.3774,0.499,28.5987,2.4571,38.475,14.2454,21.031,20.4952,49.6056,66.2613,43.8128,24.6709,57.835,0.0071,7
45,1.0973,3.8912,11.0371,1.9991,2.4836,1.3774,0.499,28.5987,2.4571,38.475,14.2454,21.031,20.4952,49.6056,66.2613,43.8128,24.6709,57.835,0.0071,7
46,1.0973,3.8912,11.0371,1.9991,2.4836,1.3774,0.499,28.5987,2.4571,38.475,14.2454,21.031,20.4952,49.6056,66.2613,43.8128,24.6709,57.835,0.0071,7
47,1.0973,3.8912,11.0371,1.9991,2.4836,1.3774,0.499,28.5987,2.4571,38.475,14.2454,21.031,20.4952,49.6056,66.2613,43.8128,24.6709,57.835,0.0071,7
48,1.0973,3.8912,11.0371,1.9991,2.4836,1.3774,0.499,28.5987,2.4571,38.475,14.2454,21.031,20.4952,49.6056,66.2613,43.8128,24.6709,57.835,0.0071,7
49,1.0639,3.8956,8.0258,1.9976,2.4092,1.3988,0.4997,8.5059,2.4864,38.4047,13.9738,20.5555,20.7157,50.5063,72.0429,43.2162,24.5755,59.4824,0.0071,7
