Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.75,3.6,7.5,1.78,2.2,1.4,0.42,18.0,2.5,30.7751,12.9539,18.6176,18.5624,44.3244,60.9806,36.6998,22.0815,54.6393,0.0881,2
2,1.75,3.6,7.5,1.78,2.2,1.4,0.42,18.0,2.5,30.7751,12.9539,18.6176,18.5624,44.3244,60.9806,36.6998,22.0815,54.6393,0.0881,2
3,1.75,3.6,7.5,1.78,2.2,1.4,0.42,18.0,2.5,30.7751,12.9539,18.6176,18.5624,44.3244,60.9806,36.6998,22.0815,54.6393,0.0881,2
4,1.0002,3.6029,11.2003,1.8546,2.3518,1.3988,0.28,12.8781,2.4537,32.3428,13.4845,19.8946,18.6431,43.5822,70.1382,35.3172,23.1637,56.3089,0.0819,2
5,1.0002,3.6029,11.2003,1.8546,2.3518,1.3988,0.28,12.8781,2.4537,32.3428,13.4845,19.8946,18.6431,43.5822,70.1382,35.3172,23.1637,56.3089,0.0819,2
6,1.75,3.4739,7.5,1.9869,2.2,1.4,0.4955,18.0,2.5,32.7901,12.8494,18.4248,18.0853,50.5778,61.1194,38.4828,23.8134,57.3838,0.069,3
7,1.75,3.4739,7.5,1.9869,2.2,1.4,0.4955,18.0,2.5,32.7901,12.8494,18.4248,18.0853,50.5778,61.1194,38.4828,23.8134,57.3838,0.069,3
8,1.0002,3.6028,11.2003,1.7012,2.4245,1.3988,0.4959,12.0144,2.4537,38.3438,13.7607,20.1028,18.6749,44.3894,69.001,40.8251,22.1796,53.1316,0.0644,2
9,1.686,3.8956,15.0,1.9998,2.3014,1.3563,0.5,29.1022,2.4706,33.2277,13.5464,20.7968,20.0143,49.9874,58.3943,42.3534,24.3623,56.3158,0.0215,3
10,1.686,3.8956,15.0,1.9998,2.3014,1.3563,0.5,29.1022,2.4706,33.2277,13.5464,20.7968,20.0143,49.9874,58.3943,42.3534,24.3623,56.3158,0.0215,3
11,1.686,3.8956,15.0,1.9998,2.3014,1.3563,0.5,29.1022,2.4706,33.2277,13.5464,20.7968,20.0143,49.9874,58.3943,42.3534,24.3623,56.3158,0.0215,3
12,1.686,3.8956,15.0,1.9998,2.3014,1.3563,0.5,29.1022,2.4706,33.2277,13.5464,20.7968,20.0143,49.9874,58.3943,42.3534,24.3623,56.3158,0.0215,3
13,1.686,3.8956,15.0,1.9998,2.3014,1.3563,0.5,29.1022,2.4706,33.2277,13.5464,20.7968,20.0143,49.9874,58.3943,42.3534,24.3623,56.3158,0.0215,3
14,1.0,3.9,7.6862,1.9911,2.437,1.3881,0.4979,12.0022,2.3194,37.9302,14.0638,20.3012,20.7921,49.4056,69.0492,42.5509,24.1874,57.9146,0.0137,5
15,1.0066,3.8973,15.0,1.9428,2.4955,1.3987,0.4786,9.234,2.4993,39.4094,14.2929,21.9267,20.2725,48.3952,72.1034,42.5438,24.514,57.7396,0.0133,6
16,1.0066,3.8973,15.0,1.9428,2.4955,1.3987,0.4786,9.234,2.4993,39.4094,14.2929,21.9267,20.2725,48.3952,72.1034,42.5438,24.514,57.7396,0.0133,6
17,1.0066,3.8973,15.0,1.9428,2.4955,1.3987,0.4786,9.234,2.4993,39.4094,14.2929,21.9267,20.2725,48.3952,72.1034,42.5438,24.514,57.7396,0.0133,6
18,1.0066,3.8973,15.0,1.9428,2.4955,1.3987,0.4786,9.234,2.4993,39.4094,14.2929,21.9267,20.2725,48.3952,72.1034,42.5438,24.514,57.7396,0.0133,6
19,1.0036,3.8956,7.7958,1.9981,2.4954,1.3563,0.5,29.1022,2.4706,38.6027,14.3105,20.909,20.8389,49.4449,67.9222,44.2408,24.6842,58.0096,0.0069,6
20,1.0036,3.8956,7.7958,1.9981,2.4954,1.3563,0.5,29.1022,2.4706,38.6027,14.3105,20.909,20.8389,49.4449,67.9222,44.2408,24.6842,58.0096,0.0069,6
21,1.0,3.9,7.6862,1.9882,2.4327,1.3731,0.4979,12.0022,2.4929,38.1552,14.0714,20.682,20.7724,49.8713,71.4837,42.7954,24.5344,58.667,0.0057,5
22,1.0,3.9,7.6862,1.9882,2.4327,1.3731,0.4979,12.0022,2.4929,38.1552,14.0714,20.682,20.7724,49.8713,71.4837,42.7954,24.5344,58.667,0.0057,5
23,1.0,3.9,7.6862,1.9882,2.4327,1.3731,0.4979,12.0022,2.4929,38.1552,14.0714,20.682,20.7724,49.8713,71.4837,42.7954,24.5344,58.667,0.0057,5
24,1.0,3.9,7.6862,1.9882,2.4327,1.3731,0.4979,12.0022,2.4929,38.1552,14.0714,20.682,20.7724,49.8713,71.4837,42.7954,24.5344,58.667,0.0057,5
25,1.0,3.9,7.6862,1.9882,2.4327,1.3731,0.4979,12.0022,2.4929,38.1552,14.0714,20.682,20.7724,49.8713,71.4837,42.7954,24.5344,58.667,0.0057,5
26,1.0,3.9,7.6862,1.9882,2.4327,1.3731,0.4979,12.0022,2.4929,38.1552,14.0714,20.682,20.7724,49.8713,71.4837,42.7954,24.5344,58.667,0.0057,5
27,1.0,3.9,7.6862,1.9882,2.4327,1.3731,0.4979,12.0022,2.4929,38.1552,14.0714,20.682,20.7724,49.8713,71.4837,42.7954,24.5344,58.667,0.0057,5
28,1.0,3.9,7.6862,1.9882,2.4327,1.3731,0.4979,12.0022,2.4929,38.1552,14.0714,20.682,20.7724,49.8713,71.4837,42.7954,24.5344,58.667,0.0057,5
29,1.0,3.9,7.6862,1.9882,2.4327,1.3731,0.4979,12.0022,2.4929,38.1552,14.0714,20.682,20.7724,49.8713,71.4837,42.7954,24.5344,58.667,0.0057,5
30,1.0,3.9,7.6862,1.9882,2.4327,1.3731,0.4979,12.0022,2.4929,38.1552,14.0714,20.682,20.7724,49.8713,71.4837,42.7954,24.5344,58.667,0.0057,5
31,1.0021,3.8666,10.5257,1.9994,2.494,1.3796,0.4979,7.3585,2.4989,39.7866,14.2725,21.0404,20.3428,50.0441,73.9056,43.7758,24.7715,58.3474,0.0037,8
32,1.0793,3.8985,7.5045,1.9999,2.4955,1.3995,0.4955,19.0872,2.5,39.662,14.3175,20.892,20.857,50.0338,70.093,42.6866,24.7678,59.6974,0.003,7
33,1.0793,3.8985,7.5045,1.9999,2.4955,1.3995,0.4955,19.0872,2.5,39.662,14.3175,20.892,20.857,50.0338,70.093,42.6866,24.7678,59.6974,0.003,7
34,1.0793,3.8985,7.5045,1.9999,2.4955,1.3995,0.4955,19.0872,2.5,39.662,14.3175,20.892,20.857,50.0338,70.093,42.6866,24.7678,59.6974,0.003,7
35,1.0793,3.8985,7.5045,1.9999,2.4955,1.3995,0.4955,19.0872,2.5,39.662,14.3175,20.892,20.857,50.0338,70.093,42.6866,24.7678,59.6974,0.003,7
36,1.0793,3.8985,7.5045,1.9999,2.4955,1.3995,0.4955,19.0872,2.5,39.662,14.3175,20.892,20.857,50.0338,70.093,42.6866,24.7678,59.6974,0.003,7
37,1.0793,3.8985,7.5045,1.9999,2.4955,1.3995,0.4955,19.0872,2.5,39.662,14.3175,20.892,20.857,50.0338,70.093,42.6866,24.7678,59.6974,0.003,7
38,1.0793,3.8985,7.5045,1.9999,2.4955,1.3995,0.4955,19.0872,2.5,39.662,14.3175,20.892,20.857,50.0338,70.093,42.6866,24.7678,59.6974,0.003,7
39,1.7673,3.8424,14.8095,1.9998,2.4602,1.3953,0.4999,29.7477,2.4999,37.3932,14.1004,21.2006,19.8386,49.9209,60.9394,43.229,24.6487,57.4012,0.0094,6
40,1.7673,3.8424,14.8095,1.9998,2.4602,1.3953,0.4999,29.7477,2.4999,37.3932,14.1004,21.2006,19.8386,49.9209,60.9394,43.229,24.6487,57.4012,0.0094,6
41,1.0352,3.8597,7.671,1.9924,2.4941,1.3833,0.4961,7.4836,2.5,39.8897,14.2764,20.7959,20.5649,49.8809,74.3199,43.6825,24.6732,58.8917,0.0034,6
42,1.0352,3.8597,7.671,1.9924,2.4941,1.3833,0.4961,7.4836,2.5,39.8897,14.2764,20.7959,20.5649,49.8809,74.3199,43.6825,24.6732,58.8917,0.0034,6
43,1.0352,3.8597,7.671,1.9924,2.4941,1.3833,0.4961,7.4836,2.5,39.8897,14.2764,20.7959,20.5649,49.8809,74.3199,43.6825,24.6732,58.8917,0.0034,6
44,1.0352,3.8597,7.671,1.9924,2.4941,1.3833,0.4961,7.4836,2.5,39.8897,14.2764,20.7959,20.5649,49.8809,74.3199,43.6825,24.6732,58.8917,0.0034,6
45,1.7826,3.868,14.5994,1.9919,2.4178,1.3953,0.4989,28.2733,2.4988,36.454,13.9591,21.0231,19.9307,49.8853,60.3027,42.6406,24.4994,57.3629,0.0098,4
46,1.0076,3.7747,7.5556,1.9981,2.5,1.3958,0.4953,29.3234,2.5,39.6371,14.2226,20.675,20.1974,49.7589,68.6725,43.6208,24.7377,59.0785,0.0054,7
47,1.0076,3.7747,7.5556,1.9981,2.5,1.3958,0.4953,29.3234,2.5,39.6371,14.2226,20.675,20.1974,49.7589,68.6725,43.6208,24.7377,59.0785,0.0054,7
48,1.0076,3.7747,7.5556,1.9981,2.5,1.3958,0.4953,29.3234,2.5,39.6371,14.2226,20.675,20.1974,49.7589,68.6725,43.6208,24.7377,59.0785,0.0054,7
49,1.0076,3.7747,7.5556,1.9981,2.5,1.3958,0.4953,29.3234,2.5,39.6371,14.2226,20.675,20.1974,49.7589,68.6725,43.6208,24.7377,59.0785,0.0054,7
50,1.0076,3.7747,7.5556,1.9981,2.5,1.3958,0.4953,29.3234,2.5,39.6371,14.2226,20.675,20.1974,49.7589,68.6725,43.6208,24.7377,59.0785,0.0054,7
