Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,4.0,3.9,15.0,1.7,2.5,0.2,0.5,29.112,2.5,23.118528,14.331948,19.256533,17.86876,41.661121,51.364633,46.660171,21.595827,30.503272,0.7175,0.2008,2
2,1.0,3.9,7.562,1.7,2.5,0.6465,0.2,17.8047,2.5,22.882067,14.358269,20.927854,19.881766,32.375476,73.964317,37.154636,22.195062,39.254631,0.6555,0.1876,2
3,4.0,3.9,15.0,1.7,2.5,0.2,0.5,29.9554,1.4771,19.857836,14.216119,17.351834,17.859451,38.380135,38.716636,46.709433,19.692597,24.270232,0.4406,0.2818,2
4,1.2447,3.9,12.3941,1.7,2.2817,1.4,0.5,11.9828,2.4517,35.138489,13.480502,20.325043,20.078608,44.86652,64.784712,41.360261,21.987227,53.886163,0.7835,0.0567,3
5,1.1042,3.9,12.4706,2.0,2.4199,1.4,0.5,10.9443,2.2416,37.333484,13.971199,20.494509,20.360986,49.538829,66.316208,42.374703,24.13274,56.90979,0.9171,0.0154,4
6,1.1941,3.9,11.7947,1.7,2.2,1.4,0.2,10.4885,2.5,28.967093,13.210244,20.122483,19.992625,41.484826,68.610478,35.085191,21.971752,55.746149,0.6512,0.0938,1
7,1.0,3.9,13.334,2.0,2.5,1.4,0.5,10.9576,2.5,40.149014,14.318161,21.583113,20.394183,50.265946,71.99228,43.338473,24.908151,58.731503,0.9825,0.0015,8
8,1.0,3.9,13.4035,2.0,2.5,1.4,0.5,10.2508,1.8598,37.928681,14.238371,20.26457,20.377108,48.025272,63.577729,42.523044,23.58886,54.434314,0.8589,0.032,4
9,1.0,3.3,13.1314,2.0,2.2,1.4,0.5,10.8896,2.5,34.241806,12.701617,19.339747,17.293818,51.166304,67.527575,38.829348,24.239611,57.309054,0.7025,0.0694,4
10,1.8012,3.9,13.1866,2.0,2.5,1.4,0.5,10.8817,2.5,38.87099,14.315283,21.006857,20.114422,50.137827,66.471503,42.837515,24.626908,57.785631,0.9409,0.007,7
11,1.2987,3.9,14.384,2.0,2.5,1.4,0.5,11.0096,2.5,39.626469,14.31394,21.631968,20.263903,50.213925,69.647071,43.136274,24.861265,58.334797,0.9343,0.0038,8
12,1.0,3.9,13.7637,2.0,2.5,0.5178,0.5,10.7412,2.5,28.116144,14.339144,21.79597,19.686307,47.246706,74.13907,46.88609,24.688501,41.764629,0.8675,0.1014,5
13,1.0,3.9,15.0,2.0,2.5,1.4,0.5,9.7684,2.5,40.159302,14.313485,21.960725,20.340384,50.273427,72.099062,43.486971,24.986443,58.612919,0.9438,0.0022,8
14,2.3044,3.9,15.0,2.0,2.5,1.4,0.5,9.7965,2.5,38.063245,14.308074,20.956853,19.813099,50.04595,63.004837,42.528108,24.500247,56.847908,0.8714,0.0131,5
15,1.0,3.9,15.0,2.0,2.5,0.2,0.5,8.9217,2.5,28.506798,14.344007,22.226277,19.623283,48.177425,78.867553,49.407696,24.987349,39.982926,0.9166,0.1096,5
