Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.75,3.6,7.5,1.78,2.2,1.4,0.42,18.0,2.5,30.7751,12.9539,18.6176,18.5624,44.3244,60.9806,36.6998,22.0815,54.6393,0.0881,2
2,1.0008,3.8921,9.37,1.9207,2.2,1.4,0.2,23.8604,2.4548,28.749,13.204,19.9142,20.385,45.5744,66.5723,38.6255,23.6011,59.1928,0.0539,3
3,1.0007,3.75,11.25,1.78,2.4961,1.3933,0.2001,6.0,2.4819,35.1936,14.1734,20.7851,19.4258,41.9582,76.4033,35.9892,23.0374,55.9954,0.08,3
4,1.0002,3.75,11.2266,1.78,2.4961,1.3933,0.4848,6.0,2.4953,39.8771,14.1741,20.8051,19.5181,45.4395,73.6561,42.6827,23.039,54.8357,0.0417,3
5,1.0195,3.9,7.5647,1.8488,2.4998,1.3954,0.4887,6.6875,2.5,40.1941,14.3371,20.8741,20.74,46.8903,74.4493,43.638,23.5428,57.0692,0.0244,5
6,1.0197,3.8999,7.5178,1.9194,2.4992,1.395,0.4932,6.3029,2.5,40.3221,14.3344,20.8971,20.7955,48.4051,74.8577,43.9884,24.1022,58.2186,0.0116,6
7,1.0001,3.8997,7.5168,1.9194,2.4992,1.395,0.4956,6.3029,2.5,40.4266,14.3344,20.9071,20.8015,48.4834,74.973,44.1115,24.1076,58.2275,0.0111,6
8,1.0,3.9,7.5168,1.9194,2.4998,1.3954,0.4986,6.3029,2.5,40.5444,14.3371,20.9102,20.8064,48.5848,74.9591,44.2663,24.1092,58.2304,0.0105,6
9,1.0,3.9,7.5168,1.9194,2.4984,1.3954,0.4986,6.1121,2.5,40.5272,14.3314,20.9052,20.8059,48.5918,75.0229,44.3008,24.1068,58.2319,0.0105,6
10,1.0,3.8983,7.5168,1.9194,2.4984,1.3991,0.4986,6.0191,2.5,40.6228,14.3298,20.9012,20.8006,48.6315,75.0856,44.3121,24.1098,58.3447,0.01,6
11,1.0,3.8998,7.5168,1.9194,2.4998,1.3991,0.4986,6.0176,2.5,40.6532,14.3368,20.9103,20.8103,48.6279,75.1114,44.3299,24.1133,58.3497,0.01,6
12,1.0,3.8998,7.5168,1.9195,2.4998,1.3991,0.4995,6.0041,2.5,40.6844,14.3368,20.9103,20.8111,48.6616,75.1101,44.3793,24.1144,58.3502,0.0098,6
13,1.0,3.8998,7.5168,1.9269,2.4998,1.3991,0.4995,6.0006,2.5,40.6828,14.3368,20.9132,20.8163,48.8107,75.1433,44.3858,24.1752,58.4764,0.0086,6
14,1.0,3.8998,7.5168,1.9335,2.4999,1.3991,0.4995,6.0006,2.5,40.6829,14.3371,20.9161,20.821,48.9445,75.1734,44.3915,24.23,58.5897,0.0075,6
15,1.0,3.8998,7.5168,1.9796,2.4999,1.3991,0.494,6.0041,2.5,40.4996,14.3368,20.9347,20.8503,49.73,75.4328,44.1557,24.6212,59.4204,0.0021,7
16,1.0,3.8998,7.5168,1.9885,2.4999,1.3991,0.4996,6.0041,2.5,40.6726,14.3368,20.9383,20.8606,50.1033,75.4257,44.4393,24.6985,59.5598,0.001,8
17,1.0,3.8998,7.5168,1.9899,2.4999,1.3991,0.4996,6.0041,2.5,40.6723,14.3368,20.9389,20.8617,50.1343,75.4327,44.4405,24.711,59.5857,0.001,8
18,1.0,3.8998,7.5168,1.9991,2.4999,1.3993,0.4997,6.0041,2.5,40.6769,14.3368,20.9427,20.8687,50.3382,75.4786,44.4515,24.7917,59.7578,0.0009,8
19,1.0,3.8998,7.5168,1.9992,2.4999,1.3993,0.4997,6.0046,2.5,40.6768,14.3368,20.9427,20.8687,50.3393,75.4786,44.4514,24.7922,59.7588,0.0009,8
20,1.0,3.8998,7.5168,1.9992,2.4999,1.4,0.4997,6.0046,2.5,40.6938,14.3368,20.9428,20.8696,50.3469,75.4823,44.4514,24.7929,59.7813,0.0009,8
21,1.0,3.8998,7.5168,1.9997,2.4999,1.4,0.4997,6.0046,2.5,40.6937,14.3368,20.943,20.87,50.3577,75.4848,44.4518,24.7972,59.7904,0.0009,8
22,1.0,3.8998,7.5168,1.9997,2.4999,1.4,0.4999,6.0046,2.5,40.7015,14.3368,20.943,20.8702,50.3658,75.4826,44.464,24.7972,59.7894,0.0009,8
23,1.0,3.9,7.5168,1.9997,2.4999,1.4,0.4999,6.0023,2.5,40.7027,14.3372,20.9437,20.8713,50.3657,75.4846,44.4658,24.7974,59.7901,0.0009,8
