Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.75,3.6,7.5,1.78,2.2,1.4,0.42,18.0,2.5,30.7751,12.9539,18.6176,18.5624,44.3244,60.9806,36.6998,22.0815,54.6393,0.0881,2
2,1.7216,3.8678,7.5,1.78,2.2251,1.4,0.42,18.2115,2.5,31.2489,13.2769,19.3635,20.1124,44.3434,61.4822,38.1472,22.2537,55.6528,0.069,3
3,1.7216,3.8678,7.5,1.78,2.2251,1.4,0.42,18.2115,2.5,31.2489,13.2769,19.3635,20.1124,44.3434,61.4822,38.1472,22.2537,55.6528,0.069,3
4,1.7216,3.8678,7.5,1.78,2.2251,1.4,0.42,18.2115,2.5,31.2489,13.2769,19.3635,20.1124,44.3434,61.4822,38.1472,22.2537,55.6528,0.069,3
5,1.7216,3.8678,7.5,1.78,2.2228,1.4,0.4566,18.2115,2.4998,32.1312,13.2693,19.3553,20.1297,45.2019,61.0971,39.0408,22.2469,55.5034,0.0627,3
6,1.7216,3.8678,7.5,1.78,2.2228,1.4,0.4566,18.2115,2.4998,32.1312,13.2693,19.3553,20.1297,45.2019,61.0971,39.0408,22.2469,55.5034,0.0627,3
7,1.0234,3.8796,9.38,1.92,2.2787,1.3838,0.419,18.0,2.5,32.839,13.4729,20.1935,20.3285,46.8296,67.1464,38.9477,23.7369,57.8299,0.0426,3
8,1.0234,3.8796,9.38,1.92,2.2787,1.3838,0.419,18.0,2.5,32.839,13.4729,20.1935,20.3285,46.8296,67.1464,38.9477,23.7369,57.8299,0.0426,3
9,1.0234,3.8796,9.38,1.92,2.2787,1.3838,0.419,18.0,2.5,32.839,13.4729,20.1935,20.3285,46.8296,67.1464,38.9477,23.7369,57.8299,0.0426,3
10,1.0234,3.8796,9.38,1.92,2.2787,1.3838,0.419,18.0,2.5,32.839,13.4729,20.1935,20.3285,46.8296,67.1464,38.9477,23.7369,57.8299,0.0426,3
11,1.0194,3.8617,14.0289,1.9221,2.4975,1.4,0.42,18.0086,2.4399,37.3109,14.2619,21.4865,20.0772,46.1574,68.7378,40.0955,24.1509,57.1463,0.0357,6
12,1.0194,3.8617,14.0289,1.9221,2.4975,1.4,0.42,18.0086,2.4399,37.3109,14.2619,21.4865,20.0772,46.1574,68.7378,40.0955,24.1509,57.1463,0.0357,6
13,1.0194,3.8617,14.0289,1.9221,2.4975,1.4,0.42,18.0086,2.4399,37.3109,14.2619,21.4865,20.0772,46.1574,68.7378,40.0955,24.1509,57.1463,0.0357,6
14,1.0194,3.8617,14.0289,1.9221,2.4975,1.4,0.42,18.0086,2.4399,37.3109,14.2619,21.4865,20.0772,46.1574,68.7378,40.0955,24.1509,57.1463,0.0357,6
15,1.0194,3.8617,14.0289,1.9221,2.4975,1.4,0.42,18.0086,2.4399,37.3109,14.2619,21.4865,20.0772,46.1574,68.7378,40.0955,24.1509,57.1463,0.0357,6
16,1.1237,3.884,13.9802,1.9809,2.422,1.3465,0.3673,29.9964,2.4926,33.1851,13.9934,21.3812,20.1593,46.0514,65.7935,42.0311,24.5698,56.9571,0.0297,5
17,1.122,3.8678,7.5005,1.8527,2.4252,1.3782,0.4961,18.017,2.4998,37.6792,14.014,20.4698,20.4853,47.0209,68.1351,41.9305,23.3563,56.36,0.0289,4
18,1.0003,3.8926,7.6005,1.9996,2.424,1.3786,0.4477,6.4307,2.3877,36.5642,14.0159,20.3905,20.7133,48.3875,72.6406,41.2714,24.3876,58.4562,0.02,5
19,1.0003,3.8926,7.6005,1.9996,2.424,1.3786,0.4477,6.4307,2.3877,36.5642,14.0159,20.3905,20.7133,48.3875,72.6406,41.2714,24.3876,58.4562,0.02,5
20,1.0003,3.8926,7.6005,1.9996,2.424,1.3786,0.4477,6.4307,2.3877,36.5642,14.0159,20.3905,20.7133,48.3875,72.6406,41.2714,24.3876,58.4562,0.02,5
21,1.0003,3.8926,7.6005,1.9996,2.424,1.3786,0.4477,6.4307,2.3877,36.5642,14.0159,20.3905,20.7133,48.3875,72.6406,41.2714,24.3876,58.4562,0.02,5
22,1.1238,3.8788,14.1868,1.9997,2.4975,1.3881,0.5,30.0,2.4796,38.9909,14.283,21.6612,20.2919,49.7552,65.8373,44.1723,24.8638,57.8963,0.0064,7
23,1.1266,3.9,15.0,2.0,2.4269,1.3972,0.497,29.9647,2.4979,37.663,14.0248,21.6912,20.3592,50.0811,64.8174,43.7176,24.8523,58.4286,0.0032,8
24,1.1266,3.9,15.0,2.0,2.4269,1.3972,0.497,29.9647,2.4979,37.663,14.0248,21.6912,20.3592,50.0811,64.8174,43.7176,24.8523,58.4286,0.0032,8
25,1.1266,3.9,15.0,2.0,2.4269,1.3972,0.497,29.9647,2.4979,37.663,14.0248,21.6912,20.3592,50.0811,64.8174,43.7176,24.8523,58.4286,0.0032,8
26,1.1266,3.9,15.0,2.0,2.4269,1.3972,0.497,29.9647,2.4979,37.663,14.0248,21.6912,20.3592,50.0811,64.8174,43.7176,24.8523,58.4286,0.0032,8
27,1.1266,3.9,15.0,2.0,2.4269,1.3972,0.497,29.9647,2.4979,37.663,14.0248,21.6912,20.3592,50.0811,64.8174,43.7176,24.8523,58.4286,0.0032,8
28,1.1266,3.9,15.0,2.0,2.4269,1.3972,0.497,29.9647,2.4979,37.663,14.0248,21.6912,20.3592,50.0811,64.8174,43.7176,24.8523,58.4286,0.0032,8
29,1.1266,3.9,15.0,2.0,2.4269,1.3972,0.497,29.9647,2.4979,37.663,14.0248,21.6912,20.3592,50.0811,64.8174,43.7176,24.8523,58.4286,0.0032,8
