Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,4.0,3.3,11.9981,1.7,2.4019,0.8904,0.2,17.0578,0.5,13.2714,13.2578,14.3194,15.0797,28.243,30.4818,28.9115,17.9134,27.0111,0.3584,0.3905,0
2,4.0,3.3397,10.3016,1.7,2.2,0.2,0.2,16.9619,0.5,6.0257,12.5815,13.5046,14.8963,25.9834,34.5882,28.4373,17.45,20.1866,0.4095,0.4562,0
3,4.0,3.4287,10.2111,1.7,2.2,0.2,0.2122,15.3031,0.5,6.1237,12.6522,13.593,15.2888,26.1802,34.9572,28.399,17.4482,20.3275,0.4047,0.4525,0
4,4.0,3.9,9.3244,1.7,2.5,0.2,0.5,16.1759,0.5,18.7494,14.1786,15.3521,18.0632,37.0368,36.7718,44.0351,18.4168,21.5471,0.2546,0.3156,2
5,4.0,3.3,11.4924,1.8278,2.2,0.2,0.2,14.9423,0.5,6.0081,12.5475,13.6949,14.7773,28.37,35.3312,27.7922,18.4828,21.9824,0.3964,0.4431,0
6,4.0,3.3,10.9063,1.7,2.2,0.2,0.2,15.9889,1.4116,7.4366,12.599,14.3798,14.7185,27.3771,40.1524,28.2919,18.2946,22.7959,0.3787,0.4228,0
7,4.0,3.3,10.3074,1.7,2.2,0.2,0.2,13.7308,0.5,6.137,12.5509,13.4466,14.7139,25.9846,35.6384,27.3762,17.4417,20.1313,0.4116,0.4569,0
8,4.0,3.3,10.584,1.7,2.2,1.4,0.2,14.7603,0.5,19.5399,12.5256,13.3778,15.5536,35.9394,29.1083,28.9876,17.8092,40.5309,0.3036,0.3212,0
9,4.0,3.3,10.7155,1.7,2.2,0.2,0.2,18.7646,0.5,5.9715,12.5498,13.5369,14.7268,25.971,34.0127,28.9308,17.4727,20.1261,0.4106,0.4573,0
10,4.0,3.3,9.4894,1.7,2.2,0.2,0.2,20.5031,0.5,5.9908,12.5528,13.3589,14.7685,25.9727,33.865,29.656,17.4241,20.1579,0.4098,0.4567,0
11,4.0,3.3,11.2387,2.0,2.2,0.2,0.2,20.8139,0.5,5.8335,12.5472,13.734,14.9226,32.0195,34.4827,30.063,19.9597,24.7732,0.3715,0.4229,0
12,4.0,3.3,8.9523,2.0,2.2,0.2,0.2,21.613,2.1492,9.4387,12.6776,15.4774,15.0172,35.5526,48.3847,30.9812,21.9655,31.7183,0.289,0.3383,0
13,4.0,3.3,10.1355,1.7,2.2,1.4,0.2,19.7355,0.5,19.4272,12.5266,13.3314,15.5867,35.9299,27.7751,30.677,17.8016,40.539,0.3022,0.3217,0
14,4.0,3.9,7.5346,1.7,2.2,0.2,0.2,21.0825,0.5,5.9795,13.0657,14.1098,17.9081,26.0981,34.0871,32.2703,17.4473,21.6136,0.374,0.4368,0
15,4.0,3.9,13.7936,1.7,2.2,0.2,0.2,19.998,0.5,5.7383,13.0453,14.9062,17.4398,26.0682,32.879,31.6352,17.7067,21.0131,0.3773,0.4404,0
16,4.0,3.3,15.0,2.0,2.5,1.4,0.2,19.6966,0.5,25.1516,13.6289,15.5044,15.9376,40.8772,32.3829,32.6668,20.8978,44.858,0.2117,0.2389,0
17,4.0,3.9,12.2641,1.7,2.5,0.2,0.5,19.3496,0.5,18.5245,14.1689,15.7549,17.8643,36.9773,35.1955,44.222,18.5513,21.2671,0.2578,0.3196,2
18,4.0,3.9,9.2956,2.0,2.2,0.2,0.2,19.3127,0.5,5.8497,13.0582,14.3147,17.9133,32.1492,35.188,31.7867,19.9731,26.1081,0.3391,0.4042,0
19,4.0,3.3,9.6362,1.7,2.2,0.2,0.2,22.0602,0.5,5.9634,12.5524,13.3901,14.7737,25.9689,33.4783,30.3558,17.4359,20.1523,0.4086,0.4562,0
20,2.8055,3.3,9.6127,1.7,2.2,0.2,0.2,21.2561,0.5,7.8871,12.5577,14.582,15.5056,26.21,41.996,31.2411,17.8698,22.1868,0.3666,0.4141,0
21,4.0,3.3,14.2268,1.7,2.2,0.2,0.2,16.1966,0.5,5.904,12.5423,14.3248,14.7394,25.9623,33.9467,27.9856,17.6967,20.329,0.4078,0.4554,0
22,4.0,3.3,14.3165,2.0,2.2,0.2,0.2,14.701,1.8484,8.4305,12.6313,15.9029,14.9233,34.5745,45.352,28.6055,21.5753,29.5702,0.3112,0.3614,0
23,4.0,3.9,14.8173,1.7,2.2,0.2,0.2,17.4388,0.5,5.7579,13.0425,15.1445,17.4025,26.0689,33.3306,30.6422,17.7772,21.0521,0.3776,0.44,0
24,4.0,3.3,13.8001,1.7,2.2,0.2,0.2,17.1151,1.7354,8.1325,12.6223,15.5254,14.7436,28.2003,42.3829,28.7928,18.9743,24.546,0.356,0.4012,0
25,4.0,3.9,13.2321,2.0,2.2,0.2,0.2,16.4355,0.5,5.7614,13.0457,14.8308,17.6201,32.1316,35.0764,30.6622,20.0634,25.4742,0.3423,0.4069,0
26,4.0,3.3,15.0,1.7,2.2,1.4,0.2,16.1759,0.5,19.3294,12.5162,14.4383,15.6101,35.9178,27.6629,29.316,18.1163,40.8438,0.2984,0.3179,0
27,4.0,3.3,7.9541,2.0,2.2,0.2,0.2,22.4487,0.5,5.9551,12.5556,13.3237,15.0559,32.0339,34.902,30.8852,19.898,25.1407,0.3691,0.4203,0
28,4.0,3.9,9.8483,1.7,2.2,0.2,0.5,27.8423,0.5,11.8105,13.0564,14.3213,17.8913,36.3155,29.2992,42.519,17.5453,21.5879,0.3108,0.3794,0
29,4.0,3.3,8.484,2.0,2.2,0.2,0.2,8.8726,0.5,6.3574,12.5544,13.3138,14.973,32.0635,39.0293,26.8185,19.8756,25.0664,0.3711,0.4192,0
30,4.0,3.3,10.4289,1.7,2.2,0.2,0.2,9.4203,0.5,6.3237,12.5507,13.4563,14.7022,25.9956,37.2375,26.5451,17.4434,20.1313,0.4101,0.4549,0
31,4.0,3.3,12.7964,2.0,2.2,0.2,0.2,9.3119,0.5,6.1562,12.544,14.0028,14.8723,32.0392,37.8386,26.7912,19.9963,24.698,0.3713,0.4207,0
32,4.0,3.3,15.0,2.0,2.2,0.2,0.2,9.449,2.5,10.926,12.7108,17.4403,14.9465,36.8666,55.9558,28.7117,22.953,33.949,0.2534,0.3112,0
33,4.0,3.9,9.3794,1.7,2.2,0.2,0.2,10.54,0.5,6.2218,13.0594,14.1771,17.6737,26.1132,36.9179,29.045,17.4663,21.3058,0.3777,0.4366,0
34,4.0,3.9,10.4709,2.0,2.5,0.2,0.5,8.4008,0.5,19.0106,14.1735,15.5349,18.1408,42.759,40.4263,44.6539,20.7131,26.0464,0.2152,0.2726,2
35,4.0,3.3,9.9602,1.7,2.2,1.4,0.2,10.0467,0.5,19.7628,12.5273,13.2673,15.5565,35.9544,30.9703,27.9982,17.7757,40.5454,0.3025,0.3184,0
36,4.0,3.3,11.3401,1.7,2.2,0.2,0.2,10.1691,1.2994,7.413,12.5896,14.3046,14.6963,27.1507,41.1976,27.0494,18.1715,22.3448,0.3826,0.4267,0
