Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.75,3.4,7.5,1.68,2.1,1.4,0.42,18.0,2.5,34.6474,40.0859,19.9476,17.4149,9.8661,59.5133,35.6227,23.3161,52.5608,0.068,4
2,1.0,3.25,9.38,1.75,2.33,1.4,0.2,30.0,1.5,31.5236,28.107,19.5505,17.0099,17.8832,55.3389,39.2915,22.8891,48.4443,0.0795,3
3,1.0114,3.2657,11.25,1.6,2.1715,0.95,0.2777,29.9249,2.5,22.916,41.2132,21.6741,16.3825,20.8356,63.0203,36.195,23.2992,40.2727,0.138,3
4,1.0182,3.25,11.25,1.6019,2.153,1.1749,0.2702,29.925,2.5,26.4866,43.4939,21.5707,16.5289,18.2364,62.7507,36.563,23.4419,45.4426,0.0954,3
5,1.0112,3.2403,11.2869,1.6019,2.153,1.2034,0.2718,18.0167,2.5,27.1946,43.8947,21.5055,16.4348,17.9582,65.1138,32.3705,23.4484,46.201,0.1038,3
6,1.0112,3.2403,11.2869,1.6019,2.153,1.2034,0.2718,18.0167,2.5,27.1946,43.8947,21.5055,16.4348,17.9582,65.1138,32.3705,23.4484,46.201,0.1038,3
7,1.0093,3.2499,11.2389,1.6326,2.3924,1.2043,0.2419,17.7864,2.4973,31.6155,18.62,22.3194,16.6105,16.6872,69.002,33.8494,24.2142,46.5807,0.1075,2
8,1.8094,3.2499,11.0838,1.6149,2.1023,1.2048,0.2763,17.7867,2.4684,27.5159,47.3661,20.7449,16.2137,17.0532,58.5102,31.8066,23.281,45.3719,0.1118,2
9,1.8094,3.2499,11.0838,1.6149,2.1023,1.2048,0.2763,17.7867,2.4684,27.5159,47.3661,20.7449,16.2137,17.0532,58.5102,31.8066,23.281,45.3719,0.1118,2
10,1.0142,3.2498,11.0708,1.6119,2.1024,1.2042,0.2418,17.8006,2.4997,26.0646,49.7866,21.2834,16.4534,18.3115,64.9103,31.8585,23.3735,46.4861,0.1142,3
11,1.009,3.2454,14.8192,1.6163,2.1052,1.2432,0.2004,29.5195,2.4999,26.5298,47.5527,23.2625,16.6448,17.7852,62.4299,36.5109,24.8178,48.2124,0.0818,3
12,1.009,3.2454,14.8192,1.6163,2.1052,1.2432,0.2004,29.5195,2.4999,26.5298,47.5527,23.2625,16.6448,17.7852,62.4299,36.5109,24.8178,48.2124,0.0818,3
13,1.0323,3.2454,11.2122,1.6163,2.1051,1.2442,0.2006,29.9314,2.4999,26.7238,50.3911,21.3994,16.5684,17.8642,63.0341,36.8061,23.5344,47.8127,0.0897,3
14,1.0323,3.2454,11.2122,1.6163,2.1051,1.2442,0.2006,29.9314,2.4999,26.7238,50.3911,21.3994,16.5684,17.8642,63.0341,36.8061,23.5344,47.8127,0.0897,3
15,1.0323,3.6752,11.2122,1.8711,2.1051,1.2442,0.2006,17.2626,2.4999,26.7054,32.5621,22.9446,18.7072,11.0587,66.0797,33.9603,26.0093,52.6867,0.0848,6
16,1.0098,3.5478,14.925,1.8905,2.1093,1.2948,0.2004,17.8318,2.4986,27.7812,34.0935,24.4511,18.1029,9.6895,65.5345,33.8375,27.6197,54.0828,0.0753,7
17,1.0098,3.5478,14.925,1.8905,2.1093,1.2948,0.2004,28.5419,2.4986,27.6746,33.9661,24.4995,18.1787,9.5567,63.3582,37.9166,27.6446,54.0762,0.0627,7
18,1.0323,3.2488,11.2122,1.8717,2.1051,1.2442,0.2006,29.9314,2.4999,26.6483,49.2697,21.4828,16.7353,11.3076,63.7166,37.0822,25.8719,51.4293,0.0851,5
19,1.0323,3.2488,11.2122,1.8717,2.1051,1.2442,0.2006,29.9314,2.4999,26.6483,49.2697,21.4828,16.7353,11.3076,63.7166,37.0822,25.8719,51.4293,0.0851,5
20,1.0323,3.2488,11.2122,1.8717,2.1051,1.2442,0.2006,29.9314,2.4999,26.6483,49.2697,21.4828,16.7353,11.3076,63.7166,37.0822,25.8719,51.4293,0.0851,5
