Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1,3.7,13.12,1.75,2.17,1.4,0.2,12.3944,1.596,28.7972,24.5434,22.449,18.914,17.4418,57.0785,33.3679,24.0391,50.2509,0.0765,3
2,1.8989,3.4,7.5,1.6871,2.2516,1.4,0.2067,18.3163,2.5,34.8346,29.4408,20.3169,17.3838,12.138,62.6501,34.5385,23.6476,53.3651,0.0673,5
3,1.4873,3.603,15,1.9,2.1,1.1218,0.5,8.6865,2.5,30.4148,24.304,24.368,18.1085,5.5034,61.8991,39.8496,27.532,48.2944,0.0808,5
4,1.4873,3.603,15,1.9,2.1,1.1218,0.5,8.6865,2.5,30.4148,24.304,24.368,18.1085,5.5034,61.8991,39.8496,27.532,48.2944,0.0808,5
5,1.4873,3.603,15,1.9,2.1,1.1218,0.5,8.6865,2.5,30.4148,24.304,24.368,18.1085,5.5034,61.8991,39.8496,27.532,48.2944,0.0808,5
6,1.4873,3.603,15,1.9,2.1,1.1218,0.5,8.6865,2.5,30.4148,24.304,24.368,18.1085,5.5034,61.8991,39.8496,27.532,48.2944,0.0808,5
7,1.4873,3.603,15,1.9,2.1,1.1218,0.5,8.6865,2.5,30.4148,24.304,24.368,18.1085,5.5034,61.8991,39.8496,27.532,48.2944,0.0808,5
8,1.4873,3.603,15,1.9,2.1,1.1218,0.5,8.6865,2.5,30.4148,24.304,24.368,18.1085,5.5034,61.8991,39.8496,27.532,48.2944,0.0808,5
9,1.4873,3.603,15,1.9,2.1,1.1218,0.5,8.6865,2.5,30.4148,24.304,24.368,18.1085,5.5034,61.8991,39.8496,27.532,48.2944,0.0808,5
10,1.4873,3.603,15,1.9,2.1,1.1218,0.5,8.6865,2.5,30.4148,24.304,24.368,18.1085,5.5034,61.8991,39.8496,27.532,48.2944,0.0808,5
11,1.4873,3.603,15,1.9,2.1,1.1218,0.5,8.6865,2.5,30.4148,24.304,24.368,18.1085,5.5034,61.8991,39.8496,27.532,48.2944,0.0808,5
