Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,2.5563,3.444,14.193,1.6845,2.3423,1.2422,0.3961,24.1572,0.8704,31.3821,8.1629,20.6467,17.0034,19.2417,36.7252,36.1792,22.9189,38.1344,0.8373,1
2,2.4786,3.2967,13.1739,1.8709,2.1297,1.1152,0.455,28.4834,1.3865,27.044,35.1673,19.585,16.3218,13.5549,37.3171,37.0611,24.2882,38.9774,0.5284,2
3,1.458,3.5833,12.7897,1.6133,2.3724,0.9473,0.2059,12.2168,1.8435,24.9285,7.9946,22.5798,17.7016,24.5483,58.5157,32.0889,23.1173,36.5567,0.8048,1
4,1.8599,3.2345,14.6537,1.6588,2.1024,0.6151,0.3316,17.0477,2.0583,18.5893,45.1639,21.5988,15.7411,23.7722,53.1073,31.4696,23.706,32.2451,0.6407,2
5,2.3134,3.4867,11.5219,1.7704,2.2373,1.0139,0.4187,14.3539,1.9471,27.9654,19.1092,20.6719,17.0582,15.1956,49.2412,35.1207,23.7761,38.8145,0.4511,1
6,1.1533,3.4974,7.724,1.8271,2.3666,1.2584,0.4126,9.8116,0.9903,31.2236,10.315,19.0849,18.0821,16.7514,53.5665,35.713,22.5329,43.0845,0.6642,2
7,1.1123,3.4645,12.7433,1.8632,2.2771,0.8012,0.3132,7.307,2.3983,23.7414,19.5085,23.1601,17.2464,15.2041,68.8459,33.4842,26.1048,40.9031,0.442,3
8,1.2363,3.5079,9.916,1.7345,2.1617,0.6657,0.3409,25.8134,1.7568,18.278,32.6658,20.2992,17.3523,23.4711,53.2713,35.8652,22.5296,33.217,0.6167,2
9,3.3037,3.3445,11.7461,1.6509,2.1033,0.5839,0.3575,13.1775,2.0568,21.4473,39.7634,19.1456,15.4092,20.9099,44.8478,31.369,22.4049,29.5036,0.692,2
10,3.57,3.5286,12.2155,1.807,2.2949,1.3788,0.2704,21.2533,2.1118,36.3752,11.1487,20.4353,16.9521,8.0267,43.5915,34.3204,24.919,48.457,0.6501,2
11,3.5698,3.6349,11.2445,1.8602,2.3487,1.1877,0.4589,12.2829,2.0043,36.5922,-2.726,20.2313,17.341,6.4112,43.5112,37.0571,24.7819,42.4468,1.1679,1
12,2.226,3.4891,11.2167,1.6651,2.1227,0.5735,0.46,29.5994,1.5079,20.726,32.057,19.6126,16.831,22.7468,42.0079,39.4814,21.7322,28.7184,0.6915,3
13,1.7462,3.1396,14.7787,1.8812,2.3998,1.3046,0.3429,9.0582,0.9602,32.2251,15.6473,20.8375,16.2442,15.4913,49.7078,32.346,25.2019,43.6125,0.4944,2
14,2.9243,3.1346,10.9318,1.621,2.191,1.3571,0.2772,8.4692,1.5129,31.7827,41.3368,17.8917,15.4214,18.7214,44.021,29.7377,21.6651,42.3269,0.5082,2
15,2.5692,3.3378,7.6722,1.8644,2.3882,1.2521,0.2479,22.9235,0.9711,30.797,15.7694,17.6406,16.7535,16.9634,41.8406,34.5861,22.7046,41.6555,0.6008,1
16,3.5734,3.1508,8.6945,1.8008,2.2477,0.6491,0.2146,24.2579,1.0452,20.5317,37.8466,16.1553,14.6718,23.0339,34.3929,31.5351,21.6919,26.7273,0.8665,2
17,1.9038,3.4164,13.3385,1.6508,2.1401,1.2824,0.2278,16.0984,2.1591,28.4763,36.2882,21.7937,17.0321,17.5316,54.6072,32.0047,23.8577,46.4564,0.2917,2
18,2.3123,3.4459,10.6736,1.774,2.3584,1.1092,0.4624,17.9418,1.5647,31.9954,7.3504,19.933,17.0781,14.737,45.53,37.1596,23.2188,38.6614,0.8063,1
19,2.0469,3.4779,13.7033,1.8446,2.1523,1.1327,0.3403,28.0375,1.2638,24.2459,29.292,20.7589,17.2744,17.6204,40.5187,36.2596,24.2392,39.7911,0.5051,2
20,2.3657,3.3429,13.5549,1.7966,2.3478,1.253,0.3598,9.3288,1.0989,31.5387,12.9932,20.3132,16.6485,16.8879,44.8274,32.7629,23.8651,40.7603,0.6252,1
21,1.7633,3.1739,11.8383,1.8071,2.3302,0.5184,0.3848,13.5652,1.3779,21.9327,24.6173,19.7354,15.6339,21.9446,52.2592,34.6357,23.4278,29.3106,0.616,1
22,1.9242,3.2739,9.547,1.6768,2.38,1.1013,0.3348,12.1741,2.2115,31.0738,16.625,20.4224,16.3576,16.7269,59.4225,33.4323,23.2912,41.2784,0.4536,1
23,1.6114,3.5748,13.9138,1.7675,2.3244,0.5463,0.2133,14.0548,1.737,19.9034,12.4605,22.7934,17.4095,24.704,57.306,32.1883,24.4804,31.9231,0.7686,1
24,2.8024,3.4824,10.4739,1.742,2.26,1.3736,0.2372,22.3333,1.4863,32.3752,21.3355,19.0953,17.1954,16.0248,41.8189,34.5056,22.7847,45.4431,0.4345,1
25,2.5149,3.5731,10.4517,1.6243,2.1347,1.0533,0.4648,13.9647,2.3498,29.7465,25.7836,20.735,17.3528,14.4383,51.4065,36.716,22.8318,40.2521,0.3239,2
26,2.5442,3.3506,14.3286,1.6598,2.1642,1.3708,0.4259,19.0425,2.3008,35.3815,28.5661,21.968,16.6781,10.8068,49.6859,35.0377,24.6474,48.5556,0.2312,3
27,3.7608,3.1802,12.6709,1.6155,2.1273,0.7019,0.2423,13.4373,0.9598,19.0953,45.9939,17.158,14.4498,26.767,31.7028,26.7186,20.8448,24.4248,0.9608,2
28,2.6169,3.3939,13.3859,1.8946,2.3422,0.7699,0.3402,13.7206,1.6439,24.8031,11.9257,20.9091,16.3645,16.7284,47.1946,33.1426,25.1575,34.0271,0.736,2
29,1.8717,3.4262,11.3881,1.6933,2.1551,1.1895,0.2394,14.9296,2.4688,27.9515,35.2552,21.5951,17.0164,15.5715,59.9803,31.9643,24.1736,46.4415,0.2887,2
30,3.1483,3.5079,12.9445,1.7404,2.3536,1.3105,0.3938,16.3003,1.3222,35.0087,3.797,20.0673,17.022,14.3282,38.3804,34.384,23.3752,41.3718,0.9628,2
31,1.4703,3.2981,8.6891,1.6562,2.2928,0.7909,0.2021,14.1929,0.7281,19.0828,32.1275,18.109,16.2908,30.5974,49.3605,29.725,20.5687,29.1523,0.745,2
32,3.0701,3.4319,8.5673,1.6284,2.121,0.6644,0.4477,9.9597,0.8474,21.6115,35.9469,16.6288,16.1189,24.7809,36.1353,34.4344,19.8023,25.3775,0.8341,2
33,3.8404,3.6214,8.7134,1.8525,2.1633,0.7983,0.38,19.0247,0.9637,22.8059,22.8847,16.7115,16.7492,16.7757,29.217,32.9656,21.964,29.709,0.8241,1
34,3.9989,3.4792,14.4768,1.703,2.1851,1.1674,0.4164,8.1046,1.4179,31.1136,19.9843,19.4143,16.0561,13.3012,32.7926,32.6965,23.1548,35.8364,0.6427,1
35,2.6835,3.3633,8.5711,1.8376,2.2087,1.0884,0.3651,8.3677,0.5929,25.6964,30.7402,16.9714,16.4481,19.201,39.3011,31.4547,21.8617,35.5892,0.6388,2
36,1.5227,3.3758,10.2671,1.6267,2.2199,0.8484,0.2483,10.4852,1.7876,20.9281,33.5465,19.9627,16.5796,25.9711,56.3255,30.0832,21.8397,33.8913,0.5984,2
37,3.6164,3.5013,10.7728,1.6975,2.3185,0.9513,0.3943,12.5977,2.179,31.0343,8.7654,19.7576,16.3171,13.1737,45.2374,34.2635,23.3049,35.7829,0.7937,1
38,3.782,3.1829,13.5883,1.627,2.3423,0.9704,0.3498,19.359,1.321,28.4446,18.3833,18.736,14.8519,19.3124,32.8175,31.9456,22.2743,30.101,0.764,1
39,3.8254,3.3716,9.5261,1.6383,2.2898,0.5844,0.2176,7.0796,0.9898,21.8437,24.4469,16.7698,15.2558,26.3617,38.0798,27.8347,20.5439,23.3967,0.879,1
40,1.2502,3.5783,11.4094,1.7363,2.2445,0.7114,0.4071,14.7124,1.9672,22.5307,17.8861,21.8188,17.6916,19.6878,58.1351,36.2981,23.5404,35.1037,0.5489,1
41,2.7339,3.6398,13.5078,1.8615,2.3611,1.3961,0.3297,21.797,1.4433,35.4889,-0.9876,21.499,18.0733,11.3966,42.2901,36.022,25.0853,47.6366,1.0893,4
42,2.7373,3.1615,12.9078,1.7707,2.1843,0.5981,0.469,19.3163,0.724,21.7953,36.0236,18.2684,15.1758,21.5299,35.4164,35.8805,22.3581,26.2437,0.7885,2
43,2.2621,3.2058,7.6847,1.6392,2.2958,1.0053,0.4277,23.1554,2.0288,29.3947,27.1463,18.622,15.9126,17.6663,49.7581,35.927,21.9039,36.793,0.45,2
44,3.2669,3.3702,10.5557,1.7365,2.1925,0.6578,0.3401,14.4006,2.4816,24.7579,29.7501,19.9395,15.6969,15.3623,51.8509,32.3989,23.9147,34.4944,0.5138,2
45,1.5499,3.692,12.3647,1.831,2.2998,0.779,0.281,15.0453,1.6758,21.4563,9.2915,22.2315,18.1988,20.78,54.3847,33.4399,24.3715,35.7444,0.8046,2
46,2.3964,3.1987,13.4803,1.6132,2.2432,0.6959,0.3748,19.8725,0.6188,20.4885,31.4629,19.0641,15.4388,27.9474,37.6753,33.1873,21.3229,25.6977,0.7994,2
47,3.075,3.3946,10.062,1.8055,2.236,1.3774,0.2436,21.9463,1.1422,31.7791,27.0113,17.8871,16.6701,15.2242,37.1204,33.6466,22.7096,44.4475,0.5095,2
48,3.9278,3.5081,8.2386,1.6319,2.3497,0.6353,0.3875,16.9345,0.5827,25.1955,8.8524,16.4269,16.0285,22.5338,30.6455,34.2153,20.0722,23.0003,1.0866,1
