Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1,3.1,7.5,1.9,2.4,1.4,0.2,30,2.0049,34.4178,26.832,19.5405,16.5464,11.2277,62.9676,39.3082,24.7048,53.1676,0.0676,6
2,1.9357,3.2221,9.925,1.6995,2.2785,1.4,0.439,10.6767,2.2034,37.7625,25.7774,20.0699,16.4732,10.6589,58.0928,35.8308,23.5945,49.5979,0.0706,3
3,1.5315,3.25,7.5,1.651,2.3603,1.4,0.42,9.4527,2.2877,38.7505,19.1906,19.9585,16.8441,11.8454,64.4631,36.2279,23.048,50.2325,0.1042,4
4,1.2281,3.5589,7.5,1.6887,2.1693,1.4,0.4553,22.6324,2.2881,34.9724,26.7283,20.5526,18.4889,10.7653,59.3527,37.9828,23.1391,52.0627,0.0547,5
5,2.5,3.5536,13.9345,1.829,2.1379,1.4,0.35,18,2.4641,34.627,24.8436,22.8135,17.6793,6.2964,53.7537,34.7674,26.4902,53.7312,0.0628,3
6,1,3.6034,7.5,1.6,2.1,1.4,0.5,30,2.5,35.4585,31.4682,21.1095,18.7975,10.5168,61.5096,40.6194,22.8236,52.644,0.0495,7
7,1,3.42,14.1007,1.6,2.25,1.4,0.4129,30,2.3529,35.0294,20.1679,23.6296,17.6887,13.1079,60.5836,39.1708,24.5728,51.2297,0.0651,5
8,2.9609,3.1,14.3071,1.8785,2.3745,1.4,0.2768,27.4271,2.4228,38.651,17.9455,21.8292,15.7427,4.9971,52.3838,36.5022,27.2656,52.7925,0.1512,3
9,1.8524,3.2805,8.4214,1.8165,2.3108,1.3243,0.5,10.5811,2.5,39.3475,19.0347,20.5241,16.8567,5.0681,63.2264,39.2475,24.9001,51.1618,0.1326,4
10,1.3388,3.4,7.875,1.8892,2.2543,1.1809,0.485,7.2,2.4,33.694,22.4004,20.6351,17.4857,6.6517,65.9409,39.4403,25.083,48.7284,0.0619,3
11,1.3388,3.4,7.875,1.8892,2.2543,1.1809,0.485,7.2,2.4,33.694,22.4004,20.6351,17.4857,6.6517,65.9409,39.4403,25.083,48.7284,0.0619,3
12,1.3388,3.4,7.875,1.8892,2.2543,1.1809,0.485,7.2,2.4,33.694,22.4004,20.6351,17.4857,6.6517,65.9409,39.4403,25.083,48.7284,0.0619,3
13,1,3.537,10.2871,1.8919,2.2126,1.1555,0.4185,23.1068,2.4,29.2352,21.8069,22.1374,18.0942,8.7879,62.5059,37.3757,25.7042,48.7599,0.0702,4
14,1,3.537,10.2871,1.8919,2.2126,1.1555,0.4185,23.1068,2.4,29.2352,21.8069,22.1374,18.0942,8.7879,62.5059,37.3757,25.7042,48.7599,0.0702,4
15,1,3.537,10.2871,1.8919,2.2126,1.1555,0.4185,23.1068,2.4,29.2352,21.8069,22.1374,18.0942,8.7879,62.5059,37.3757,25.7042,48.7599,0.0702,4
16,2.65,3.1,9.8553,1.8998,2.3976,1.3287,0.359,11.8655,2.3685,38.3009,17.7074,19.936,15.6994,5.6653,57.9883,33.7977,25.7515,50.4071,0.1435,3
17,1.2987,3.5141,9.9462,1.7381,2.2775,1.185,0.3081,22.9951,2.2184,28.8505,19.224,21.5144,17.8271,15.5144,59.5049,35.6665,23.9151,45.8174,0.1072,1
18,2.9987,3.1,8.1008,1.9,2.4,1.3135,0.4147,6,2.5,40.6528,16.6066,19.2946,15.5777,3.0471,59.8585,35.7355,25.5666,50.3353,0.2346,3
19,2.9987,3.1,8.1008,1.9,2.4,1.3135,0.4147,6,2.5,40.6528,16.6066,19.2946,15.5777,3.0471,59.8585,35.7355,25.5666,50.3353,0.2346,3
20,2.9987,3.1,8.1008,1.9,2.4,1.3135,0.4147,6,2.5,40.6528,16.6066,19.2946,15.5777,3.0471,59.8585,35.7355,25.5666,50.3353,0.2346,3
21,1.058,3.4,11.25,1.75,2.25,1.4,0.215,18,1.5,30.0853,28.9221,20.4826,17.5144,17.8423,55.3196,33.7112,23.281,48.7437,0.0852,2
22,1.3526,3.1,8.0281,1.9,2.3321,1.1096,0.4321,18.161,2.0474,30.6336,27.5423,19.2929,16.0181,11.0168,58.7318,35.6338,24.44,43.8486,0.0966,2
23,1,3.5498,15,1.9,2.2125,1.1004,0.4345,14.5333,2.5,29.0733,17.1882,24.7961,17.9999,7.8764,65.1133,37.0719,27.6847,48.183,0.1166,4
24,1,3.1,15,1.9,2.4,1.4,0.2489,22.9029,2.5,36.1188,18.9858,23.8366,16.5206,7.0318,68.6673,35.8886,28.1568,56.273,0.0888,5
25,1,3.1,15,1.9,2.4,1.4,0.2489,22.9029,2.5,36.1188,18.9858,23.8366,16.5206,7.0318,68.6673,35.8886,28.1568,56.273,0.0888,5
26,2.7015,3.1,7.5,1.9,2.4,1.1507,0.3538,7.7405,2.2673,34.48,19.9223,18.8198,15.5313,8.8049,58.0282,33.2986,24.8116,44.8115,0.1247,2
27,1.9695,3.4258,11.4189,1.7533,2.2629,1.3816,0.267,17.3315,2.3667,34.3288,22.3402,21.6879,17.3186,11.0683,59.0162,34.155,24.8768,52.0791,0.0648,3
28,2.7263,3.326,10.9608,1.8508,2.217,1.315,0.4604,12.3856,2.2477,36.3443,24.8621,20.096,16.5162,6.0738,51.1881,36.079,25.0653,48.4312,0.0937,2
29,1,3.4498,14.8564,1.9,2.2177,0.8994,0.396,30,2.5,24.8487,21.9806,24.4085,17.4372,10.754,62.5555,38.8555,27.506,43.8975,0.1069,4
30,1,3.1,8.5517,1.9,2.4,1.4,0.5,6.161,2.5,41.8666,17.5822,20.8747,16.4991,2.9003,73.2287,40.325,25.9236,55.1702,0.2248,5
31,1.0924,3.2988,8.1129,1.8903,2.3903,1.2494,0.3567,21.9004,2.5,34.0662,15.0287,21.2574,17.1676,7.9421,67.6874,36.4442,25.6554,51.4438,0.1409,5
32,1,3.1363,7.5,1.8832,2.3832,1.1783,0.2988,18.6436,2.5,31.5233,24.6157,20.5554,16.3395,10.417,69.6988,34.185,25.3204,49.2027,0.0746,3
33,2.3269,3.4404,12.2052,1.609,2.2435,1.355,0.3384,25.9943,2.3745,34.6212,21.1082,21.7736,17.1598,13.3257,53.0158,36.4509,23.8254,48.5868,0.0788,2
34,2.5,3.1031,7.6052,1.8247,2.313,1.3763,0.4284,6.274,2.4578,39.789,27.0671,19.1499,15.8521,5.4951,61.2091,35.9308,24.6406,51.583,0.1094,4
35,1.72,3.4994,12.5837,1.823,2.2985,1.2863,0.2683,26.7611,2.0162,30.8536,15.394,22.137,17.7314,13.2686,53.9121,37.1338,25.2087,48.109,0.14,2
36,1,3.1,7.5,1.9,2.4,1.2915,0.2,6,2.496,34.1242,26.7136,20.5039,16.2921,9.7764,76.0898,32.299,25.5958,52.9678,0.0815,6
37,2.5,3.13,11.25,1.8784,2.3795,1.355,0.35,18,2.4,37.9897,17.8326,20.7445,15.911,5.9766,56.9665,34.3365,26.0629,51.4099,0.1301,3
38,1,3.7,7.5,1.9,2.1514,1.4,0.5,30,2.5,36.2639,21.0371,21.7242,19.5535,2.6103,62.961,41.6347,25.6224,57.4899,0.2179,6
39,1,3.7,7.5,1.9,2.1514,1.4,0.5,30,2.5,36.2639,21.0371,21.7242,19.5535,2.6103,62.961,41.6347,25.6224,57.4899,0.2179,6
40,1,3.7,7.5,1.9,2.1514,1.4,0.5,30,2.5,36.2639,21.0371,21.7242,19.5535,2.6103,62.961,41.6347,25.6224,57.4899,0.2179,6
41,1,3.7,7.5,1.9,2.1514,1.4,0.5,30,2.5,36.2639,21.0371,21.7242,19.5535,2.6103,62.961,41.6347,25.6224,57.4899,0.2179,6
42,1,3.7,7.5,1.9,2.1514,1.4,0.5,30,2.5,36.2639,21.0371,21.7242,19.5535,2.6103,62.961,41.6347,25.6224,57.4899,0.2179,6
43,1,3.7,7.5,1.9,2.1514,1.4,0.5,30,2.5,36.2639,21.0371,21.7242,19.5535,2.6103,62.961,41.6347,25.6224,57.4899,0.2179,6
44,2.0945,3.288,11.3158,1.82,2.335,1.2982,0.2115,11.8434,1.912,32.1698,21.8995,20.399,16.5718,14.309,55.5245,31.7592,24.504,47.0118,0.1006,1
45,1.2859,3.7,14.6386,1.8818,2.1445,1.3222,0.4935,27.2225,2.4216,33.9189,16.1333,24.7011,18.9527,4.4317,57.9566,40.2974,27.3424,53.1824,0.1705,5
46,1,3.1261,13.4828,1.9,2.4,1.4,0.2,6,2.4664,36.4479,20.7411,23.0105,16.5022,7.9624,74.7237,32.9517,27.4434,56.2102,0.0828,5
47,3.2155,3.1,7.5,1.6,2.4,1.4,0.2407,6,2.5,40.6288,22.3218,18.8033,15.3602,11.0803,59.9425,31.9551,23.0284,49.1687,0.115,2
48,1,3.1743,12.0451,1.7532,2.2613,1.4,0.2,20.0583,2.0008,31.5343,35.9293,20.9968,16.5445,15.2693,60.9068,33.9364,24.3362,51.0058,0.0707,4
