Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
2,26.0981,26.67,25.0,30.0,30.0,29.5024,36.7667,20.0,35.0,2.2057,3.2034,2.4253,2.0723,2.6747,2.4908,2.9017,3.1724,1.7605,0.0652,5
3,25.0252,30.0,30.1782,26.67,33.1499,30.0,39.5177,26.67,34.9233,2.2462,3.0998,2.1357,2.5019,2.3399,2.4539,3.342,2.5419,2.0315,0.0455,4
4,25.0252,30.0,30.1782,26.67,33.1499,30.0,39.5177,26.67,34.9233,2.2462,3.0998,2.1357,2.5019,2.3399,2.4539,3.342,2.5419,2.0315,0.0455,4
5,25.3537,23.2809,20.0812,20.1022,30.0114,35.2018,39.8684,20.0,35.0,2.2907,4.2553,2.1385,2.5905,2.4404,2.4423,3.8676,3.292,2.4349,0.038,6
6,25.3537,23.2809,20.0812,20.1022,30.0114,35.2018,39.8684,20.0,35.0,2.2907,4.2553,2.1385,2.5905,2.4404,2.4423,3.8676,3.292,2.4349,0.038,6
7,25.0796,26.6358,20.042,23.34,30.0,40.0,39.5717,29.7312,30.0797,1.9187,3.8003,2.3418,2.6863,2.5137,2.3529,3.6229,1.8825,3.3994,0.0358,6
8,25.0067,26.5935,20.1053,29.9992,30.3276,35.0686,39.7059,20.0324,34.9993,2.1713,3.66,2.16,2.1944,2.5865,2.701,3.2893,2.974,2.515,0.0333,7
9,25.3537,26.8152,20.5257,20.2068,30.0114,35.2018,39.8676,20.0,34.5365,2.1253,4.2279,2.1731,2.6095,2.4665,2.6886,3.8564,3.1133,2.436,0.0318,7
10,25.0434,26.6582,20.0535,29.5883,30.0075,39.6601,36.7204,20.2219,35.0,2.0163,3.2845,2.0844,2.1821,2.6132,2.4776,2.9781,2.9399,2.8692,0.0515,4
11,25.0359,26.6328,20.0565,20.2555,30.0425,39.949,36.5378,20.0,34.529,1.9962,3.8021,2.1104,2.57,2.5145,2.436,3.4865,3.0951,2.7713,0.0443,6
12,26.2902,27.3217,20.1019,20.0041,30.1769,25.124,39.8828,29.8019,34.9997,2.2376,4.2795,2.9216,2.819,2.3911,2.1537,3.817,3.0741,2.1373,0.0484,7
13,26.2902,27.3217,20.1019,20.0041,30.1769,25.124,39.8828,29.8019,34.9997,2.2376,4.2795,2.9216,2.819,2.3911,2.1537,3.817,3.0741,2.1373,0.0484,7
14,25.1195,26.8292,21.0145,23.2023,30.0425,38.8633,36.7212,20.015,34.529,1.9738,3.6047,2.1581,2.4653,2.5638,2.4718,3.2938,3.0501,2.7066,0.0393,6
15,25.1195,26.8292,21.0145,23.2023,30.0425,38.8633,36.7212,20.015,34.529,1.9738,3.6047,2.1581,2.4653,2.5638,2.4718,3.2938,3.0501,2.7066,0.0393,6
16,25.1195,26.8292,21.0145,23.2023,30.0425,38.8633,36.7212,20.015,34.529,1.9738,3.6047,2.1581,2.4653,2.5638,2.4718,3.2938,3.0501,2.7066,0.0393,6
17,25.1195,26.8292,21.0145,23.2023,30.0425,38.8633,36.7212,20.015,34.529,1.9738,3.6047,2.1581,2.4653,2.5638,2.4718,3.2938,3.0501,2.7066,0.0393,6
18,25.1195,26.8292,21.0145,23.2023,30.0425,38.8633,36.7212,20.015,34.529,1.9738,3.6047,2.1581,2.4653,2.5638,2.4718,3.2938,3.0501,2.7066,0.0393,6
19,25.1195,26.8292,21.0145,23.2023,30.0425,38.8633,36.7212,20.015,34.529,1.9738,3.6047,2.1581,2.4653,2.5638,2.4718,3.2938,3.0501,2.7066,0.0393,6
20,25.1195,26.8292,21.0145,23.2023,30.0425,38.8633,36.7212,20.015,34.529,1.9738,3.6047,2.1581,2.4653,2.5638,2.4718,3.2938,3.0501,2.7066,0.0393,6
21,25.0021,26.6825,20.088,23.0177,30.2064,35.0212,39.3594,20.7558,31.1203,2.1637,4.0267,2.1902,2.5373,2.6629,2.7848,3.5633,2.6176,2.257,0.0291,8
22,25.1195,26.8292,20.7677,23.3347,30.0425,38.8633,36.6805,20.015,34.529,1.9869,3.6045,2.1636,2.4615,2.571,2.4704,3.2789,3.0523,2.7033,0.0376,6
23,25.1195,26.8292,20.7677,23.3347,30.0425,38.8633,36.6805,20.015,34.529,1.9869,3.6045,2.1636,2.4615,2.571,2.4704,3.2789,3.0523,2.7033,0.0376,6
24,25.1459,26.8292,21.0145,23.176,30.0216,38.8932,36.4541,20.015,34.529,1.9729,3.5752,2.1686,2.4491,2.5736,2.4561,3.2615,3.0525,2.6947,0.0384,6
25,25.0047,27.8397,34.5246,23.3351,30.0022,32.693,39.5277,29.7156,29.6972,2.9724,3.2722,2.1428,2.5051,2.5287,2.4287,3.6025,1.7601,2.6293,0.0377,6
26,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
27,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
28,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
29,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
30,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
31,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
32,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
33,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
34,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
35,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
36,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
37,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
38,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
39,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
40,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
41,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
42,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
43,25.3961,26.9815,20.0474,23.1803,30.0216,38.8932,36.4541,20.0064,34.529,2.0136,3.6255,2.1801,2.4739,2.579,2.468,3.2608,3.0623,2.6851,0.0337,6
