Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
2,25.0,26.67,35.0,29.3261,30.2487,30.2509,40.0,26.67,30.0,3.1778,3.063,1.8692,2.1724,2.6013,2.6041,3.3169,1.9399,2.1467,0.0752,6
3,25.4039,20.1138,20.1817,29.8858,34.0951,25.448,40.0,30.0,30.0,2.3077,3.4772,2.7852,2.5174,2.5235,1.9951,3.1604,2.359,1.9654,0.0708,6
4,25.0,26.67,35.0,29.3261,30.2487,30.2509,40.0,26.67,30.0,3.1778,3.063,1.8692,2.1724,2.6013,2.6041,3.3169,1.9399,2.1467,0.0752,6
5,25.0,26.9601,20.1983,20.134,30.0014,25.0,39.5067,26.7527,29.5532,2.3302,4.3199,2.655,2.7222,2.701,2.5325,3.6988,2.4798,1.5758,0.0832,8
6,25.0,26.9601,20.2375,20.134,30.0011,34.8567,39.9685,26.7527,29.7871,2.1087,4.2409,2.23,2.685,2.6109,2.5682,3.8349,2.0204,2.3897,0.0236,8
7,25.0,26.9601,20.2375,20.134,30.0011,34.8567,39.9685,26.7527,29.7871,2.1087,4.2409,2.23,2.685,2.6109,2.5682,3.8349,2.0204,2.3897,0.0236,8
8,25.0,20.1138,34.975,29.2779,30.1646,29.9911,39.9194,20.1584,29.8779,3.438,3.0561,1.7873,2.0433,2.6124,2.5353,3.2951,2.5518,1.953,0.0926,5
9,25.0,20.1138,34.975,29.2779,30.1646,29.9911,39.9194,20.1584,29.8779,3.438,3.0561,1.7873,2.0433,2.6124,2.5353,3.2951,2.5518,1.953,0.0926,5
10,26.9984,29.4732,20.0,20.3421,30.2053,38.9538,39.7962,20.1642,30.6041,1.815,4.1075,2.0343,2.7668,2.465,3.0141,3.8386,2.4141,2.7597,0.0682,6
11,26.9984,29.4732,20.0,20.3421,30.2053,38.9538,39.7962,20.1642,30.6041,1.815,4.1075,2.0343,2.7668,2.465,3.0141,3.8386,2.4141,2.7597,0.0682,6
