Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
2,25.6039,23.33,21.1905,20.2887,32.7443,33.8427,36.6438,20.0,30.0,2.1226,3.7782,2.2805,2.6133,2.6727,2.4544,3.3657,2.6487,1.7421,0.0595,6
3,25.2566,23.33,20.1813,23.1853,30.0,39.8388,39.639,20.0,29.9404,2.114,3.8978,1.987,2.5447,2.5839,2.6922,3.6159,2.5429,2.8731,0.0574,8
4,25.2566,23.33,20.1813,23.1853,30.0174,39.8388,39.6248,20.0,29.9399,2.1131,3.8959,1.9873,2.5453,2.584,2.6911,3.6141,2.5427,2.8709,0.0573,8
5,25.1621,26.0922,20.0974,20.2734,30.0695,39.9453,39.9733,29.9705,29.8302,1.9286,4.0271,2.3262,2.7762,2.4549,2.3398,3.882,1.8749,3.4029,0.0366,5
6,25.2116,26.0986,20.0981,20.1446,30.076,39.9233,39.9733,29.4784,30.2066,1.9317,4.0482,2.2665,2.775,2.4374,2.3467,3.8931,1.9473,3.3505,0.0393,5
7,25.2116,26.0986,20.0981,20.1446,30.076,39.9233,39.9733,29.4784,30.2066,1.9317,4.0482,2.2665,2.775,2.4374,2.3467,3.8931,1.9473,3.3505,0.0393,5
8,25.025,23.33,20.1813,23.1853,30.0174,39.8394,39.6248,20.0033,29.9581,2.1212,3.8961,1.9883,2.5385,2.5913,2.6882,3.6134,2.5443,2.8717,0.0572,8
9,25.025,23.3483,20.0814,23.162,30.2405,35.2223,39.6325,20.0033,29.9581,2.2881,4.0225,2.1798,2.4966,2.6914,2.6871,3.573,2.5974,2.2832,0.0306,8
10,25.025,23.3483,20.0814,23.162,30.2405,35.2223,39.6325,20.0033,29.9581,2.2881,4.0225,2.1798,2.4966,2.6914,2.6871,3.573,2.5974,2.2832,0.0306,8
11,25.0249,23.1505,20.7866,20.2887,30.2393,33.8427,39.9505,20.0463,30.0,2.2954,4.2328,2.1965,2.5598,2.643,2.6804,3.8011,2.6558,2.104,0.0283,8
12,25.2518,25.4288,20.359,23.1646,30.2245,29.5324,39.8398,20.0068,34.9516,2.3559,4.1255,2.442,2.5068,2.567,2.5938,3.5945,3.4352,1.8448,0.0405,8
13,25.2854,25.4288,20.359,23.1646,30.224,29.5324,39.8398,20.0091,34.8688,2.3547,4.1255,2.4419,2.5078,2.5675,2.5977,3.594,3.4274,1.8435,0.0407,8
14,25.2854,25.4288,20.359,23.1646,30.224,29.5324,39.8398,20.0091,34.8688,2.3547,4.1255,2.4419,2.5078,2.5675,2.5977,3.594,3.4274,1.8435,0.0407,8
15,25.2854,25.4288,20.359,23.1646,30.224,29.5324,39.8398,20.0091,34.8688,2.3547,4.1255,2.4419,2.5078,2.5675,2.5977,3.594,3.4274,1.8435,0.0407,8
16,25.2854,25.4288,20.359,23.1646,30.224,29.5324,39.8398,20.0091,34.8688,2.3547,4.1255,2.4419,2.5078,2.5675,2.5977,3.594,3.4274,1.8435,0.0407,8
17,25.2854,25.4288,20.359,23.1646,30.224,29.5324,39.8398,20.0091,34.8688,2.3547,4.1255,2.4419,2.5078,2.5675,2.5977,3.594,3.4274,1.8435,0.0407,8
18,25.2854,25.4288,20.359,23.1646,30.224,29.5324,39.8398,20.0091,34.8688,2.3547,4.1255,2.4419,2.5078,2.5675,2.5977,3.594,3.4274,1.8435,0.0407,8
19,25.2854,25.4288,20.359,23.1646,30.224,29.5324,39.8398,20.0091,34.8688,2.3547,4.1255,2.4419,2.5078,2.5675,2.5977,3.594,3.4274,1.8435,0.0407,8
20,25.2854,25.4288,20.359,23.1646,30.224,29.5324,39.8398,20.0091,34.8688,2.3547,4.1255,2.4419,2.5078,2.5675,2.5977,3.594,3.4274,1.8435,0.0407,8
