Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
2,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
3,25.0845,26.5602,20.459,20.0018,33.1162,25.0,40.0,30.0,29.5763,2.1411,4.1218,2.8991,2.9025,2.5326,2.3682,3.7277,2.3347,1.8582,0.0422,7
4,26.5667,30.0,20.7513,30.0,30.0,25.0017,39.6835,30.0,35.0,2.0755,3.6277,2.9596,2.4243,2.4884,2.3114,3.2383,2.7481,2.293,0.0255,6
5,26.5667,30.0,20.7513,30.0,30.0,25.0017,39.6835,30.0,35.0,2.0755,3.6277,2.9596,2.4243,2.4884,2.3114,3.2383,2.7481,2.293,0.0255,6
6,26.5667,30.0,20.7513,30.0,30.0,25.0017,39.6835,30.0,35.0,2.0755,3.6277,2.9596,2.4243,2.4884,2.3114,3.2383,2.7481,2.293,0.0255,6
7,26.5667,30.0,20.7513,30.0,30.0,25.0017,39.6835,30.0,35.0,2.0755,3.6277,2.9596,2.4243,2.4884,2.3114,3.2383,2.7481,2.293,0.0255,6
8,26.5667,30.0,20.7513,30.0,30.0,25.0017,39.6835,30.0,35.0,2.0755,3.6277,2.9596,2.4243,2.4884,2.3114,3.2383,2.7481,2.293,0.0255,6
9,26.5667,30.0,20.7513,30.0,30.0,25.0017,39.6835,30.0,35.0,2.0755,3.6277,2.9596,2.4243,2.4884,2.3114,3.2383,2.7481,2.293,0.0255,6
10,25.2225,29.7968,20.1132,26.5177,30.1225,25.0,39.845,29.9731,34.1765,2.1648,3.8224,3.0054,2.5544,2.5344,2.321,3.3686,2.7897,2.2355,0.0239,8
11,25.2225,29.7968,20.1132,26.5177,30.1225,25.0,39.845,29.9731,34.1765,2.1648,3.8224,3.0054,2.5544,2.5344,2.321,3.3686,2.7897,2.2355,0.0239,8
12,25.2225,29.7968,20.1132,26.5177,30.1225,25.0,39.845,29.9731,34.1765,2.1648,3.8224,3.0054,2.5544,2.5344,2.321,3.3686,2.7897,2.2355,0.0239,8
