Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
2,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
3,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
4,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
5,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
6,27.8406,25.1577,24.2211,28.4459,31.2173,31.4433,39.4281,30.0,25.7081,1.9849,3.3881,2.6027,2.5043,2.7718,2.4923,3.2048,1.2915,2.1817,0.0959,6
7,27.8406,25.1577,24.2211,28.4459,31.2173,31.4433,39.4281,30.0,25.7081,1.9849,3.3881,2.6027,2.5043,2.7718,2.4923,3.2048,1.2915,2.1817,0.0959,6
8,27.8406,25.1577,24.2211,28.4459,31.2173,31.4433,39.4281,30.0,25.7081,1.9849,3.3881,2.6027,2.5043,2.7718,2.4923,3.2048,1.2915,2.1817,0.0959,6
9,27.8406,25.1577,24.2211,28.4459,31.2173,31.4433,39.4281,30.0,25.7081,1.9849,3.3881,2.6027,2.5043,2.7718,2.4923,3.2048,1.2915,2.1817,0.0959,6
10,27.8406,25.1577,24.2211,28.4459,31.2173,31.4433,39.4281,30.0,25.7081,1.9849,3.3881,2.6027,2.5043,2.7718,2.4923,3.2048,1.2915,2.1817,0.0959,6
11,27.8406,25.1577,24.2211,28.4459,31.2173,31.4433,39.4281,30.0,25.7081,1.9849,3.3881,2.6027,2.5043,2.7718,2.4923,3.2048,1.2915,2.1817,0.0959,6
