Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,44.4929,30.0,20.0,25.9917,30.0,35.5731,40.0,23.2582,30.5162,1.240412,3.851147,1.97941,4.305059,1.926571,3.080446,3.56862,2.254065,2.392286,0.7609,0.167,6
2,44.3803,29.8134,20.0598,25.9751,30.2371,35.8007,39.9205,23.6234,30.2561,1.223636,3.826772,1.969272,4.316195,1.92902,3.058904,3.557068,2.188776,2.399824,0.5471,0.1695,6
3,33.8624,24.7843,23.1569,25.301,32.73,34.2844,35.1742,20.737,28.1871,1.624848,3.136428,2.232411,3.143911,2.496442,2.631079,2.86129,2.22413,1.682338,0.5037,0.1092,3
4,37.7888,20.7614,24.7739,24.261,30.0364,28.9265,39.3879,28.8732,24.611,1.792102,3.674139,2.494533,3.839523,2.346938,2.357966,3.45865,1.61993,1.753617,0.5094,0.0854,4
5,33.9019,24.3932,22.1363,25.2647,30.4976,34.6443,36.082,22.2046,27.9909,1.749349,3.428008,2.179854,3.153289,2.536123,2.588577,3.017907,2.124834,1.826773,0.4837,0.0792,5
6,29.6079,28.4047,20.2049,21.4855,31.2271,28.883,32.6913,29.4869,28.4038,1.933805,3.279808,3.062138,2.564292,2.81145,2.19589,2.777625,1.951328,1.550596,0.512,0.109,5
7,38.6743,20.5417,24.9195,21.3096,30.8627,28.0797,38.7517,26.5781,23.7978,1.756375,3.822145,2.307082,4.04484,2.339999,2.445526,3.562075,1.726442,1.266047,0.6335,0.1461,3
8,36.8305,26.6927,24.9328,27.0094,37.8885,25.143,39.2178,29.1838,23.8189,1.34194,3.158755,2.547115,4.258163,2.219469,2.748555,3.07156,1.423463,1.371979,0.464,0.1852,3
9,39.9069,21.5773,25.0135,27.9338,33.7391,33.876,39.3336,24.2825,25.7236,1.429823,3.260877,1.858082,4.024068,2.12777,2.681182,3.251256,1.630305,1.79063,0.449,0.1511,4
10,38.1516,21.1669,25.619,20.7315,31.2567,26.7135,37.676,24.9638,22.8027,1.799769,3.729556,2.286223,3.977152,2.453699,2.527938,3.436773,1.804513,0.924186,0.5055,0.1934,5
11,25.3995,27.7928,29.6036,24.2319,32.2359,29.9673,38.7165,21.9242,33.2363,2.357156,3.316993,2.085949,2.489084,2.469304,2.634685,3.384286,2.845414,1.717912,0.5992,0.0748,6
12,26.5209,28.0055,27.9012,24.6787,32.1575,28.6606,39.6335,20.575,31.1554,2.181955,3.455698,2.23732,2.520887,2.514151,2.898218,3.426136,2.717239,1.644897,0.5918,0.0757,7
13,27.5347,27.4357,31.408,27.623,31.6816,37.9967,37.4039,21.6227,28.1156,2.275239,2.774711,1.682565,2.393656,2.598512,2.839296,3.075014,1.769401,2.433462,0.4701,0.11,5
14,29.9938,22.1424,32.4296,22.1446,32.3527,38.8907,34.6356,24.9894,26.0854,2.396531,2.66639,1.656062,2.69802,2.538256,2.24742,3.048121,1.548488,2.24941,0.4392,0.1316,4
15,25.855,28.4894,29.7091,25.2536,30.9055,34.6038,36.9881,20.6778,25.3814,2.257729,3.051952,2.020383,2.33038,2.93976,2.999644,3.076983,1.544021,1.818905,0.5294,0.0861,4
16,27.7362,27.8074,27.2575,24.4599,31.9591,28.7583,39.775,20.8254,34.3221,2.099647,3.526547,2.231625,2.60916,2.351762,2.742212,3.493276,3.139538,1.751021,0.5846,0.0633,5
17,31.9763,22.9618,33.2288,23.8921,32.6129,25.0532,37.6553,28.8223,34.8809,2.711112,3.037179,2.336938,3.164282,2.035402,1.832103,3.316336,3.103829,1.91253,0.5396,0.1141,4
18,25.2629,27.2394,29.8599,23.5828,32.3364,31.8536,38.688,23.0378,32.2836,2.353588,3.319175,1.967414,2.521311,2.470176,2.587107,3.432716,2.575909,1.860998,0.5268,0.0712,6
19,41.6361,23.8501,24.0248,28.6285,38.5007,39.2313,38.528,24.1256,23.0215,0.923597,2.915561,1.554997,4.654932,2.014051,2.901685,3.031915,1.171187,2.131529,0.4454,0.26,3
20,36.681,28.1424,28.3635,24.1759,35.6811,28.5584,34.3077,28.2041,34.368,1.531162,2.653175,2.478695,3.785142,1.932776,2.076037,2.823841,2.736315,1.614067,0.4888,0.1667,3
21,31.8099,23.612,27.9323,29.0969,36.83,29.2812,32.8453,29.6712,32.1111,1.843431,2.126257,2.623383,2.798045,2.266286,1.783863,2.324888,2.376133,1.775793,0.3745,0.1877,3
22,33.675,26.3179,24.86,25.6006,37.8578,33.455,34.4868,24.9938,27.6689,1.36911,2.709518,2.11479,3.532897,2.323945,2.492088,2.630625,1.747377,1.465969,0.4242,0.1787,1
23,40.6542,21.155,21.6383,22.2629,35.4638,38.064,33.8504,20.9112,23.1114,1.232416,3.008143,1.994958,4.173866,2.342261,2.586814,2.851162,1.699875,1.649494,0.4575,0.1725,2
24,25.2208,29.4959,28.3581,23.5623,33.2054,29.307,37.8003,22.4409,32.9408,2.120867,3.281769,2.195581,2.582344,2.486878,2.624179,3.285259,2.745012,1.522539,0.5495,0.096,6
25,36.1328,27.429,23.6804,24.2198,31.9601,29.7401,35.5192,23.6172,31.3295,1.55256,3.328501,2.37378,3.535356,2.255609,2.508099,3.004563,2.649326,1.384242,0.5556,0.1481,4
26,32.0364,22.2251,30.0046,22.3783,33.5838,38.5627,31.523,21.0086,34.409,1.982458,2.251078,1.900431,2.565816,2.188597,2.019559,2.708547,3.059086,2.377889,0.4781,0.1529,3
27,32.2988,25.0949,22.5459,25.2814,33.3379,35.3063,35.6968,20.236,28.6439,1.636104,3.187448,2.203737,3.03588,2.498169,2.663166,2.923065,2.275909,1.853593,0.4988,0.0924,3
28,35.3994,20.0192,25.0375,22.2866,30.8905,29.378,32.1561,24.1332,22.3274,1.899597,2.933757,2.461493,2.994063,2.851895,2.277091,2.622908,1.714302,0.79547,0.4066,0.2223,3
29,31.7604,24.1684,28.7347,28.4341,39.1964,32.6495,33.8886,26.7746,29.8795,1.763366,2.197548,2.052721,3.178196,2.225509,2.120826,2.405608,1.957138,1.682484,0.3831,0.1767,2
30,34.2985,28.74,28.2896,25.8305,39.6009,27.151,37.7294,21.8379,29.7231,1.55125,2.90428,2.059417,4.012175,2.003714,2.871559,2.965041,2.419839,1.179333,0.4176,0.1926,3
31,37.8874,26.6855,31.5591,24.3553,33.834,31.6238,30.6975,29.0643,23.6205,1.900175,2.02907,2.487038,3.237377,2.5808,2.414101,2.364391,1.147938,1.492014,0.3862,0.2179,3
32,38.8588,20.4608,25.7079,23.1121,30.1939,28.6329,39.7449,25.1627,25.7627,1.816824,3.771292,2.161518,3.949709,2.2251,2.542628,3.585379,1.973577,1.460709,0.6013,0.1215,5
33,30.6899,26.5512,32.2463,24.8885,37.8366,30.061,37.7743,21.4541,30.4651,2.271092,2.842542,1.826371,3.32659,2.161761,2.708762,3.107382,2.479847,1.441997,0.4591,0.1441,4
34,36.2167,29.6974,32.9148,23.8152,32.4652,33.6519,30.1041,26.7983,31.8416,2.031103,1.988953,2.211974,2.865453,2.238553,2.302278,2.471083,2.184873,1.989043,0.4384,0.1572,2
