Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,38.7153,24.0813,27.8727,23.613,38.1255,35.3356,30.5112,20.2164,28.7272,1.3663,2.0458,2.0847,3.6438,2.1245,2.5287,2.3528,2.3193,1.674,0.635,3
2,36.7021,22.577,31.8772,21.8679,33.8629,27.2339,31.0294,22.9372,25.9267,2.2842,2.3485,2.2505,3.146,2.4944,2.3877,2.5397,2.1419,0.7946,0.7111,3
3,30.9228,27.0888,32.1975,29.6672,34.1196,38.0775,34.9624,26.5659,30.0473,2.0804,2.2156,1.739,2.663,2.3092,2.3531,2.7013,1.7041,2.5339,0.455,2
4,32.314,27.6636,33.1339,25.0538,37.713,37.2192,35.4341,25.411,29.6966,2.0083,2.3732,1.5849,3.4432,2.08,2.4706,2.8753,1.8029,2.2134,0.4719,3
5,41.1545,29.9057,25.8717,27.6397,30.2132,35.4109,36.3755,26.9428,23.729,1.1949,3.0258,2.1537,3.9497,2.4216,2.882,2.9591,0.9563,2.0114,0.6538,2
6,35.0178,24.0739,21.2596,20.0915,30.5827,33.7752,35.4574,29.4413,33.3708,1.7044,3.6689,2.595,3.5354,2.1331,1.8297,3.3665,2.6445,2.3623,0.3591,6
7,42.7015,23.7426,29.938,25.1564,33.7179,37.6853,37.0506,25.2144,33.8019,1.5163,2.8316,1.6143,4.3066,1.6082,2.2169,3.2788,2.6664,2.5648,0.5812,4
8,32.7841,28.7999,31.8944,22.0895,36.8042,38.586,35.6512,26.5278,26.5217,1.7302,2.6046,1.6726,3.589,2.1875,2.6076,3.1037,1.2443,2.2647,0.519,3
9,44.5198,20.6436,27.5717,22.8862,36.844,38.4232,30.2843,29.6196,21.9025,1.1432,1.9343,2.2542,3.9945,2.2419,2.0934,2.424,1.0855,2.1619,0.7882,2
10,28.5021,24.6274,33.6612,26.0688,37.6273,28.4694,36.0176,29.8554,26.0891,2.6144,2.4653,2.3085,3.0072,2.5172,2.2009,2.7717,1.4696,1.5723,0.428,3
11,25.5627,21.1891,29.6712,27.8147,35.3255,32.8156,36.1741,24.848,23.5466,2.3547,2.6258,1.926,2.4235,2.9049,2.3579,2.7237,1.2722,1.3351,0.5614,3
12,27.4735,26.3472,32.6552,28.8061,31.9608,31.9506,31.0331,27.9609,27.3814,2.6355,1.9105,2.3693,1.6694,2.9375,2.2396,2.1965,1.4767,1.7656,0.6225,2
13,42.4039,29.3764,30.2683,29.4404,32.4183,35.1685,36.4247,26.8267,22.6506,1.4543,2.6205,1.8909,3.9923,2.3514,2.931,2.8824,0.7922,1.873,0.7148,2
14,38.3979,29.9872,32.9171,23.6091,34.6345,38.108,30.3687,24.4015,28.7272,1.686,1.8495,1.8215,3.348,2.1457,2.6313,2.4809,1.7239,2.1545,0.5894,3
15,26.4816,23.9027,25.0735,21.2606,31.1078,30.62,36.059,21.7478,27.7075,2.1963,3.555,2.3215,2.468,2.8355,2.4988,3.2075,2.2593,1.3048,0.3801,6
16,33.1675,28.0548,34.9229,28.6775,37.0453,28.167,39.4963,23.6936,29.7643,2.4947,2.7753,1.6772,3.452,2.0478,2.8882,3.1587,2.1475,1.5038,0.471,4
17,44.0752,20.3679,23.9013,22.7253,37.9154,31.6222,33.9153,27.0003,23.3101,1.2189,2.8582,2.231,4.591,2.1789,2.2106,2.7503,1.485,1.0783,0.7137,1
18,25.1042,23.4762,25.8573,21.6026,31.5792,37.0932,34.2463,25.5043,21.4843,2.0282,3.0681,2.1169,2.3099,3.1633,2.4028,2.9237,1.1394,1.7223,0.4391,2
19,25.2236,22.6535,25.848,26.5298,30.9344,26.7583,32.6526,26.6128,23.6681,2.362,2.6967,2.7196,1.878,3.2823,2.2007,2.3563,1.6087,0.9705,0.6562,3
20,27.8329,21.6836,24.6941,24.9738,39.2109,34.2163,39.3098,22.472,27.3204,1.7563,3.2367,1.8052,3.2496,2.335,2.5886,3.2034,1.9179,1.7458,0.3479,5
21,28.1705,21.7031,34.2175,23.6155,36.5852,33.2734,32.4691,24.3281,28.9534,2.7576,2.1759,1.8142,2.4801,2.5054,2.0558,2.5638,2.0903,1.5159,0.5572,4
22,36.5104,29.7847,22.1489,28.0284,34.5866,30.8462,37.9864,26.9023,29.6469,1.2668,3.2889,2.3463,3.8197,2.1355,2.6848,3.0632,1.905,1.7042,0.4653,4
23,37.0957,21.1083,22.43,24.6244,39.4576,35.3432,35.5876,25.5069,23.1047,1.2727,2.9542,1.9404,4.3349,2.269,2.3779,2.7648,1.3182,1.4613,0.6256,1
24,27.2008,24.1624,21.6276,29.5978,35.6581,26.2656,35.4915,28.824,26.1819,1.9943,2.9527,2.7854,2.5785,2.8389,2.2084,2.5396,1.6869,1.2608,0.4779,3
25,42.9965,22.9179,32.3896,20.6329,38.5363,31.7901,33.971,27.5192,33.586,1.8327,2.5569,1.8942,4.6525,1.5315,1.8586,3.0349,2.7281,1.743,0.5903,2
26,29.4381,25.3653,24.673,24.037,36.5802,33.0954,35.093,26.4446,20.5088,1.6459,2.9458,2.2463,3.0193,2.9289,2.5704,2.7288,1.0732,1.1295,0.6749,3
27,42.598,26.0216,26.7179,25.2292,31.6893,36.1526,38.5166,25.2316,25.8166,1.2988,3.2968,1.8358,4.2528,2.1006,2.8523,3.3786,1.4775,2.1473,0.5084,5
28,39.6763,21.1095,25.5052,23.9162,36.6354,39.598,38.2858,29.431,34.486,1.0905,3.0048,1.9428,4.5526,1.4132,1.8162,3.4428,2.6097,3.1796,0.7314,4
29,35.501,28.5816,34.6356,20.5262,35.3822,39.2765,36.3256,28.4581,21.9982,1.9892,2.7425,1.6504,3.9518,2.2736,2.7037,3.3267,0.7389,2.3508,0.6903,4
30,29.8909,25.1794,25.9731,22.7175,33.9475,26.1124,35.3174,26.5657,32.9661,1.9412,3.1604,2.5417,2.9103,2.3406,2.039,3.0074,2.9257,1.3482,0.4192,3
31,35.9248,26.6499,20.8716,28.1908,35.9368,25.1538,34.2142,21.0493,30.5503,1.5827,2.9319,2.5886,3.5245,2.3077,2.6107,2.4828,2.9137,0.9754,0.6408,4
32,30.7324,25.1554,28.0538,23.4085,34.1706,30.4038,37.0848,29.9694,24.8606,1.9181,3.0977,2.5424,3.1243,2.5849,2.3444,3.1515,1.3198,1.705,0.3452,3
33,28.7643,27.2164,31.6212,23.3972,31.3998,35.309,32.6781,29.8993,29.6241,2.3022,2.3922,2.4315,2.2959,2.5917,2.0592,2.7438,1.7431,2.5008,0.3408,5
34,25.8487,24.6668,34.5266,23.0696,38.4359,32.3297,34.7476,25.9446,26.2433,2.7565,2.4887,1.7913,2.8725,2.6109,2.3242,2.7878,1.501,1.3935,0.5254,3
35,40.735,22.8422,24.5241,26.2508,36.1767,35.2362,31.4043,25.3414,32.1127,1.2083,2.2648,2.1527,3.7407,1.9624,2.0316,2.3821,2.5464,1.8886,0.6581,2
36,29.4259,29.3858,34.9183,25.7175,31.7338,37.3407,33.8142,24.679,21.4782,2.5621,2.3414,1.7251,2.4036,2.986,2.84,2.6508,0.842,1.839,0.6923,4
37,43.4812,21.5099,23.4949,22.9917,30.738,38.3036,39.7624,27.1665,27.1912,1.2893,3.6882,1.8863,4.3947,1.8896,2.4731,3.7237,1.7558,2.7451,0.5052,4
38,41.3275,22.9304,27.9572,25.7949,37.7719,27.2931,31.2289,23.3283,30.5489,1.5329,2.1305,2.2883,3.8886,2.003,2.2291,2.2724,2.7741,0.9826,0.7779,2
39,34.1721,28.2093,24.9275,29.0611,34.0155,32.0756,34.7185,26.679,21.8259,1.437,2.7137,2.3469,3.1195,2.815,2.7515,2.5234,0.9351,1.2214,0.7576,3
40,35.813,29.6277,22.534,28.603,33.3954,30.7908,30.0283,20.7896,25.2979,1.4,2.286,2.6463,2.6388,2.8361,2.9789,2.0361,1.7059,1.0356,0.7646,4
41,27.192,21.3098,23.3356,23.5425,38.1436,32.1782,36.0389,27.0816,33.2408,1.8409,3.1094,2.2517,3.0829,2.2356,1.7599,2.972,2.6806,1.7593,0.3874,2
42,44.2522,23.7681,33.981,25.9349,32.5186,33.2262,38.7434,29.6848,24.5197,2.1786,2.918,1.9474,4.3078,2.0511,2.5363,3.3688,1.2152,2.2278,0.4256,5
43,37.0227,21.0875,31.0323,20.5342,35.4556,33.8279,35.8235,20.0139,22.8452,1.983,2.9553,1.8112,3.9022,2.3506,2.6656,3.1956,1.696,1.2983,0.471,2
44,44.571,23.3424,31.1641,26.1968,33.928,35.9973,34.8342,28.2881,26.0277,1.6703,2.4311,1.9329,4.1584,2.0537,2.2908,2.8538,1.3942,2.1704,0.4888,2
45,41.1806,29.7651,23.7372,20.0431,38.2856,33.6527,38.0653,24.0501,25.7889,0.8748,3.5455,1.8942,4.942,1.9119,3.0343,3.4831,1.4795,1.4472,0.754,4
46,41.2319,21.4857,24.2808,23.5323,35.9725,36.0629,30.6537,24.0792,23.0318,1.2076,2.341,2.1164,3.7507,2.4338,2.4139,2.3789,1.4643,1.3958,0.694,1
47,29.6892,23.1573,25.7924,20.5669,37.4208,32.6942,30.0619,29.5383,25.9902,1.707,2.3128,2.6823,2.5677,2.6641,1.9814,2.4474,1.4833,1.6188,0.542,3
48,28.5592,22.6359,23.6688,24.7717,31.5181,25.9314,38.3642,24.8496,26.8315,2.1684,3.6479,2.444,2.7083,2.7237,2.4636,3.2158,2.1829,1.2163,0.4211,7
49,36.1181,24.2583,23.9613,26.9219,32.2241,33.9532,35.8317,21.0236,28.6282,1.5745,3.1089,2.1606,3.3858,2.3636,2.6249,2.8873,2.2664,1.7414,0.3392,3
50,40.2563,25.9322,29.3848,28.7836,37.9769,30.487,38.2977,21.6873,31.4294,1.5288,2.7903,1.7996,4.3552,1.7323,2.7616,3.0423,2.5873,1.5728,0.5592,3
51,29.7321,26.3703,24.778,23.0826,34.1955,31.974,30.0199,22.7968,31.9616,1.7605,2.4401,2.4854,2.1352,2.6205,2.3049,2.3837,2.7046,1.4101,0.5123,3
52,43.9053,22.582,22.5285,26.1428,34.4337,35.5623,33.3466,26.331,26.3522,1.2019,2.7311,2.1771,4.0678,2.2053,2.2873,2.6141,1.6646,1.7628,0.5469,1
53,27.9244,20.131,33.8197,26.8921,34.7534,31.517,36.0887,23.3548,32.3917,2.88,2.5649,1.7543,2.5192,2.3261,1.9815,2.8883,2.7063,1.6501,0.4637,3
54,35.5539,23.274,26.1143,24.22,38.7991,36.0892,36.9539,28.4031,27.9937,1.2952,2.8819,2.0083,4.1844,1.9421,2.2099,3.0656,1.6442,2.2523,0.5059,2
55,26.5285,28.9177,29.8827,26.2993,37.5283,25.4518,38.9013,25.1569,29.0786,2.1135,2.9578,2.1384,2.9822,2.391,2.7457,3.093,2.1178,1.3129,0.4014,4
56,37.9512,24.3525,33.6355,23.6772,38.2153,36.9142,36.918,29.4982,27.8345,1.9196,2.5603,1.7598,4.4308,1.7799,2.249,3.1739,1.5012,2.5644,0.489,2
57,26.1396,26.1708,34.6472,28.7918,34.9387,27.0975,31.3586,22.2739,26.9023,2.9785,1.8875,2.1811,1.7986,2.9669,2.5704,2.1156,1.9744,0.9292,0.7972,4
58,32.451,20.1621,28.717,20.8312,35.2123,36.8762,30.1244,20.0686,33.2493,1.8668,2.171,2.073,2.5489,2.1948,1.9841,2.614,3.0585,2.092,0.4747,2
