Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
2,31.67,20.0729,20.0,23.33,30.1392,34.9226,39.9869,23.33,25.0,2.0701,4.0258,2.0128,3.067,2.6099,2.6241,3.578,1.7481,1.9467,0.06,5
3,31.4984,20.0729,20.0,23.33,30.1392,34.9226,39.9869,20.0778,24.8497,2.1001,4.0169,2.1112,3.0044,2.6547,2.7911,3.5703,1.9557,1.982,0.0443,7
4,29.7173,29.9964,34.998,26.5817,30.1337,25.0851,39.9937,29.9858,30.2505,2.8757,3.1153,2.4284,2.7524,2.3292,2.5729,3.4212,2.1007,2.2792,0.0244,7
5,29.7048,29.9966,34.998,26.5817,30.1337,25.0844,39.8446,29.9858,30.5053,2.8765,3.1055,2.4333,2.7537,2.3232,2.547,3.4077,2.1416,2.2779,0.0255,7
6,31.6543,29.9999,34.9978,26.303,30.1337,25.0011,39.9426,29.8736,30.506,2.7836,3.1296,2.4069,2.9972,2.2222,2.5766,3.4432,2.1677,2.2678,0.0378,7
7,31.6543,29.9999,34.9978,26.303,30.1337,25.0011,39.9426,29.8736,30.506,2.7836,3.1296,2.4069,2.9972,2.2222,2.5766,3.4432,2.1677,2.2678,0.0378,7
8,31.6885,29.9999,34.9859,26.2427,30.0066,25.0021,39.9425,29.8736,30.5058,2.7869,3.1397,2.4091,3.0009,2.2237,2.5764,3.448,2.1707,2.2736,0.0374,7
9,31.6885,29.9999,34.9859,26.2427,30.0058,25.0021,39.9425,29.8736,30.5058,2.7869,3.1397,2.4091,3.0009,2.2238,2.5764,3.448,2.1707,2.2736,0.0374,7
10,31.6885,29.9999,34.9859,26.2252,30.0058,25.0286,39.9425,29.8736,30.5058,2.7867,3.1408,2.4085,3.0015,2.2237,2.5763,3.4491,2.1696,2.2734,0.0373,7
11,31.6885,29.9999,34.9859,25.9383,30.0058,25.0242,39.9428,29.8736,29.2966,2.7858,3.1583,2.4115,3.0153,2.2829,2.6353,3.4515,1.9857,2.2106,0.0293,7
12,31.6885,29.9999,34.9859,25.9383,30.0058,25.0242,39.9764,29.8736,29.2966,2.7858,3.1605,2.4104,3.0147,2.2815,2.6383,3.4551,1.9855,2.2135,0.0294,7
13,31.6885,29.9999,34.9859,25.9383,30.0058,25.0242,39.9764,29.8736,29.2966,2.7858,3.1605,2.4104,3.0147,2.2815,2.6383,3.4551,1.9855,2.2135,0.0294,7
14,31.6885,29.9999,34.9859,25.9383,30.0058,25.0239,39.9764,29.8736,29.3024,2.7858,3.1605,2.4104,3.0147,2.2812,2.638,3.4552,1.9864,2.2138,0.0295,7
15,31.6885,29.9999,34.9859,25.9383,30.0058,25.0239,39.9764,29.8736,29.3024,2.7858,3.1605,2.4104,3.0147,2.2812,2.638,3.4552,1.9864,2.2138,0.0295,7
16,31.9094,29.9986,34.9864,25.9383,30.0059,25.0244,39.9764,29.8736,29.3024,2.7752,3.1604,2.4087,3.0431,2.2703,2.6399,3.4565,1.9879,2.2138,0.0309,7
17,31.9094,29.9569,34.9864,25.9383,30.0059,25.036,39.9991,29.9708,29.3024,2.7763,3.1599,2.4189,3.0432,2.2688,2.6355,3.4595,1.9867,2.229,0.0311,7
18,31.933,29.9569,34.9794,25.8799,30.0059,25.036,39.9991,29.9708,29.3123,2.7741,3.1634,2.4193,3.0491,2.2665,2.6348,3.463,1.9898,2.2287,0.0314,7
19,31.933,29.9636,34.9891,25.7345,30.0015,25.0348,39.9994,29.985,29.3123,2.7751,3.1719,2.4213,3.0562,2.2647,2.6333,3.4715,1.9928,2.2291,0.0315,7
20,31.933,29.9727,34.9891,25.4797,30.0223,25.3223,39.999,29.985,29.3988,2.7712,3.1869,2.4137,3.0657,2.2582,2.6278,3.4892,1.9955,2.2301,0.0323,7
21,31.933,29.9727,34.9882,25.4797,30.0223,25.3223,39.995,29.9812,29.4617,2.7712,3.1867,2.4133,3.0658,2.2551,2.6245,3.4895,2.0057,2.2325,0.0327,7
22,31.933,29.9727,34.9882,25.4797,30.0223,25.3223,39.995,29.9812,29.4617,2.7712,3.1867,2.4133,3.0658,2.2551,2.6245,3.4895,2.0057,2.2325,0.0327,7
23,31.933,29.8976,34.9882,25.4797,30.0012,25.073,39.995,29.946,29.4617,2.7782,3.1893,2.4158,3.0669,2.2551,2.6235,3.4878,2.0245,2.2278,0.0327,7
24,31.933,29.8976,34.9882,25.4797,30.0012,25.073,39.995,29.946,29.4617,2.7782,3.1893,2.4158,3.0669,2.2551,2.6235,3.4878,2.0245,2.2278,0.0327,7
25,25.7858,29.9394,20.0256,23.2699,30.0012,25.0739,39.9994,29.9988,29.2668,2.1426,4.05,3.0139,2.7152,2.6771,2.5655,3.5422,2.1489,2.0306,0.011,8
26,25.7858,29.9394,20.0013,20.7522,30.0012,25.0739,39.9994,29.9988,29.3845,2.1415,4.2239,2.995,2.7964,2.6329,2.5462,3.7224,2.187,2.0018,0.0156,8
27,25.0105,26.7889,20.0077,23.2896,30.0011,35.4367,39.6326,20.0265,34.4117,2.1665,4.0246,2.2015,2.5174,2.5421,2.6858,3.6111,3.0821,2.4798,0.0276,8
28,27.5578,26.0183,20.0788,20.2979,30.0012,36.1035,39.9995,29.9989,29.3618,1.9876,4.1411,2.4733,2.856,2.4766,2.3765,3.8561,1.8468,2.9153,0.0245,6
29,27.5578,26.0183,20.0788,20.2979,30.0012,36.1035,39.9995,29.9989,29.3618,1.9876,4.1411,2.4733,2.856,2.4766,2.3765,3.8561,1.8468,2.9153,0.0245,6
30,27.5578,26.0183,20.0788,20.2979,30.0012,36.1035,39.9995,29.9989,29.3618,1.9876,4.1411,2.4733,2.856,2.4766,2.3765,3.8561,1.8468,2.9153,0.0245,6
31,27.5578,26.0481,20.0694,20.298,30.001,36.1035,39.9995,29.9989,29.3618,1.987,4.1415,2.4737,2.8564,2.4768,2.3783,3.8561,1.8458,2.9152,0.0244,6
32,25.0105,25.9812,20.1717,23.2116,30.0001,35.63,39.9948,29.7858,28.4878,2.1041,3.9577,2.508,2.6257,2.681,2.4225,3.6225,1.6938,2.8186,0.0222,7
33,25.0105,25.9812,20.1717,23.2116,30.0001,35.63,39.9948,29.7858,28.4878,2.1041,3.9577,2.508,2.6257,2.681,2.4225,3.6225,1.6938,2.8186,0.0222,7
34,25.0105,25.9812,20.1717,23.2116,30.0001,35.63,39.9948,29.7858,28.4878,2.1041,3.9577,2.508,2.6257,2.681,2.4225,3.6225,1.6938,2.8186,0.0222,7
35,25.0105,25.9812,20.1717,23.2116,30.0001,35.63,39.9983,29.786,28.4878,2.1041,3.958,2.5079,2.6256,2.6809,2.4228,3.6229,1.6937,2.819,0.0222,7
36,25.0105,25.9812,20.1717,20.3287,30.0001,35.63,39.9983,29.786,28.4878,2.101,4.1545,2.4841,2.7143,2.6365,2.4078,3.8275,1.7122,2.7794,0.0204,7
37,25.0105,25.9742,20.1717,20.1681,30.0003,35.6163,39.9983,29.8937,28.4878,2.1006,4.1625,2.4955,2.7189,2.633,2.4011,3.8389,1.71,2.79,0.0213,7
