Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,25.0,25.9926,30.0,25.3367,33.9677,38.004,36.67,22.0007,25.0,2.152,2.7767,1.7404,2.4821,2.8159,2.793,3.0026,1.4089,2.0549,0.1267,4
2,26.0,29.6558,29.4044,23.2304,30.5,37.9297,36.7696,20.3442,25.5956,2.063,3.0938,1.9304,2.432,2.8491,3.0308,3.2173,1.5143,2.2499,0.0849,5
3,25.0,29.5,27.5,22.9576,37.1414,32.5,35.77,23.5467,29.3791,1.802,2.9239,2.0779,2.8405,2.5509,2.6153,2.961,1.9697,1.4483,0.128,4
4,25.0,23.2427,35.0,26.8847,30.0,27.1587,39.0463,30.0,29.0491,3.3508,3.0671,2.3546,2.3281,2.6338,2.1433,3.2821,2.0398,2.189,0.0499,6
5,25.0,23.2427,35.0,26.8847,30.0,27.1587,39.0463,30.0,29.0491,3.3508,3.0671,2.3546,2.3281,2.6338,2.1433,3.2821,2.0398,2.189,0.0499,6
6,25.0,20.0,35.0,30.0,35.5704,25.0,40.0,30.0,20.0,3.1766,2.7058,2.2136,2.5143,2.8691,2.3572,3.0523,1.1944,1.5149,0.1585,3
7,33.5569,28.8884,30.6065,20.281,32.5567,25.0351,33.7752,29.7096,23.6928,2.0374,2.8518,2.775,3.225,2.6487,2.4553,2.9439,1.4062,1.2282,0.1632,3
8,25.4421,25.8225,24.6273,23.5574,35.0244,31.0533,36.9151,24.1775,21.0922,1.9328,3.3331,2.2295,2.7186,3.1007,2.7832,3.0014,1.2841,0.9136,0.2151,4
9,25.0,23.3125,20.0,23.5125,30.0,37.5379,40.0,30.0,25.495,2.1425,3.8859,2.4266,2.6159,2.8043,2.378,3.5835,1.3096,2.9165,0.0923,7
10,25.0,22.5935,20.0,22.3487,30.0,36.8049,40.0,30.0,24.1585,2.1895,3.9823,2.4458,2.6466,2.8759,2.3741,3.6421,1.2022,2.7235,0.112,7
11,30.432,22.4071,31.4475,21.1441,33.13,29.3351,34.1946,22.418,27.5,2.5281,2.8821,2.0968,2.7049,2.5918,2.3239,2.9735,2.2398,1.0756,0.1744,4
12,25.0,24.9643,34.6106,24.5485,34.2489,31.7425,35.4576,25.196,27.419,2.9677,2.6656,1.8686,2.4318,2.7465,2.3692,2.8928,1.7389,1.4784,0.1405,3
13,25.0,25.0,26.4379,25.7422,37.5783,25.0,32.8737,30.0,27.5,2.0145,2.3741,2.9508,2.5313,2.764,2.0028,2.3312,1.9263,1.3638,0.1839,4
14,25.0802,29.2547,34.9399,24.4551,36.3145,29.932,38.8235,28.8836,22.1853,2.7391,2.8892,2.0714,2.8924,2.8035,2.7983,3.2085,0.8522,1.5203,0.2059,5
