Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
2,25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.2816,3.1446,2.0728,2.3384,2.9989,3.0665,3.168,1.4991,1.8808,0.0802,4
3,25.0,26.694,25.0,23.5238,30.0,34.7808,33.3426,20.0,34.3877,2.0887,3.0048,2.3968,2.0151,2.7492,2.3224,2.8073,3.071,2.0868,0.0586,2
4,25.0,26.694,25.0,23.5238,30.0,34.7808,33.3426,20.0,34.3877,2.0887,3.0048,2.3968,2.0151,2.7492,2.3224,2.8073,3.071,2.0868,0.0586,2
5,25.0,29.2239,30.0992,23.33,30.0,34.8934,36.67,20.0,25.0981,2.3353,3.1526,2.0647,2.33,2.9985,3.0337,3.169,1.5504,1.8738,0.075,4
6,25.0,29.2239,30.0992,23.33,30.0,34.8934,36.67,20.0,25.0981,2.3353,3.1526,2.0647,2.33,2.9985,3.0337,3.169,1.5504,1.8738,0.075,4
7,25.0,29.2239,30.0992,23.33,30.0,34.8934,36.67,20.0,25.0981,2.3353,3.1526,2.0647,2.33,2.9985,3.0337,3.169,1.5504,1.8738,0.075,4
8,25.8914,24.0227,20.0,26.1348,30.0,39.7519,39.0316,20.7014,29.6972,2.0818,3.6812,1.9763,2.4561,2.6406,2.6949,3.3588,2.3887,2.808,0.0589,7
9,25.8914,23.0853,20.0001,26.67,30.0,35.009,38.9616,21.7175,30.0535,2.2836,3.7775,2.1254,2.3837,2.721,2.56,3.2865,2.4492,2.2069,0.0381,8
10,25.8914,23.0853,20.0001,26.67,30.0,35.009,38.9616,21.7175,30.0535,2.2836,3.7775,2.1254,2.3837,2.721,2.56,3.2865,2.4492,2.2069,0.0381,8
11,25.1122,23.2662,24.5358,20.6316,30.3076,30.0113,39.6601,20.1066,34.246,2.3235,4.0217,2.2921,2.5071,2.4755,2.4469,3.7613,3.3598,1.8577,0.042,5
12,25.1122,23.2662,24.5358,20.6316,30.3076,30.0113,39.6601,20.1066,34.246,2.3235,4.0217,2.2921,2.5071,2.4755,2.4469,3.7613,3.3598,1.8577,0.042,5
