Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,44.6908,26.9476,20.086,22.9154,33.4793,39.8546,39.797,20.1702,34.8869,1.063,3.7557,1.798,4.6031,1.5514,2.85,3.7662,3.162,2.8823,0.4262,0.2238,6
2,34.5157,20.9683,29.2421,28.9216,31.2958,38.0075,31.5917,26.1342,30.8646,1.9107,2.0087,1.9912,2.5243,2.3079,1.8898,2.3759,2.1683,2.513,0.1955,0.1849,3
3,44.7967,23.2764,32.9262,28.0282,39.7865,32.858,33.5733,27.7203,26.5081,1.8096,1.9711,1.8156,4.4846,1.9006,2.2679,2.4361,1.4822,1.6497,0.3074,0.2176,1
4,27.5726,22.1372,28.6324,26.4274,35.2142,27.6904,36.6604,24.9992,31.0608,2.2751,2.8786,2.1875,2.6609,2.4257,2.102,2.9064,2.6114,1.3287,0.1756,0.1443,3
5,37.8031,29.1505,30.1263,22.6271,32.027,28.8212,30.3103,21.4067,22.2663,1.8276,2.3329,2.4401,3.0561,2.8148,3.0053,2.4097,1.5914,0.738,0.2384,0.255,4
6,26.2047,29.2339,28.7729,21.7303,38.9888,29.8041,33.2297,22.671,32.615,1.9049,2.5744,2.1867,2.8326,2.3871,2.3967,2.6876,2.6681,1.1883,0.2031,0.174,2
7,42.388,22.6628,30.5407,23.6013,36.4111,25.3776,35.0919,21.4952,22.0961,1.8513,2.7439,2.1152,4.3889,2.3169,2.7429,2.8155,1.9696,0.5541,0.2773,0.2604,3
8,29.5061,23.2075,20.8327,20.4301,32.5511,26.8528,37.9539,27.6293,25.9293,2.0942,3.9847,2.6182,3.0724,2.6736,2.3328,3.4526,1.9181,1.2509,0.1578,0.1366,6
9,44.8151,26.5074,28.9291,26.5939,36.1571,35.4236,39.7231,23.8087,31.9918,1.2598,3.0053,1.5657,4.5533,1.5396,2.789,3.4339,2.4107,2.2936,0.3203,0.2191,5
10,32.0375,20.4546,31.233,29.6003,39.3099,37.168,33.9902,26.2854,30.2107,1.9739,1.9221,1.6334,3.1594,2.0508,1.9049,2.4366,1.928,2.2659,0.2246,0.2137,3
11,26.3951,27.2628,23.5516,25.2589,34.7873,29.9172,36.0358,27.4368,24.3216,1.8382,3.1607,2.5435,2.6755,2.9514,2.545,2.823,1.2946,1.2093,0.1594,0.179,4
12,44.0227,23.1095,33.6546,21.5214,37.2483,35.4735,36.8098,28.7691,32.9971,1.8901,2.779,1.6971,4.8108,1.4108,1.9771,3.4234,2.4528,2.4901,0.3305,0.1963,4
13,37.5328,24.1644,24.6994,26.86,30.3844,38.3497,37.4956,22.2607,28.5355,1.4561,3.2434,1.8498,3.6339,2.1887,2.6748,3.1844,2.084,2.4777,0.1931,0.1342,5
14,39.3807,20.8912,33.5815,26.0442,37.0071,34.7163,36.619,29.3291,26.6831,2.0779,2.4506,1.8436,4.2874,1.8948,2.0889,2.9976,1.4484,2.2129,0.2382,0.1621,2
15,41.1897,21.3814,30.7416,23.1559,34.8822,33.3831,34.4015,24.1752,26.2593,1.813,2.6411,1.8258,4.1035,2.1086,2.3288,2.9107,1.8113,1.4164,0.2292,0.1666,2
16,33.3385,29.3894,34.5584,25.7997,37.8876,32.0283,31.1875,20.4705,29.1743,2.2771,1.8148,1.9808,2.9497,2.3484,2.756,2.2605,2.1465,1.3881,0.2245,0.2167,4
17,29.0284,24.2875,25.5323,22.387,33.3493,34.7379,32.0012,25.2441,30.2337,1.8304,2.6861,2.2822,2.339,2.6013,2.1046,2.665,2.2391,1.7872,0.1289,0.1154,3
18,42.6697,25.2968,28.855,29.1322,39.9214,25.6387,33.86,28.2666,23.3935,1.4212,2.182,2.3623,4.4937,2.1797,2.4846,2.2987,1.3945,0.988,0.3189,0.2652,1
19,31.1267,26.5438,27.346,25.8554,33.4711,34.4494,33.6628,25.5688,23.2702,1.7409,2.581,2.1757,2.6676,2.8677,2.6025,2.5655,1.1234,1.4669,0.1927,0.1963,3
20,34.5429,22.4016,30.0814,23.0697,32.1252,33.5991,35.1192,24.8597,27.0502,2.0824,2.9023,1.9527,3.2511,2.393,2.2908,3.0296,1.8299,1.6485,0.1308,0.1061,2
21,41.8973,25.2338,30.8254,25.3013,38.2018,27.8802,36.5683,28.1175,21.1825,1.6654,2.6893,2.146,4.6808,2.2214,2.6394,2.8709,1.2414,1.0175,0.2995,0.2272,2
22,31.2971,24.3838,27.3942,22.3564,38.6502,27.3237,30.615,24.5415,23.1237,1.8121,2.2801,2.4255,2.8738,2.7887,2.4757,2.253,1.635,0.5436,0.2217,0.2881,3
