Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.0784,16.3029,47.8361,84.9973,37.5483,26.466,27.1011,9.3422,5.9173,0.1231,5
2,4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.0784,16.3029,47.8361,84.9973,37.5483,26.466,27.1011,9.3422,5.9173,0.1231,5
3,4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.0784,16.3029,47.8361,84.9973,37.5483,26.466,27.1011,9.3422,5.9173,0.1231,5
4,4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.0784,16.3029,47.8361,84.9973,37.5483,26.466,27.1011,9.3422,5.9173,0.1231,5
5,3.0074,4.3289,3.0039,3.6522,3.0,5.0,5.0,3.0215,4.33,33.3732,16.4019,52.1661,85.054,63.295,30.6389,29.5753,6.2409,5.4252,0.1262,6
6,3.0175,4.9726,3.717,3.0601,4.9905,4.9993,4.9998,3.67,3.6658,41.365,18.9147,37.0739,84.9326,53.6968,41.7558,31.2014,6.225,7.0373,0.1258,7
7,3.016,3.6551,3.6615,3.0377,3.67,4.9998,4.9996,3.0333,3.0,29.0502,16.4804,50.3359,84.93,73.9721,31.4356,37.4409,6.4161,4.842,0.1201,6
8,3.0274,3.0472,3.6458,3.7789,3.0404,4.9884,4.9539,3.67,3.011,25.6239,18.7344,52.3867,84.1505,74.2985,35.8675,34.1591,6.9248,4.3566,0.1111,7
9,3.0175,4.3208,3.717,3.6729,4.9975,4.9985,4.9998,3.6938,3.7564,32.0341,19.0357,39.8368,84.8977,63.2779,41.7086,30.5076,6.4746,5.6352,0.1175,8
10,3.0002,3.0483,3.4926,3.6676,3.0,4.9929,4.958,4.3133,3.0534,25.6593,23.93,53.7555,84.4706,75.2069,47.0461,27.9602,6.9558,4.2111,0.1165,6
11,3.0175,4.9253,3.717,3.0601,3.0849,4.9993,4.9658,3.7453,3.6658,40.1409,19.2403,44.7676,84.9579,54.881,37.7539,30.9799,6.5312,6.872,0.1156,8
12,3.0175,4.9253,3.717,3.0601,3.0849,4.9993,4.9658,3.7453,3.6658,40.1409,19.2403,44.7676,84.9579,54.881,37.7539,30.9799,6.5312,6.872,0.1156,8
