Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.0784,16.3029,47.8361,84.9973,37.5483,26.466,27.1011,9.3422,5.9173,0.1231,5
2,3.0,4.3035,3.0,3.67,5.0,4.33,4.9536,4.33,3.0,31.2416,18.1662,47.8455,41.9904,68.4831,47.4088,27.8951,6.9948,4.8075,0.1117,5
3,3.0,4.3035,3.0,3.67,5.0,4.33,4.9536,4.33,3.0,31.2416,18.1662,47.8455,41.9904,68.4831,47.4088,27.8951,6.9948,4.8075,0.1117,5
4,3.255,3.0346,3.0047,3.6012,3.0685,4.7609,4.9761,4.3039,3.67,26.4015,21.4966,56.6811,67.4672,75.6362,45.3605,25.4979,6.5272,4.0973,0.1397,6
5,3.0,3.1356,3.0,4.1482,4.988,4.4904,4.9923,3.6945,3.0732,26.6559,14.4132,50.7284,50.744,74.5018,37.6451,33.5867,6.6191,3.9387,0.1337,6
6,3.0,3.0,3.0206,3.0,3.6877,4.9611,4.964,4.7843,3.0732,26.4237,29.6122,56.022,81.8957,78.8195,59.9102,21.0431,6.9584,3.9059,0.1597,6
7,3.7199,3.6919,3.0101,4.9707,4.9834,4.3765,4.7811,3.5992,4.8895,22.7657,11.6969,42.9612,44.9121,53.943,31.5046,19.5898,7.6302,4.5567,0.1624,2
8,3.0107,3.1484,4.4005,3.0467,3.122,5.0,4.9897,3.6873,3.0483,26.9111,19.1075,38.8651,84.9681,77.2324,37.551,33.8458,6.5665,5.8346,0.1144,8
9,3.0009,3.1446,4.384,3.0468,3.122,5.0,4.9897,4.9999,3.0478,26.3124,33.4334,38.0273,84.9554,77.3817,68.0308,17.1052,6.6554,5.7816,0.1815,7
10,3.7199,3.6914,3.0184,3.0602,4.9834,4.3823,4.7811,4.9568,3.0829,23.0088,26.1244,48.6628,44.5865,71.9215,61.847,18.0718,7.8844,3.8865,0.1692,5
11,3.614,3.0768,3.6573,5.0,3.0112,4.9734,4.8198,3.0181,3.0307,22.4032,15.1519,52.5289,83.5453,54.4111,26.7921,37.4515,7.4932,4.1111,0.1159,6
12,3.0141,3.1172,3.7174,4.7285,4.3942,4.7854,4.71,3.4308,3.7858,19.4001,14.1601,46.2729,69.5439,66.1404,28.9356,32.4497,9.4445,3.585,0.1035,4
13,3.6105,4.9969,3.0429,3.0771,3.0001,4.3975,4.9908,3.6699,3.1977,42.6655,13.4564,52.0867,45.5144,51.9535,33.0615,33.7532,5.4128,6.8635,0.1582,5
14,3.0009,3.0314,4.3931,3.1076,3.1166,5.0,4.9912,4.9999,3.0207,26.1809,33.4453,37.9659,84.9634,77.7024,68.0715,17.1722,6.6301,5.7777,0.1815,7
15,3.0608,4.9367,3.0103,4.9534,3.629,4.8229,4.9055,4.8949,3.0156,37.9187,29.3962,50.9107,72.3907,38.3534,61.5115,19.3957,7.2271,5.9591,0.1782,6
16,3.0009,3.0314,3.1064,4.9166,4.7804,5.0,4.9912,4.9999,3.0207,25.836,33.4881,50.487,85.5226,61.0324,70.6547,16.8655,6.7306,3.9048,0.1962,6
17,3.1375,3.6498,4.3124,4.33,4.8664,4.4554,4.9847,3.0865,4.2306,26.9256,11.1319,30.7401,48.8481,68.3263,31.2123,30.1748,6.5119,6.0235,0.1504,5
18,3.0209,3.0246,4.8966,3.5854,3.0747,4.8912,4.9817,3.1826,3.0625,25.9761,15.6434,25.4432,76.7778,75.9773,31.8516,36.6952,6.5872,7.2181,0.1457,6
19,3.0026,3.0619,3.1753,3.0873,4.997,4.5365,4.8124,3.415,4.3073,22.813,12.4127,45.9806,53.1736,81.8134,31.1274,28.0241,8.4174,3.6979,0.1191,4
20,3.0026,3.0619,3.1753,3.0873,4.997,4.5365,4.8124,3.415,4.3073,22.813,12.4127,45.9806,53.1736,81.8134,31.1274,28.0241,8.4174,3.6979,0.1191,4
21,3.0223,3.0858,3.1785,3.0873,4.9577,4.533,4.8124,3.415,4.3073,22.8304,12.3804,46.236,52.9676,81.6023,30.928,28.0473,8.4034,3.7128,0.1191,4
22,3.0223,3.0858,3.1785,3.0873,4.9577,4.533,4.8124,3.415,4.3073,22.8304,12.3804,46.236,52.9676,81.6023,30.928,28.0473,8.4034,3.7128,0.1191,4
23,3.1292,3.0141,3.0052,4.963,3.6732,4.9376,4.7015,4.874,3.043,19.2261,29.4764,56.2798,80.7434,60.7722,57.4708,19.7979,9.4649,2.9366,0.1796,5
24,3.0002,3.2055,3.0845,3.0062,4.7475,5.0,4.6716,4.9997,3.0021,19.2114,32.209,50.5914,84.912,78.3234,64.5558,17.5126,9.8904,2.9399,0.1957,5
25,3.0173,3.3452,4.7678,4.9402,3.2356,5.0,4.8189,4.9999,3.4919,21.2371,32.5304,26.9754,85.5916,58.983,65.0554,15.5732,8.4764,6.2273,0.1847,6
26,3.0147,3.0321,4.7559,4.9669,3.0449,4.9964,4.7476,4.681,3.465,19.4156,27.2878,28.4297,85.3332,60.3947,53.3281,21.3987,9.1238,5.8536,0.1183,5
27,3.0217,4.6114,3.1653,3.0196,4.9469,4.9899,4.6825,4.9986,3.5599,28.0853,31.9719,44.0592,84.1445,62.4944,65.7195,15.4003,9.6245,4.5667,0.1652,6
28,3.1965,4.6171,3.1664,3.043,4.9218,4.5252,4.7189,3.5055,4.2706,29.6756,12.2682,43.0358,52.5491,64.3771,30.2904,28.1673,8.9665,5.0105,0.0749,5
29,3.1965,4.6171,3.1664,3.043,4.9218,4.5252,4.7189,3.5055,4.2706,29.6756,12.2682,43.0358,52.5491,64.3771,30.2904,28.1673,8.9665,5.0105,0.0749,5
30,3.1973,4.7132,4.9252,3.2053,3.0483,4.996,4.7189,3.5055,4.2706,29.9537,16.733,16.8792,84.7355,57.916,31.028,28.3171,8.8634,8.5404,0.178,5
31,3.1005,4.9035,4.3051,3.6905,3.0464,4.3244,4.8769,3.0489,3.3465,37.079,9.706,35.7591,41.8139,56.5768,24.8596,36.6274,7.3057,7.4472,0.1711,5
32,3.0691,4.8254,4.6263,3.1071,3.0428,4.7371,4.8575,3.5138,3.0188,35.3901,14.7681,28.7191,65.8981,58.734,31.419,35.4637,7.6152,7.9934,0.0998,5
33,3.0691,4.8254,4.6263,3.1071,3.0428,4.7371,4.8575,3.5138,3.0188,35.3901,14.7681,28.7191,65.8981,58.734,31.419,35.4637,7.6152,7.9934,0.0998,5
34,3.0448,3.0028,3.0665,4.9065,4.7971,4.9868,4.9221,3.0916,3.2155,24.8183,16.1263,51.7922,84.5002,61.295,32.7248,36.2839,7.3051,3.6426,0.1275,7
35,3.015,4.7098,4.2962,3.6394,3.0221,4.2971,4.769,3.0489,3.2984,31.7042,9.0937,37.0709,40.4147,62.0551,22.5547,36.9633,8.5207,6.5673,0.1792,5
36,3.0002,3.0028,3.0085,3.07,4.6386,5.0,4.7115,4.9652,3.0569,19.8896,31.7976,51.9619,84.9228,78.9952,63.623,18.0028,9.5237,2.9745,0.1904,5
37,3.0003,3.0028,3.0072,3.0855,4.803,5.0,4.9989,5.0,3.0569,26.8244,33.645,50.8284,84.9215,78.0947,71.0003,16.8598,6.6313,3.9722,0.1965,6
38,3.0456,3.2135,4.285,4.8264,3.0551,4.8806,4.6538,4.869,3.2038,17.6987,28.4179,40.4224,76.403,63.1456,56.0362,19.4894,9.9399,4.3619,0.1301,5
39,3.4793,3.6515,4.7568,3.0089,3.0674,4.4609,4.8943,3.0404,4.2359,25.7475,10.7011,25.8039,48.9188,74.0978,25.9492,30.6306,6.9367,7.1909,0.1766,5
40,3.4793,3.6515,4.7568,3.0089,3.0674,4.4609,4.8943,3.0404,4.2359,25.7475,10.7011,25.8039,48.9188,74.0978,25.9492,30.6306,6.9367,7.1909,0.1766,5
41,3.0291,3.6564,3.0416,3.0979,3.0674,4.4621,4.8943,3.204,4.2359,26.8737,11.4272,54.039,48.9538,77.9322,26.0414,29.9881,7.4633,4.2637,0.1404,4
