Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.0784,16.3029,47.8361,84.9973,37.5483,26.466,27.1011,9.3422,5.9173,0.1231,5
2,3.1209,3.0317,3.007,3.6693,3.6773,4.8117,4.8961,4.2146,4.3348,24.1357,20.6684,53.1422,70.9772,76.2063,42.7382,21.4175,7.5069,3.9773,0.1437,6
3,3.1163,3.0204,3.7599,3.6698,4.8518,4.9254,4.9842,3.04,3.6122,26.1036,15.4708,43.482,79.2565,75.0177,33.6188,34.7663,6.5733,4.5888,0.1175,7
4,3.1195,3.013,3.7599,3.6698,4.8518,4.952,4.9842,3.04,4.2913,26.0257,15.6849,41.0444,81.2729,74.8264,33.7899,29.6173,6.5217,4.8312,0.1166,6
5,3.164,3.013,3.7599,3.6698,4.8518,4.952,4.9842,3.0441,4.2913,25.9982,15.6886,41.0473,81.2727,74.4956,33.8174,29.6037,6.479,4.8459,0.1179,6
6,3.1691,4.4923,3.0006,3.6715,3.7549,4.9761,4.9806,3.0178,3.5348,34.3451,16.0696,53.0152,83.1911,59.7075,30.855,35.6093,6.379,5.3652,0.1213,7
7,3.1691,4.4923,3.0006,3.6715,3.7549,4.9761,4.9806,3.0178,3.5348,34.3451,16.0696,53.0152,83.1911,59.7075,30.855,35.6093,6.379,5.3652,0.1213,7
8,3.1341,4.9741,3.6147,3.6679,3.6593,4.8671,4.9641,3.0468,3.4883,40.4927,14.7484,45.4276,75.0308,51.1746,30.137,35.8047,6.3907,6.8376,0.1232,5
9,3.1341,4.9235,3.0341,3.6679,3.676,4.8137,4.9641,3.0557,3.4883,40.0201,14.354,51.0284,71.2101,52.7738,29.6499,35.7856,6.4126,6.2726,0.1231,5
10,3.1341,4.9235,3.0341,3.6679,3.676,4.8137,4.9641,3.0557,3.4883,40.0201,14.354,51.0284,71.2101,52.7738,29.6499,35.7856,6.4126,6.2726,0.1231,5
11,3.1341,4.9235,3.0341,3.6679,3.676,4.8137,4.9641,3.0557,3.4883,40.0201,14.354,51.0284,71.2101,52.7738,29.6499,35.7856,6.4126,6.2726,0.1231,5
12,3.1341,4.8617,3.0341,3.6679,3.676,4.8137,4.9422,3.0566,3.497,38.4354,14.2555,51.3536,71.2032,54.2353,29.1654,35.7732,6.6779,6.0314,0.1158,6
