Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.0784,16.3029,47.8361,84.9973,37.5483,26.466,27.1011,9.3422,5.9173,0.1231,5
2,4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.0784,16.3029,47.8361,84.9973,37.5483,26.466,27.1011,9.3422,5.9173,0.1231,5
3,4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.0784,16.3029,47.8361,84.9973,37.5483,26.466,27.1011,9.3422,5.9173,0.1231,5
4,4.33,4.1568,3.0,3.0028,3.67,4.9988,4.4714,3.67,3.0099,20.9396,16.8953,55.2631,84.8517,52.6882,28.0864,34.8832,8.6456,4.2438,0.0794,5
5,3.044,5.0,3.0,4.3004,4.9373,4.9777,4.329,3.67,3.0624,27.2611,16.2754,45.5406,83.5319,46.379,29.7392,34.6277,12.1087,4.4122,0.0656,6
6,3.044,5.0,3.0,4.3004,4.9373,4.9777,4.329,3.67,3.0624,27.2611,16.2754,45.5406,83.5319,46.379,29.7392,34.6277,12.1087,4.4122,0.0656,6
7,3.044,5.0,3.0,4.3004,4.9373,4.9777,4.329,3.67,3.0624,27.2611,16.2754,45.5406,83.5319,46.379,29.7392,34.6277,12.1087,4.4122,0.0656,6
8,3.4941,4.9236,4.3379,3.0,3.0336,5.0,4.4673,4.2898,3.087,28.4744,21.6234,34.8429,85.0202,52.2243,39.0494,28.8636,10.572,6.5015,0.0168,6
9,4.3847,4.9995,3.028,3.0215,3.2014,4.2729,4.338,4.9734,3.0204,29.2746,24.0346,51.0837,39.1338,41.2081,51.266,18.7918,9.1298,5.7565,0.1624,5
10,3.0076,4.9895,3.0,3.5924,3.67,4.9962,4.593,4.8343,3.0225,31.9597,29.1234,50.5651,84.7807,52.1469,55.4456,20.999,10.1656,5.1394,0.1007,7
11,4.3316,4.9995,3.028,3.0002,3.2014,4.4569,4.3149,4.2467,3.096,29.0707,15.707,51.8409,48.7329,41.4639,31.8198,29.6341,9.4671,5.62,0.0795,5
12,4.3316,4.9995,3.028,3.0002,3.2014,4.4569,4.3149,4.2467,3.096,29.0707,15.707,51.8409,48.7329,41.4639,31.8198,29.6341,9.4671,5.62,0.0795,5
