Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
2,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
3,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
4,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
5,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
6,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
7,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
8,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
9,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
10,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
11,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
12,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
13,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
14,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
15,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
16,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
17,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
18,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
19,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
20,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
21,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
22,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
23,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
24,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
25,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
26,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
27,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
28,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
29,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
30,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
31,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
32,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
33,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
34,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
35,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
36,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
37,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
38,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
39,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
40,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
41,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
42,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
43,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
44,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
45,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
46,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
47,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
48,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
49,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
50,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
51,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
52,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
53,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
54,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
55,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
56,3.0,5.0,3.9818,3.67,3.3534,4.33,3.9818,4.055,4.3716,22.9856,12.1201,37.2299,42.059,57.1642,23.9227,23.839,14.0944,5.1192,0.1325,5
