Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,4.2115,5.0,3.9521,3.0,5.0,5.0,5.0,3.8957,3.0,41.991982,20.278755,34.596615,84.987259,38.291914,45.312511,32.159436,3.942009,8.28578,0.6466,0.224,6
2,3.1924,3.0,3.2405,4.6689,4.5528,5.0,5.0,4.8236,4.4096,25.733499,30.426294,47.03681,85.355249,63.797542,63.920968,11.582686,6.405664,4.448029,0.7011,0.24,6
3,3.9159,3.0,3.3147,4.3157,3.9466,5.0,5.0,5.0,3.3397,25.861047,33.365297,52.468169,85.20729,59.839818,68.541583,16.101541,5.179963,4.685515,0.7777,0.2238,6
4,4.0597,3.0,3.0,4.5701,4.9553,5.0,5.0,5.0,3.0,25.928328,33.419296,50.035904,85.315183,54.322507,71.606927,16.938883,4.814585,4.598778,0.7436,0.2273,6
5,3.3967,3.0,3.0,5.0,3.7732,5.0,5.0,5.0,3.0,26.298274,33.511471,55.900571,85.598726,56.453492,68.161169,17.084112,6.157978,4.079932,0.6331,0.2019,6
6,4.0587,3.0,3.2251,3.539,4.6097,5.0,5.0,4.5133,3.3499,26.549468,26.262518,50.730722,84.974751,63.922968,55.39404,24.18323,4.808675,4.799503,0.6681,0.1852,6
7,4.7059,3.0,3.0484,4.6818,4.1906,5.0,5.0,5.0,3.7615,27.482281,33.282469,52.690336,85.37178,37.81639,68.965063,13.862204,2.294137,5.811887,0.6674,0.3288,6
8,3.8177,3.0,4.089,4.4213,4.5098,5.0,5.0,5.0,3.276,25.123185,33.25031,39.775819,85.246936,60.106744,70.303467,16.22331,5.451884,5.495242,0.6595,0.2154,7
9,3.6966,3.0,3.3029,3.7929,3.0993,5.0,5.0,5.0,3.8875,26.164632,33.381068,52.955845,85.043836,67.840824,67.526232,13.083429,5.606342,4.646131,0.6227,0.2394,6
10,3.9188,3.8532,3.0,4.272,4.4107,5.0,5.0,5.0,3.3087,28.227093,33.401396,51.728948,85.182866,54.455443,69.636083,16.245412,5.196139,4.951003,0.6978,0.2214,6
11,4.0656,3.0,3.0381,4.242,4.1922,4.2758,5.0,5.0,3.0,26.540946,27.086895,54.176415,39.649709,63.100065,64.384287,17.369793,4.732998,4.702951,0.6166,0.233,5
12,3.6913,3.0,3.0,4.364,4.5698,5.0,4.5401,5.0,3.675,15.205776,31.528391,51.380935,85.214925,63.952126,61.685595,14.961686,10.103671,2.799705,0.5428,0.2363,6
13,4.3711,3.3501,3.5873,4.2485,3.6692,5.0,5.0,4.7859,3.0,26.964092,29.928995,50.848821,85.181231,50.11394,61.196417,21.183689,3.738411,5.654165,0.6537,0.2318,6
14,3.6226,3.0,3.5623,4.6732,3.8218,5.0,5.0,4.3463,3.8768,25.917481,24.331991,49.756702,85.373801,59.479305,49.564168,23.424852,5.79996,4.72922,0.6214,0.1589,6
15,3.0,3.7076,3.627,4.8042,5.0,5.0,5.0,4.9086,5.0,27.035394,31.680463,35.015868,85.411822,58.554241,68.717187,1.789579,6.424062,5.556356,0.6393,0.3353,7
16,4.7534,3.4988,3.2471,4.2765,5.0,5.0,5.0,5.0,3.0,28.089205,33.301933,47.32241,85.17054,38.855079,71.843516,17.038089,2.100058,6.112785,0.6622,0.3144,6
17,4.4059,4.4835,3.0,3.0,5.0,5.0,5.0,3.0,3.0,35.853519,16.284941,47.755675,84.954598,44.562188,35.027214,37.341128,3.331194,6.519275,0.6506,0.2298,7
18,3.9132,4.4451,4.0851,3.6561,5.0,5.0,5.0,3.0,3.1421,33.387337,16.105673,34.991711,85.042452,51.666627,35.385829,36.963343,4.956796,6.878358,0.6694,0.1687,6
19,3.9203,3.3806,3.2414,5.0,5.0,5.0,5.0,4.2858,3.0,26.766491,23.766262,48.439122,85.57187,47.783001,51.688639,27.916302,5.18408,4.676443,0.5762,0.1681,5
20,5.0,5.0,4.0627,3.0,4.5676,5.0,5.0,3.0,3.1171,44.691497,16.046152,35.73348,85.004626,16.865159,34.017589,37.190269,0.180669,10.095776,0.758,0.3996,7
21,4.8988,5.0,4.8217,3.0,5.0,5.0,5.0,3.0,3.2886,43.66329,16.051845,14.309263,85.036993,19.902906,36.540118,36.419259,0.796151,11.712869,0.4681,0.421,6
22,4.7117,5.0,3.5458,3.1914,4.0472,5.0,5.0,3.0286,3.079,43.835317,16.202402,45.587815,85.026475,25.522649,32.539526,37.329369,1.767424,8.713426,0.6132,0.3259,7
23,5.0,5.0,3.5652,3.0,5.0,5.0,5.0,3.0,3.06,44.881492,16.106652,40.091678,84.993231,16.904745,35.452793,37.199295,0.176898,9.405319,0.4713,0.3996,7
24,4.5286,4.6016,4.0728,3.0,4.3853,5.0,5.0,3.1887,3.4438,36.962602,16.60153,37.990374,84.96243,39.500829,34.573745,35.269567,2.838018,8.094716,0.6299,0.255,7
25,4.2464,3.0,3.2876,4.5154,4.3492,5.0,5.0,5.0,3.0,26.186933,33.346786,51.570404,85.294176,51.37793,69.469038,17.163744,4.203136,5.045675,0.7263,0.2407,6
26,3.6481,4.7494,3.3641,3.0916,5.0,5.0,5.0,3.1809,3.5716,38.035695,16.735188,42.664364,84.970642,52.631711,36.479691,34.447736,5.447377,6.412336,0.6218,0.152,7
27,3.5906,3.2551,3.4214,3.9419,4.0785,5.0,5.0,5.0,3.0,26.060048,33.432441,51.148726,85.074296,66.789742,68.868192,17.2853,5.882748,4.570701,0.7917,0.199,6
28,3.712,3.5084,3.6305,3.8604,4.0152,5.0,5.0,5.0,3.5169,26.562831,33.317433,47.814465,85.043854,64.286541,68.799334,15.363787,5.679164,5.01678,0.7493,0.2172,7
29,3.8891,3.3049,3.0,3.6938,3.8391,5.0,5.0,5.0,3.1234,26.751772,33.489021,55.178155,85.018799,64.303552,68.340078,16.967783,5.242261,4.603791,0.6962,0.2164,6
30,3.3455,3.0,3.7859,4.0176,3.6793,5.0,5.0,5.0,3.1163,25.625256,33.407033,48.031478,85.10847,69.889844,68.303185,16.923832,6.224773,4.762428,0.6622,0.1929,6
31,3.6593,3.5854,3.5617,3.7859,4.7399,5.0,5.0,5.0,3.0,26.738023,33.376557,45.823908,85.021848,64.815607,70.873801,17.163084,5.778084,4.897318,0.7149,0.2005,6
32,3.5177,3.5423,3.4025,4.0204,4.1554,5.0,5.0,4.4405,3.0049,26.959447,25.476981,51.363598,85.098856,65.009372,52.397405,26.484301,5.988142,4.64609,0.6786,0.1413,6
33,3.6689,3.5225,3.5135,4.4262,4.0653,5.0,5.0,5.0,3.1424,26.477591,33.352248,49.752262,85.250083,59.092482,68.847773,16.856724,5.750054,4.810767,0.6253,0.2038,6
34,3.9783,3.0,3.672,3.6883,4.176,5.0,5.0,5.0,3.0999,25.954464,33.342971,48.039144,85.010497,64.396901,69.197929,16.96237,5.021473,5.094719,0.6862,0.2203,7
35,3.1665,3.1942,3.2611,3.6615,4.3036,5.0,5.0,5.0,3.3015,26.284266,33.514844,51.309097,85.001419,73.290489,69.355927,16.247783,6.484568,4.216362,0.6184,0.1995,6
36,4.2088,4.0843,3.43,3.5396,4.4519,5.0,5.0,4.7674,3.3601,30.293471,29.634117,47.609907,84.977166,52.569433,62.312635,20.281786,4.318132,5.863176,0.6905,0.2182,6
