Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,4.8518,3.5035,4.5296,4.6535,3.2532,4.4694,4.251,3.2795,3.7155,13.8817,9.0846,34.2411,49.8199,36.3856,17.3677,34.3617,7.8167,6.2567,0.7828,3
2,3.0635,3.5507,4.0937,3.042,4.8368,4.6662,4.5799,4.6485,3.3428,17.6991,22.8998,37.2922,61.1175,78.2881,50.1678,22.7252,10.6313,3.9539,0.3403,6
3,4.4029,3.5159,4.7429,4.555,3.9858,4.402,3.9332,4.5079,3.2576,7.9186,17.0666,26.8832,46.0723,50.798,34.7893,25.9224,11.8648,5.2891,0.665,4
4,4.049,4.6565,4.0871,4.8133,3.9381,3.6101,4.7848,4.4248,3.6545,30.9026,14.4164,38.2616,14.1967,41.4631,40.7933,24.4777,6.8094,6.7231,0.8289,4
5,3.4643,3.7337,4.1728,4.9966,4.2586,3.2642,4.1334,3.3207,4.4936,11.9418,3.4513,35.5778,5.6349,61.329,13.3586,27.4009,13.0305,3.737,1.3945,3
6,3.9795,3.7971,4.0745,4.8861,3.1822,4.1788,3.5405,3.0974,4.6775,6.6704,5.17,39.2529,35.2063,53.5256,7.2635,26.47,14.5115,3.3923,1.2882,2
7,4.1286,4.7624,3.3654,3.8138,3.0307,3.8308,3.8716,3.7059,3.0498,19.1256,6.7955,51.0696,20.8545,50.3617,14.7554,35.1681,12.6839,4.1009,0.9737,3
8,3.6822,3.0954,3.6299,3.63,4.5747,3.9542,3.3123,3.6854,4.5128,3.4268,6.449,43.1708,25.2415,78.0118,13.2472,25.4081,16.043,1.7725,1.4213,3
9,3.8017,4.4641,4.5074,4.5482,3.2076,3.065,3.5422,4.4452,3.2743,11.6586,10.4026,32.4539,1.585,55.7787,24.8638,26.9589,15.0348,4.5183,1.1303,2
10,4.3962,4.8326,3.1796,3.0006,4.3072,3.2644,4.5402,3.3019,3.663,31.0257,4.7113,47.7751,5.0339,47.7656,18.835,34.3899,7.6043,5.9485,1.2295,4
11,4.1487,3.4947,4.8929,3.2819,4.885,3.2501,3.3788,3.4553,3.9622,4.9454,2.9472,16.2067,4.7351,71.4464,11.4755,32.0429,14.738,4.9502,1.6506,3
12,3.2974,3.6869,4.3942,4.8265,3.0287,3.9737,4.1852,4.5169,4.0535,11.5102,15.1536,35.5561,26.5041,64.1065,34.1916,20.9726,13.0641,3.9952,0.7153,5
13,3.9497,3.7354,3.7692,3.9356,3.0195,4.7567,3.3751,4.9327,4.2826,4.5504,25.3083,45.3451,67.2411,63.0387,43.3625,12.5059,15.3255,2.4528,1.0938,6
14,4.982,4.6829,4.0792,3.9254,3.1217,3.2115,3.1491,4.9439,3.8362,15.2802,17.157,38.8438,4.0794,30.8853,37.1315,16.1997,11.3415,5.8742,1.1348,5
