Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.0784,16.3029,47.8361,84.9973,37.5483,26.466,27.1011,9.3422,5.9173,0.1231,5
2,3.67,3.0144,4.3813,4.9248,3.0,4.9811,5.0,3.67,3.0347,26.1574,18.6466,39.8043,84.0973,54.5876,37.1966,33.8609,5.5775,6.0273,0.1474,8
3,3.0048,3.0105,4.3813,3.671,3.667,4.9811,5.0,3.6834,3.0348,26.3082,18.8884,38.4962,83.565,75.1386,38.0507,33.9536,6.4945,5.7397,0.1169,8
4,3.0037,3.7181,3.0493,4.3376,3.6456,4.9759,4.9674,3.6889,3.0147,27.593,18.8301,56.0716,83.3483,64.9744,36.6904,34.0672,6.8506,4.2251,0.117,7
5,3.0209,3.67,3.0411,3.6637,3.6684,4.904,4.9902,4.2948,3.0145,28.0955,22.9815,55.7323,77.6603,71.772,47.1364,28.3707,6.6357,4.3059,0.1227,6
6,3.0176,4.7427,3.0,3.0096,4.8674,4.9217,4.9878,4.3251,3.1981,37.7365,23.4236,46.6606,78.9262,59.6488,51.4268,27.2141,6.5008,5.8058,0.1207,7
7,3.0037,4.3303,4.2857,4.3466,4.3163,4.4352,4.8242,4.8489,3.0069,26.9811,24.8035,34.8119,47.7683,61.806,57.6003,20.4975,8.3484,5.8863,0.1191,5
8,3.0037,4.3303,4.2857,4.3466,4.3163,4.4352,4.8242,4.8489,3.0069,26.9811,24.8035,34.8119,47.7683,61.806,57.6003,20.4975,8.3484,5.8863,0.1191,5
9,3.0037,4.3303,4.2857,4.3466,4.3163,4.4352,4.8242,4.8489,3.0069,26.9811,24.8035,34.8119,47.7683,61.806,57.6003,20.4975,8.3484,5.8863,0.1191,5
10,3.0037,4.3303,4.2857,4.3466,4.3163,4.4352,4.8242,4.8489,3.0069,26.9811,24.8035,34.8119,47.7683,61.806,57.6003,20.4975,8.3484,5.8863,0.1191,5
11,3.0205,3.6697,3.0002,3.6512,3.6716,4.9983,4.9897,4.3131,3.0255,28.0635,24.2178,55.9587,84.8916,71.0556,48.2839,28.0926,6.648,4.2833,0.1234,6
12,3.0205,3.6697,3.003,3.6512,3.6716,4.9983,4.9998,4.3131,3.0255,28.3367,24.2661,55.9387,84.8896,71.0233,48.4975,28.0768,6.536,4.3238,0.1258,6
13,3.0205,3.6697,3.003,3.6512,3.6716,4.9983,4.9998,4.3131,3.0255,28.3367,24.2661,55.9387,84.8896,71.0233,48.4975,28.0768,6.536,4.3238,0.1258,6
14,3.0205,3.6697,3.003,3.6512,3.6716,4.9983,4.9998,4.3131,3.0255,28.3367,24.2661,55.9387,84.8896,71.0233,48.4975,28.0768,6.536,4.3238,0.1258,6
15,3.0207,3.6788,3.003,3.0,3.6712,4.7377,4.9988,4.3062,3.0117,29.1761,21.5106,55.8859,65.8207,76.0114,46.3882,28.2187,6.5293,4.3635,0.1248,6
16,3.001,3.6788,3.003,3.0,3.6712,4.739,4.9988,4.3062,3.0029,29.1904,21.5277,55.8947,65.9127,76.1269,46.3982,28.2422,6.5441,4.3589,0.1244,6
17,3.001,4.6221,3.003,3.0,3.6712,4.9944,4.9988,4.3062,3.0029,36.7514,24.1393,52.9503,84.5335,61.4809,48.6048,28.2436,6.3746,5.6425,0.1224,7
18,3.0008,4.6221,3.003,3.0,3.1235,4.9944,4.9988,4.3062,3.0029,36.8875,24.1489,53.9708,84.543,61.4413,48.0635,28.2208,6.3316,5.6675,0.1239,7
19,3.0008,4.6221,3.003,3.0,3.1235,4.9944,4.9988,4.3062,3.0029,36.8875,24.1489,53.9708,84.543,61.4413,48.0635,28.2208,6.3316,5.6675,0.1239,7
20,3.0008,4.6221,3.003,3.0,3.1235,4.9944,4.9988,4.3062,3.0029,36.8876,24.1489,53.9708,84.543,61.4414,48.0635,28.2208,6.3316,5.6675,0.1239,7
21,3.0008,4.6221,3.003,3.0,3.1235,4.9944,4.9988,4.3062,3.0029,36.8876,24.1489,53.9708,84.543,61.4414,48.0635,28.2208,6.3316,5.6675,0.1239,7
22,3.0008,4.6221,3.0008,3.0001,3.1235,4.992,4.9988,4.4423,3.0029,36.826,25.602,53.8595,84.3505,61.4687,51.1981,26.4903,6.3402,5.6655,0.1281,7
23,3.0008,4.6221,3.0008,3.0,3.0112,4.992,4.9988,4.4423,3.0029,36.8521,25.6038,53.9913,84.3523,61.4588,51.1339,26.4795,6.3309,5.6703,0.1284,7
24,3.0008,4.657,3.0008,3.0,3.0112,4.992,4.9988,4.443,3.0029,37.3095,25.61,53.8307,84.3552,60.796,51.1688,26.4716,6.3181,5.7441,0.1288,7
25,3.0008,4.657,3.0008,3.0,3.0112,4.992,4.9988,4.443,3.0029,37.3095,25.61,53.8307,84.3552,60.796,51.1688,26.4716,6.3181,5.7441,0.1288,7
26,3.0,4.657,3.0008,3.0,3.0112,4.992,4.9988,4.443,3.0029,37.3101,25.6101,53.8307,84.3552,60.8009,51.1688,26.4716,6.3186,5.7439,0.1288,7
27,3.0,4.6599,3.0008,3.0012,3.0715,4.9999,4.9989,4.443,3.0011,37.3304,25.6991,53.7511,84.9768,60.6779,51.2688,26.4801,6.3226,5.7474,0.1287,7
28,3.0,4.6599,3.001,3.0012,3.0715,4.9999,5.0,4.4514,3.0004,37.3569,25.802,53.7422,84.9817,60.6741,51.4983,26.3675,6.3106,5.7518,0.1294,7
29,3.0,4.6638,3.0009,3.0012,3.0715,4.9999,5.0,4.4514,3.0004,37.4088,25.8019,53.7248,84.982,60.5994,51.5004,26.3677,6.3091,5.7601,0.1295,7
30,3.0,4.6638,3.0009,3.0012,3.0715,4.9999,5.0,4.4514,3.0004,37.4088,25.8019,53.7248,84.982,60.5994,51.5004,26.3677,6.3091,5.7601,0.1295,7
31,3.0,4.6909,3.0228,3.0008,3.0715,5.0,4.9999,4.4514,3.0004,37.761,25.795,53.4553,84.9852,60.0745,51.5155,26.3686,6.2999,5.8282,0.1298,7
32,3.0,4.6916,3.0007,3.0012,3.0715,4.9999,5.0,4.4044,3.0004,37.8084,25.2681,53.6403,84.9849,60.0551,50.3841,26.9899,6.2956,5.821,0.1279,7
33,3.0015,3.0099,4.3752,3.1335,3.0711,4.7888,5.0,4.4037,3.0004,26.7863,22.8887,39.2308,69.3346,79.3704,49.0645,26.9285,6.4954,5.777,0.1217,7
34,3.0,3.0031,4.3673,3.0075,3.0913,4.7888,5.0,4.4327,3.0001,26.9222,23.2224,39.3502,69.3278,79.8351,49.7715,26.5342,6.4986,5.7612,0.1229,7
35,3.0,3.0031,4.3673,3.0076,3.0913,4.8079,5.0,4.4161,3.0001,26.9204,23.2226,39.366,70.654,79.6886,49.5092,26.749,6.4984,5.7608,0.1222,7
36,3.0,3.01,4.2351,3.0076,3.2289,4.7888,4.9998,4.4211,3.0001,26.9784,23.0878,42.019,69.315,79.8633,49.4561,26.7005,6.5097,5.4664,0.122,7
