Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.0725,5.0,4.33,4.0,3.0,4.5644,4.33,4.0,3.67,27.06,14.2986,33.7666,55.1174,52.1014,28.3334,29.6958,12.013,6.1962,0.0446,4
2,3.0,4.1316,4.2426,4.7463,4.4963,4.1737,4.2426,4.5837,3.7737,14.6189,17.2511,34.3436,34.8728,61.9668,39.8263,21.96,13.0736,3.9701,0.1705,4
3,3.0804,4.898,4.2292,3.81,3.6555,4.3767,4.3096,4.178,4.8478,24.9456,14.1996,29.5653,44.4891,57.253,30.6848,16.2842,12.0689,6.307,0.1643,4
4,4.2286,3.8126,4.1026,4.7916,3.6744,4.3441,4.8434,3.3353,4.1283,25.0073,10.3804,40.6135,43.1455,47.2527,26.4997,30.4295,5.7449,6.0944,0.1919,4
5,4.2286,3.8126,4.1026,4.7916,3.6744,4.3441,4.8434,3.3353,4.1283,25.0073,10.3804,40.6135,43.1455,47.2527,26.4997,30.4295,5.7449,6.0944,0.1919,4
6,3.7029,4.623,3.8787,4.2971,3.0,4.3907,4.8057,4.2971,4.3907,30.434,17.1465,41.1233,45.3646,51.1438,40.0347,20.1628,7.3362,6.3923,0.1431,5
7,4.4622,3.7981,3.3665,4.6134,4.6094,4.272,4.3418,3.929,4.468,15.3781,11.4684,45.1037,39.3992,46.5767,27.3684,23.4552,9.1198,4.2479,0.1696,1
8,4.0084,4.2974,3.8556,3.6657,3.9303,4.3464,3.9736,3.789,4.3978,13.5694,10.1366,41.1564,42.8227,59.4064,19.934,25.9028,12.7461,4.0435,0.2154,3
9,3.6599,4.1417,3.8294,4.1536,4.5545,4.6651,4.4701,4.1653,3.9427,18.201,16.9031,41.0897,61.275,59.9721,35.7661,25.9576,10.6048,4.1927,0.0762,6
10,4.0,4.0,4.6628,4.2608,4.4564,4.5936,3.4899,4.6559,3.1609,5.8946,19.8552,26.06,56.8884,57.1629,37.5231,24.2208,14.9513,4.3458,0.2618,5
11,3.7094,4.4133,3.76,3.9264,4.4814,4.7634,4.4397,3.9944,3.9173,20.3838,16.2742,41.7374,67.7093,56.7858,32.6711,27.9281,10.6616,4.4817,0.0415,7
12,3.7238,4.2337,3.2543,4.7252,3.9012,4.2651,4.2304,4.0568,4.6923,16.0053,12.2012,46.6036,39.1511,53.6792,26.3466,19.6945,11.943,3.7006,0.1902,2
