Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.0784,16.3029,47.8361,84.9973,37.5483,26.466,27.1011,9.3422,5.9173,0.1231,5
2,4.33,5.0,3.67,3.0,5.0,5.0,3.5576,3.7413,3.67,20.177,15.1614,37.5612,84.9765,38.5356,23.8172,31.9289,13.3106,4.878,0.1282,6
3,3.695,4.3382,3.0,3.67,3.67,4.9981,4.9585,3.0,3.0069,32.1009,16.1497,54.7722,84.9159,56.6922,30.3048,37.7177,5.8533,5.2842,0.1393,7
4,3.0029,3.0441,3.0716,4.5189,3.6701,5.0,4.9502,3.0317,3.6766,25.7073,16.2417,55.7117,85.3255,67.0566,30.1053,34.6373,6.9912,3.879,0.1266,6
5,3.0558,3.0164,4.5783,3.7356,3.6533,4.9981,4.9582,3.3205,3.488,25.0933,17.0825,33.0498,84.9264,74.2451,33.4613,34.4755,6.8964,6.1184,0.1051,7
6,3.0642,5.0,3.6699,3.7062,4.9741,4.9798,4.8707,4.3682,3.0169,37.573,23.8016,38.5094,83.5013,50.175,51.2766,27.4035,7.5828,6.507,0.0888,6
7,3.0308,3.7138,4.4096,3.1962,3.4813,4.9997,4.9068,3.2001,3.0398,26.1553,16.4702,37.4044,84.9595,72.9107,31.0622,36.8432,7.4151,5.835,0.0867,7
8,3.0192,4.9844,3.1484,3.041,3.6901,5.0,4.9796,4.0557,3.0846,41.6744,21.7184,50.1094,85.0122,53.5474,43.4916,30.7923,6.4019,6.5165,0.12,7
9,3.0192,4.9844,3.1484,3.041,3.6901,5.0,4.742,4.0557,3.0846,35.8491,20.6723,50.1443,85.0122,54.2443,38.8993,31.1298,8.8029,5.6804,0.0399,8
10,3.0192,4.9844,3.1501,3.0386,3.1084,5.0,4.742,4.0557,3.0846,35.9953,20.6822,51.2191,85.0221,54.2084,38.3225,31.1057,8.7571,5.7081,0.0414,8
11,3.0171,3.0682,3.0,3.0014,3.0835,4.9361,4.9194,3.2464,3.0,26.1559,16.2214,58.333,80.0177,78.6359,30.1423,36.6327,7.2459,3.7914,0.1237,6
