Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,3.0,3.0,3.0,3.4844,3.435,3.0,3.0,3.0729,3.7203,4.4759,1.2572,56.4092,0.1216,88.0798,1.1523,35.6903,17.5254,0.5124,0.7485,0.6808,4
2,3.0453,4.6094,4.6902,3.4264,3.7015,4.262,3.6605,3.905,4.0184,13.9937,9.9941,24.3605,38.5364,66.9877,19.0429,28.6731,15.7056,5.1852,0.2703,0.2354,3
3,4.3914,3.5352,4.7541,3.5253,4.7717,4.4278,3.7509,4.9659,4.256,6.1856,23.5391,19.0425,47.2228,60.4403,49.4759,11.7719,12.7398,5.3215,0.3715,0.3423,5
4,3.2714,4.2534,4.794,3.7524,4.1888,4.8624,4.6856,3.1428,3.3496,23.5652,13.7527,23.2948,74.5073,63.5959,27.2271,36.3864,9.265,6.818,0.2361,0.1275,5
5,3.6368,3.9252,3.1961,4.5898,3.0431,3.5657,3.2781,3.5189,3.8486,6.7032,4.1285,53.8918,12.91,64.0506,7.161,32.7016,16.1485,1.5833,0.5568,0.5345,4
6,3.6762,4.2637,4.222,4.8499,3.1828,4.3191,4.8193,3.1445,3.931,27.2803,9.5019,38.8158,41.9913,50.0465,23.9873,32.9226,7.3114,6.119,0.2087,0.1796,4
7,3.4089,3.2639,4.1773,4.4594,3.4788,4.5335,4.5965,4.7102,4.3822,16.4958,22.4492,38.3639,53.1503,67.9033,48.0581,14.6089,9.9551,4.4962,0.2503,0.1838,5
8,4.4378,3.4231,4.9861,4.2744,4.8201,3.7357,3.6649,3.3919,3.7278,5.8752,4.3701,14.4523,17.9195,57.0343,13.6225,33.9471,12.8101,5.8509,0.4269,0.4794,4
9,3.5334,4.9645,4.0471,3.3544,3.3925,4.8687,3.1429,3.246,3.0016,17.0664,11.1815,40.4397,75.1955,52.3613,11.1798,38.0569,16.3821,4.1692,0.3197,0.2445,4
10,4.6396,3.0718,3.305,4.1186,3.0583,4.2055,4.8917,4.0474,4.5878,25.3757,14.0863,50.7349,36.2539,51.8047,35.3483,20.3515,3.5431,5.9409,0.2583,0.2551,4
11,4.1982,3.8176,3.5009,4.7625,3.7205,3.9394,4.8323,4.1559,3.5696,24.9975,13.3491,50.6139,25.1435,50.2517,35.9296,28.018,6.0623,5.0366,0.2157,0.2116,4
12,3.3636,3.2347,3.3094,3.3185,3.8812,3.6045,3.7963,4.8672,3.0906,7.1854,18.078,52.9493,13.3567,83.3099,39.8253,20.7953,15.0192,1.4285,0.4879,0.4131,5
13,3.9571,3.7145,3.2269,4.1765,3.3932,3.839,3.8171,4.2771,4.3537,8.4242,11.2185,51.2048,21.2074,65.3546,24.0454,21.6806,13.6746,2.4381,0.3853,0.3514,3
14,4.5062,4.4419,3.7761,4.5261,4.4962,3.2419,4.7144,4.8619,3.5634,27.4047,18.9766,41.4143,4.8526,40.7946,52.0412,18.2927,5.9756,6.2538,0.4035,0.3624,5
15,4.9585,4.4195,3.1747,4.4122,3.537,4.3007,4.9586,4.5456,3.3436,34.8001,20.2086,52.453,40.7315,25.1021,48.8339,24.1137,1.1654,7.5447,0.4875,0.3541,5
16,3.0517,4.8904,3.305,3.819,3.3615,4.9785,4.3059,4.6419,3.422,25.1011,25.1523,49.1798,83.5482,53.3934,44.968,23.0679,12.3017,4.351,0.3428,0.0884,6
17,4.7844,3.6327,4.254,3.6619,3.9582,3.0363,4.6717,3.1429,4.2988,22.6688,3.9986,36.3499,0.7956,51.7248,18.5145,30.0288,4.9499,6.8508,0.3587,0.4642,4
18,4.2675,4.138,3.383,3.4117,4.5477,4.5849,4.7592,4.5179,4.4697,25.2394,20.9607,43.7995,55.7936,55.194,47.8228,16.3157,6.4577,5.5308,0.2785,0.1925,7
19,4.7497,4.3807,4.75,3.7774,3.2579,3.7699,4.9587,3.2185,3.5622,33.8273,7.4988,26.1433,18.7809,40.2087,25.9845,34.899,2.196,9.7036,0.4868,0.3936,3
20,3.4681,4.1244,4.8762,4.5768,4.2916,3.4134,3.7054,3.6169,3.9604,9.1227,4.5258,18.7417,8.7516,63.5757,13.8781,31.1289,15.1429,5.133,0.4274,0.47,4
21,4.5163,3.3188,4.7563,3.8128,4.3691,4.2994,4.9691,4.7379,4.6064,25.9879,22.6125,19.7354,40.5088,55.2937,56.8619,10.9823,3.3884,8.6418,0.4693,0.3421,5
22,4.5393,3.8212,3.5699,3.1914,4.3339,3.4992,4.8975,4.1427,3.7563,28.2288,11.8191,46.9519,10.5683,57.7167,36.972,27.062,4.0595,6.0049,0.318,0.3359,5
23,3.5016,3.7109,4.711,4.2925,4.5342,4.9552,3.6751,3.6139,3.6094,5.5292,14.1905,24.8633,82.1079,63.7305,21.1541,33.2818,15.3361,4.0077,0.3487,0.2915,4
24,3.6234,4.1208,4.5771,4.8584,3.899,3.9014,3.4853,4.2357,3.6485,7.5024,10.5802,29.6952,23.741,56.571,22.5671,27.6903,15.7318,3.9677,0.3084,0.3147,2
25,3.6227,4.0663,3.8168,3.2496,4.6761,4.9795,3.7045,4.3075,4.6091,8.6095,19.7467,37.2956,83.3508,66.2457,33.0398,18.0746,14.9502,3.0543,0.3588,0.2654,6
26,4.8008,3.7978,3.8727,4.163,3.4639,3.4452,4.4179,3.3103,3.7332,18.5381,4.6554,46.3874,9.5184,45.4026,15.7617,34.1342,6.8957,5.4499,0.3439,0.4086,3
27,4.0006,3.6963,3.8146,4.5384,4.2707,4.226,4.0008,3.1301,4.2379,9.8066,6.3642,43.1547,37.3657,58.674,13.1023,31.1436,12.6946,3.1799,0.321,0.353,4
28,3.6041,4.481,4.0118,4.7218,4.7013,3.8119,3.2291,4.7171,4.8139,9.4797,15.5121,31.0505,20.4178,54.4506,34.5501,9.7719,16.2735,3.666,0.3227,0.3568,4
29,4.504,3.4361,3.0476,4.507,3.6671,4.976,3.2438,3.4787,4.8451,4.4954,13.2352,49.8151,83.7201,46.441,14.001,22.2232,13.6428,2.731,0.4267,0.3688,3
30,3.0379,4.7259,4.2575,3.1596,3.6646,3.6148,3.6672,4.2426,3.193,16.6108,9.8539,36.2661,13.6938,68.5706,22.6001,29.842,15.6292,4.2244,0.2834,0.292,3
31,4.7542,3.25,3.933,3.5096,3.2135,3.6007,4.1092,4.8452,4.1987,11.707,17.978,43.9303,13.3769,56.2702,41.5785,14.5708,9.2457,4.6156,0.2886,0.328,4
32,3.8931,4.2566,4.7463,3.7373,3.9008,4.5357,3.3473,4.4684,3.1333,7.6315,16.9961,25.2603,53.5482,60.5074,30.3279,27.2143,15.5527,4.781,0.2233,0.2293,4
33,4.8313,3.1962,3.6022,4.0087,3.1143,3.7879,3.4291,3.2239,4.8384,6.5417,3.5581,46.1607,19.4369,50.7253,5.7475,23.8281,11.4234,3.9355,0.4213,0.4891,2
34,3.3143,4.4388,4.992,4.0877,3.2543,3.7717,3.8352,3.883,3.6541,13.1354,7.641,17.7871,18.8899,64.8415,18.1799,31.284,14.7211,6.091,0.3664,0.3582,4
35,3.8822,4.5677,4.0198,3.316,4.3933,4.8392,3.6658,3.2471,4.6384,13.7131,11.1321,34.2835,72.9472,55.9492,15.5375,26.2986,14.2719,4.3886,0.2595,0.2262,3
36,4.7679,4.425,4.6392,3.3562,4.0583,4.2859,4.738,3.2019,4.8747,28.854,9.0231,20.9942,39.9637,39.902,24.5719,22.6188,4.1648,9.4096,0.4015,0.3109,2
37,3.0536,4.7678,4.5234,3.8379,3.9134,4.9036,4.5423,3.5344,4.8048,26.6143,15.0006,23.5653,77.4607,55.8355,27.9536,22.0791,10.4564,7.1637,0.2416,0.1462,6
38,4.0735,4.8901,3.228,3.6369,4.7634,4.8573,4.719,4.6663,4.5709,32.4939,25.3388,39.9876,74.4436,42.7652,54.1366,12.844,7.2308,6.5055,0.4508,0.2229,6
39,3.3969,4.1846,4.1185,4.0744,3.7123,3.6992,3.1457,4.2826,3.8678,6.9157,9.9367,39.5678,16.5401,69.3026,20.2593,26.0528,16.928,2.727,0.4119,0.3844,3
40,3.0171,4.6818,3.0152,3.5273,3.1892,4.9128,3.022,4.2618,3.141,12.7429,18.2913,53.4505,78.1363,61.6987,24.7194,29.7892,17.4355,2.1602,0.3807,0.2371,5
41,4.4927,4.7129,4.926,4.3291,4.5921,4.0744,3.7812,3.8185,4.9298,16.231,8.1707,7.9353,30.2025,37.6178,20.3176,18.6234,11.7456,8.2436,0.4065,0.3869,2
42,4.6609,3.1042,3.7801,3.5673,4.164,4.1086,4.9713,3.1631,3.1438,27.8776,9.0708,47.8807,31.6259,55.4821,27.2163,36.7232,2.6804,6.2505,0.3202,0.3038,5
43,3.9398,4.0616,3.1138,4.2072,4.5895,3.2705,3.1579,4.9395,3.7177,6.5117,17.4531,48.5771,5.3292,63.7107,39.1597,16.8286,15.9301,1.784,0.466,0.4536,5
44,3.6907,4.7181,3.1091,3.1321,4.7134,4.2032,3.1834,3.8787,4.0275,13.9809,9.061,45.3268,35.6181,60.9392,17.1449,28.7016,16.2254,2.8241,0.3271,0.283,3
45,4.4075,3.921,3.4776,3.3469,3.4698,3.8312,4.9606,3.7397,4.0317,30.0673,10.2666,49.857,20.6665,57.9909,30.8794,28.7268,3.8607,6.1238,0.3114,0.2988,4
46,4.1675,3.1625,3.1556,4.6951,3.3195,4.0049,4.88,3.4189,3.0982,24.7786,9.1605,56.8499,27.4723,56.1783,25.7354,35.6778,5.5469,4.5193,0.2941,0.2539,4
47,4.0207,3.1263,4.3132,4.0785,3.0348,4.3912,3.87,3.9301,3.6225,6.7214,11.331,40.101,45.2329,66.549,20.534,30.8439,13.3183,3.4435,0.2638,0.2847,4
48,4.1201,3.2762,4.747,3.8765,3.9911,4.6015,4.9235,3.9322,3.8136,24.1896,16.1446,26.0216,57.1606,62.0819,38.2224,28.7044,5.437,7.3796,0.2281,0.1751,6
49,4.182,3.8785,4.7212,4.1381,4.4927,3.0409,4.1538,4.5439,3.5612,12.3819,12.4937,23.8294,0.9433,61.242,35.0492,23.9903,11.4554,5.5926,0.2824,0.3765,4
50,4.1665,4.6755,3.6091,3.4078,3.7289,3.5007,3.3143,4.3793,4.3753,14.1529,10.3413,43.0982,10.6402,55.2686,22.7085,20.3726,14.626,3.9356,0.3248,0.3367,3
51,3.8918,3.5846,3.2935,4.6544,4.9001,3.5042,4.9049,4.7853,3.2549,25.1078,19.5593,47.4906,10.9942,60.7,54.98,20.3894,6.3099,4.4717,0.3694,0.3063,5
