Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,27.0,81.0,54.0,54.0,27.0,27.0,81.0,54.0,0.0,51.6617,26.774,46.8185,35.4456,30.8186,68.8222,11.9613,33.3932,32.1147,0.1088,3
2,27.0,81.0,54.0,54.0,27.0,27.0,81.0,54.0,0.0,51.6617,26.774,46.8185,35.4456,30.8186,68.8222,11.9613,33.3932,32.1147,0.1088,3
3,54.992,80.904,54.0,54.0,27.0,27.0,81.0,54.0,0.0,51.866,27.3364,46.6033,34.7232,30.6146,73.858,14.6967,31.69,32.2495,0.102,4
4,0.0,80.3661,54.0,81.0,27.0,53.7475,53.7257,79.4391,27.0,50.0952,52.6326,48.9296,27.3138,27.9887,62.7903,10.8018,30.7189,27.3262,0.1372,3
5,27.0,80.9969,54.2844,54.0,27.0,27.0,81.0,54.0,0.5294,51.6584,26.7778,46.877,35.463,30.8263,68.8537,11.9467,33.3388,32.1116,0.1086,3
6,27.0,80.9969,54.2844,54.0,27.0,27.0,81.0,54.0,0.5294,51.6584,26.7778,46.877,35.463,30.8263,68.8537,11.9467,33.3388,32.1116,0.1086,3
7,54.6996,80.8162,80.8193,35.9505,0.1176,0.0,81.0,79.1153,27.3183,45.7181,21.5958,53.5449,37.2048,31.4977,106.0495,13.4781,25.0154,39.5177,0.1447,6
8,54.6996,80.8608,80.8192,35.9505,0.1176,0.0,81.0,79.1401,27.3401,45.7342,21.6065,53.5546,37.201,31.5213,106.0712,13.4909,25.008,39.5178,0.1446,6
9,61.872,79.7103,81.0,53.976,28.6547,0.9643,80.9997,81.0,27.6158,59.6504,26.0332,53.7243,32.171,31.0144,106.347,13.9775,23.8071,36.1893,0.1207,5
10,79.9822,77.761,79.9889,80.966,3.1121,53.7713,80.1903,79.3025,0.6298,41.9833,57.2561,68.1657,26.4556,31.0081,76.8224,16.993,23.3498,36.3982,0.1173,6
11,0.316,80.9527,52.7721,72.6807,2.429,79.9828,80.7408,80.9482,1.771,39.1201,72.1384,66.1732,30.041,35.9722,56.5844,12.3325,32.0698,38.0966,0.1079,6
12,1.0892,80.9527,56.206,72.6807,2.4319,79.9828,80.9983,76.0143,1.7439,38.8167,71.2586,66.6999,30.3665,36.0285,53.0534,12.2733,31.5457,38.0106,0.1197,6
13,1.0892,80.9527,56.206,72.6807,2.4319,79.9828,80.9983,76.0143,1.7439,38.8167,71.2586,66.6999,30.3665,36.0285,53.0534,12.2733,31.5457,38.0106,0.1197,6
14,1.0892,80.9527,56.206,72.6807,2.4319,79.9828,80.9983,76.0143,1.7439,38.8167,71.2586,66.6999,30.3665,36.0285,53.0534,12.2733,31.5457,38.0106,0.1197,6
15,1.0892,80.9527,56.206,72.6807,2.4319,79.9828,80.9983,76.0143,1.7439,38.8167,71.2586,66.6999,30.3665,36.0285,53.0534,12.2733,31.5457,38.0106,0.1197,6
16,80.9071,78.4796,7.4686,77.051,1.5879,78.2446,80.9576,80.9999,8.0385,33.5057,72.2069,53.2269,27.1049,34.7015,78.493,20.6562,32.6475,40.3185,0.1189,6
17,80.9071,78.4796,7.4686,77.051,1.5879,78.2446,80.9576,80.9999,8.0385,33.5057,72.2069,53.2269,27.1049,34.7015,78.493,20.6562,32.6475,40.3185,0.1189,6
18,1.0892,80.9527,56.206,72.6807,2.4319,79.9828,80.9983,76.0143,1.7439,38.8167,71.2586,66.6999,30.3665,36.0285,53.0534,12.2733,31.5457,38.0106,0.1197,6
19,1.0892,78.4218,56.206,72.6807,2.4319,79.9915,80.9982,76.0143,1.6439,38.1374,70.9652,66.3336,30.3741,34.8049,53.2889,11.6499,31.906,38.0135,0.1213,5
20,0.0179,78.4255,56.2692,72.6807,4.53,78.7417,80.9993,76.0143,1.6969,39.2052,69.8482,65.1166,30.4281,34.6406,53.6723,11.5219,31.8067,36.7273,0.1169,5
21,80.9182,80.866,80.9575,72.5805,2.8348,2.9924,78.2466,80.421,1.1631,45.3599,34.4265,60.2119,29.3774,29.4135,100.1389,16.6567,23.1696,37.9036,0.0989,5
22,61.5932,80.8692,80.277,53.3743,3.1838,0.7224,80.9997,80.9998,26.815,44.8463,26.674,56.1356,33.9475,31.5072,106.5452,14.2588,24.6384,38.622,0.1066,5
