Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,27.0,81.0,54.0,54.0,27.0,27.0,81.0,54.0,0.0,51.6617,26.774,46.8185,35.4456,30.8186,68.8222,11.9613,33.3932,32.1147,0.1088,3
2,0.5022,81.0,79.9717,53.9595,3.0548,81.0,56.7775,54.0,0.0,39.6262,60.2399,65.2298,36.0787,30.3334,38.2484,11.7541,26.1586,38.5024,0.1736,5
3,81.0,81.0,54.0,80.8563,1.3171,26.3358,27.0,78.2511,1.5227,33.5196,39.8963,52.5793,27.534,20.8886,66.9815,17.6036,29.0277,38.7572,0.1588,3
4,81.0,81.0,54.0,80.8563,1.3171,26.3358,27.0,78.2511,1.5227,33.5196,39.8963,52.5793,27.534,20.8886,66.9815,17.6036,29.0277,38.7572,0.1588,3
5,27.0,79.5433,79.762,79.8194,0.8392,80.1102,80.9761,80.8958,0.719,40.5962,76.6291,75.3589,27.8282,35.1813,57.0717,13.4345,27.1773,38.2633,0.1188,5
6,27.0,79.5433,79.762,79.8194,0.8392,80.1102,80.9761,80.8958,0.719,40.5962,76.6291,75.3589,27.8282,35.1813,57.0717,13.4345,27.1773,38.2633,0.1188,5
7,27.0,79.5433,79.762,79.8194,0.8392,80.6226,80.9761,80.8958,0.6175,40.5971,77.0968,75.4832,27.8094,35.2477,56.813,13.4724,27.1455,38.2928,0.1198,5
8,28.7166,79.5007,79.762,79.3103,0.3688,80.6226,80.9999,80.8958,0.4811,40.433,76.89,75.6083,27.9078,35.2197,57.1648,13.6073,27.1258,38.5982,0.1186,5
9,79.3625,80.9556,78.4481,24.3924,4.9516,58.207,80.6549,79.6301,1.3056,49.7698,43.5257,59.9254,37.1988,32.8356,81.2541,18.1456,22.552,37.5723,0.0828,8
10,79.3625,80.9556,78.4481,24.3924,4.9516,58.207,80.6549,79.6301,1.3056,49.7698,43.5257,59.9254,37.1988,32.8356,81.2541,18.1456,22.552,37.5723,0.0828,8
11,28.7166,79.5007,79.762,79.3103,0.3688,80.6226,80.9999,80.8958,0.4811,40.433,76.89,75.6083,27.9078,35.2197,57.1648,13.6073,27.1258,38.5982,0.1186,5
12,20.6065,80.6438,79.0159,21.7283,1.3069,52.7747,80.1456,75.7873,5.3573,48.239,37.3047,59.4134,39.923,32.4055,71.5678,11.5012,27.8365,38.6484,0.0317,6
13,20.6065,80.6438,79.0159,21.7283,1.3069,52.7747,80.1456,75.7873,5.3573,48.239,37.3047,59.4134,39.923,32.4055,71.5678,11.5012,27.8365,38.6484,0.0317,6
14,0.2094,80.6586,80.9952,79.2938,0.0975,79.6971,80.9997,79.8282,1.4834,40.3314,75.5329,76.1681,28.1773,35.9744,51.4709,11.5245,26.3771,38.5711,0.1385,4
15,79.7636,80.75,50.9131,80.987,3.5333,8.3093,80.694,80.9617,1.2237,41.9437,37.895,53.4091,27.1544,30.0176,102.5792,17.2364,29.7439,38.1106,0.0856,5
16,0.2094,80.6586,80.9956,79.2938,0.0975,79.6971,80.9997,79.8282,1.4834,40.3314,75.5329,76.1683,28.1773,35.9744,51.4709,11.5245,26.377,38.5711,0.1385,4
17,0.2094,80.6586,80.9956,79.2938,0.0975,79.6971,80.9997,79.8282,1.4834,40.3314,75.5329,76.1683,28.1773,35.9744,51.4709,11.5245,26.377,38.5711,0.1385,4
18,0.3892,79.8204,80.6466,80.9836,0.0975,80.9104,80.9997,79.8282,0.5645,39.8601,77.3154,76.5187,27.6338,35.7152,50.726,11.4436,26.557,38.6199,0.1442,4
19,75.3309,79.8204,80.6466,80.6864,1.9106,80.9104,76.0699,79.8282,0.5645,40.9771,78.2085,74.3246,26.1118,33.921,63.4532,18.6419,22.433,38.0287,0.1377,5
20,75.7038,79.1717,74.9592,1.4933,5.5593,75.9961,80.694,80.0019,1.6526,50.3001,55.3659,59.3357,38.3075,33.9146,74.6988,18.3183,22.9146,38.6464,0.0787,7
21,75.7038,79.1717,74.9592,1.4933,7.7652,75.9961,80.694,80.6154,2.5792,50.0908,55.5847,58.7037,38.2137,33.9202,75.2792,18.3455,22.7984,37.7551,0.08,8
22,75.7038,79.1717,74.9592,1.4933,7.7652,75.9961,80.694,80.6154,2.5792,50.0908,55.5847,58.7037,38.2137,33.9202,75.2792,18.3455,22.7984,37.7551,0.08,8
23,0.3892,79.8204,80.8993,80.9836,0.0975,80.9104,80.9997,79.9878,0.5645,39.9117,77.3604,76.609,27.6215,35.7168,50.7955,11.4392,26.4934,38.6121,0.1441,4
24,0.4126,78.3465,80.3272,77.2857,5.6038,48.1098,80.4447,80.6192,1.4106,43.8228,50.8793,66.5625,29.5426,31.2824,67.0164,9.2723,28.1208,34.9968,0.1057,3
25,24.232,79.8204,80.8993,6.9183,0.0975,80.9104,80.9997,79.8573,0.5645,51.3971,58.6721,64.4443,39.7402,35.2114,62.3608,13.2937,25.8956,40.7553,0.0724,7
26,24.232,79.8204,80.8993,6.9183,0.0975,80.9104,80.9997,79.8573,0.5645,51.3971,58.6721,64.4443,39.7402,35.2114,62.3608,13.2937,25.8956,40.7553,0.0724,7
27,80.9076,74.3508,80.8492,63.6061,3.065,79.8725,80.7471,80.8943,7.3524,41.5087,70.2574,70.2903,30.2631,32.675,68.9611,17.6047,21.6737,37.6566,0.113,5
28,80.9278,80.91,78.8645,79.7858,3.1698,1.1387,80.854,80.9208,2.5559,44.8508,37.4399,60.7074,27.4264,30.1329,102.4411,16.6978,23.7115,37.8149,0.1058,6
29,0.6607,79.8533,80.6902,80.9836,0.0975,80.9352,80.9991,80.934,0.5682,40.0478,77.5832,76.6463,27.5562,35.7314,51.4814,11.4764,26.5413,38.617,0.1417,4
30,0.6607,79.8533,80.6902,80.9485,0.0084,80.9352,80.9813,80.934,0.5682,40.0027,77.5645,76.6805,27.5639,35.7271,51.4832,11.475,26.5454,38.6737,0.1417,4
31,0.6607,79.8533,2.8767,74.324,1.7853,79.6181,78.8193,78.7276,0.5682,33.0023,70.2125,52.4648,29.8907,35.2261,61.4235,13.6147,37.7992,40.0629,0.1224,5
32,80.8788,76.1197,78.8689,5.0351,0.4439,78.2136,80.3659,79.1434,0.8035,50.1691,56.7255,61.8378,38.0109,32.767,72.9721,18.0605,21.515,40.8251,0.0947,7
33,80.8982,80.9544,80.6879,1.4595,3.6733,80.4986,80.9965,71.305,7.9792,50.5558,57.8886,61.1741,38.601,35.6724,68.4018,19.5604,20.2331,39.7117,0.1124,7
34,77.3817,80.534,80.9981,80.9826,4.9228,4.5521,80.968,80.4044,1.7759,46.0246,38.2236,61.55,27.2649,30.0039,99.4841,16.1154,23.8551,37.1281,0.1058,7
35,30.7278,80.9564,80.9944,80.9992,20.96,2.4034,80.6964,75.553,0.0674,58.2492,35.261,58.7877,28.6498,30.2094,88.5172,11.2031,27.9653,34.3385,0.0769,4
36,0.6607,79.8389,80.9912,80.9485,0.0002,80.9352,80.996,80.9333,0.5682,40.027,77.5774,76.7735,27.5622,35.7262,51.4446,11.4653,26.4745,38.6698,0.142,4
37,0.6607,79.8389,80.9912,80.9485,0.0002,80.9352,80.996,80.9333,0.5682,40.027,77.5774,76.7735,27.5622,35.7262,51.4446,11.4653,26.4745,38.6698,0.142,4
38,0.6607,79.8389,80.9912,80.9485,0.0002,80.9352,80.996,80.9333,0.5682,40.027,77.5774,76.7735,27.5622,35.7262,51.4446,11.4653,26.4745,38.6698,0.142,4
39,0.6607,80.9643,80.9912,80.9493,0.0002,80.9352,80.996,79.2705,0.5682,40.1661,77.3518,76.8328,27.6742,36.271,50.2147,11.7257,26.3077,38.6741,0.1453,4
40,2.842,80.9564,78.2026,4.4408,15.6061,77.6844,77.4213,80.6476,1.3015,50.2067,55.9571,57.9242,39.4357,34.4735,60.2956,11.9907,25.4523,34.2137,0.0842,5
41,0.6607,80.9643,80.9912,80.9493,0.0002,80.9352,80.996,79.2705,0.5682,40.1661,77.3518,76.8328,27.6742,36.271,50.2147,11.7257,26.3077,38.6741,0.1453,4
42,1.4224,79.7475,80.9521,80.9951,0.0002,24.9406,80.996,80.7221,0.566,41.2344,42.0106,65.6756,28.7799,30.6517,77.0307,8.8572,28.4898,37.2507,0.1147,5
43,80.9278,80.7909,76.7685,79.8757,20.5807,2.7537,78.1329,79.8654,0.2796,58.0349,36.5609,57.3175,26.8802,29.3066,99.2865,16.7386,23.8046,34.7936,0.1098,5
44,80.9278,80.7909,76.7685,79.8757,20.5807,2.7537,78.1329,79.8654,0.2796,58.0349,36.5609,57.3175,26.8802,29.3066,99.2865,16.7386,23.8046,34.7936,0.1098,5
45,1.9957,80.9566,80.9913,80.9902,0.0542,80.7728,80.9961,80.9277,1.1433,40.3822,77.5882,76.9016,27.5813,36.2403,51.7366,11.8071,26.365,38.6318,0.14,4
46,1.9957,80.9566,80.9913,80.9902,0.0542,80.7728,80.9961,80.9277,1.1433,40.3822,77.5882,76.9016,27.5813,36.2403,51.7366,11.8071,26.365,38.6318,0.14,4
47,1.9957,80.9566,80.9913,80.9902,0.0542,80.7728,80.9961,80.9277,1.1433,40.3822,77.5882,76.9016,27.5813,36.2403,51.7366,11.8071,26.365,38.6318,0.14,4
48,0.6747,80.9554,1.5068,44.5483,6.2127,80.9123,80.9936,78.5541,0.2457,33.4661,62.8265,50.0616,36.0983,36.4198,62.2863,14.136,37.4676,37.6806,0.1067,6
49,1.9957,80.9566,80.716,80.9902,0.0542,3.7856,80.9961,80.6309,5.7255,41.5081,36.8443,62.7276,29.172,30.7735,87.1919,8.8352,28.2636,37.8709,0.113,5
50,30.5494,78.1852,78.935,80.9902,0.0542,3.4981,78.7348,80.9277,0.4764,41.0138,36.888,61.5108,28.8828,28.4378,91.0703,10.5275,29.3491,38.0257,0.0851,4
51,4.7061,80.9566,80.9913,80.9902,0.0542,80.7728,80.9961,80.9277,0.3065,40.5127,77.6349,76.9092,27.5582,36.1906,52.1081,12.0144,26.4853,38.6357,0.1382,5
52,79.4852,80.9365,75.1291,80.9514,10.7271,0.0942,78.6076,80.7913,1.602,49.9884,37.2319,58.4467,27.137,29.51,101.4323,16.5951,24.6832,36.6286,0.1013,6
53,79.4852,80.9365,75.1291,80.9514,10.7271,0.0942,78.6076,80.7913,1.602,49.9884,37.2319,58.4467,27.137,29.51,101.4323,16.5951,24.6832,36.6286,0.1013,6
54,75.2808,80.9076,1.0814,80.9902,0.0542,80.7728,80.9961,80.9277,0.9254,33.3541,76.1994,53.3667,26.0629,36.1079,75.9978,21.2261,33.831,41.5701,0.1265,6
55,78.8181,80.9572,80.9913,4.4135,1.3615,78.5067,80.9961,80.9277,0.1263,52.8409,58.0314,63.0548,37.933,35.2102,73.8362,19.2436,20.7969,40.41,0.1024,7
56,78.8181,80.9572,80.9913,4.4135,1.3615,78.5067,80.9961,80.9277,0.1263,52.8409,58.0314,63.0548,37.933,35.2102,73.8362,19.2436,20.7969,40.41,0.1024,7
57,5.0048,80.9566,80.9983,80.9958,0.0542,80.7892,80.996,80.8948,0.2944,40.5113,77.6503,76.9113,27.5587,36.189,52.1325,12.0372,26.4949,38.6375,0.1381,5
58,76.4056,80.9848,80.9983,3.652,0.0542,80.7903,80.9291,80.8949,0.2944,53.014,59.938,63.9075,38.0464,35.518,72.4133,19.0883,21.0939,41.1493,0.0996,7
59,5.0048,80.9566,80.9983,9.9664,0.0542,80.7901,80.996,80.8948,0.2944,51.3529,58.7799,65.3605,39.6087,35.9432,59.0914,12.0465,25.5078,40.5767,0.0865,7
60,5.0048,80.9566,80.9983,9.9664,0.0542,80.7901,80.996,80.8948,0.2944,51.3529,58.7799,65.3605,39.6087,35.9432,59.0914,12.0465,25.5078,40.5767,0.0865,7
61,5.0048,80.9566,80.9983,9.9664,0.0542,80.7901,80.996,80.8948,0.2944,51.3529,58.7799,65.3605,39.6087,35.9432,59.0914,12.0465,25.5078,40.5767,0.0865,7
62,5.0048,80.9566,80.9983,9.9664,0.0542,80.7901,80.996,80.8948,0.2944,51.3529,58.7799,65.3605,39.6087,35.9432,59.0914,12.0465,25.5078,40.5767,0.0865,7
63,5.0048,80.9566,80.9983,9.9664,0.0542,80.7901,80.996,80.8948,0.2944,51.3529,58.7799,65.3605,39.6087,35.9432,59.0914,12.0465,25.5078,40.5767,0.0865,7
64,79.1992,80.9857,80.995,80.9956,2.9692,80.9997,79.1837,80.8107,0.0941,42.5464,79.2181,74.7516,25.6753,35.3061,65.0048,19.4951,21.5463,37.274,0.1424,5
65,79.2049,80.9552,80.995,80.9957,2.9692,1.801,80.9897,80.8107,0.0922,45.1081,38.1402,61.7458,27.0804,30.1583,100.9912,16.4862,23.5165,37.6945,0.1096,7
66,0.24,80.9565,80.9613,80.9977,0.0542,80.9629,80.9936,80.9387,0.2993,40.4698,77.7491,76.9804,27.5301,36.2706,51.1642,11.7102,26.272,38.6329,0.1424,4
67,0.24,80.9543,80.9613,80.9977,0.0111,63.4425,80.9936,74.0585,0.3379,39.7788,61.8107,72.3803,28.465,34.1579,54.79,10.5573,27.2916,37.7751,0.1302,4
68,0.6575,77.5488,70.9866,3.0864,0.5818,80.6024,45.1091,78.4466,5.8542,43.9955,54.0429,56.1984,40.7242,26.4351,53.4812,11.112,27.9806,41.8518,0.109,4
69,80.679,76.7681,7.5969,79.752,21.9566,22.9768,78.9565,75.5844,4.556,49.3304,37.4543,37.5255,27.3068,28.4603,98.0748,17.669,33.9677,33.9283,0.1355,5
70,75.9513,80.2853,80.9373,0.0184,1.5298,80.8287,77.5973,77.0523,0.3127,52.2225,58.7451,61.9277,38.4831,34.2637,69.6832,18.8368,21.1517,40.7547,0.1011,7
71,75.9513,80.2853,80.9373,0.0184,1.5298,80.8287,77.5973,77.0523,0.3127,52.2225,58.7451,61.9277,38.4831,34.2637,69.6832,18.8368,21.1517,40.7547,0.1011,7
72,74.1229,74.3714,19.5578,49.1553,0.0542,59.8692,74.2527,80.9387,0.2993,34.2496,47.4057,50.4359,34.1504,28.4894,82.3185,17.095,34.1145,40.0396,0.0876,5
73,73.7028,76.9563,80.9984,80.9955,5.8683,2.5581,80.9964,80.8842,0.4538,45.7497,37.4653,60.6524,27.4056,28.2915,99.6472,14.6319,24.7449,37.0525,0.1005,6
74,67.0459,54.3093,75.7677,0.1153,0.9407,77.8875,78.8908,75.0037,12.4469,40.7363,52.5523,55.8883,39.3941,24.4251,69.6201,11.1156,26.0243,40.8471,0.0892,4
75,67.0459,54.3093,75.7677,0.1153,0.9407,77.8875,78.8908,75.0037,12.4469,40.7363,52.5523,55.8883,39.3941,24.4251,69.6201,11.1156,26.0243,40.8471,0.0892,4
76,67.0459,79.7869,69.9044,0.1153,4.166,76.7001,74.76,75.0037,12.4469,46.7446,54.1257,57.4728,39.3098,33.1173,71.255,17.4942,25.0966,39.5322,0.057,7
77,0.209,80.9565,80.9997,80.9977,9.9399,4.0632,80.9961,80.9387,0.399,49.6662,36.577,61.3919,28.9716,30.6298,85.8607,8.7637,27.9318,35.8072,0.1133,5
78,0.209,80.9565,80.9997,80.9977,9.9399,4.0632,80.9961,80.9387,0.399,49.6662,36.577,61.3919,28.9716,30.6298,85.8607,8.7637,27.9318,35.8072,0.1133,5
79,80.8624,80.9565,80.9997,80.9977,9.9399,0.0033,80.9961,80.9387,0.399,50.5229,37.7003,60.4906,26.9457,30.1389,102.1403,16.6755,23.0546,36.588,0.1139,7
80,0.24,80.9895,80.9997,80.9977,0.0542,80.9992,80.9964,80.9387,0.2993,40.4852,77.788,77.0073,27.5287,36.2926,51.138,11.7199,26.2549,38.634,0.1425,4
81,80.9273,80.9911,27.6648,80.998,7.9543,0.0933,80.9998,80.9376,0.0904,43.6335,35.7527,45.2404,27.1511,30.1954,109.4916,18.106,32.5699,38.5713,0.1016,5
82,0.24,80.9895,80.9997,80.9977,0.0542,80.9992,80.9964,80.9387,0.2993,40.4852,77.788,77.0073,27.5287,36.2926,51.138,11.7199,26.2549,38.634,0.1425,4
83,0.24,80.9895,80.9997,80.9977,0.0542,80.9992,80.9979,80.9387,0.2993,40.4853,77.7882,77.0076,27.5286,36.293,51.1382,11.7199,26.2549,38.6339,0.1425,4
84,76.695,80.9894,80.9997,80.9977,1.2024,76.5725,80.9979,80.9387,0.485,41.823,75.3731,74.8674,25.8704,35.2432,67.0701,18.8373,22.3285,38.042,0.1336,5
