Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,27.0,81.0,54.0,54.0,27.0,27.0,81.0,54.0,0.0,51.6617,26.774,46.8185,35.4456,30.8186,68.8222,11.9613,33.3932,32.1147,0.1088,3
2,26.6479,81.0,54.0069,52.9948,20.8606,27.0,79.4197,80.556,0.0,51.6469,31.4024,50.2037,34.7255,30.4158,86.0368,11.9801,33.3995,33.3502,0.0583,4
3,51.9513,76.089,54.0,53.0578,8.4482,26.9208,78.7364,80.99,0.0,44.0235,31.4598,51.8215,34.7653,27.8087,90.546,12.9639,32.8975,36.3704,0.054,4
4,26.9948,76.1241,54.5465,53.2667,10.3384,26.8749,78.5923,78.9663,0.1452,44.4989,30.5823,51.5504,35.4312,27.915,84.9476,10.6167,34.2851,35.7764,0.0708,2
5,27.0002,76.1306,54.3178,53.2641,2.1071,78.7674,79.513,78.9663,4.0573,38.8136,63.5945,62.8314,34.5769,32.9045,62.8046,13.0057,32.6969,38.6952,0.0722,6
6,27.0002,76.1306,51.1376,53.2641,2.2587,78.7674,79.513,78.9663,4.0573,38.4137,63.5189,62.0178,34.5855,32.9057,63.1619,13.0862,33.2437,38.6784,0.0729,6
7,27.0002,76.1306,51.1376,53.2641,2.2587,78.7674,79.513,78.9663,4.0573,38.4137,63.5189,62.0178,34.5855,32.9057,63.1619,13.0862,33.2437,38.6784,0.0729,6
8,27.0002,76.1306,51.1376,53.2641,2.2587,78.7674,79.513,78.9663,4.0573,38.4137,63.5189,62.0178,34.5855,32.9057,63.1619,13.0862,33.2437,38.6784,0.0729,6
9,27.0002,76.1306,51.1376,53.2641,2.2587,78.7674,79.513,78.9663,4.0573,38.4137,63.5189,62.0178,34.5855,32.9057,63.1619,13.0862,33.2437,38.6784,0.0729,6
10,27.481,77.2905,80.9953,53.8232,0.635,77.7633,79.5423,80.5143,1.1478,43.2164,64.0825,70.1721,34.1967,33.3354,60.6944,12.7116,26.9937,38.8917,0.0749,5
11,27.481,77.2905,80.9953,53.8232,0.635,77.7633,79.5423,80.5143,1.1478,43.2164,64.0825,70.1721,34.1967,33.3354,60.6944,12.7116,26.9937,38.8917,0.0749,5
12,27.481,77.2905,80.9953,53.8232,0.635,77.7633,79.5423,80.5143,1.1478,43.2164,64.0825,70.1721,34.1967,33.3354,60.6944,12.7116,26.9937,38.8917,0.0749,5
13,27.481,77.2905,80.9953,53.8232,0.635,77.7633,79.5423,80.5143,1.1478,43.2164,64.0825,70.1721,34.1967,33.3354,60.6944,12.7116,26.9937,38.8917,0.0749,5
14,30.3875,80.8995,80.9953,51.0749,0.635,79.9045,80.9946,80.9848,1.1478,45.0876,65.8774,71.141,34.5368,35.6879,60.8232,14.0452,26.2445,39.0471,0.0768,6
