Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,27.0,81.0,54.0,54.0,27.0,27.0,81.0,54.0,0.0,51.6617,26.774,46.8185,35.4456,30.8186,68.8222,11.9613,33.3932,32.1147,0.1088,3
2,27.0,81.0,54.0,54.0,27.0,27.0,81.0,54.0,0.0,51.6617,26.774,46.8185,35.4456,30.8186,68.8222,11.9613,33.3932,32.1147,0.1088,3
3,27.0,81.0,54.0,54.0,26.5482,27.0,81.0,54.0,0.0,51.3854,26.7786,46.908,35.4933,30.8187,68.8234,11.9567,33.4142,32.2033,0.1082,3
4,27.0,81.0,54.0,54.0,27.0,76.2502,81.0,53.2207,0.0,47.3396,58.1209,50.9833,34.6077,35.0556,45.9183,14.5416,31.1658,26.3041,0.1598,5
5,77.2864,79.2163,80.932,26.3264,0.0,54.358,75.7838,81.0,28.2355,45.0587,40.599,59.6949,36.4491,32.0406,86.4687,16.9883,21.4167,39.5277,0.0954,8
6,77.6795,80.5608,53.7551,79.7206,2.2221,54.7028,79.9912,80.2221,0.4426,39.8683,56.7219,61.3758,26.9167,32.277,80.4804,18.2002,28.9615,37.6144,0.093,6
7,77.2864,80.6384,52.7749,41.3686,0.5609,58.1551,75.5783,79.834,52.677,34.9443,45.333,55.5962,30.7012,36.275,89.9684,18.7155,23.9355,39.5823,0.1118,6
8,77.2864,79.2163,80.932,26.3264,0.0,54.358,75.7838,81.0,28.2355,45.0587,40.599,59.6949,36.4491,32.0406,86.4687,16.9883,21.4167,39.5277,0.0954,8
9,77.2864,79.2163,80.932,26.3264,0.0,54.358,75.7838,81.0,28.2355,45.0587,40.599,59.6949,36.4491,32.0406,86.4687,16.9883,21.4167,39.5277,0.0954,8
10,77.2864,79.2163,80.932,26.3264,0.0,54.358,75.7838,81.0,28.2355,45.0587,40.599,59.6949,36.4491,32.0406,86.4687,16.9883,21.4167,39.5277,0.0954,8
11,77.2864,79.2163,80.932,26.3264,0.0,54.358,75.7838,81.0,28.2355,45.0587,40.599,59.6949,36.4491,32.0406,86.4687,16.9883,21.4167,39.5277,0.0954,8
12,77.2864,79.2163,80.932,26.3264,0.0,54.358,75.7838,81.0,28.2355,45.0587,40.599,59.6949,36.4491,32.0406,86.4687,16.9883,21.4167,39.5277,0.0954,8
13,77.2864,79.2163,80.932,26.3264,0.0,54.358,75.7838,81.0,28.2355,45.0587,40.599,59.6949,36.4491,32.0406,86.4687,16.9883,21.4167,39.5277,0.0954,8
14,48.9937,79.0342,29.8799,77.0123,7.8232,76.9509,80.5521,80.1927,7.4254,38.6755,70.877,56.2976,28.6278,34.4319,70.151,16.4726,34.6418,35.7424,0.0856,5
15,77.2864,79.2163,80.932,26.3264,0.0,54.358,75.7838,81.0,28.2355,45.0587,40.599,59.6949,36.4491,32.0406,86.4687,16.9883,21.4167,39.5277,0.0954,8
16,3.1315,78.8452,18.669,28.7032,6.205,79.9122,80.7844,80.2314,3.7639,35.3392,59.3031,52.7498,38.2774,34.9874,63.9039,13.0323,36.5973,37.6105,0.088,6
17,3.1315,78.8452,18.669,28.7032,6.205,79.9122,80.7844,80.2314,3.7639,35.3392,59.3031,52.7498,38.2774,34.9874,63.9039,13.0323,36.5973,37.6105,0.088,6
18,3.1315,80.9451,18.669,28.6005,4.4727,79.9122,80.7844,80.228,4.1802,35.3869,59.5019,53.5385,38.3198,36.0395,63.8385,13.5549,36.4498,38.4597,0.0872,6
19,3.1315,80.9451,18.669,28.6005,4.4727,79.9122,80.7844,80.228,4.1802,35.3869,59.5019,53.5385,38.3198,36.0395,63.8385,13.5549,36.4498,38.4597,0.0872,6
20,3.1315,80.9451,18.669,28.6005,4.4727,79.9122,80.7844,80.228,4.1802,35.3869,59.5019,53.5385,38.3198,36.0395,63.8385,13.5549,36.4498,38.4597,0.0872,6
21,75.3142,80.2661,33.1971,25.7011,0.4991,77.0657,79.0829,79.1996,5.7674,37.9533,57.4858,55.9893,37.0956,34.3991,76.2296,19.622,31.1047,40.5197,0.0522,8
22,75.3142,80.2661,33.1971,25.7011,0.4991,77.0657,79.0829,79.1996,5.7674,37.9533,57.4858,55.9893,37.0956,34.3991,76.2296,19.622,31.1047,40.5197,0.0522,8
