Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,2.5465,81.0,78.4535,54.0,2.5465,14.7732,81.0,66.2268,0.0,44.4706,25.5651,57.4469,36.3697,30.7221,75.1357,9.0482,28.7297,37.6125,0.1276,5
2,2.5465,81.0,78.4535,54.0,2.5465,14.7732,81.0,66.2268,0.0,44.4706,25.5651,57.4469,36.3697,30.7221,75.1357,9.0482,28.7297,37.6125,0.1276,5
3,2.5465,81.0,78.4535,54.0,2.5465,14.7732,81.0,66.2268,0.0,44.4706,25.5651,57.4469,36.3697,30.7221,75.1357,9.0482,28.7297,37.6125,0.1276,5
4,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
5,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
6,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
7,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
8,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
9,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
10,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
11,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
12,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
13,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
14,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
15,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
16,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
17,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
18,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
19,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
20,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
21,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
22,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
23,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
24,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
25,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
26,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
27,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
28,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
29,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
30,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
31,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
32,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
33,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
34,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
35,30.183,81.0,58.3894,60.9702,22.3795,28.7669,81.0,61.5434,0.0,51.1596,31.1107,50.1471,34.0762,30.908,72.6822,12.1693,32.6415,32.2787,0.0673,4
