Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,23.3556,25.3017,53.522,27.2448,77.4723,3.3138,80.841,80.839,0.6518,71.315162,14.370188,37.792048,26.462329,13.165628,100.233568,2.257577,35.739016,41.400898,0.5353,0.4087,4
2,48.577,81.0,53.9327,13.7492,0.0,72.0991,54.357,54.62,18.359,37.452381,45.096554,52.685663,40.796952,29.007498,58.539378,15.817464,30.623876,41.287348,0.7539,0.0938,5
3,59.0309,81.0,68.646,0.0,0.0,81.0,50.2607,72.9452,37.129,41.879247,55.000907,55.340485,38.068021,31.080727,68.073582,17.388724,23.871318,42.548318,0.7435,0.0782,6
4,31.4458,2.0843,60.5323,59.796,17.1416,11.6411,23.5133,45.1671,72.3852,18.016853,15.652071,34.782769,25.882619,10.676452,62.665416,2.415996,29.006164,36.436715,0.3469,0.4683,1
5,30.3768,6.4414,14.7671,33.0935,33.4245,21.8298,49.902,23.1077,43.9639,29.889824,8.659115,28.439431,35.77578,8.731753,57.254037,1.72564,37.670684,35.005498,0.4591,0.4961,1
6,36.9083,81.0,78.7223,26.4537,0.0,81.0,63.4343,77.0267,16.4401,44.091576,58.787149,63.79506,38.558227,32.015163,61.853515,14.692406,25.649581,40.949224,0.6575,0.0761,6
7,48.2516,4.8076,4.6266,17.2235,59.5818,12.8191,47.228,72.495,13.5272,43.120745,10.947225,30.003353,33.081454,5.169719,78.824596,2.025954,37.683508,38.372163,0.4809,0.4802,3
8,69.9898,81.0,32.0235,0.0,0.0,81.0,46.8051,70.8153,18.322,33.996297,54.911438,49.522216,39.551949,28.703594,68.300871,19.487308,30.975024,42.628178,0.697,0.094,5
9,3.1461,23.7339,74.4291,4.5685,57.2902,63.4863,75.579,64.1454,23.2969,35.085926,38.184512,33.172762,33.648389,16.093461,65.069425,3.661703,30.883259,24.478042,0.4202,0.338,2
10,70.2569,81.0,66.911,0.0,0.0,81.0,60.9222,36.0486,30.3988,40.881374,50.758197,54.566273,39.617464,32.413947,49.581767,18.638377,23.725723,42.251924,0.6167,0.1362,5
11,44.348,79.6235,79.6454,17.5533,3.1259,77.7426,66.1958,80.5382,17.4854,45.924316,55.766952,61.192866,38.949224,31.546878,67.67374,14.851028,25.000299,39.489936,0.6972,0.0644,7
12,49.9704,81.0,63.8385,0.0,0.0,42.8251,50.4356,78.5822,16.4241,43.806665,29.207664,48.990168,40.799674,25.459584,77.096416,14.211778,29.563942,40.442217,0.6093,0.089,4
13,75.3892,53.1072,80.8897,3.5664,37.5577,28.8339,52.1421,74.6925,17.6046,43.001815,20.429329,41.036419,36.626835,14.11093,81.704847,9.572235,23.697641,35.637049,0.5607,0.2623,2
14,31.5799,81.0,32.6078,0.0,1.2488,81.0,71.8287,62.0742,28.5077,33.957464,54.679711,52.161391,40.15289,34.992408,59.876235,15.432632,33.540173,41.088412,0.7249,0.1073,6
15,1.8454,76.8612,70.6829,54.2043,67.9344,5.6512,2.6203,63.0819,66.98,74.342333,18.55697,41.115539,19.023403,25.126434,49.692826,9.359329,20.119561,35.347869,0.4719,0.3015,1
16,46.8166,81.0,56.256,0.0,24.8785,81.0,52.0538,69.9492,19.2073,38.69694,55.697949,46.241946,38.882265,29.517595,63.068324,16.697467,28.144045,32.079524,0.6455,0.0979,3
17,39.97,81.0,13.1592,31.9872,0.0,73.1131,67.6917,45.0706,11.8387,28.090269,47.341127,47.764203,39.740394,31.949203,52.811002,16.221133,37.26536,41.080699,0.6424,0.1653,6
18,59.0194,81.0,45.3041,20.2714,0.0,81.0,73.2457,81.0,48.2609,35.157876,59.617093,57.047771,34.391541,37.741511,78.721656,18.170911,27.135595,41.390183,0.7448,0.0809,6
19,81.0,81.0,67.8341,25.7503,0.0,81.0,59.1355,81.0,19.5772,41.741938,59.959322,60.703842,36.543998,31.150397,72.425938,19.868914,23.052898,41.463746,0.7449,0.0817,6
20,67.4602,81.0,55.9058,2.9623,0.0,81.0,81.0,81.0,15.2531,44.551498,59.79072,59.346906,38.595218,36.112282,75.544268,18.480376,27.719728,41.262638,0.7039,0.0256,7
21,80.6912,81.0,81.0,25.5865,0.0,81.0,52.4039,81.0,68.6676,37.938952,59.144428,60.811758,28.070772,36.951819,78.3679,20.589006,12.274413,41.992586,0.665,0.2166,6
22,57.6318,32.1243,73.5677,18.1296,0.0762,64.2852,26.8215,38.2354,64.3641,21.586055,31.318527,43.018985,33.35883,14.365464,56.944959,7.066783,22.753308,41.732874,0.5102,0.3158,1
23,67.4412,81.0,74.8934,28.7213,81.0,0.0,81.0,81.0,0.0,93.982527,20.022936,49.590858,23.523299,30.269347,105.716986,15.809828,22.635556,43.149967,0.5572,0.2074,5
24,72.1228,52.427,14.8648,71.2067,74.9115,23.1439,77.2551,3.1016,11.882,84.396448,20.990088,21.542184,21.667099,19.102607,42.962749,10.556593,32.413528,26.697392,0.5062,0.3493,2
25,62.4243,36.1782,64.3948,58.4307,55.1436,29.7314,22.1656,34.3944,53.809,53.356476,20.548657,31.536915,24.866135,10.354671,57.492489,6.631471,24.74037,27.630477,0.405,0.3697,1
26,57.568,81.0,43.7928,28.7691,0.0,81.0,40.0628,66.942,42.4053,30.990589,55.177153,52.111996,35.819683,30.14197,65.225107,17.992914,28.35118,42.364245,0.7327,0.1153,4
27,76.1257,80.2244,26.1724,75.9249,66.9597,3.7452,54.8994,58.3828,7.7301,90.821071,26.688893,32.998831,22.106693,24.501598,83.359207,17.525228,30.976692,33.498851,0.5951,0.2145,4
28,45.5231,81.0,9.028,0.0,0.0,81.0,62.6124,81.0,73.1168,23.673184,57.577913,47.618295,29.688825,40.316218,82.390087,18.769326,27.20733,42.456856,0.6959,0.177,5
29,27.7484,81.0,58.4739,0.0,0.0,81.0,81.0,81.0,80.118,37.332379,58.457335,57.66848,27.447182,46.334349,79.814204,15.872531,19.40918,41.673255,0.6803,0.1528,6
30,81.0,81.0,70.7381,67.1075,0.0,46.2058,81.0,74.775,5.652,40.870904,46.024053,63.046595,30.582715,32.156915,81.488504,17.844603,25.234676,38.246476,0.6509,0.0791,6
31,1.814,81.0,0.0,0.0,0.0,81.0,81.0,42.9105,65.8767,22.254712,52.380115,47.400777,33.299029,43.796406,45.22695,15.140523,29.909681,41.63619,0.5971,0.2206,4
32,0.0,81.0,33.1587,81.0,0.0,0.0,81.0,56.0835,0.0,33.827154,29.93224,46.371288,30.616293,30.639965,77.554935,9.891397,37.166398,39.569253,0.597,0.1366,4
33,42.3769,81.0,38.0935,2.7868,0.0,81.0,54.3231,55.5397,57.4167,31.243169,52.165273,50.123176,35.312004,35.087801,61.478025,16.98825,27.634066,42.431928,0.6773,0.1249,4
34,2.0916,26.2665,5.2779,21.4742,13.7297,71.6105,58.5719,9.8114,20.1086,19.838357,35.403584,36.195672,41.183528,13.042854,31.675538,3.786037,40.76427,35.599091,0.5016,0.4152,2
35,76.025,81.0,57.9344,40.7001,0.0,81.0,32.4283,53.952,0.0,35.607558,55.678553,55.603335,36.867901,25.707286,56.138314,19.584048,26.838251,42.069265,0.6601,0.124,5
36,59.9707,59.5839,59.0954,14.7405,0.0,81.0,59.3149,81.0,29.6865,33.782886,55.486663,54.47055,37.848576,23.150158,71.385549,12.062733,28.712394,41.776623,0.6074,0.1148,4
