Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,25.1893,32.5739,71.2985,59.3314,22.3648,1.8009,23.3178,52.4336,22.4005,32.2338,16.4076,41.0077,35.385,5.3506,59.2856,2.0001,34.6854,36.3991,1.362,2
2,2.3356,41.7838,23.553,50.2582,21.8546,52.6125,70.4772,67.6726,52.0406,30.8753,35.3909,38.4078,31.4315,20.6247,73.9096,4.6085,35.4641,31.7576,0.8349,1
3,48.8705,39.3821,23.7837,67.3719,32.518,30.3627,23.0615,18.8627,44.1096,39.6586,21.2407,29.6164,29.6819,9.4472,54.6853,5.9459,34.4261,31.4333,1.1132,1
4,26.1174,28.5484,42.4722,67.6574,55.463,27.8372,58.6582,46.5076,58.5537,57.6873,23.6796,29.6394,22.4376,14.9857,67.1873,3.662,31.5026,26.8125,1.1318,2
5,1.8325,44.3693,31.0546,23.0997,20.0082,33.7977,41.5781,61.8973,52.5035,25.7848,18.2588,35.116,35.8115,14.3892,70.0543,3.9622,35.1388,35.8047,1.1313,1
6,30.4314,79.6436,45.8233,25.1287,12.3505,13.5348,7.1723,11.6789,60.9395,33.7198,10.4878,39.0574,34.6183,24.8124,54.0103,12.6657,27.9534,38.769,0.8737,2
7,67.1891,59.9819,72.6385,29.658,63.9853,74.7373,17.6165,56.5939,15.6266,51.8831,47.0947,28.9957,30.3946,15.136,55.826,13.6736,22.0721,17.9797,0.9376,3
8,55.1952,75.8048,58.6003,78.1704,46.3499,17.9553,31.7315,1.4705,76.2141,65.5282,25.7019,39.7736,15.4611,28.3781,47.3613,14.9472,19.061,29.516,0.8877,2
9,76.4315,79.1002,39.8692,29.042,8.9838,7.8085,34.3427,35.0326,5.5398,34.5386,12.9255,39.5182,40.2796,20.3531,68.8736,16.3457,32.0088,39.2068,0.8088,4
10,55.5063,57.4828,44.0205,52.6446,78.5935,38.3151,46.0375,76.4662,32.3391,77.7816,30.8879,27.8623,21.7284,16.4347,76.684,10.4216,28.9326,22.9716,0.8802,2
11,76.0027,27.7612,22.717,74.3409,31.7565,16.1328,3.2673,10.8729,53.1519,40.3532,18.0933,28.988,25.1116,7.2873,54.6097,6.1977,28.7814,33.7893,1.2081,0
12,71.907,2.975,63.5153,70.7047,10.6832,37.6459,5.728,17.6772,33.6474,15.4882,25.3896,37.615,31.3035,3.929,48.391,3.7859,29.4633,36.0385,1.4085,1
13,16.3787,61.3093,31.1173,10.7459,17.2831,45.89,30.8215,36.4778,5.1758,28.5428,21.1818,36.2411,42.611,14.0306,53.7288,7.5449,38.5199,36.1411,0.9598,3
14,26.0755,16.3185,50.3538,6.6313,38.5577,11.5129,57.2042,45.3589,36.5337,29.2552,7.3028,32.4377,37.6845,9.242,72.9889,1.4548,36.2431,38.828,1.4758,3
15,40.0902,26.17,66.2175,20.9909,50.2882,10.3407,21.2695,70.6895,57.8742,36.1838,11.2425,33.4188,29.4337,8.7957,70.3117,3.2697,28.0299,38.1523,1.3174,1
16,32.2803,69.3227,28.447,52.864,46.8597,58.4926,25.2894,77.6646,66.6268,44.2634,41.9463,28.8158,23.3936,24.9257,69.0982,12.8376,27.2636,24.0774,0.7088,2
17,42.6955,73.1096,64.2911,37.0196,35.4002,77.4313,61.3051,53.3341,74.349,40.5756,53.0527,43.8913,25.2171,35.8051,58.8239,15.3639,18.1482,25.0674,0.6595,3
18,17.219,73.6581,71.3083,62.8618,0.3207,68.2706,4.428,64.9253,35.3697,27.5421,49.5652,55.0738,32.4416,21.1955,46.6822,10.6726,28.0148,41.0415,0.6369,3
19,2.6017,38.7532,2.5907,49.0343,63.2875,54.9991,42.6748,17.1928,53.9366,52.5385,28.8054,18.3859,25.2666,15.1223,45.8284,5.8941,32.7054,21.1041,1.1829,2
20,36.4488,20.5687,7.7477,24.7652,47.7419,65.2826,23.8573,52.6006,41.3778,29.1108,33.5473,23.2239,33.5194,8.3767,59.5718,5.1512,34.6473,25.7294,1.1987,1
21,53.0725,44.8409,24.6244,79.2386,26.7952,71.1515,70.6185,5.9905,78.7409,36.0609,52.5975,36.5085,16.0924,28.6254,24.5202,10.8233,23.9491,26.982,1.0131,1
22,51.5731,11.554,6.699,3.3748,0.3573,70.3968,30.5049,15.1369,14.0435,18.2157,31.4266,37.0764,42.7515,6.4763,46.0978,4.363,38.1353,42.2663,1.2826,3
23,52.2719,32.295,80.173,20.1347,8.2519,32.096,73.8919,61.6971,49.6076,27.9938,19.2292,43.2154,36.3852,17.6829,81.0058,4.6674,26.4274,37.7091,0.9808,3
