Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,27.0,81.0,54.0,54.0,27.0,27.0,81.0,54.0,0.0,51.6617,26.774,46.8185,35.4456,30.8186,68.8222,11.9613,33.3932,32.1147,0.1088,3
2,54.0,81.0,81.0,0.0,0.0,81.0,27.0,54.0,0.0,46.1153,50.1437,54.0936,41.3423,25.0194,53.2224,16.5182,23.8563,43.141,0.1308,5
3,54.0,79.4731,81.0,0.0,0.0,81.0,27.0,80.8295,0.0,47.4231,54.4824,55.2812,39.7083,24.2872,57.3664,16.1793,23.8038,43.0948,0.1221,6
4,79.6547,80.4233,46.0596,51.788,54.0,0.6856,81.0,81.0,27.0652,73.321,24.4321,42.9274,27.4447,31.3391,113.52,17.3399,27.203,37.0226,0.1551,5
5,27.5174,79.4944,79.7224,80.579,55.5364,0.6227,80.242,81.0,0.5696,92.1244,34.3496,53.6737,23.4434,29.5353,92.1705,10.8018,26.8896,31.9737,0.1324,2
6,78.5656,80.7539,52.7959,61.2392,54.1016,2.0877,80.9989,80.9992,0.1485,81.2541,27.742,45.4119,26.4113,29.9978,106.3415,17.2549,27.4855,35.0111,0.1341,3
7,78.5536,80.7539,52.7959,62.4782,54.103,1.4469,80.8937,81.0,1.4567,81.6291,28.0189,45.4432,26.221,29.9985,106.6829,17.2237,27.4962,35.0732,0.1336,3
8,78.5536,80.7539,52.7959,62.4782,54.103,1.4469,80.8937,81.0,1.4567,81.6291,28.0189,45.4432,26.221,29.9985,106.6829,17.2237,27.4962,35.0732,0.1336,3
9,78.5536,80.9959,52.7542,62.8908,54.103,1.4469,80.8938,81.0,1.4567,81.8428,28.1844,45.4697,26.1372,30.1172,106.6712,17.3007,27.4871,35.0216,0.1333,4
10,79.0782,79.4199,53.8132,80.9978,45.9546,0.0002,80.874,80.975,33.9459,75.7979,34.5979,46.0312,22.1174,31.6077,111.2371,16.7205,25.8575,33.7448,0.149,4
11,80.0019,80.9967,80.9177,80.8806,44.4191,0.2145,80.9929,80.9997,3.1007,81.4004,36.2518,55.4433,23.734,30.271,102.2298,16.677,21.9084,32.7527,0.1479,6
12,78.4105,80.9796,57.8821,80.9669,57.9228,0.0102,80.9752,80.9692,0.0138,93.7648,34.7903,46.949,21.0555,30.201,104.5785,17.1842,26.4191,32.9934,0.155,4
13,77.1748,80.8104,57.773,80.9668,58.4296,0.0004,80.9752,80.9692,0.0138,94.2603,34.7105,46.8372,21.0068,30.1222,104.3754,16.9859,26.6246,32.9871,0.1551,4
14,76.8716,80.9802,57.9817,80.9733,58.4277,0.0002,80.9072,80.9692,0.0548,94.314,34.7343,46.9203,21.0231,30.1871,104.2758,16.9948,26.6218,32.9784,0.1548,4
15,76.6448,80.9151,58.1375,80.9584,59.9354,0.0002,80.8978,80.9917,15.8659,93.9632,34.5354,46.2524,20.743,30.8049,107.0668,16.823,26.1257,33.0717,0.1598,4
16,76.7506,80.9151,58.1394,80.9975,59.9354,0.0005,80.9992,80.9917,15.8659,93.9941,34.5586,46.2581,20.7255,30.8314,107.1386,16.8364,26.1081,33.0665,0.16,4
17,80.3029,80.912,57.955,80.9967,59.9089,0.0002,80.9994,80.9915,16.0746,93.9471,34.644,46.1749,20.5291,30.8465,107.7939,17.2847,25.5419,33.0956,0.1634,4
18,79.7566,80.9148,57.955,80.9967,59.9089,0.0002,80.9982,80.9915,16.3845,93.9038,34.6272,46.1691,20.5486,30.8668,107.7583,17.2159,25.6176,33.0945,0.1631,4
19,79.7662,80.9943,80.9812,80.9986,56.7822,0.0002,80.9224,80.9986,8.571,93.8849,35.7704,53.6622,21.3298,30.5174,103.1234,16.7083,21.1421,32.3931,0.1712,4
20,71.8857,80.9965,80.4143,80.9959,60.2216,0.0002,80.9226,80.9978,8.5648,97.5933,35.4177,53.1035,20.9477,30.5377,101.8562,15.7892,22.3192,32.3262,0.1674,4
21,79.768,80.9815,80.9865,80.997,59.8806,0.0002,80.9984,80.9987,8.6658,97.3302,35.6612,53.2604,20.6071,30.5593,103.1624,16.7412,20.9469,32.3593,0.178,4
22,79.768,80.9965,80.9843,80.997,60.1421,0.0002,80.9984,80.9987,5.8477,97.9917,35.6781,53.3202,20.5233,30.4603,102.6527,16.7753,20.9962,32.3384,0.1783,4
23,79.7684,80.9962,80.9866,80.997,59.6032,0.0002,80.9984,81.0,5.8477,97.3862,35.6973,53.3905,20.6523,30.4558,102.657,16.7686,21.0296,32.3416,0.1771,4
24,79.7684,80.9962,80.9866,80.997,59.6032,0.0002,80.9984,81.0,5.8477,97.3862,35.6973,53.3905,20.6523,30.4558,102.657,16.7686,21.0296,32.3416,0.1771,4
25,69.3708,80.9962,80.9763,80.9995,55.6732,0.0002,80.9984,81.0,5.8477,92.94,35.5673,53.973,22.0976,30.4222,100.9356,15.4475,22.8877,32.3317,0.155,4
26,69.5813,80.9962,80.9763,80.9978,55.3939,0.0002,80.9985,81.0,1.7186,93.1681,35.6178,54.1421,22.0483,30.3026,100.2255,15.5197,22.921,32.3105,0.1552,4
27,76.4186,80.9962,80.9763,80.9528,55.3939,0.0002,80.9989,81.0,1.7186,93.2095,35.7736,54.09,21.712,30.3028,101.3853,16.3504,21.8892,32.357,0.1637,4
28,76.4186,80.9962,80.9763,80.998,55.3939,0.0002,80.9989,81.0,0.6844,93.3585,35.8026,54.1266,21.6616,30.2813,101.1921,16.3652,21.8916,32.3439,0.1641,4
29,75.6673,80.9962,80.9763,80.9606,55.4271,0.0002,80.9989,80.9921,0.6844,93.3748,35.7636,54.1245,21.7047,30.2809,101.0653,16.2726,22.0092,32.3439,0.163,4
30,75.6673,80.9962,80.9909,80.9606,55.4271,0.0001,81.0,80.9921,0.6844,93.3766,35.7643,54.1289,21.7046,30.2813,101.0638,16.2723,22.0056,32.3435,0.1631,4
31,75.6676,80.9962,80.9993,80.9606,55.3661,0.0004,80.9984,80.9921,0.6867,93.3102,35.7668,54.1393,21.7181,30.2805,101.0625,16.2714,22.0071,32.3444,0.1629,4
32,61.4964,80.9962,80.9874,80.9966,53.3719,0.0004,81.0,80.9993,1.2797,90.9595,35.4963,54.4834,22.8337,30.2896,98.7728,14.5642,24.0892,32.3095,0.1427,4
33,71.2692,80.9962,80.9874,80.9966,53.3719,0.0012,80.9985,80.9993,1.2797,91.0398,35.7368,54.4129,22.3869,30.2781,100.4437,15.7055,22.7961,32.3647,0.1531,4
34,71.2125,80.9962,80.9874,80.9966,53.238,0.0012,80.9985,80.9993,1.2797,90.8946,35.7402,54.431,22.418,30.2772,100.435,15.6972,22.8122,32.368,0.1528,4
35,71.2878,80.9962,80.9763,80.9966,51.6365,0.0012,81.0,80.9993,1.2797,89.1728,35.7997,54.6389,22.7465,30.2669,100.461,15.6897,22.8957,32.4165,0.1497,4
36,71.2707,80.9962,80.9763,80.9966,51.6365,0.0012,80.998,80.9987,0.8245,89.2312,35.8031,54.6537,22.7301,30.257,100.374,15.6943,22.8989,32.4133,0.1498,4
37,71.2707,80.9962,80.9763,80.9998,51.6365,0.0012,80.998,80.9987,0.6393,89.2561,35.8061,54.6599,22.722,30.2534,100.3399,15.697,22.899,32.4117,0.1498,4
38,60.9031,80.9962,80.9763,80.9998,51.6365,0.0012,80.9984,80.9987,1.2815,89.0876,35.5457,54.7136,23.2183,30.2788,98.6818,14.4791,24.2614,32.3572,0.1387,4
39,61.516,80.9962,80.9762,80.9998,51.6365,0.0012,80.998,80.9987,0.6484,89.1745,35.5659,54.7298,23.1684,30.2646,98.6727,14.5576,24.1899,32.3564,0.1394,4
40,61.516,80.9962,80.9762,80.9998,51.6365,0.0012,80.998,80.9987,0.6484,89.1745,35.5659,54.7298,23.1684,30.2646,98.6727,14.5576,24.1899,32.3564,0.1394,4
41,61.1743,80.9962,80.9762,80.9998,51.6365,0.0012,80.998,80.9987,0.6484,89.1717,35.5578,54.7322,23.1827,30.2653,98.6136,14.5189,24.2303,32.3545,0.1391,4
42,58.4092,80.9962,80.968,80.9927,45.4683,0.3271,80.998,80.9999,0.6246,82.636,35.7605,55.5534,24.471,30.2357,98.0344,14.1553,24.8811,32.5074,0.1252,5
43,58.9842,80.9962,80.968,80.9927,45.4683,0.3271,80.998,80.9985,0.1289,82.7048,35.7781,55.5653,24.4278,30.225,98.0434,14.2268,24.8169,32.5072,0.1259,5
44,58.9842,80.9962,80.968,80.9999,45.761,0.1319,80.998,80.9985,0.1289,83.0333,35.7441,55.5395,24.3741,30.2261,98.1244,14.2269,24.8023,32.5469,0.1263,5
