Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.0,81.0,29.0239,29.0239,27.0,51.9761,81.0,81.0,0.0,45.0047,38.6985,44.5693,37.2492,32.803,74.9461,11.7093,35.5225,30.7295,0.0803,5
2,0.0,81.0,29.0239,29.0239,27.0,51.9761,81.0,81.0,0.0,45.0047,38.6985,44.5693,37.2492,32.803,74.9461,11.7093,35.5225,30.7295,0.0803,5
3,0.0,81.0,81.0,81.0,9.2797,27.0,54.0,81.0,9.2797,43.6737,41.181,61.3012,29.2677,25.5568,64.7733,9.0077,27.752,34.6563,0.1272,2
4,0.0,81.0,81.0,81.0,9.2797,27.0,54.0,81.0,9.2797,43.6737,41.181,61.3012,29.2677,25.5568,64.7733,9.0077,27.752,34.6563,0.1272,2
5,0.0,81.0,81.0,81.0,9.2797,27.0,54.0,81.0,9.2797,43.6737,41.181,61.3012,29.2677,25.5568,64.7733,9.0077,27.752,34.6563,0.1272,2
6,40.5,75.4525,40.5,75.4525,40.5,40.5,76.95,62.3702,50.9324,57.6623,40.2435,39.7546,23.906,32.5833,77.0516,13.1809,29.6078,25.6117,0.1742,5
7,0.0,81.0,81.0,37.4126,27.46,28.9548,81.0,58.1793,49.7007,50.6093,24.0867,51.2358,33.5689,35.6264,70.5529,9.6648,22.2247,32.8046,0.1617,2
8,0.0,79.366,81.0,77.2103,0.0,0.0,81.0,81.0,48.8049,36.1933,34.2129,60.0698,26.3027,34.1273,96.9624,8.6143,24.1381,38.4386,0.1602,4
9,4.6798,77.6216,76.95,40.5,42.165,31.8883,80.8237,77.6822,74.4722,55.1572,28.9748,47.9413,23.6398,38.9431,89.9264,10.4421,17.7354,29.8963,0.2069,3
10,31.4698,77.6298,58.9964,81.0,0.0,22.8018,77.4048,81.0,30.8718,34.4059,40.2045,57.1211,27.7103,30.163,90.6424,11.0787,32.078,38.3119,0.1127,6
11,81.0,74.2461,27.8719,50.2525,0.0,33.1359,81.0,52.5704,8.7421,31.8259,27.9891,45.4204,35.6805,28.2707,78.1843,16.3324,33.0212,39.4492,0.137,4
12,34.155,81.0,15.7822,43.2905,26.8683,50.5811,29.9541,81.0,29.7916,36.1283,36.9716,34.8832,34.8966,24.4359,69.0795,14.77,35.5345,31.7958,0.1591,3
13,40.5,81.0,81.0,40.5,1.8343,40.5,75.7447,40.5,66.3444,37.9609,27.9953,56.1412,30.3706,37.732,59.9393,13.9146,19.19,38.3638,0.1727,4
14,71.638,64.628,81.0,55.6089,4.7998,36.9141,50.9128,49.9058,48.7176,31.5175,29.2152,52.914,31.2925,21.9096,67.1388,12.1295,21.4796,37.418,0.1851,2
15,71.638,64.628,81.0,55.6089,4.7998,36.9141,50.9128,49.9058,48.7176,31.5175,29.2152,52.914,31.2925,21.9096,67.1388,12.1295,21.4796,37.418,0.1851,2
16,71.638,64.628,81.0,55.6089,4.7998,36.9141,50.9128,49.9058,48.7176,31.5175,29.2152,52.914,31.2925,21.9096,67.1388,12.1295,21.4796,37.418,0.1851,2
17,0.0,79.0836,17.4253,20.9521,0.0,20.9493,79.0836,73.3313,4.8733,34.6662,20.7481,42.3087,40.8211,29.7281,85.3673,10.1193,38.7699,39.5043,0.1856,4
18,81.0,69.6607,81.0,6.118,0.0,24.6421,81.0,47.8016,0.0,45.1435,17.259,48.2369,40.7492,25.5036,75.4266,13.6802,23.6416,39.8388,0.1982,5
19,81.0,81.0,72.1238,78.66,0.0,50.0972,79.3168,81.0,0.0,40.9805,54.3659,66.5537,26.9481,31.9361,80.9365,18.0776,24.9191,38.0612,0.1053,6
20,81.0,81.0,72.1238,78.66,0.0,50.0972,79.3168,81.0,0.0,40.9805,54.3659,66.5537,26.9481,31.9361,80.9365,18.0776,24.9191,38.0612,0.1053,6
21,80.6112,40.5,63.6903,40.5,40.5,11.9474,40.5,76.95,40.5,43.2474,17.7547,38.1647,30.9286,10.8311,82.2004,7.6062,25.1271,35.3576,0.3233,1
22,40.5,71.6355,76.95,58.8297,3.8906,40.5,76.95,40.5,13.7127,35.9343,32.1655,56.6485,35.7918,26.8333,54.2316,10.4132,29.4878,36.8512,0.1323,2
23,40.5,71.6355,76.95,58.8297,3.8906,40.5,76.95,40.5,13.7127,35.9343,32.1655,56.6485,35.7918,26.8333,54.2316,10.4132,29.4878,36.8512,0.1323,2
24,81.0,81.0,81.0,81.0,0.0,37.3884,81.0,81.0,0.0,42.1582,49.0398,67.442,26.4626,31.4876,85.7061,17.3869,23.1875,37.5677,0.1182,6
25,0.0,20.4083,49.6146,71.3481,22.7927,0.0,72.2614,69.6094,0.0,40.026,22.952,40.3733,32.0366,10.3974,85.8523,0.561,40.5114,35.9653,0.4166,2
26,0.0,81.0,81.0,81.0,0.0,0.0,75.9218,63.1724,1.5397,39.0088,32.8446,60.746,30.2429,29.3976,73.858,8.6499,28.2592,38.0906,0.1215,2
27,38.7146,39.3141,81.0,81.0,28.0286,28.8756,81.0,55.8246,54.3971,40.7296,34.8123,47.9742,23.597,21.6541,72.7397,4.8165,26.2935,29.3291,0.2649,0
28,76.7047,81.0,74.9703,81.0,7.7824,47.3251,61.5682,57.3205,26.1705,38.736,47.9902,60.2458,27.6038,28.9065,66.451,17.2769,23.6583,35.1077,0.1217,3
29,76.7047,81.0,74.9703,81.0,7.7824,47.3251,61.5682,57.3205,26.1705,38.736,47.9902,60.2458,27.6038,28.9065,66.451,17.2769,23.6583,35.1077,0.1217,3
30,81.0,81.0,54.2296,65.9394,37.3538,37.3538,46.48,81.0,31.6139,56.2553,39.0376,43.2289,27.4612,25.8289,81.8767,18.3108,25.2746,28.1227,0.1468,4
31,81.0,81.0,81.0,81.0,10.6139,20.4109,39.8269,81.0,45.9725,39.2449,39.7253,57.6201,23.926,26.1247,79.9509,17.0676,19.4016,35.4803,0.1734,4
32,81.0,81.0,81.0,81.0,0.0,11.5597,75.9498,81.0,0.0,42.1178,39.8033,63.1427,26.9112,29.0678,94.5321,16.7931,23.3714,37.9681,0.1143,5
33,73.7297,81.0,64.6151,41.6743,17.3294,60.9837,80.3177,53.8495,43.1304,41.8663,43.5963,52.6782,33.1585,36.3766,66.6235,18.259,22.8541,32.5096,0.1008,3
34,56.0318,61.4094,66.0997,75.2824,17.7583,58.0909,80.9871,74.2001,20.7075,41.8012,53.3939,55.2935,28.9902,25.7336,73.1642,10.6989,29.6514,30.3057,0.1058,2
35,31.4336,81.0,81.0,70.3479,7.8442,44.8295,68.4513,69.7551,30.5005,41.1041,43.7293,61.6965,30.9766,30.8094,69.1164,12.1981,26.1426,34.9744,0.0749,4
36,78.5895,77.6005,80.3894,24.4759,9.3006,37.8254,78.7663,79.2882,9.3006,49.2987,30.8901,54.9766,37.6983,29.3562,90.4651,16.0573,22.888,36.6907,0.0924,5
37,78.5895,77.6005,80.3894,24.4759,9.3006,37.8254,78.7663,79.2882,9.3006,49.2987,30.8901,54.9766,37.6983,29.3562,90.4651,16.0573,22.888,36.6907,0.0924,5
38,78.5895,77.6005,80.3894,24.4759,9.3006,37.8254,78.7663,79.2882,9.3006,49.2987,30.8901,54.9766,37.6983,29.3562,90.4651,16.0573,22.888,36.6907,0.0924,5
39,78.5895,77.6005,80.3894,24.4759,9.3006,37.8254,78.7663,79.2882,9.3006,49.2987,30.8901,54.9766,37.6983,29.3562,90.4651,16.0573,22.888,36.6907,0.0924,5
40,81.0,78.1119,75.9653,30.1864,0.0,36.5725,78.7899,48.5037,40.3852,39.6803,25.6579,53.4795,35.978,32.3197,73.8408,16.6823,21.175,39.2711,0.143,3
