Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,27.0,81.0,54.0,54.0,27.0,27.0,81.0,54.0,0.0,51.6617,26.774,46.8185,35.4456,30.8186,68.8222,11.9613,33.3932,32.1147,0.1088,3
2,27.0,81.0,54.0,54.0,27.5676,27.0,79.4288,54.762,4.3846,51.5905,26.7935,46.5696,35.4916,30.5112,69.6013,11.9221,33.3049,32.0453,0.1087,3
3,55.9612,81.0,81.0,0.0,0.0,81.0,27.0,54.0,0.0,46.1315,50.1884,54.0795,41.2701,25.0132,53.5658,16.7314,23.6595,43.1514,0.1309,5
4,78.4612,80.9986,54.0,72.5368,0.0887,79.7373,81.0,67.4541,0.0,37.0342,70.7985,65.8125,28.907,35.5502,61.4278,19.8457,27.6981,39.8429,0.1099,5
5,78.4612,81.0,54.0,72.5368,0.0953,79.7373,81.0,67.4541,0.0,37.0377,70.7988,65.8096,28.9072,35.5508,61.4279,19.8462,27.6977,39.8389,0.1099,5
6,6.6879,76.6885,74.0203,55.6832,0.0,80.675,75.2031,80.3944,0.9031,40.8335,66.2344,69.0769,33.9826,32.4536,55.5446,11.2742,28.5553,39.574,0.0972,4
7,80.5124,80.9818,76.3206,80.6994,1.1502,0.5919,79.1462,79.7838,2.6189,42.6203,37.4695,60.1761,27.2954,29.7257,101.1722,16.7138,24.4372,38.2964,0.1031,5
8,56.2683,77.9758,79.7086,80.7004,8.6688,22.0575,80.8219,78.0713,6.5658,45.9368,40.7463,61.5562,28.3957,29.3536,87.6338,13.1556,27.1655,35.0447,0.078,5
9,76.8039,80.175,78.8501,0.6662,9.6095,79.749,80.4219,80.358,0.0488,51.5149,59.1083,59.6078,37.9064,34.7533,72.887,19.0308,21.2263,37.1058,0.0979,7
10,14.0469,79.5899,56.5883,0.5205,3.0009,80.7294,77.5875,80.3837,2.1375,45.0222,58.0532,58.2152,40.1014,34.179,62.9979,12.9711,31.2249,39.7506,0.0533,8
11,1.8397,77.8689,80.9994,0.6831,0.3011,80.6736,80.4429,80.4097,0.8826,51.5832,57.7627,63.1709,40.0248,34.325,59.3169,11.0761,25.722,40.8147,0.0882,6
12,43.6412,80.0812,7.5681,6.3115,0.1615,77.8327,80.4496,79.8729,0.4918,33.7922,56.4648,51.6004,39.4872,34.9303,72.8944,17.0011,37.22,40.9428,0.086,6
13,43.6412,80.9201,7.5681,6.0217,0.1615,74.3178,80.4496,80.467,0.4918,34.0737,53.6639,50.8812,39.5489,34.8963,74.9491,17.0232,37.3605,40.7437,0.0847,6
14,7.5154,80.666,80.1512,4.0308,3.4077,80.8993,80.4429,80.4046,0.7778,51.4991,58.5789,63.0528,39.8841,35.5954,59.7788,12.2336,25.6126,39.3123,0.0834,7
15,14.3305,80.666,80.1512,4.0308,3.4077,80.8993,80.4429,80.4046,0.7778,51.5549,58.6857,63.0037,39.8688,35.5211,61.0718,12.7589,25.7681,39.3381,0.0777,7
16,6.8931,80.8345,77.1875,9.7888,0.0087,80.5616,79.1642,80.9009,8.0303,49.207,58.3115,64.0509,39.8447,35.5389,61.0406,12.13,26.4717,40.7189,0.0734,7
17,80.8652,72.0764,73.2608,1.0117,0.0038,77.0275,79.3741,80.9975,2.6748,48.0849,55.3262,59.5481,38.1488,30.5906,75.2852,16.9205,23.2068,41.128,0.0755,8
18,5.8019,80.9987,80.9124,10.2891,7.4188,78.0245,81.0,80.957,12.4,49.5745,56.5327,61.9484,39.6679,35.9646,62.7805,11.9223,25.1342,37.2074,0.0767,6
19,4.6785,80.8309,79.4141,0.5789,0.0847,77.2851,79.9889,80.9674,5.7697,51.7413,55.1225,62.5384,40.2244,35.262,62.3829,11.7138,25.9357,40.7568,0.0724,6
