Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,29.2925,1.993,28.6593,79.7255,80.0372,79.3288,0.1592,79.2178,56.2365,72.3165,61.4884,4.706,11.9442,10.0658,53.1602,6.465,27.7313,4.921,0.5837,0.5551,2
2,49.9614,13.0037,28.9727,45.2321,72.8466,75.5524,46.3797,68.5466,32.6346,53.5109,49.9958,18.0823,24.9817,11.017,62.1549,6.4582,30.3794,12.4513,0.3875,0.4236,3
3,61.1049,53.152,6.76,32.4442,79.0963,18.3135,43.8306,6.6466,69.8057,62.9699,9.8344,23.9133,16.8849,20.2033,55.9616,11.3265,25.0434,35.662,0.3371,0.3846,1
4,28.9751,53.0784,62.4819,39.6718,11.3758,18.4515,74.0881,5.309,32.9827,30.5126,12.2984,41.6526,38.1456,19.7201,40.8799,5.5553,33.1743,37.0771,0.3059,0.3665,3
5,34.353,55.2986,10.2727,63.9543,6.8733,10.7681,32.1054,49.962,3.9379,27.493,19.2218,34.7989,35.7009,10.9209,65.0385,6.8955,41.103,38.9347,0.3196,0.3506,2
6,63.658,78.8819,61.1718,14.3024,49.1804,44.1006,10.265,28.9798,18.8911,46.4543,22.5573,35.0466,36.165,19.8847,58.1468,15.8873,26.4719,30.7773,0.2135,0.2285,3
7,12.0209,43.3739,26.9764,58.2398,36.3104,33.3368,48.4452,76.1015,7.3323,46.3846,27.9816,34.3082,33.1408,10.559,70.9346,4.0418,39.7673,29.9071,0.2855,0.3478,2
8,8.5239,57.6079,19.8726,34.1401,2.0211,72.9083,21.6163,17.1343,15.8268,22.728,38.5974,40.6725,40.7824,14.8729,45.5474,7.9808,38.8028,41.338,0.2927,0.3043,4
9,20.31,46.7711,79.7732,68.8691,45.0048,45.1323,59.5778,8.3523,30.5142,51.2678,31.9292,39.8573,29.4453,16.0611,31.7802,5.1731,28.8877,23.3252,0.301,0.3526,1
10,9.3298,0.5348,71.7351,23.1345,41.284,9.4448,58.8712,9.5643,66.1411,29.4331,5.0488,30.6945,29.8558,14.4034,51.5719,2.2287,28.9699,37.5812,0.3937,0.4848,1
11,47.8919,28.9715,32.1299,15.7565,8.6993,34.3476,78.895,4.9957,24.6081,21.9222,12.7126,35.4936,41.1554,15.1104,37.0788,3.9201,37.7643,37.8966,0.4049,0.4425,3
12,27.7332,2.1485,15.1504,10.8566,24.7093,68.0756,34.8118,74.341,78.3968,14.2816,37.4107,31.0823,27.7218,16.1633,71.9029,4.8144,28.9875,33.2711,0.2886,0.3783,1
13,50.8219,16.3677,13.8525,16.5321,41.4207,24.9627,62.7853,55.0428,58.3965,29.5333,12.6589,29.9878,31.4538,14.1096,79.3941,3.6949,32.1955,35.1576,0.3278,0.4111,2
14,15.7481,52.4359,75.5831,79.8327,68.486,6.1526,5.4381,28.4105,16.8159,84.4856,21.9431,38.8757,23.2909,8.9579,44.8439,4.4115,30.3346,30.5833,0.4235,0.3999,2
15,48.6321,60.2126,7.303,77.5093,61.3611,71.8527,41.8109,46.9732,76.5254,63.8532,55.1903,17.0371,12.5329,27.3045,61.5899,14.5576,23.0336,13.7046,0.403,0.3914,3
16,2.0539,44.1864,64.1014,18.4207,34.2553,40.1165,72.5646,58.04,3.8093,39.4822,22.6865,40.1533,39.0766,15.9835,65.4556,3.4993,34.7321,31.7078,0.2697,0.3292,2
17,13.623,65.3277,24.2204,22.4652,34.3233,50.8105,45.9583,58.0064,14.1259,35.1798,29.0163,34.5563,38.8577,18.5235,61.4142,8.8749,37.4216,30.6262,0.2316,0.234,2
18,3.1956,3.9641,79.2481,80.2434,22.7191,51.0142,3.6769,64.6223,39.3178,19.6661,41.5825,38.1729,27.4764,5.3788,48.676,2.3041,33.4409,29.9791,0.3914,0.4648,2
19,37.1109,9.8079,1.2793,74.8865,76.5148,66.2153,54.0071,69.8276,68.6824,76.0898,49.8216,11.7164,11.3536,17.3344,71.5996,6.1702,26.4067,10.5206,0.4808,0.4737,2
20,66.4519,6.9513,1.4463,52.8579,49.9462,20.3853,32.5645,79.8344,37.7284,48.4576,18.7419,25.5741,28.4194,5.6513,74.7491,3.3053,32.614,32.5732,0.336,0.4414,2
21,57.1241,52.5665,50.7566,46.7885,11.6423,67.4157,74.8177,24.2705,78.2462,26.7091,41.747,46.8712,24.4031,31.2129,40.4865,11.4798,21.6139,34.9263,0.2099,0.2546,2
22,43.9906,45.1269,7.7942,17.1281,69.2347,68.6363,43.5993,0.521,11.8657,37.5686,35.1927,19.0442,31.5947,13.0647,38.387,9.4285,34.596,20.2606,0.3135,0.3748,1
23,16.125,57.6265,38.5976,29.3849,75.8191,73.5398,32.2144,9.7912,17.1993,52.7246,41.377,19.7436,29.089,16.0294,40.0861,9.8872,31.3196,15.1264,0.3206,0.3725,3
24,2.7118,2.9314,56.998,18.4764,16.2879,21.9872,68.7501,35.6674,35.3181,21.3179,9.8442,33.6189,40.2335,11.5336,63.9821,0.8761,38.2137,37.1464,0.4171,0.4962,3
25,64.5694,14.0147,60.8838,54.7205,31.5101,2.2632,65.0983,42.2544,66.5785,33.8004,13.2186,35.6499,26.0633,15.8782,75.6523,4.0252,24.771,36.5454,0.3159,0.3882,2
26,55.6419,18.1806,61.0571,28.4825,65.2957,32.4932,60.4955,27.8208,20.7964,47.324,14.8629,28.6176,31.4864,9.442,54.5746,3.9422,30.901,29.6468,0.3422,0.4238,2
27,38.4606,15.1249,16.9816,41.315,58.6136,33.3228,9.043,61.1775,69.6444,41.984,17.4856,21.6122,22.6771,9.7062,62.8901,3.9949,29.5854,29.6776,0.3614,0.439,0
28,14.4895,70.2565,3.413,65.6011,50.9543,21.6213,40.0169,5.5211,70.5494,58.3404,19.2339,24.4667,20.4674,26.3325,48.4585,11.2876,29.1037,30.6819,0.2735,0.3123,1
29,67.3591,80.6366,73.5125,3.4676,3.5097,5.6337,64.933,6.2031,6.8166,42.5164,8.811,42.7921,42.5509,26.1344,55.1632,14.9017,26.6042,40.4058,0.2317,0.2833,3
30,34.7402,76.4722,16.0923,41.5251,48.4714,5.8471,26.6527,17.6925,34.1271,50.4832,11.1164,30.9826,33.6266,20.7746,59.1586,12.2816,35.4854,37.2731,0.2307,0.3004,4
31,75.9876,28.316,14.2891,5.2311,1.9442,25.5675,34.6207,52.0415,73.2615,17.037,11.6761,32.5182,30.9521,13.9527,74.4269,7.0418,25.7036,40.7185,0.3418,0.4092,1
32,69.1271,13.5921,20.1444,30.3923,52.5987,31.0074,21.9384,9.7547,45.0287,38.1269,10.7851,24.3358,31.0687,5.9809,52.7963,4.7033,30.108,31.8871,0.3745,0.4661,1
33,38.3766,47.4089,21.3913,60.9421,37.187,25.9696,1.0252,11.0246,52.9683,42.6594,17.1878,28.0271,28.7133,11.3827,54.4173,6.8213,33.4103,32.0553,0.313,0.3676,1
34,26.6892,12.0436,48.3712,17.5315,20.276,60.5088,35.2063,47.4138,32.6885,20.3593,29.112,34.0588,39.7668,7.6097,57.1269,3.0281,36.3681,34.1185,0.3579,0.4291,2
35,40.8181,47.5237,61.2468,43.1174,77.4434,4.3136,14.2491,67.9706,23.7471,73.8736,14.1678,35.8376,25.2847,8.227,59.8967,5.5458,30.8778,38.5196,0.3843,0.3992,3
36,21.7337,14.4177,62.0225,54.6253,57.576,68.6592,46.6913,7.3953,29.5863,44.8181,40.5523,25.2944,29.8059,10.1792,32.8747,4.4048,32.2215,16.8587,0.3671,0.4418,2
37,17.3768,27.0544,38.3548,28.4534,3.1929,37.4142,55.9884,18.1381,9.5888,21.234,15.1951,37.7032,42.1547,8.9598,47.11,2.0753,41.0924,38.8642,0.4379,0.4745,3
38,37.2885,22.7147,42.6066,59.341,43.388,58.1666,55.7285,56.3647,29.9426,42.411,38.7443,31.6828,30.9903,11.4056,60.7205,4.2933,34.9168,23.18,0.2966,0.3593,2
39,29.0647,54.9812,1.7183,55.022,61.3151,7.1916,53.9532,23.2528,52.6554,63.252,11.9688,25.3592,25.1441,19.0145,63.4744,7.7534,33.9296,35.7396,0.3251,0.3512,2
40,80.67,35.6466,59.1261,65.166,28.2753,13.5718,42.0794,1.2316,78.4565,37.2528,16.6817,37.3914,19.294,17.2635,47.8977,8.6711,17.6586,34.2417,0.3352,0.3644,0
41,78.6213,76.4536,7.8192,15.7033,48.4227,0.8049,80.5952,42.511,71.0185,41.3262,11.6821,32.9049,25.0391,36.4828,93.8476,18.3645,24.2066,41.8657,0.313,0.2895,4
42,21.6877,20.6996,36.788,7.5976,54.8837,0.1351,20.9154,19.1807,60.8495,34.4735,2.4526,31.396,29.4975,8.56,59.0486,2.3098,32.5201,43.3751,0.4221,0.5108,2
43,75.8141,63.963,39.7332,11.673,3.5803,49.6873,37.0339,43.2484,23.1125,29.0592,25.3753,41.0319,40.5455,16.9936,64.3191,13.2322,31.1628,39.8628,0.206,0.2322,4
44,30.6379,38.6751,59.4569,8.7085,80.7572,41.8095,15.1711,61.5306,70.6532,43.5042,21.2629,24.829,17.8528,14.1417,64.7641,6.5844,22.4807,30.3789,0.3354,0.3819,0
45,48.0216,51.7677,74.3003,62.1626,67.0353,35.8328,1.4001,23.8232,12.5388,70.4634,24.1951,31.4103,27.2325,8.666,49.2977,7.707,27.8037,23.5353,0.3775,0.3693,1
46,7.4187,16.5488,55.73,26.1063,8.7425,18.3811,80.9231,49.8562,22.3386,25.0569,12.1325,38.0266,40.9334,13.4971,74.7894,0.7002,39.1745,37.8904,0.3783,0.4619,3
47,57.5265,26.8898,24.3135,79.8549,20.3534,61.7059,56.5303,69.6454,27.0521,33.512,50.4053,38.9537,27.9238,12.2516,67.133,5.7607,35.3178,30.7095,0.3014,0.308,2
48,72.2086,16.9107,49.9691,26.9028,1.7684,36.2189,48.7519,69.6951,33.6626,20.4687,20.6619,39.4666,37.7339,8.5509,75.0655,4.2895,31.2725,39.5481,0.3112,0.4059,4
49,33.066,75.2992,49.7,66.2068,13.6508,4.4268,60.8825,62.4464,77.9854,35.3435,24.5047,44.7538,21.9361,33.0122,87.7412,12.0366,24.1697,37.4337,0.1798,0.2036,4
50,30.0727,74.709,60.2927,4.4244,52.3105,30.7602,62.0004,2.091,35.2325,44.9875,14.8644,37.0951,34.6008,25.82,39.3848,11.1472,28.4485,34.2395,0.1931,0.2803,0
51,17.9418,1.3268,72.7565,26.106,60.1732,19.2039,30.5585,34.2909,29.5552,39.4964,9.0714,28.4781,33.3288,4.6449,58.7005,1.5839,33.9116,34.6423,0.3917,0.5087,1
52,11.2026,32.9529,12.1327,57.6044,65.5447,76.0933,31.6021,16.9526,38.2372,55.4583,46.4097,15.0671,26.2721,11.9574,43.3008,6.6004,33.5415,13.4837,0.415,0.439,3
53,39.1359,72.1349,34.5676,1.1451,48.3853,33.8279,75.771,65.1044,26.1643,40.8148,23.5284,37.6509,35.3803,27.0385,83.065,11.7208,33.8298,33.722,0.1325,0.1642,2
54,2.6948,18.8548,13.2938,70.4605,28.8019,22.3793,21.5064,4.8331,3.7446,37.2974,16.9032,27.8297,33.8971,2.5078,48.7191,0.9963,43.0178,33.2413,0.4387,0.5129,1
55,65.6991,0.2462,9.9088,64.7643,7.5442,58.7018,17.3461,33.67,55.1642,18.3158,33.525,33.7592,28.6558,8.9302,53.5635,4.6492,30.1137,38.6344,0.3255,0.4079,2
56,8.6107,70.8973,5.017,58.3402,62.9711,27.8653,58.9399,24.712,66.0498,64.5454,20.9236,23.5146,20.5539,29.161,55.2201,11.0688,29.342,28.0808,0.274,0.3004,1
57,17.1436,23.66,70.2289,50.831,78.0329,77.7741,44.1972,55.9583,80.6157,56.2819,52.9097,19.9246,11.9577,20.7625,58.0927,7.6635,17.4318,8.8027,0.455,0.4565,2
58,70.5362,74.9134,58.9595,80.8361,21.8381,72.7832,63.5693,42.8271,37.6361,41.933,62.192,51.5291,26.0214,30.1075,50.8268,16.9742,25.0595,28.17,0.251,0.1712,3
59,12.2894,45.0128,0.9568,11.5502,31.5599,55.0009,55.2187,28.0732,58.9337,22.4707,25.7658,30.4068,33.8452,19.5197,51.6125,6.6423,33.9252,31.8818,0.2939,0.3277,1
60,25.493,78.2261,33.2982,67.7256,45.5208,34.016,29.1648,70.8921,62.541,54.3831,32.9053,33.0016,22.5568,26.9647,69.1356,12.9167,28.4369,27.6232,0.1787,0.2055,2
61,60.2576,36.8316,25.2325,69.9872,17.9139,38.258,10.758,0.1141,9.053,29.8144,24.4655,32.6874,33.5819,5.0858,51.4192,6.0798,37.1118,34.4737,0.3387,0.3971,1
62,58.7843,53.3325,32.2178,37.0832,10.0031,62.0525,5.647,60.3392,29.1681,23.9781,35.1801,37.5548,37.3527,12.0201,58.05,10.0363,33.754,37.8948,0.2235,0.2899,3
63,30.5557,17.9935,62.478,75.6577,70.1447,20.7831,63.1439,8.3262,30.2927,74.2253,20.9763,28.5987,22.3014,10.5678,41.3648,2.4508,33.0151,25.8448,0.4669,0.4574,2
64,61.0419,7.4752,28.2825,76.3606,0.3387,17.7595,57.2698,59.7979,50.4035,15.9671,25.2114,38.6185,26.785,11.2578,77.5908,2.8411,33.2942,39.8296,0.3486,0.426,3
65,7.598,2.9635,77.3881,47.1788,66.371,1.115,24.4957,13.7878,2.0048,55.8452,7.6791,31.9275,30.9392,2.3766,51.6007,0.9121,35.655,37.6439,0.4421,0.5389,3
66,46.8461,70.7181,18.5909,20.8718,62.8964,61.1675,50.5502,8.023,7.1013,42.6886,32.9195,24.7206,33.2585,21.9632,41.727,14.3344,33.9372,22.7956,0.2409,0.2832,2
67,4.0986,48.2744,4.3316,37.9275,71.1703,54.8321,62.569,10.805,38.6816,53.2253,28.1957,19.351,27.2077,18.9168,36.2505,7.0284,34.3217,20.6646,0.3514,0.3776,2
68,7.7842,0.9794,6.5436,39.0804,54.1828,10.0224,18.2589,78.4205,9.3086,47.8389,12.6687,27.6615,32.9052,1.568,61.8647,0.6637,41.8721,36.3992,0.4187,0.5266,3
69,47.2359,24.4271,76.7991,12.0518,11.4828,14.6367,34.0363,73.1414,22.236,26.6369,12.6839,37.4283,40.7532,5.2496,72.4895,2.6801,31.8401,38.9412,0.365,0.4682,3
70,74.6955,62.3486,28.8824,25.5994,12.6684,74.4756,33.9502,41.3355,5.4584,28.212,43.5015,40.5011,39.4607,17.2931,56.6775,14.5305,32.1846,36.5013,0.2119,0.223,5
71,23.3799,60.8465,23.9188,79.8886,16.0443,57.0474,45.957,71.3647,18.2474,35.4563,49.3236,41.6652,29.5717,17.7653,63.6614,8.6525,38.1925,32.9404,0.2444,0.2134,2
