Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
2,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
3,3.5,2.0,7.9308,1.25,4.9905,5.0,8.0,0.0,7.9476,0.2994,12.8976,31.739,84.6917,43.8525,36.6186,13.9932,35.3544,73.8986,0.1474,7
4,3.5,2.0,7.9308,1.25,4.9905,5.0,8.0,0.0,7.9476,0.2994,12.8976,31.739,84.6917,43.8525,36.6186,13.9932,35.3544,73.8986,0.1474,7
5,3.5,2.0,7.9308,1.25,4.9905,5.0,8.0,0.0,7.9476,0.2994,12.8976,31.739,84.6917,43.8525,36.6186,13.9932,35.3544,73.8986,0.1474,7
6,3.5,2.0,7.9308,1.25,4.9905,5.0,8.0,0.0,7.9476,0.2994,12.8976,31.739,84.6917,43.8525,36.6186,13.9932,35.3544,73.8986,0.1474,7
7,5.116,7.6124,7.8628,0.0886,5.0,4.3268,7.9946,1.2356,7.927,0.8481,13.7089,25.0706,52.5481,35.7495,49.384,12.9552,16.8488,62.5872,0.1087,8
8,2.0821,2.9535,7.9313,1.2444,4.8678,4.9685,7.9929,0.0004,6.481,0.6338,8.5727,25.2904,56.4377,19.0364,43.9455,12.2521,21.6355,64.1593,0.0552,6
9,7.9956,6.488,7.9441,0.031,4.9639,4.2906,7.999,0.1536,7.7066,0.5727,15.4727,30.0665,49.6798,37.7694,49.996,13.0776,25.4046,40.5913,0.0628,7
10,7.9956,6.488,7.9441,0.031,4.9639,4.2906,7.999,0.1536,7.7066,0.5727,15.4727,30.0665,49.6798,37.7694,49.996,13.0776,25.4046,40.5913,0.0628,7
11,3.5184,6.6962,7.9972,0.0692,4.9984,4.9971,7.9476,0.0839,7.6428,0.8515,14.8359,21.594,69.2285,38.4546,57.9487,12.9489,28.3352,64.3793,0.0454,8
12,3.495,6.6988,7.9494,0.0693,4.9948,4.985,7.9993,0.0163,7.722,0.8338,15.4221,22.3313,70.8601,40.9258,57.431,13.2417,30.189,65.8584,0.0356,8
13,2.1204,4.1184,7.9469,1.2355,4.9556,4.999,7.7833,0.0,7.9476,0.4391,15.0208,23.1134,87.1404,40.6133,36.8756,13.5392,36.3075,75.0983,0.0768,6
14,3.4849,7.8327,7.951,0.0141,4.9928,3.5208,7.9999,0.018,7.9804,0.8798,17.5125,27.1272,53.8321,43.9567,47.7253,9.7399,36.1739,80.8709,0.0628,8
15,3.5,7.9974,7.8827,0.0026,4.9462,4.9604,7.7719,0.0052,7.9988,0.991,18.2153,18.216,74.8594,44.8391,54.0171,13.1337,32.5348,61.0223,0.0905,8
16,3.5068,7.9646,7.536,0.0126,4.9928,3.4629,7.9976,0.0064,7.6698,0.9054,16.4066,26.0683,46.736,38.9049,42.2244,10.1039,32.8515,74.5707,0.0606,6
17,7.9766,7.9088,7.9441,0.031,4.9639,4.9495,7.999,0.1113,7.7066,0.9191,17.9781,24.1315,57.5333,36.8888,55.8554,16.2095,24.9287,33.8723,0.1081,6
18,2.06,7.9262,7.7307,0.0671,4.8392,3.556,7.9726,0.0042,7.9095,0.9233,16.6575,24.7039,54.5094,43.5398,45.8526,9.3642,35.5202,87.4362,0.0733,7
19,2.06,7.9255,7.7307,0.0676,4.8392,3.556,7.9834,0.0042,7.9095,0.9245,16.6637,24.8458,54.4928,43.595,45.9832,9.3961,35.537,87.659,0.0724,7
20,2.06,7.9255,7.8385,0.1333,4.8402,3.556,7.9964,0.1733,7.8965,0.9413,16.1377,25.0764,53.8247,41.4093,46.9759,9.4067,32.8137,88.6768,0.072,8
21,5.6723,7.7565,7.9435,0.0156,4.9207,4.996,7.9983,0.0179,7.9975,0.9238,18.5963,22.7571,69.5015,44.9535,57.0371,15.055,30.4009,49.0609,0.0306,7
22,5.6723,7.7565,7.9435,0.0156,4.9207,4.996,7.9983,0.0179,7.9975,0.9238,18.5963,22.7571,69.5015,44.9535,57.0371,15.055,30.4009,49.0609,0.0306,7
23,5.6723,7.7565,7.9435,0.0156,4.9207,4.996,7.9983,0.0179,7.9975,0.9238,18.5963,22.7571,69.5015,44.9535,57.0371,15.055,30.4009,49.0609,0.0306,7
24,5.6679,7.8721,7.9435,0.4154,4.9207,4.996,7.9983,0.0179,7.9975,0.9525,19.9102,22.4603,70.9687,41.9211,50.8953,16.3804,31.4158,46.8294,0.0399,7
25,5.6679,7.8721,7.9435,0.4154,4.9207,4.996,7.9983,0.0179,7.9975,0.9525,19.9102,22.4603,70.9687,41.9211,50.8953,16.3804,31.4158,46.8294,0.0399,7
26,5.6679,7.8721,7.9435,0.4154,4.9207,4.996,7.9983,0.0179,7.9975,0.9525,19.9102,22.4603,70.9687,41.9211,50.8953,16.3804,31.4158,46.8294,0.0399,7
27,5.6679,7.8721,7.9435,0.42,4.9423,4.996,7.9932,0.0183,7.9975,0.9485,19.9909,22.3981,71.1662,41.8492,50.5636,16.4231,31.5994,47.0274,0.04,7
28,5.6679,7.8721,7.9437,0.3487,4.9423,4.996,7.9946,0.0183,7.9975,0.9482,19.7858,22.4316,70.887,42.3573,51.656,16.199,31.4206,47.3996,0.0384,7
29,5.6679,7.8721,7.9437,0.3487,4.9423,4.996,7.9946,0.0183,7.9975,0.9482,19.7858,22.4316,70.887,42.3573,51.656,16.199,31.4206,47.3996,0.0384,7
30,5.6679,7.8721,7.9437,0.3487,4.9423,4.996,7.9946,0.0183,7.9975,0.9482,19.7858,22.4316,70.887,42.3573,51.656,16.199,31.4206,47.3996,0.0384,7
31,5.6679,7.8721,7.9437,0.3487,4.9423,4.996,7.9946,0.0183,7.9975,0.9482,19.7858,22.4316,70.887,42.3573,51.656,16.199,31.4206,47.3996,0.0384,7
