Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
2,5.1839,3.5,6.5,4.889,4.9385,2.75,7.9532,0.0,8.0,0.3323,25.265,39.2408,53.3404,24.0809,2.5891,23.1278,50.626,47.7725,0.3338,6
3,2.0,2.0187,7.9881,2.5052,3.569,3.5254,7.9465,1.247,7.5369,0.3882,7.1908,35.8643,45.0702,22.6242,27.286,9.1788,13.1331,66.44,0.235,3
4,2.1738,3.5,7.9947,1.3118,4.9346,2.025,7.9533,0.0418,8.0,0.5364,13.4544,43.3971,44.7951,39.584,24.1392,6.5354,43.9055,117.6857,0.2194,6
5,2.2453,3.5,7.9963,0.0764,4.9346,4.9742,7.9533,1.2852,8.0,0.3981,8.6996,27.1365,72.2734,43.3152,54.8172,10.7689,16.9406,94.8964,0.1316,6
6,2.2453,3.4887,7.9963,0.0957,4.9364,4.9742,7.9538,0.0274,8.0,0.3977,11.9474,27.2151,82.4647,51.7326,54.6053,10.7917,33.2693,88.9067,0.076,7
7,4.897,7.9538,7.9923,0.8132,4.9359,4.9593,7.8711,0.0532,7.9928,0.9811,20.6994,20.3094,74.1431,38.2728,44.5597,16.462,32.5919,48.6837,0.0632,6
8,5.2288,4.854,7.8329,0.0677,4.9855,4.6783,7.9352,0.0639,7.9988,0.4221,14.2691,28.3426,67.8631,48.3945,48.5436,12.3317,31.0028,61.4585,0.0519,8
9,7.9891,2.1829,7.9845,0.0015,5.0,4.8287,7.9959,0.1402,7.8393,0.1718,10.9165,37.59,62.0957,46.9074,50.6108,12.2676,25.6088,47.6351,0.2194,7
10,7.8168,3.512,7.8823,0.0492,4.9365,4.8164,7.9945,0.1355,7.8363,0.2371,12.3386,33.9822,60.7164,45.1979,49.7757,13.1117,25.5302,44.484,0.1791,7
11,2.0123,3.9381,7.9168,0.0427,4.9677,4.9294,7.9959,0.0647,7.9775,0.432,12.2085,26.769,80.7014,51.3393,54.6264,10.9708,32.9526,91.5692,0.0536,7
12,2.0192,7.8731,7.9993,0.0004,4.6138,4.9924,7.9974,1.6831,7.9767,1.1531,11.2014,19.5994,63.7704,35.9745,64.2255,12.365,12.0816,78.0779,0.1867,7
13,2.0192,7.8731,7.9993,0.0004,4.6138,4.9924,7.9974,1.6831,7.9767,1.1531,11.2014,19.5994,63.7704,35.9745,64.2255,12.365,12.0816,78.0779,0.1867,7
14,2.1487,7.9931,7.9637,0.032,4.9626,4.9572,7.9688,0.1627,7.9997,1.0653,17.3825,19.3846,77.4207,44.9729,58.7042,13.0926,31.7884,76.695,0.0749,8
15,6.6336,7.6172,7.7557,0.706,5.0,4.937,7.9539,0.3707,7.9889,0.8147,19.3974,23.1467,66.0654,38.0042,41.5419,17.9986,26.6211,41.136,0.069,6
16,2.0144,2.19,7.8145,0.2453,4.9855,4.1538,7.9946,0.0831,7.999,0.3182,10.5132,34.4287,70.0807,52.3603,43.2552,8.8497,35.0923,106.4855,0.15,6
17,2.0144,2.19,7.8145,0.2453,4.9855,4.1538,7.9946,0.0831,7.999,0.3182,10.5132,34.4287,70.0807,52.3603,43.2552,8.8497,35.0923,106.4855,0.15,6
18,2.0144,2.19,7.8145,0.2453,4.9855,4.1538,7.9946,0.0831,7.999,0.3182,10.5132,34.4287,70.0807,52.3603,43.2552,8.8497,35.0923,106.4855,0.15,6
19,2.0082,7.9345,7.9887,0.0425,4.9924,4.9268,7.9944,0.1948,7.9891,1.0572,17.1905,19.7615,77.2081,44.5801,58.965,13.0144,31.6819,79.6126,0.0698,8
20,2.0255,7.8987,7.9852,0.1293,4.6459,2.0121,7.9909,0.5629,7.8173,0.9144,13.3434,32.5484,33.4878,35.7242,41.4524,5.738,27.7059,105.8121,0.2075,6
21,2.0425,2.6797,7.7522,0.3409,4.9916,4.7774,7.9971,0.0053,7.9891,0.3201,11.6101,29.9296,80.4317,52.142,45.2529,10.9687,35.1976,94.5947,0.1233,7
22,2.1734,2.1314,7.9886,0.2485,4.9854,4.8224,7.9976,0.0075,7.9985,0.3225,10.8495,31.3792,82.2101,52.8128,50.2279,10.2685,34.7503,97.0124,0.1277,7
23,2.0222,7.2857,7.9606,0.0242,4.9799,4.8176,7.9952,0.1402,7.6173,1.0009,14.7226,20.6025,68.2688,38.0397,59.2368,12.033,28.7294,77.5609,0.0586,8
24,2.1734,2.1314,7.9886,0.2485,4.9854,4.8224,7.9976,0.0075,7.9985,0.3225,10.8495,31.3792,82.2101,52.8128,50.2279,10.2685,34.7503,97.0124,0.1277,7
25,2.1734,2.1314,7.9886,0.2485,4.9854,4.8224,7.9976,0.0075,7.9985,0.3225,10.8495,31.3792,82.2101,52.8128,50.2279,10.2685,34.7503,97.0124,0.1277,7
26,2.1072,2.0557,7.9886,0.0122,4.5432,4.8929,7.9952,0.0839,7.9985,0.3429,9.2933,31.1262,78.1907,54.7315,58.5265,9.1824,29.0226,89.5304,0.1307,7
27,2.0277,7.9781,7.9995,0.0013,4.8171,2.0329,7.9918,0.885,7.9967,0.8958,13.2786,32.7352,34.8989,38.0075,41.4955,5.8548,25.8699,115.5904,0.1999,6
28,2.0358,2.6167,7.5405,0.0425,4.5798,4.7547,7.9931,0.302,7.7374,0.3436,8.697,29.3851,67.0188,47.5808,50.3214,9.7026,24.177,85.0999,0.1228,6
29,7.9198,7.6459,7.6643,0.3507,4.999,4.7578,7.7768,0.0434,7.9986,0.7051,20.1305,22.7665,61.5227,41.252,40.8768,16.346,29.6517,33.5778,0.1175,6
30,2.0218,7.9781,7.9995,0.0012,4.7497,4.9715,7.9276,0.7022,7.9968,1.1072,14.6757,18.8298,72.0923,41.5415,61.5827,12.3636,22.5654,75.464,0.0884,7
31,2.0358,2.6167,7.5405,0.0425,4.5798,4.7547,7.9931,0.302,7.7374,0.3436,8.697,29.3851,67.0188,47.5808,50.3214,9.7026,24.177,85.0999,0.1228,6
32,2.2972,7.9952,7.9567,0.0038,4.9816,4.9552,7.9946,0.0211,7.9997,1.0621,17.98,19.7876,78.0753,46.2047,59.1428,13.235,34.0813,75.8193,0.0695,8
33,2.2972,7.9952,7.9567,0.0038,4.9816,4.9552,7.9946,0.0211,7.9997,1.0621,17.98,19.7876,78.0753,46.2047,59.1428,13.235,34.0813,75.8193,0.0695,8
34,2.2972,7.9952,7.9567,0.0038,4.9816,4.9552,7.9946,0.0211,7.9997,1.0621,17.98,19.7876,78.0753,46.2047,59.1428,13.235,34.0813,75.8193,0.0695,8
35,2.1606,2.4653,7.9886,0.0162,4.9813,4.9182,7.7714,1.3328,7.9985,0.317,7.6061,26.8582,72.4711,43.8274,51.431,9.4928,16.5184,98.0314,0.1803,6
36,2.0448,2.3653,7.9612,0.0166,4.9981,4.9993,7.788,0.0034,7.8938,0.3269,10.3196,26.6136,82.5953,50.8803,52.168,9.6248,32.6139,91.2313,0.1329,7
37,2.1174,7.7597,7.9997,0.0027,4.9893,4.9832,7.9936,0.0459,7.9837,1.0244,17.4078,19.9153,78.9517,45.9285,60.1117,13.0039,33.6559,78.1578,0.0678,8
38,2.8794,2.1207,7.6127,1.1189,4.9762,4.9337,7.9946,0.0213,7.9903,0.2817,12.7125,30.8166,83.7043,47.0957,33.9357,13.7744,35.6338,79.228,0.167,7
39,2.8794,2.1207,7.6127,1.1189,4.9762,4.9337,7.9946,0.0213,7.9903,0.2817,12.7125,30.8166,83.7043,47.0957,33.9357,13.7744,35.6338,79.228,0.167,7
40,2.0211,7.7919,7.9951,0.0055,4.9525,4.9916,7.9018,1.3918,7.7121,1.1309,11.734,18.3078,63.4992,32.1782,60.2655,12.4218,14.477,78.4957,0.1663,7
41,2.0211,2.0411,7.9537,0.0964,4.9948,4.987,7.9594,0.4866,7.7171,0.3407,8.5106,29.3512,74.7592,44.302,53.6816,10.0156,24.2854,95.4926,0.12,6
42,2.2836,2.0305,7.9978,0.0923,4.8814,4.9827,7.999,0.0131,7.9884,0.3291,10.2694,30.9398,82.9707,54.1375,54.7713,10.1454,32.7225,93.1618,0.125,7
43,2.0077,7.9939,7.9532,0.5042,4.9631,2.0003,7.9957,0.0486,7.9974,0.8845,17.8178,32.7513,40.305,39.6756,33.8519,6.8014,42.3806,110.2789,0.1785,6
44,2.2406,7.8537,7.9919,0.0157,4.3232,4.8333,7.9894,0.1711,7.998,1.1354,15.2521,20.376,69.9687,45.3567,65.304,11.4897,26.6355,66.5889,0.0633,7
45,2.2406,7.8537,7.9919,0.0157,4.3232,4.8333,7.9894,0.1711,7.998,1.1354,15.2521,20.376,69.9687,45.3567,65.304,11.4897,26.6355,66.5889,0.0633,7
46,2.0096,7.9751,7.9636,0.0428,4.998,4.9874,7.9694,0.0035,7.998,1.0612,18.0662,19.2055,79.9385,46.0112,58.5228,13.1976,34.7845,77.6193,0.0773,8
47,2.0096,7.9751,7.9636,0.0428,4.998,4.9874,7.9694,0.0035,7.998,1.0612,18.0662,19.2055,79.9385,46.0112,58.5228,13.1976,34.7845,77.6193,0.0773,8
48,2.0783,7.8253,7.9418,0.0055,4.7924,4.9917,7.8627,1.4432,7.7592,1.1366,11.4402,17.9216,62.5645,32.7701,60.0035,12.1702,13.4958,74.5805,0.1801,7
49,2.0217,2.189,7.9881,0.1414,4.6909,4.8687,7.9904,0.0011,7.9878,0.3405,10.0727,30.7353,80.1735,53.6672,54.9675,9.6228,31.865,91.7419,0.1252,7
50,2.0217,2.189,7.9892,0.1757,4.6909,2.1995,7.9904,0.0185,7.9884,0.6055,9.3894,46.9964,43.118,50.2387,37.4871,4.62,37.7764,128.4844,0.2173,6
51,2.0314,7.8243,7.9872,0.0456,4.9868,2.3138,7.6225,0.076,7.9559,0.8324,16.0815,26.124,42.4965,40.2381,37.0664,5.7794,38.7425,101.9982,0.1892,6
52,2.0314,7.8243,7.9872,0.0456,4.9868,2.3138,7.6225,0.076,7.9559,0.8324,16.0815,26.124,42.4965,40.2381,37.0664,5.7794,38.7425,101.9982,0.1892,6
