Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
2,2.1471,5.0501,7.7101,0.0999,3.7395,4.1849,7.9173,0.0017,6.4282,1.1242,6.5795,23.8216,35.464,21.6096,63.2559,7.2455,14.1993,51.6774,0.2225,4
3,2.0747,7.7424,7.785,0.0266,3.7496,4.231,7.9173,0.0215,7.9996,1.0606,13.87,21.7437,57.8568,46.7457,60.932,9.0165,25.5375,61.4134,0.0936,7
4,3.5,6.3909,7.7871,0.1295,3.75,4.1825,7.9221,0.0009,7.9864,0.7503,12.7838,25.6404,55.2338,46.9889,56.8104,9.1128,24.7984,54.2814,0.0802,7
5,3.5,6.6275,7.9124,0.122,3.75,4.1825,7.9203,0.0002,7.9981,0.8058,13.0759,25.317,55.7358,46.4144,59.4075,9.0168,24.9497,54.3584,0.0829,7
6,2.0834,7.7463,7.895,0.0946,3.7402,4.291,7.9166,0.1063,7.9249,1.1207,13.4378,21.4507,57.374,43.5678,62.8467,9.0831,23.7736,60.2579,0.0952,6
7,2.0779,7.7614,7.9011,0.0564,3.7408,4.2945,7.9359,0.2808,7.9249,1.134,12.8455,21.6418,56.1794,42.7982,63.9825,9.065,21.5807,61.3918,0.1036,6
8,2.0779,7.7924,7.8946,0.0564,3.7408,4.2945,7.9368,0.0012,7.9459,1.1281,13.8396,21.6402,58.2883,45.0481,63.8146,9.0987,25.2722,60.5544,0.0922,7
9,2.0779,7.7945,7.9814,0.0956,3.7407,4.2945,7.9366,0.0,7.9456,1.1447,13.9125,21.7036,58.7564,44.3798,64.8781,9.0527,25.3941,60.7021,0.0929,7
10,2.0779,7.7945,7.9814,0.0956,3.7407,4.2945,7.9366,0.0,7.9456,1.1447,13.9125,21.7036,58.7564,44.3798,64.8781,9.0527,25.3941,60.7021,0.0929,7
11,2.0779,7.7945,7.9814,0.0956,3.7407,4.2945,7.9366,0.0,7.9456,1.1447,13.9125,21.7036,58.7564,44.3798,64.8781,9.0527,25.3941,60.7021,0.0929,7
12,2.078,6.6283,7.9823,0.0537,3.7504,4.3168,7.9366,0.0001,7.9133,0.8851,12.3003,23.5946,59.171,45.5886,64.8131,8.5325,24.9412,63.7229,0.0981,6
13,2.078,6.6283,7.9823,0.0537,3.7504,4.3168,7.9366,0.0001,7.9133,0.8851,12.3003,23.5946,59.171,45.5886,64.8131,8.5325,24.9412,63.7229,0.0981,6
14,2.078,7.7969,7.9823,0.0537,3.7504,4.3163,7.9366,0.0001,7.9133,1.1605,13.7279,21.5679,58.4077,43.9752,65.9016,9.0123,25.0485,60.5765,0.0948,7
15,2.078,6.5879,7.9807,0.0537,3.7504,4.3161,7.9367,0.0033,7.993,0.8551,12.5328,23.8164,60.5975,47.4759,64.3296,8.563,25.6025,64.7101,0.0968,7
16,2.078,6.5879,7.9807,0.0537,3.7504,4.3161,7.9367,0.0033,7.993,0.8551,12.5328,23.8164,60.5975,47.4759,64.3296,8.563,25.6025,64.7101,0.0968,7
17,2.078,6.5879,7.9807,0.0537,3.7504,4.3161,7.9367,0.0033,7.993,0.8551,12.5328,23.8164,60.5975,47.4759,64.3296,8.563,25.6025,64.7101,0.0968,7
18,2.078,6.5879,7.9807,0.0537,3.7504,4.3161,7.9367,0.0033,7.993,0.8551,12.5328,23.8164,60.5975,47.4759,64.3296,8.563,25.6025,64.7101,0.0968,7
19,2.078,6.5879,7.9807,0.0537,3.7504,4.3161,7.9367,0.0033,7.993,0.8551,12.5328,23.8164,60.5975,47.4759,64.3296,8.563,25.6025,64.7101,0.0968,7
20,2.0181,6.584,7.983,0.0765,3.7562,4.4217,7.9367,0.0005,7.9064,0.8927,12.2996,23.1661,60.7859,45.4518,65.2747,8.7781,24.8206,63.2383,0.0928,6
21,2.0181,6.584,7.983,0.0765,3.7562,4.4217,7.9367,0.0005,7.9064,0.8927,12.2996,23.1661,60.7859,45.4518,65.2747,8.7781,24.8206,63.2383,0.0928,6
22,2.0181,6.584,7.983,0.0765,3.7562,4.4217,7.9367,0.0005,7.9064,0.8927,12.2996,23.1661,60.7859,45.4518,65.2747,8.7781,24.8206,63.2383,0.0928,6
23,2.0181,6.584,7.983,0.0765,3.7562,4.4217,7.9367,0.0005,7.9064,0.8927,12.2996,23.1661,60.7859,45.4518,65.2747,8.7781,24.8206,63.2383,0.0928,6
24,2.0181,6.584,7.983,0.0765,3.7562,4.4217,7.9367,0.0005,7.9064,0.8927,12.2996,23.1661,60.7859,45.4518,65.2747,8.7781,24.8206,63.2383,0.0928,6
25,2.0181,6.584,7.983,0.0765,3.7562,4.4217,7.9367,0.0005,7.9064,0.8927,12.2996,23.1661,60.7859,45.4518,65.2747,8.7781,24.8206,63.2383,0.0928,6
26,2.0181,6.584,7.983,0.0765,3.7562,4.4217,7.9367,0.0005,7.9064,0.8927,12.2996,23.1661,60.7859,45.4518,65.2747,8.7781,24.8206,63.2383,0.0928,6
27,2.0181,6.584,7.983,0.0765,3.7562,4.4217,7.9367,0.0005,7.9064,0.8927,12.2996,23.1661,60.7859,45.4518,65.2747,8.7781,24.8206,63.2383,0.0928,6
28,2.0192,7.6302,7.9921,0.099,3.7649,4.4197,7.9614,0.0016,7.8153,1.1893,13.2968,21.5143,58.5528,41.9405,66.8173,9.2749,24.2501,59.9336,0.0894,6
29,2.0192,7.6253,7.9922,0.0991,3.7647,4.4197,7.9614,0.0005,7.8153,1.188,13.294,21.5227,58.5633,41.9532,66.8156,9.2725,24.2639,59.9403,0.0894,6
30,2.0192,7.6253,7.9922,0.0991,3.7647,4.4197,7.9614,0.0005,7.8153,1.188,13.294,21.5227,58.5633,41.9532,66.8156,9.2725,24.2639,59.9403,0.0894,6
31,2.0192,7.6253,7.9922,0.0991,3.7647,4.4197,7.9614,0.0004,7.8153,1.188,13.2941,21.5227,58.5634,41.9533,66.8156,9.2725,24.2641,59.9402,0.0894,6
32,2.0192,7.6253,7.9922,0.0991,3.7647,4.4197,7.9614,0.0004,7.8153,1.188,13.2941,21.5227,58.5634,41.9533,66.8156,9.2725,24.2641,59.9402,0.0894,6
33,2.0192,7.6253,7.9922,0.0991,3.7647,4.4197,7.9614,0.0004,7.8153,1.188,13.2941,21.5227,58.5634,41.9533,66.8156,9.2725,24.2641,59.9402,0.0894,6
34,2.0192,7.6253,7.9922,0.0991,3.7647,4.4197,7.9614,0.0004,7.8153,1.188,13.2941,21.5227,58.5634,41.9533,66.8156,9.2725,24.2641,59.9402,0.0894,6
35,2.0192,7.6253,7.9922,0.0991,3.7647,4.4197,7.9614,0.0004,7.8153,1.188,13.2941,21.5227,58.5634,41.9533,66.8156,9.2725,24.2641,59.9402,0.0894,6
36,2.0192,7.6286,7.9921,0.0417,3.7649,4.4236,7.9601,0.0016,7.9838,1.1137,13.8256,21.7878,61.4588,46.0952,66.9947,9.2634,25.5992,61.9791,0.0873,7
37,2.0775,7.9061,7.9918,0.1033,3.94,4.8294,7.9361,0.0605,7.9838,1.2315,14.736,19.5472,68.2591,45.0222,67.2026,10.7908,25.4411,59.4881,0.0801,7
38,2.0775,7.9061,7.9918,0.1033,3.94,4.8294,7.9361,0.0605,7.9838,1.2315,14.736,19.5472,68.2591,45.0222,67.2026,10.7908,25.4411,59.4881,0.0801,7
39,2.0775,7.9061,7.9918,0.1033,3.94,4.8294,7.9361,0.0605,7.9838,1.2315,14.736,19.5472,68.2591,45.0222,67.2026,10.7908,25.4411,59.4881,0.0801,7
40,2.0775,7.9061,7.9918,0.1033,3.94,4.8294,7.9361,0.0605,7.9838,1.2315,14.736,19.5472,68.2591,45.0222,67.2026,10.7908,25.4411,59.4881,0.0801,7
41,2.0775,7.9061,7.9918,0.1033,3.94,4.8294,7.9361,0.0605,7.9838,1.2315,14.736,19.5472,68.2591,45.0222,67.2026,10.7908,25.4411,59.4881,0.0801,7
42,2.0775,7.9061,7.9918,0.1033,3.94,4.8294,7.9361,0.0605,7.9838,1.2315,14.736,19.5472,68.2591,45.0222,67.2026,10.7908,25.4411,59.4881,0.0801,7
43,2.0786,7.8991,7.8905,0.0365,4.429,4.8247,7.9374,0.0098,7.9989,1.0965,16.1791,19.5539,72.0209,46.3976,61.0597,11.6494,29.9244,67.5744,0.0733,7
44,2.0193,6.6691,7.901,0.0326,3.7575,4.8587,7.9359,0.0222,7.994,0.936,12.7245,21.3314,68.1619,48.3812,67.6767,9.9524,24.4285,60.002,0.0754,6
45,2.049,6.6691,7.9297,0.0326,3.7575,4.8585,7.9374,0.0222,7.9941,0.9404,12.7272,21.3993,68.208,48.2441,68.2835,9.9245,24.4168,59.9384,0.0754,6
