Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
2,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
3,2.1217,5.0,5.0,0.0918,3.75,3.5,8.0,1.25,7.8591,0.3218,7.7668,28.0799,33.7237,50.9138,19.0328,10.6575,12.1575,65.8317,0.3059,4
4,3.5642,3.4172,3.4276,0.1619,4.859,3.42,8.0,0.2905,7.9706,0.6067,11.6861,31.8877,38.4141,70.7672,5.9494,15.8307,28.9562,68.1135,0.2994,7
5,5.314,3.487,7.9961,0.0,4.9967,2.0472,7.9674,1.25,7.8864,0.4893,8.3346,48.1845,30.234,37.644,35.7842,5.5217,19.0273,99.4241,0.2466,4
6,3.5541,2.0,7.7503,0.1351,4.9176,4.5264,7.8248,0.0396,7.7248,0.2833,9.628,31.1493,66.1001,46.1663,44.5293,9.3798,29.4985,78.0933,0.1618,6
7,3.7652,6.4445,6.3694,2.4829,4.7577,4.9591,7.8039,0.0561,7.8612,0.5872,21.7414,19.1573,73.3771,33.306,13.3754,24.131,34.143,40.787,0.2544,6
8,2.0019,6.4385,7.8659,0.1745,4.7577,4.9591,7.8039,0.0561,7.8625,0.7704,14.6049,19.5572,75.7078,43.4002,53.6026,11.657,30.3585,72.2906,0.0732,7
9,2.0117,6.3813,7.9865,0.1401,4.3771,4.9688,7.8275,1.3253,7.5822,0.9334,9.0687,19.4912,58.6886,30.9401,61.7178,10.619,11.8371,68.3208,0.1941,6
10,2.5633,7.732,7.8809,0.0036,4.9464,4.9723,7.963,0.0803,7.9876,0.9913,17.2768,19.9077,76.5173,45.9738,57.3518,13.2347,32.2793,72.5882,0.0679,8
11,3.39,6.3792,7.8908,0.0384,4.9236,4.9333,8.0,0.0914,7.9937,0.7186,15.5733,23.4606,74.6765,47.4341,55.7036,12.9567,31.2965,70.1789,0.0205,8
12,3.39,6.3792,7.8908,0.0384,4.9236,4.9333,8.0,0.0914,7.9937,0.7186,15.5733,23.4606,74.6765,47.4341,55.7036,12.9567,31.2965,70.1789,0.0205,8
13,3.3961,6.3792,7.8908,0.017,4.6073,3.671,8.0,0.0374,7.9937,0.6627,14.3991,29.2534,54.2222,46.8037,49.935,8.9605,32.0623,77.0944,0.0844,8
14,3.3961,6.3792,7.8908,0.017,4.6073,3.671,8.0,0.0374,7.9937,0.6627,14.3991,29.2534,54.2222,46.8037,49.935,8.9605,32.0623,77.0944,0.0844,8
15,3.3961,6.4851,7.8908,0.0315,4.7649,3.671,8.0,0.0307,7.9937,0.6665,15.0159,29.0289,55.2772,46.5011,48.4359,9.2685,33.6127,79.697,0.0759,8
16,5.231,7.9806,7.8908,0.0315,4.7649,3.671,8.0,0.0369,7.9937,0.8821,17.7256,27.7716,50.5786,43.5142,48.393,10.7244,31.9748,59.8528,0.0354,8
17,5.231,7.9806,7.8908,0.0315,4.7649,3.671,8.0,0.0369,7.9937,0.8821,17.7256,27.7716,50.5786,43.5142,48.393,10.7244,31.9748,59.8528,0.0354,8
18,5.231,7.9806,7.8908,0.0315,4.7649,3.671,8.0,0.0369,7.9937,0.8821,17.7256,27.7716,50.5786,43.5142,48.393,10.7244,31.9748,59.8528,0.0354,8
19,5.2033,7.8235,7.9654,0.0315,4.7681,3.6141,8.0,0.0369,7.9937,0.857,17.4434,28.4221,50.3078,43.3643,49.1107,10.3669,32.1588,61.385,0.0454,8
20,5.2033,7.8235,7.9654,0.0315,4.7681,3.6141,8.0,0.0369,7.9937,0.857,17.4434,28.4221,50.3078,43.3643,49.1107,10.3669,32.1588,61.385,0.0454,8
21,5.2033,7.8262,7.9654,0.0375,4.9143,3.6137,8.0,0.0371,7.9841,0.8455,17.8629,28.3995,51.0712,43.0318,47.8092,10.6163,33.3581,63.6539,0.0384,8
22,5.2033,7.8262,7.9654,0.0375,4.9143,3.6137,8.0,0.0371,7.9841,0.8455,17.8629,28.3995,51.0712,43.0318,47.8092,10.6163,33.3581,63.6539,0.0384,8
23,2.0043,6.623,7.9899,0.0189,4.9531,3.5743,7.9994,0.1487,7.9159,0.7126,14.5012,27.7561,56.3933,43.8951,49.2618,8.6091,34.0586,98.5011,0.0942,8
24,2.1448,6.623,7.9918,0.0503,4.9188,4.994,7.9952,0.0138,7.9873,0.8031,15.8041,21.7606,79.8731,47.5674,58.9503,12.4363,33.5381,79.6366,0.0432,8
25,2.1512,2.0906,7.6463,0.0122,4.9936,3.7191,7.975,0.0129,7.9874,0.3564,10.0925,36.8367,62.1337,54.8341,40.7944,7.6455,36.3731,111.4478,0.1574,6
26,2.1576,2.026,7.9683,0.0037,4.8935,4.9513,7.9998,0.1644,7.9913,0.3257,9.7349,30.9804,81.1512,54.0125,55.3678,9.8852,30.4225,96.511,0.1302,7
27,2.1576,2.026,7.9683,0.0037,4.8935,4.9513,7.9998,0.1644,7.9913,0.3257,9.7349,30.9804,81.1512,54.0125,55.3678,9.8852,30.4225,96.511,0.1302,7
28,2.049,2.0045,7.9891,0.0661,4.9725,3.7072,7.9969,0.0171,7.9977,0.3664,10.0047,37.8643,63.8189,53.2274,45.5473,7.2543,36.6557,115.4179,0.1591,7
29,2.049,2.0045,7.9891,0.0661,4.9725,3.7072,7.9969,0.0171,7.9977,0.3664,10.0047,37.8643,63.8189,53.2274,45.5473,7.2543,36.6557,115.4179,0.1591,7
30,2.049,2.0045,7.9891,0.0661,4.9725,3.7072,7.9969,0.0171,7.9977,0.3664,10.0047,37.8643,63.8189,53.2274,45.5473,7.2543,36.6557,115.4179,0.1591,7
31,2.0095,2.3009,7.9725,0.0855,4.9916,4.9769,7.9968,0.0176,7.991,0.3323,10.7038,30.0317,84.2902,53.9878,53.714,10.3374,33.9336,97.5319,0.1209,7
