Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
2,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
3,5.2454,2.1375,6.0464,0.0,2.184,4.3674,8.0,0.0,7.1372,0.3176,4.6561,32.8705,30.5622,42.8728,44.7327,8.0795,9.43,24.2872,0.3632,2
4,2.0,2.21,6.7377,0.3773,3.7038,4.7494,7.3388,0.5318,7.2517,0.2958,5.7625,19.8807,50.3889,34.6001,34.6249,7.9877,13.242,50.0917,0.2684,3
5,2.0,2.21,6.7377,0.3773,3.7038,4.7494,7.3388,0.5318,7.2517,0.2958,5.7625,19.8807,50.3889,34.6001,34.6249,7.9877,13.242,50.0917,0.2684,3
6,2.0,2.21,6.7377,0.3773,3.7038,4.7494,7.3388,0.5318,7.2517,0.2958,5.7625,19.8807,50.3889,34.6001,34.6249,7.9877,13.242,50.0917,0.2684,3
7,2.7047,2.4423,7.5299,1.149,1.9437,4.3597,7.8941,0.1086,7.2953,0.591,5.3689,29.6232,41.2989,32.6089,54.3788,7.0186,10.919,32.7505,0.2828,4
8,2.0706,4.1891,6.9039,3.635,3.0129,3.7234,8.0,0.006,6.8773,0.7101,11.2563,27.7423,39.746,15.9753,15.3141,14.2787,19.2379,33.9965,0.2769,4
9,2.1272,2.1072,8.0,1.7249,4.3018,4.0695,7.9639,0.4302,7.6231,0.36,9.5419,33.5476,60.0956,31.4871,33.3267,10.1488,24.268,76.4552,0.1376,5
10,2.1272,2.1072,8.0,1.7249,4.3018,4.0695,7.9639,0.4302,7.6231,0.36,9.5419,33.5476,60.0956,31.4871,33.3267,10.1488,24.268,76.4552,0.1376,5
11,2.0706,4.1891,6.9039,3.635,3.0129,3.7234,8.0,0.006,6.8773,0.7101,11.2563,27.7423,39.746,15.9753,15.3141,14.2787,19.2379,33.9965,0.2769,4
12,2.0706,4.1891,6.9039,3.635,3.0129,3.7234,8.0,0.006,6.8773,0.7101,11.2563,27.7423,39.746,15.9753,15.3141,14.2787,19.2379,33.9965,0.2769,4
13,2.0706,4.1891,6.9039,3.635,3.0129,3.7234,8.0,0.006,6.8773,0.7101,11.2563,27.7423,39.746,15.9753,15.3141,14.2787,19.2379,33.9965,0.2769,4
14,2.1902,2.2611,3.521,0.0,4.3659,5.0,8.0,0.3581,6.6991,0.1796,5.9893,22.9782,37.5243,42.4188,12.5237,16.9088,13.6198,48.7672,0.3725,2
15,2.1902,2.2611,3.521,0.0,4.3659,5.0,8.0,0.3581,6.6991,0.1796,5.9893,22.9782,37.5243,42.4188,12.5237,16.9088,13.6198,48.7672,0.3725,2
16,2.1902,2.2611,3.521,0.0,4.3659,5.0,8.0,0.3581,6.6991,0.1796,5.9893,22.9782,37.5243,42.4188,12.5237,16.9088,13.6198,48.7672,0.3725,2
17,2.1902,2.2611,3.521,0.0,4.3659,5.0,8.0,0.3581,6.6991,0.1796,5.9893,22.9782,37.5243,42.4188,12.5237,16.9088,13.6198,48.7672,0.3725,2
18,2.1902,2.2611,3.521,0.0,4.3659,5.0,8.0,0.3581,6.6991,0.1796,5.9893,22.9782,37.5243,42.4188,12.5237,16.9088,13.6198,48.7672,0.3725,2
19,2.1902,2.2611,3.521,0.0,4.3659,5.0,8.0,0.3581,6.6991,0.1796,5.9893,22.9782,37.5243,42.4188,12.5237,16.9088,13.6198,48.7672,0.3725,2
20,2.1902,2.2611,3.521,0.0,4.3659,5.0,8.0,0.3581,6.6991,0.1796,5.9893,22.9782,37.5243,42.4188,12.5237,16.9088,13.6198,48.7672,0.3725,2
21,2.0,8.0,3.8293,0.0,3.9314,4.9277,8.0,1.0202,7.3597,0.9363,10.3512,15.5558,38.4936,43.9213,16.5,19.6071,10.6213,41.2391,0.3263,4
22,2.0,8.0,3.8293,0.0,3.9314,4.9277,8.0,1.0202,7.3597,0.9363,10.3512,15.5558,38.4936,43.9213,16.5,19.6071,10.6213,41.2391,0.3263,4
23,2.0,8.0,3.8293,0.0,3.9314,4.9277,8.0,1.0202,7.3597,0.9363,10.3512,15.5558,38.4936,43.9213,16.5,19.6071,10.6213,41.2391,0.3263,4
24,2.0,8.0,3.8293,0.0,3.9314,4.9277,8.0,1.0202,7.3597,0.9363,10.3512,15.5558,38.4936,43.9213,16.5,19.6071,10.6213,41.2391,0.3263,4
25,2.0,8.0,3.8293,0.0,3.9314,4.9277,8.0,1.0202,7.3597,0.9363,10.3512,15.5558,38.4936,43.9213,16.5,19.6071,10.6213,41.2391,0.3263,4
26,2.0,8.0,3.8293,0.0,3.9314,4.9277,8.0,1.0202,7.3597,0.9363,10.3512,15.5558,38.4936,43.9213,16.5,19.6071,10.6213,41.2391,0.3263,4
27,2.0,8.0,3.8293,0.0,3.9314,4.9277,8.0,1.0202,7.3597,0.9363,10.3512,15.5558,38.4936,43.9213,16.5,19.6071,10.6213,41.2391,0.3263,4
28,2.0,8.0,3.8293,0.0,3.9314,4.9277,8.0,1.0202,7.3597,0.9363,10.3512,15.5558,38.4936,43.9213,16.5,19.6071,10.6213,41.2391,0.3263,4
29,2.0,8.0,3.8293,0.0,3.9314,4.9277,8.0,1.0202,7.3597,0.9363,10.3512,15.5558,38.4936,43.9213,16.5,19.6071,10.6213,41.2391,0.3263,4
30,2.0,8.0,3.8293,0.0,3.9314,4.9277,8.0,1.0202,7.3597,0.9363,10.3512,15.5558,38.4936,43.9213,16.5,19.6071,10.6213,41.2391,0.3263,4
31,2.0,8.0,3.8293,0.0,3.9314,4.9277,8.0,1.0202,7.3597,0.9363,10.3512,15.5558,38.4936,43.9213,16.5,19.6071,10.6213,41.2391,0.3263,4
