Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,2.2224,3.6866,3.866,0.9927,5.0,4.9266,7.7871,0.0,8.0,0.202089,15.121217,20.716903,67.226451,64.122607,6.478202,22.50096,35.11235,59.213992,0.7719,0.3523,6
2,2.0,4.4811,6.046,0.0,5.0,5.0,8.0,0.0,8.0,0.31585,13.527461,23.641064,73.711951,61.64969,28.917454,15.09446,33.682144,79.08558,0.6506,0.172,6
3,2.0,2.1001,2.0,0.0627,5.0,5.0,8.0,0.0,8.0,0.610138,11.60671,24.02314,58.522667,91.911567,3.796881,24.330143,32.119757,64.849763,0.5921,0.3055,7
4,2.526,4.5186,3.2842,3.3768,5.0,5.0,8.0,0.0,8.0,0.197434,23.580674,20.700408,73.09163,46.497258,1.382388,40.129514,41.821258,42.897281,0.5834,0.3881,5
5,2.0,3.4493,4.1462,0.7633,5.0,3.1609,7.7557,0.0,8.0,0.74135,13.530695,28.606521,44.997644,62.767054,5.597151,13.584875,38.958438,81.524575,0.6217,0.2938,7
6,3.585,4.3673,3.6456,0.1636,5.0,5.0,6.9939,0.0,8.0,0.342744,14.180136,12.77114,62.154905,65.69892,5.968869,17.739625,30.43093,41.044217,0.4309,0.3532,5
7,2.0,2.0485,4.8604,1.9467,5.0,5.0,7.7251,0.0,8.0,0.219116,14.837703,23.02957,78.596942,52.835444,6.739732,21.792135,37.982082,62.314184,0.4364,0.3407,6
8,2.0,4.3137,3.6052,0.9928,3.2621,5.0,8.0,0.0,8.0,0.25095,11.714244,21.40807,54.564598,67.481844,10.239353,20.14869,21.767778,37.496365,0.4666,0.324,4
9,2.0,3.7629,3.8161,0.9595,5.0,5.0,8.0,0.0,6.3735,0.298201,9.413982,19.827203,41.001198,29.2228,8.858003,21.951848,20.120336,47.650098,0.3995,0.3203,3
10,2.0,3.8017,4.0625,0.9699,5.0,4.7578,8.0,1.3972,8.0,0.17774,10.897407,23.681141,56.086412,53.283991,7.667357,22.190416,17.212947,71.798288,0.3841,0.3657,5
11,2.1587,3.2788,2.6883,1.7495,5.0,4.4558,6.9179,0.0,8.0,0.957929,15.983445,13.294859,60.353161,57.678033,1.061871,21.654517,36.626825,43.662279,0.5218,0.3634,6
12,2.3082,2.9756,4.4123,0.0,5.0,4.8997,8.0,0.0,8.0,0.202999,12.086785,25.520439,65.279794,73.794437,13.842269,17.744932,32.8484,73.172429,0.5087,0.3041,7
13,2.4981,4.5546,4.9927,1.737,5.0,4.4835,7.8053,0.0,8.0,0.238364,17.91033,22.349087,66.670534,49.758735,7.736197,21.203113,38.610247,59.735299,0.5508,0.3284,6
14,3.0819,3.3683,3.4017,1.6208,4.9035,5.0,8.0,0.0,8.0,0.174437,16.420505,23.645758,65.575899,62.431362,4.072547,28.671797,34.995549,49.647891,0.652,0.3733,5
15,2.0,4.4739,6.1839,0.0,4.3079,3.9033,6.6858,0.0,8.0,0.335785,10.972076,13.926878,55.592398,51.598705,19.193807,6.745875,28.486452,56.192335,0.4403,0.3027,5
16,2.0,4.3382,3.1546,0.8758,5.0,4.4999,8.0,0.0,8.0,0.255842,15.815802,23.006684,57.458877,69.307535,4.646853,23.810135,36.134471,63.658252,0.6406,0.3414,6
17,3.5994,2.3691,3.2834,1.7981,3.0628,3.2042,7.2154,0.0,8.0,0.480581,10.278218,23.510446,34.199779,56.519616,2.536548,12.682732,22.817654,29.447667,0.3799,0.3609,3
