Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,4.5078,3.8103,3.7048,4.6523,1.4965,2.5581,3.2564,2.025,5.9684,0.1042,3.4186,0.864,10.2699,2.2356,0.0007,3.8256,0.9667,2.1118,2.5671,0
2,7.8774,5.536,4.9517,3.0039,3.4705,3.5849,2.3887,4.4653,2.9149,0.5198,0.4309,0.0295,2.0242,-0.0841,0.547,2.7278,0.0763,0.3134,2.7146,1
3,5.0108,2.6075,6.1823,1.8609,0.4043,2.6303,7.0135,3.3599,4.7228,2.7046,0.2804,20.8519,2.6133,1.816,26.1418,3.2312,0.0076,7.8708,2.2596,1
4,6.4691,7.4434,4.5315,0.8439,4.2553,2.4419,4.3826,3.7248,4.105,0.599,1.2485,1.7812,2.4965,0.3672,2.4316,3.3596,0.0446,5.7047,2.5729,1
5,3.4775,2.0879,2.5243,4.002,2.6594,4.0621,2.0511,0.181,2.2114,0.172,1.096,0.013,4.6728,-0.0169,-0.0499,3.2575,0.5878,1.6104,2.7212,0
6,6.6512,2.1437,6.868,0.0904,2.0555,4.0089,5.5116,0.0693,4.1912,1.0144,1.0553,6.8319,8.7223,3.0891,35.2475,2.0018,1.3624,4.013,2.2708,1
7,6.0429,5.9013,7.1138,3.6784,0.5539,3.3701,6.061,3.1422,3.4015,19.8049,0.5544,6.8922,2.2527,-0.0561,19.0955,4.6161,0.0231,1.9678,2.4353,1
8,4.2606,2.3801,5.0889,2.4052,3.1778,3.9923,6.3241,1.833,4.4149,0.6568,1.6781,9.5031,9.8891,1.8764,6.9094,8.3921,0.7731,10.1744,2.2,1
9,3.1951,2.2338,3.1196,0.9767,0.473,2.3466,7.9362,0.0237,6.5134,0.2028,2.7316,34.9107,8.6601,34.5341,10.6092,6.188,4.9106,16.0919,1.8345,2
10,4.1373,7.5474,3.0368,1.5923,0.9693,2.6734,7.0098,0.5442,7.8191,0.5342,8.9987,15.1272,16.5177,42.5832,4.451,9.5916,7.5701,10.2896,1.6042,3
11,6.0573,2.4763,5.1564,3.9827,1.9307,2.735,4.2629,3.1281,5.9399,0.0243,1.9617,3.4337,9.3878,1.9655,0.8099,4.0446,0.2517,3.2421,2.6333,0
12,3.5281,5.8909,4.9623,4.4064,1.0316,2.3604,2.2667,1.0299,3.4455,0.8424,1.5705,0.092,3.3282,-0.0434,0.4129,1.1783,0.2658,1.5768,2.6842,1
13,6.0775,6.1001,5.9153,0.8766,2.4368,3.7443,5.7913,2.6582,2.485,13.6921,0.3334,4.3878,1.5712,-0.002,23.0231,3.7492,0.0271,3.0613,2.4742,1
14,4.1229,6.7085,4.9366,3.6005,2.5724,4.9183,6.5694,2.987,4.8198,5.4424,2.9451,5.9059,12.3602,1.1063,6.1592,16.8768,0.1417,5.7358,2.2212,2
15,5.246,6.6794,4.3877,4.2144,0.7506,2.8641,2.5158,2.553,6.6533,0.3345,4.0197,0.206,12.216,2.7473,0.1865,2.6379,0.401,1.293,2.4804,0
16,2.3824,5.2373,7.8647,4.5215,1.1726,4.9332,4.8623,3.3389,3.7648,14.5838,0.7817,1.4595,10.0636,-0.0799,14.6329,4.8957,-0.0098,3.189,2.4531,1
17,6.2876,2.354,4.3124,0.9811,4.3499,2.1774,2.4562,0.7494,6.1985,7.0926,4.2347,0.653,15.0358,8.2226,0.2593,1.1798,7.6578,5.7268,2.2503,1
18,7.6151,5.7618,6.535,4.4114,0.7349,2.9673,2.0466,2.8948,5.9871,0.3078,2.509,0.1031,10.0152,0.4855,0.9552,1.3585,0.1066,0.3561,2.6264,0
